DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
22-02-2022,"Legal Department -- Operations Manager","Protective Life Corporation",protectivelife.com,,,,,Birmingham,AL,""
24-02-2022,"Director of Clinical Operations - Pediatric Administration -...","UAB Medicine - UA Health Services Foundation...",,,,,,Birmingham,AL,""
22-02-2022,"Group Marketing Director","Birmingham Market Office",,,,,,Birmingham,AL,""
21-02-2022,"Business System Architect",Deloitte,deloitte.com,"Management Consulting",,,"Central City area",Birmingham,AL,"35203"
23-02-2022,"Program Manager","CCI Systems, Inc.",ccisystems.com,"Information Technology & Services",,Remote,,"Remote in Birmingham",AL,""
23-02-2022,"Project Manager",Caddell,caddell.com,Construction,,,,Montgomery,AL,""
24-02-2022,"Program Manager","CCI Systems, Inc.",ccisystems.com,"Information Technology & Services",,Remote,,"Remote in Montgomery",AL,""
23-02-2022,"Program Manager","CCI Systems, Inc.",ccisystems.com,"Information Technology & Services",,Remote,,"Remote in Mobile",AL,""
23-02-2022,"Environmental & Safety (E&S) Manager - Fort Rucker","HCI | integrated solutions",hci-hq.net,,,,,Huntsville,AL,""
24-02-2022,"Commercial Support Manager",Synovus,synovus.com,"Financial Services",,,,Huntsville,AL,"35801"
22-02-2022,"National Security Space Business Development and Capture Man...",Dynetics,dynetics.com,"Defense & Space",,,,Huntsville,AL,""
21-02-2022,"Business System Architect",Deloitte,deloitte.com,"Management Consulting",,,,Huntsville,AL,"35806"
23-02-2022,"Principal Systems Design Assembly and Test Integrator - New...","Blue Origin",blueorigin.com,"Defense & Space",,,,Huntsville,AL,"35806"
23-02-2022,"Program Analyst","Stratagem Solutions, Inc",,,,,,Huntsville,AL,"35801"
22-02-2022,"PLANT OPERATIONS & MAINTENANCE (O&M) INSPECTOR - NASA (HUNTS...","Vanguard Pacific, LLC",vanguardpacificllc.com,"Financial Services",,,,Huntsville,AL,""
23-02-2022,"Cost Analyst","Stratagem Solutions, Inc",,,,,,Huntsville,AL,"35801"
23-02-2022,"Environmental & Safety (E&S) Manager - Fort Rucker","Hurricane Consulting Inc",hc-inc.net,"Facilities Services",,,,Huntsville,AL,"35802"
24-02-2022,"Program Manager","CCI Systems, Inc.",ccisystems.com,"Information Technology & Services",,Remote,,"Remote in Huntsville",AL,""
24-02-2022,"Director, Hypersonics/Missiles Growth",Arcfield,,,,,,Huntsville,AL,"35806"
24-02-2022,"Cyber Threat Hunt Specialist","Nou Systems Inc",nou-systems.com,"Defense & Space","$56,200 - $118,600 a year",,,Huntsville,AL,"35806"
24-02-2022,"Segment Finance Director - Defense Systems",Axient,axientcorp.com,"Defense & Space",,,,Huntsville,AL,"35806"
23-02-2022,"Materials Manager","Hart & Cooley, LLC",,,,,,Huntsville,AL,"35811"
24-02-2022,"Enterprise Architect Level IV",Arcfield,,,,Remote,,"Remote in Huntsville",AL,""
22-02-2022,"Vice President, CHRO","Southeast Health",southeasthealth.org,"Hospital & Health Care",,,,Dothan,AL,""
