DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-04-09,"Business Development Representative, Nonprofit (Open to Remo...",Daxko,daxko.com,"Computer Software","$42.4K – $53.6K a year",Remote,,"Remote in Birmingham",AL,"35209"
2022-04-11,"Client Services Consultant","InvaServ LLC",stateserv.com,,"$48.9K – $61.9K a year",,,Birmingham,AL,"35233"
2022-04-11,"Pharmacy Packing Technician","NaphCare, Inc.",naphcare.com,"Hospital & Health Care",,,,Birmingham,AL,""
2022-04-09,"Customer Experience Advocate","Protective Life Corporation",protectivelife.com,,"$26.7K – $33.9K a year",,,Birmingham,AL,""
2022-04-11,"Behavioral Interventionist","Children's of Alabama",childrensal.org,"Hospital & Health Care","$36.4K – $46.2K a year",,"Five Points South area",Birmingham,AL,"35233"
2022-04-08,"Associate Data Analyst",Benefitfocus,benefitfocus.com,"Computer Software",,,,Birmingham,AL,"35201"
2022-04-10,"Sales Representative",HIKVISION,,,"$56.1K – $71.1K a year",,,Birmingham,AL,""
2022-04-10,"Sales Management Trainee","Enterprise Holdings",enterpriseholdings.com,"Leisure, Travel & Tourism","$44,000 a year",,,Birmingham,AL,""
2022-04-10,"RN - Behavioral Health - Short Term Option Premium Pay",Ascension,ascension.org,"Hospital & Health Care",,,,Birmingham,AL,"35235"
2022-04-08,"Sales Representative","Adams Beverages Nc Llc",,,"$44K – $55.8K a year",,,Birmingham,AL,"35211"
2022-04-08,"Courier Facilities Support Clerk","America's First Federal Credit Union",,,"$25.9K – $32.9K a year",,,Birmingham,AL,"35203"
2022-04-09,"Geospatial Technician I","SAM, LLC",sam.biz,"Civil Engineering","$37.7K – $47.7K a year",Remote,,"Hybrid remote in Birmingham",AL,"35244"
2022-04-09,"Research Assistant","Tilda Research",tilda.bio,Biotechnology,"$28.9K – $36.5K a year",,,Birmingham,AL,""
2022-04-08,"Central Supply Tech Materials Management - Full Time Days 6:...","Grandview Medical Center",grandviewhealth.com,"Hospital & Health Care",,,,Birmingham,AL,""
2022-04-09,"Student Operating Room Technician","Children's of Alabama",childrensal.org,"Hospital & Health Care","$39.4K – $50K a year",,"Five Points South area",Birmingham,AL,"35233"
2022-04-09,"Pharmaceutical Sales Representative - Alabama - 2719859",IQVIA,iqvia.com,"Hospital & Health Care",,,,Birmingham,AL,""
2022-04-08,"Courier Facilities Support Clerk","Americas First Federal Credit Union",amfirst.org,Banking,"$25.9K – $32.9K a year",,"Fountain Heights area",Birmingham,AL,"35203"
2022-04-09,"Quality Assurance Analyst","Guideway Care",,,"$42.7K – $54.1K a year",,,Birmingham,AL,"35242"
2022-04-08,"Coordinator, Store Ops Projects","Hibbett | City Gear",hibbett.com,Retail,"$42.4K – $53.6K a year",,,Birmingham,AL,""
2022-04-10,"Staff Nurse Behavioral Health Inpatient","Children's of Alabama",childrensal.org,"Hospital & Health Care","$67.2K – $85.2K a year",,"Five Points South area",Birmingham,AL,"35233"
2022-04-09,Paralegal,"Heninger Garrison & Davis Llc",,,"$38.8K – $49.2K a year",,"Central City area",Birmingham,AL,"35203"
2022-04-08,"Administrative Fellow - Ascension St. Vincent's Birmingham",Ascension,ascension.org,"Hospital & Health Care",,,"Highland Park area",Birmingham,AL,"35205"
2022-04-09,"Junior Data Analyst","StoneX Group Inc. US",stonex.com,"Financial Services","$41.9K – $53.1K a year",,,Birmingham,AL,""
2022-04-11,"Unit Clerk Behavioral Health Inpatient","Children's of Alabama",childrensal.org,"Hospital & Health Care","$28.9K – $36.5K a year",,"Five Points South area",Birmingham,AL,"35233"
2022-04-11,"Surgical Tech FT Days","Princeton Baptist Med Ctr",princetonbaptistmedicalcenter.com,"Hospital & Health Care",,,"Arlington-West End area",Birmingham,AL,"35211"
2022-04-09,"Telemetry Technician - Weekends Only",Ascension,ascension.org,"Hospital & Health Care",,,,Birmingham,AL,"35235"
2022-04-09,"Sterile Supply Technician I - Highlands Central Sterile Supp...","UAB Medicine",uabmedicine.org,"Hospital & Health Care",,,,Birmingham,AL,""
2022-04-11,"Behavioral Associate","Children's of Alabama",childrensal.org,"Hospital & Health Care","$22.4K – $28.4K a year",,"Five Points South area",Birmingham,AL,"35233"
2022-04-08,Phlebotomist,"Biomat USA, Inc.",grifolsplasma.com,Pharmaceuticals,,,,Birmingham,AL,"35298"
2022-04-11,"Grocery Reset Merchandiser $15 (Full Time & Part Time)","Cart Solutions",cartsolutions.net,"Staffing & Recruiting","$15 an hour",,,Birmingham,AL,""
2022-04-08,"Central Office Coordinator","Birmingham Zoo Inc",birminghamzoo.com,"Leisure, Travel & Tourism","$34.1K – $43.1K a year",,"Redmont Park area",Birmingham,AL,"35223"
2022-04-11,"Staff Nurse CV PeriOp","Children's of Alabama",childrensal.org,"Hospital & Health Care","$62.8K – $79.6K a year",,"Five Points South area",Birmingham,AL,"35233"
2022-04-11,"RN NICU FT Days","Brookwood Baptist Medical Center",brookwoodbaptisthealth.com,"Hospital & Health Care",,,,Birmingham,AL,"35209"
2022-04-09,"Customer Service Representative I",Guidehouse,guidehouse.com,"Management Consulting",,,"North Avondale area",Birmingham,AL,"35222"
2022-04-09,"Patient Encounter Specialist - OB/GYN - Women & Infants Cent...","UAB Medicine - UA Health Services Foundation...",,,,,,Birmingham,AL,""
2022-04-09,"Lab Assistant/Phlebotomist Lab Satellite","Children's of Alabama",childrensal.org,"Hospital & Health Care","$26.7K – $33.7K a year",,"Five Points South area",Birmingham,AL,"35233"
2022-04-09,"Staff Nurse Special Care Unit","Children's of Alabama",childrensal.org,"Hospital & Health Care","$67K – $84.8K a year",,"Five Points South area",Birmingham,AL,"35233"
2022-04-08,"Donor Center Technician","Biomat USA, Inc.",grifolsplasma.com,Pharmaceuticals,,,,Birmingham,AL,"35298"
2022-04-09,"Mine Safety and Health Inspector","US Mine Safety and Health Administration",msha.gov,Retail,"$36,308 - $86,526 a year",,,Birmingham,AL,""
2022-04-10,"Phlebotomist - Full Time - Day Shift - Monday-Friday 8 a.m....","Grandview Medical Center",grandviewhealth.com,"Hospital & Health Care",,,,Birmingham,AL,""
2022-04-09,"Hospital Services Technician/ Storage and Distribution Techn...","American Red Cross",redcross.org,"Nonprofit Organization Management",,,,Birmingham,AL,""
2022-04-11,"Laundry Person","Drury Hotels",druryhotels.com,Hospitality,,,,Birmingham,AL,"35243"
2022-04-09,"Sales Trainee",Graybar,graybar.com,Wholesale,,,"Oxmoor area",Birmingham,AL,"35211"
2022-04-08,"Managed Services Consultant","DeWolff, Boberg & Associates",dbaresults.com,"Management Consulting","$55.3K – $70.1K a year",,,Birmingham,AL,"35201"
2022-04-08,"Surgical Scrub Tech - Full Time (6:30a-7:00p)","Grandview Medical Center",grandviewhealth.com,"Hospital & Health Care",,,,Birmingham,AL,""
2022-04-11,"Mobile Billboard Driver","do it outdoors media",doitoutdoors.com,"Marketing & Advertising","$14 - $15 an hour",,,Birmingham,AL,""
2022-04-10,"Unit Clerk NICU","Children's of Alabama",childrensal.org,"Hospital & Health Care","$26.4K – $33.4K a year",,"Five Points South area",Birmingham,AL,"35233"
2022-04-11,"RN Market Float Pool CVOR Fulltime AM","Birmingham Market Office",,,,,,Birmingham,AL,""
2022-04-10,"Assistant Manager","Banana Republic",oldnavy.com,Retail,,,,Birmingham,AL,"35243"
2022-04-09,"MuleSoft Administrator","CGI Group, Inc.",cgi.com,"Information Technology & Services",,,,Birmingham,AL,"35244"
2022-04-11,"Data Entry Clerk - Central Network Retail Group (Birmingham,...","Central Network Retail Group, LLC",cnrgstores.com,Retail,"$31.2K – $39.6K a year",,,Birmingham,AL,"35203"
2022-04-09,"Branch Lending Specialist - Lakeshore","Americas First Federal Credit Union",amfirst.org,Banking,"$33K – $41.8K a year",,"Oxmoor area",Birmingham,AL,"35211"
2022-04-08,"Member Service Associate - Full-time Position","YMCA of Greater Birmingham",ymcabham.org,"Health, Wellness & Fitness",,,,Birmingham,AL,"35203"
2022-04-10,"Surgical Instrument Tech - Orthosports Evening",Ascension,ascension.org,"Hospital & Health Care",,,"Highland Park area",Birmingham,AL,"35205"
2022-04-09,"RN - TKC Endocrine Clinic (Full-Time Days)","UAB Medicine",uabmedicine.org,"Hospital & Health Care",,,,Birmingham,AL,""
2022-04-10,"Specialty Clinic Nurse Sports Medicine Clinic","Children's of Alabama",childrensal.org,"Hospital & Health Care","$56.8K – $72K a year",,"Five Points South area",Birmingham,AL,"35233"
2022-04-09,"Security Site Supervisor - Call Center","Allied Universal®",,,"$19.50 an hour",,,Birmingham,AL,"35211"
