DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-12-18,"Administrative Officer 1 (02110)","State of Alaska",aebsd.org,"Education Management","$4,750 a month",,,Anchorage,AK,""
2022-12-17,"Administrative Assistant 3","State of Alaska",aebsd.org,"Education Management","$3,894 a month",,"University Area area)",Anchorage,AK,"99508"
2022-12-19,"Training Support Specialist","AK Child & Family",akchild.org,"Mental Health Care","$47,000 a year",,"Mid-Hillside area)",Anchorage,AK,"99507"
2022-12-17,"Passenger Service Agent (Alaska Railroad)","State of Alaska",aebsd.org,"Education Management","$18.39 an hour",,"Downtown area)",Anchorage,AK,"99501"
2022-12-18,"Administrative Assistant 1 (PCN 1070)","State of Alaska",aebsd.org,"Education Management","$3,174 a month",,,Anchorage,AK,""
2022-12-17,"Passenger Service Agent/Product Inventory Coordinator (Alaska Railroad)","State of Alaska",aebsd.org,"Education Management","$21.32 an hour",,"Downtown area)",Anchorage,AK,"99501"
2022-12-17,MERCHANDISING,"Home Depot",,,,,,Anchorage,AK,"99501"
2022-12-16,"Human Resource Coordinator",Cabela's,cabelas.com,Retail,"$37k - $46.9k a year (estimated)",,"Bayshore-Klatt area)",Anchorage,AK,"99515"
2022-12-17,"FT Courier/DOT (Avail 10/22)","FedEx Express",fedex.com,"Logistics & Supply Chain",,,"Ted Stevens Anchorage International Airport area)",Anchorage,AK,"99502"
2022-12-17,"Yard Attendant","NC Machinery Co",,,"from $21.75 an hour",,"Taku-Campbell area)",Anchorage,AK,"99518"
2022-12-16,"Protective Services Specialist 3 (PCN 065261)","State of Alaska",aebsd.org,"Education Management","$34.40 an hour",,"University Area area)",Anchorage,AK,"99508"
2022-12-19,"Parent Navigator","AK Child & Family",akchild.org,"Mental Health Care","$17 an hour",,"Mid-Hillside area)",Anchorage,AK,"99507"
2022-12-17,"Motor Vehicle Customer Service Representative 1 (PCN 9519)","State of Alaska",aebsd.org,"Education Management","$18.78 an hour",,,Anchorage,AK,""
2022-12-17,"Representative I, Customer Care",GCI,gci.it,"Information Technology & Services","$33k - $41.8k a year (estimated)",,"Taku-Campbell area)",Anchorage,AK,"99518"
2022-12-16,"Accounts Receivable Representative - PHSA",Providence,psjhealth.org,"Hospital & Health Care",,,,Anchorage,AK,"99508"
2022-12-17,"Regional Emergency Transportation Representative (RETREP)","US Federal Aviation Administration",faa.gov,"Aviation & Aerospace","$111,240 - $172,454 a year",,,Anchorage,AK,""
2022-12-17,"Public Health Specialist 1 (PCN 061677)","State of Alaska",aebsd.org,"Education Management","$4,773 a month",,"Midtown area)",Anchorage,AK,"99503"
2022-12-16,"Administrative Assistant","Alaska Central Express",aceaircargo.com,Airlines/Aviation,"$20 an hour",,"Ted Stevens Anchorage International Airport area)",Anchorage,AK,"99502"
2022-12-17,"Customer Service Associate - Temporary",WALGREENS,walgreens.com,Retail,,,"Old Seward-Oceanview area)",Anchorage,AK,"99515"
2022-12-18,"Warehouse Associate",Sysco,sysco.com,"Food & Beverages",,,,Anchorage,AK,"99507"
2022-12-18,"Warehouse Associate",Sysco,sysco.com,"Food & Beverages",,,,Anchorage,AK,"99507"
2022-12-16,"Criminal Justice Technician 1/2 (PCN 124621)","State of Alaska",aebsd.org,"Education Management","$21.37 - $24.27 an hour",,"Campbell Park area)",Anchorage,AK,"99507"
2022-12-19,"Community Programs Behavioral Health Specialist","AK Child & Family",akchild.org,"Mental Health Care","$17 an hour",,"Mid-Hillside area)",Anchorage,AK,"99507"
2022-12-16,"Field Service Representative - Anchorage, AK",3M,3m.comcareers,,"$41.7k - $52.8k a year (estimated)",,"Bayshore-Klatt area)",Anchorage,AK,"99515"
2022-12-18,"FT-Merchandising Service Associate-Day",Lowe's,lowes.com,Retail,,,"Bayshore-Klatt area)",Anchorage,AK,"99515"
