DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2/12/2022,"Procurement Analyst 12 month Register","US Internal Revenue Service",irs.gov,"Government Administration","$111,521 - $176,300 a year",,,Anchorage,AK,""
2/12/2022,"Environmental Program Specialist 4 (187669)","State of Alaska",aebsd.org,"Education Management","$5,774 - $6,062 a month",Remote,,"Remote in Anchorage",AK,""
2/12/2022,"Registered Nurse - Urology","US Veterans Health Administration",va.gov,"Government Administration","$79,342 - $145,118 a year",,,Anchorage,AK,""
2/12/2022,"Entry-level Project Manager Assistant",SGS,sgs.com,"International Trade & Development",,,"Taku-Campbell area",Anchorage,AK,"99518"
2/13/2022,"Interactive Guide","Focus Employer Solutions",,,,,,Anchorage,AK,""
2/12/2022,"Registered Nurse (Intensive Care Unit)","US Veterans Health Administration",va.gov,"Government Administration","$79,342 - $145,118 a year",,"Northeast area",Anchorage,AK,"99504"
2/12/2022,"Guest Services Representative/Receptionist (Anchorage)","Imaging Associates",imagingassociates.net.au,"Hospital & Health Care",,,"Airport Heights area",Anchorage,AK,"99508"
2/13/2022,"Natural Resource Technician 2 (PCN 080103)","State of Alaska",aebsd.org,"Education Management","$20.54 an hour",,,Anchorage,AK,""
2/13/2022,"New Grad RN - Stepdown ICU","Alaska Regional Hospital",alaskaregional.com,"Hospital & Health Care",,,,Anchorage,AK,"99508"
2/13/2022,"Practice Support Specialist -Alaska Family Medicine Center",Providence,psjhealth.org,"Hospital & Health Care",,,,Anchorage,AK,"99508"
2/13/2022,"New Grad RN - CVSU","Alaska Regional Hospital",alaskaregional.com,"Hospital & Health Care",,,,Anchorage,AK,"99508"
2/12/2022,"Intervention Coach","Anchorage School District",asdk12.org,"Primary/Secondary Education",,,,Anchorage,AK,""
2/11/2022,"Client Service Representative","VCA Animal Hospitals",vcahospitals.com,Veterinary,,,,Anchorage,AK,""
2/12/2022,"Branch Manager","Loomis Armored US, LLC",loomis.com,Transportation/Trucking/Railroad,,,"Taku-Campbell area",Anchorage,AK,"99518"
2/11/2022,"Associate Personal Banker (SAFE) - Russian Jack","Wells Fargo",climaticsolar.com,"Environmental Services",,,,Anchorage,AK,""
2/12/2022,"Practice Support Specialist - Alaska Family Medicine Center",Providence,psjhealth.org,"Hospital & Health Care",,,,Anchorage,AK,"99508"
2/12/2022,"RN - Nurse Liaison",Providence,psjhealth.org,"Hospital & Health Care",,,,Anchorage,AK,"99503"
2/12/2022,"Credentialing Assistant 3/Government Business ? Work at Home",Humana,humana.com,"Health, Wellness & Fitness",,Remote,,"Remote in Anchorage",AK,""
2/12/2022,"Forensic Scientist I/2 - DNA (PCN 124415)","State of Alaska",aebsd.org,"Education Management","$3,780 - $4,347 a month",,,Anchorage,AK,""
2/12/2022,"Professional Accounts Specialists (PAS)","O'Reilly Auto Parts",oreillyauto.com,Retail,,,"Northeast area",Anchorage,AK,"99504"
2/11/2022,"District Manager",Alsco,alsco.com,"Computer Software",,,"North Star area",Anchorage,AK,"99503"
2/11/2022,"Engagement and Belonging Coordinator, Multicultural Student...","University of Alaska",kodiak.alaska.edu,"Higher Education","From $26.08 an hour",,"University Area area",Anchorage,AK,"99508"
2/12/2022,"Natural Resource Technician 1/2 Flex (PCN 1334)","State of Alaska",aebsd.org,"Education Management","$18.23 - $20.54 an hour",,,Anchorage,AK,""
2/11/2022,"Executive and Tribal Services Coordinator","Southcentral Foundation",scfnuka.com,"Hospital & Health Care",,,"Airport Heights area",Anchorage,AK,"99508"
2/12/2022,"Armed Driver Guard","Loomis Armored US, LLC",loomis.com,Transportation/Trucking/Railroad,"$18 - $19 an hour",,"Taku-Campbell area",Anchorage,AK,"99518"
2/12/2022,"POLICE MESSENGER - Range 12 / APD","Municipality of Anchorage",muni.org,"Government Relations",,,,Anchorage,AK,""
2/12/2022,"Registered Nurse I - Family Birthing Services - Full Time -","Alaska Native Tribal Health Consortium",anthc.org,"Hospital & Health Care",,,,Anchorage,AK,""
2/11/2022,"Programmer Analyst","Anchorage School District",asdk12.org,"Primary/Secondary Education",,,,Anchorage,AK,""
2/11/2022,"Substance Abuse and Behavioral Health Counselor (4343)","State of Alaska",aebsd.org,"Education Management","$4,347 a month",,,Anchorage,AK,""
2/12/2022,"COVID Technician (PCN T035 & T036)","State of Alaska",aebsd.org,"Education Management","$26.78 an hour",,,Anchorage,AK,""
2/12/2022,"RN Charge CVSU","Alaska Regional Hospital",alaskaregional.com,"Hospital & Health Care",,,,Anchorage,AK,"99508"
2/12/2022,"Business Analytics & Intelligence Analyst 2 (PCN 5188)","State of Alaska",aebsd.org,"Education Management","$4,865 a month",,,Anchorage,AK,""
2/12/2022,"Occupational Licensing Examiner (PCN 087001)","State of Alaska",aebsd.org,"Education Management","$23.35 an hour",,,Anchorage,AK,""
2/11/2022,FT-Cashier-Day,Lowe's,lowes.com,Retail,,,,Anchorage,AK,""
2/12/2022,"Regulations Specialist 2 (PCN 089072)","State of Alaska",aebsd.org,"Education Management","$26.82 - $28.16 an hour",,,Anchorage,AK,""
2/12/2022,"Procurement Specialist 2/3 (PCN 2009)","State of Alaska",aebsd.org,"Education Management","$4,023 - $4,634 a month",,,Anchorage,AK,""
2/13/2022,"Seasonal Camp Leader","Focus Employer Solutions",,,,,,Anchorage,AK,""
2/13/2022,"Certified Teacher- The Pathway Home, Monday-Friday, 9am-6pm","Southcentral Foundation",scfnuka.com,"Hospital & Health Care",,,"Airport Heights area",Anchorage,AK,"99508"
2/11/2022,"Biometrician 1/2/3 (PCN 114203)","State of Alaska",aebsd.org,"Education Management","$4,307 - $5,304 a month",,,Anchorage,AK,""
2/12/2022,"Graduate Nurse - Family Birthing Services - Full Time","Alaska Native Tribal Health Consortium",anthc.org,"Hospital & Health Care",,,,Anchorage,AK,""
2/11/2022,"Patient Travel Coordinator I - Full Time - Medicaid Travel O...","Alaska Native Tribal Health Consortium",anthc.org,"Hospital & Health Care",,,,Anchorage,AK,""
2/12/2022,"Explosive Detection Canine Handler","MSA Security",msasecurity.net,"Security & Investigations",,,,Anchorage,AK,""
2/12/2022,"Clerk I, Accounting",GCI,gci.it,"Information Technology & Services",,,,Anchorage,AK,""
2/12/2022,"Client Services Representative","Alaska Veterinary Clinic",alaskaveterinaryclinic.com,Research,"From $15 an hour",,"Midtown area",Anchorage,AK,"99503"
2/11/2022,"Speech Language Pathologist","Imagine Learning",imaginelearning.com,E-Learning,,Remote,,"Remote in Anchorage",AK,""
2/12/2022,"Accounting Technician 2 (PCN 1079)","State of Alaska",aebsd.org,"Education Management","$24.52 an hour",Remote,,"Remote in Anchorage",AK,""
2/13/2022,"Office Assistant 2 (Recruitment PCN 069313)","State of Alaska",aebsd.org,"Education Management","$18.23 an hour",,,Anchorage,AK,""
2/13/2022,"Local Government Specialist 1, 2, 3 (Flex - PCN 216044)","State of Alaska",aebsd.org,"Education Management","$3,282 - $4,307 a month",,,Anchorage,AK,""
2/12/2022,"Parts Driver","Lithia Motors, Inc.",,,,,"Bayshore-Klatt area",Anchorage,AK,"99515"
2/12/2022,"Sales Trainee - Comm/Data",Graybar,graybar.com,Wholesale,,,,Anchorage,AK,"99507"
2/12/2022,"Recalibration Specialist","Speedy Glass USA",speedyglass.com,Automotive,,,"Bayshore-Klatt area",Anchorage,AK,"99515"
2/12/2022,"Laundry Attendant","Spring Hill Suites by Marriott Anchorage Midtown",,,,,"Midtown area",Anchorage,AK,"99503"
2/11/2022,"Law Office Assistant 1 (1244)","State of Alaska",aebsd.org,"Education Management","$19.40 an hour",,,Anchorage,AK,""
2/13/2022,"New Grad RN - Med-Surg","Alaska Regional Hospital",alaskaregional.com,"Hospital & Health Care",,,,Anchorage,AK,"99508"
2/12/2022,"Practice Support Specialist - Alaska Family Medicine Center",Providence,psjhealth.org,"Hospital & Health Care",,,,Anchorage,AK,"99508"
2/11/2022,"Ramp Service Agent - Air Freight","Alaska Airlines",alaskaair.com,Airlines/Aviation,"$15.75 an hour",,"Midtown area",Anchorage,AK,"99509"
2/13/2022,"Will Call Associate",Sysco,sysco.com,"Food & Beverages",,,,Anchorage,AK,"99507"
2/12/2022,"Armed Vault Custodian","Loomis Armored US, LLC",loomis.com,Transportation/Trucking/Railroad,"$18 - $19 an hour",,"Taku-Campbell area",Anchorage,AK,"99518"
2/13/2022,"Office Assistant 2 (TDM PCN 069131)","State of Alaska",aebsd.org,"Education Management","$18.23 an hour",,,Anchorage,AK,""
2/11/2022,"Consumer Lending Credit Analyst Officer","Alaska USA Federal Credit Union",alaskausa.org,"Financial Services",,,"Midtown area",Anchorage,AK,"99503"
2/12/2022,"Customer Service Representative, Full or Part Time","Holiday Stationstores",holidaystationstores.com,Retail,,,"Sand Lake area",Anchorage,AK,"99502"
2/11/2022,"NAC Records Clerk","Northern Air Cargo, LLC.",,,,,"Ted Stevens Anchorage International Airport area",Anchorage,AK,"99502"
2/11/2022,"Leader In Training",Buckle,buckleup.com,"Financial Services",,,"Downtown area",Anchorage,AK,"99501"
2/12/2022,"Sales Representative","Lithia Motors, Inc.",,,,,"Taku-Campbell area",Anchorage,AK,"99518"
2/11/2022,"Patient Observer- Full Time - Surgery 4 West - Closes 2/24/2...","Alaska Native Tribal Health Consortium",anthc.org,"Hospital & Health Care",,,,Anchorage,AK,""
2/11/2022,"Patient Housing Front Office Agent - Full Time - Patient Hou...","Alaska Native Tribal Health Consortium",anthc.org,"Hospital & Health Care",,,,Anchorage,AK,""
