DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-03-30,"Veterans Service Representative (VSR)","US Veterans Benefits Administration",,,"$38,503 - $67,425 a year",Remote,,"Hybrid remote in Anchorage",AK,""
2022-03-30,"Environmental Protection Specialist (Air)","US Environmental Protection Agency",epa.gov,"Government Administration","$66,214 - $126,742 a year",Remote,,"Temporarily Remote in Anchorage",AK,""
2022-03-29,"Engineering Technician, GS-0802-11 (DE/CR)","US National Oceanic and Atmospheric Administration",noaa.gov,"Government Administration","$74,317 - $96,607 a year",Remote,,"Temporarily Remote in Anchorage",AK,""
2022-03-29,"Football Athlete Evaluator (99508)","Area Scouts?",,,"$25 - $100 an hour",Remote,,"Remote in Anchorage",AK,""
2022-03-30,"Labor Relations Board Assistant (PCN 1031)","State of Alaska",aebsd.org,"Education Management","$4,017 a month",,,Anchorage,AK,""
2022-03-31,"Habitat Biologist 3 (PCN 116098)","State of Alaska",aebsd.org,"Education Management","$4,634 a month",,,Anchorage,AK,""
2022-03-30,"Business Administrative Specialist","US Department of Energy - Agency Wide",,,"$79,363 - $144,976 a year",Remote,,"Temporarily Remote in Anchorage",AK,""
2022-03-31,"Training Support Specialist","AK Child & Family",akchild.org,"Mental Health Care","$33.2K ? $42K a year",,"Mid-Hillside area",Anchorage,AK,"99507"
2022-03-30,"Engineering Technician (Drafting Coordinator )","US Federal Aviation Administration",faa.gov,"Aviation & Aerospace","$62,358 - $116,125 a year",,"Downtown area",Anchorage,AK,"99513"
2022-03-31,"Motor Vehicle Office Manager 2 (Communications Team, PCN 533...","State of Alaska",aebsd.org,"Education Management","$4,704 - $4,939 a month",Remote,,"Hybrid remote in Anchorage",AK,""
2022-03-31,"Environmental Program Specialist 4 (PCN 187234)","State of Alaska",aebsd.org,"Education Management","$5,304 - $5,570 a month",,,Anchorage,AK,""
2022-03-31,"Accounts Receivable Coordinator","Convergint Technologies",,,"$37.1K ? $46.9K a year",,"Midtown area",Anchorage,AK,"99503"
2022-03-30,"Administrative Assistant",Stantec,tdg.co.nz,"Civil Engineering",,,"North Star area",Anchorage,AK,"99503"
2022-03-31,"Security Escort","CenCore LLC",cencorellc.us,,"$37.2K ? $47.2K a year",,,Anchorage,AK,"99501"
2022-03-31,"Career & Tech Education Teacher (Culinary Arts, ProStart)","Anchorage School District",asdk12.org,"Primary/Secondary Education","$44.9K ? $56.9K a year",,,Anchorage,AK,""
2022-03-31,"Planner / Urban Designer - (ANC)","RESPEC Inc",respec.com,"Management Consulting","$48.5K ? $61.3K a year",,"Midtown area",Anchorage,AK,"99503"
2022-03-31,"HR Assistant","Denali Universal Services",denaliuniversal.com,"Facilities Services","$32.1K ? $40.7K a year",Remote,,"Hybrid remote in Anchorage",AK,"99515"
2022-03-30,"Biological Science Technician (Fish)","U.S. Fish and Wildlife Service",fws.gov,"Government Administration","$19.42 - $25.25 an hour",Remote,,"Temporarily Remote in Anchorage",AK,""
2022-03-31,"Language Arts Teacher","Anchorage School District",asdk12.org,"Primary/Secondary Education","$45.5K ? $57.7K a year",,,Anchorage,AK,""
