DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-03-31,"Records/Imaging Analyst I, II","Alaska USA Federal Credit Union",alaskausa.org,"Financial Services",,,"Midtown area",Anchorage,AK,"99503"
2022-03-31,"Training Support Specialist II","AK Child & Family",akchild.org,"Mental Health Care","$45K ? $57K a year",,"Mid-Hillside area",Anchorage,AK,"99507"
2022-03-31,"Communications Specialist II","Doyon, Limited",,,"$45.5K ? $57.5K a year",,,Anchorage,AK,""
2022-03-31,"Program Administrator - Full Time - Behavioral Health - Clos...","Alaska Native Tribal Health Consortium",anthc.org,"Hospital & Health Care","$48K ? $60.8K a year",,,Anchorage,AK,""
2022-03-30,"Administrative Assistant",PepsiCo,pepsico.com,"Food & Beverages",,,,Anchorage,AK,""
2022-03-30,"ACCOUNTS RECEIVABLE ACCOUNTANT","Chugach Government Solutions",,,,,,Anchorage,AK,""
2022-03-31,"Administrative Assistant I","Chenega Corporation",chenega.com,"Information Technology & Services",,,"Midtown area",Anchorage,AK,"99503"
2022-03-30,"Program Coordinator 2 (PCN 121056)","State of Alaska",aebsd.org,"Education Management","$5,774 a month",,"Campbell Park area",Anchorage,AK,"99507"
2022-03-29,"Professional Development Specialist - Anchorage, Alaska","Curriculum Associates",curriculumassociates.com,Publishing,"$48.5K ? $61.3K a year",,,Anchorage,AK,"99501"
2022-03-31,"PH Policy & Program Manager I ? MTW & Policy Strategy (Ancho...","ALASKA HOUSING FINANCE CORPORATION",ahfc.us,"Government Administration","$67,737 a year",,,Anchorage,AK,""
2022-03-31,"Asset Technician/Assistant Property Manager (Anchorage) Job...","ALASKA HOUSING FINANCE CORPORATION",ahfc.us,"Government Administration","$44,737 a year",,,Anchorage,AK,""
2022-03-31,"Director, Charter Schools","Anchorage School District",asdk12.org,"Primary/Secondary Education","$124,000 - $128,000 a year",,,Anchorage,AK,""
2022-03-31,"Escrow Officer","Stewart Title Guaranty Company",stewart.com,Insurance,"$50.7K ? $64.3K a year",,"Midtown area",Anchorage,AK,"99503"
2022-03-31,"Director Federal Programs","Anchorage School District",asdk12.org,"Primary/Secondary Education","$124,000 - $130,000 a year",,,Anchorage,AK,""
2022-03-31,"Clinic Manager","Community Medical Services",cmsgiveshope.com,,"$42.7K ? $54.1K a year",,"Airport Heights area",Anchorage,AK,"99508"
2022-03-30,"Data Warehouse Developer I","Alaska USA Federal Credit Union",alaskausa.org,"Financial Services",,,"Midtown area",Anchorage,AK,"99503"
2022-03-29,"Facilities Management Technician (AHFC 7085)","State of Alaska",aebsd.org,"Education Management","$3,441 a month",,,Anchorage,AK,""
