DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-05-16,"Work From Home Customer Service - Luxury Handbag Retailer","The Virtual Call Center, Inc",,,"$12 an hour",Remote,,"Remote in Anchorage",AK,"99502"
2022-05-15,"Work From Home Customer Service - Roadside Assistance","The Virtual Call Center, Inc",,,"$12 an hour",Remote,,"Remote in Anchorage",AK,""
2022-05-16,"Work From Home Customer Service - Interactive Fitness Retail...","The Virtual Call Center, Inc",,,"$12 an hour",Remote,,"Remote in Anchorage",AK,"99503"
2022-05-13,"Medical data entry/specimen processing",Labcorp,labcorp.com,"Hospital & Health Care",,,"University Area area",Anchorage,AK,"99508"
2022-05-15,"Social Worker - Suicide Prevention/Substance Use Disorder","US Veterans Health Administration",va.gov,"Government Administration","$61,424 - $96,607 a year",,,Anchorage,AK,""
2022-05-14,"Elementary School Teacher","Anchorage School District",asdk12.org,"Primary/Secondary Education","$47.3K - $59.9K a year",,,Anchorage,AK,""
2022-05-13,"Machine Packaging Operator","Carlisle Companies",carlisle.com,Construction,"$20.50 an hour",,"Government Hill area",Anchorage,AK,"99501"
2022-05-15,"Mortgage Loan Review Specialist I","Alaska USA Federal Credit Union",alaskausa.org,"Financial Services",,,"Midtown area",Anchorage,AK,"99503"
2022-05-13,"Building Maintenance","PepsiCo Beverages North America",,,"$24.95 - $26.95 an hour",,"Bayshore-Klatt area",Anchorage,AK,"99515"
2022-05-13,"Admissions Counselor","University of Alaska",kodiak.alaska.edu,"Higher Education","From $23.84 an hour",,"University Area area",Anchorage,AK,"99508"
2022-05-15,"Barista Breakfast Attendant","Courtyard by Marriott Anchorage Airport",,,"$14 an hour",,"Spenard area",Anchorage,AK,"99517"
2022-05-14,"Retail Sales Associates Full Time or Part Time","Castle Megastore",castlemegastore.com,Retail,"$17 an hour",,"Mountain View area",Anchorage,AK,"99501"
2022-05-14,RECEPTIONIST,"OrthoAlaska LLC",orthoak.net,,,,"University Area area",Anchorage,AK,"99508"
2022-05-13,"Guest Services Representative/Receptionist (Anchorage)","Imaging Associates",imagingassociates.net.au,"Hospital & Health Care",,,"Airport Heights area",Anchorage,AK,"99508"
2022-05-13,"Teacher K-12","Anchorage School District",asdk12.org,"Primary/Secondary Education","$43K - $54.4K a year",,,Anchorage,AK,""
2022-05-14,"Aircraft Pilot 1 (PCN 123176)","State of Alaska",aebsd.org,"Education Management","$40.77 an hour",,,Anchorage,AK,""
2022-05-13,"Disability Adjudicator Associate 1/2 Flex (PCN 5765M)","State of Alaska",aebsd.org,"Education Management","$21.88 - $26.82 an hour",,,Anchorage,AK,""
2022-05-13,"Medicaid Program Specialist 3 (PCN 0246)","State of Alaska",aebsd.org,"Education Management","$5,304 a month",,"Russian Jack Park area",Anchorage,AK,"99508"
2022-05-13,"Procurement and Projects Assistant","Brice Builders, LLC",,,"$34.2K - $43.4K a year",,,Anchorage,AK,""
2022-05-13,"Nuuciq Spirit Camp Anchorage Point of Contact","Chugach Heritage Foundation",,,"$27.6K - $35K a year",,"Midtown area",Anchorage,AK,"99503"
2022-05-13,"Paraprofessional Educator Special Education Resource Seconda...","Anchorage School District",asdk12.org,"Primary/Secondary Education","$15.50 - $16.32 an hour",,,Anchorage,AK,""
2022-05-13,"Machine Packaging Operator","Carlisle Construction Materials (CCM)",,,"$20.50 an hour",,,Anchorage,AK,"99501"
2022-05-14,"Hotel Room Attendant Full or Part Time","Courtyard by Marriott Anchorage Airport",,,"$15 an hour",,"Spenard area",Anchorage,AK,"99517"
2022-05-15,"Administrative Assistant 3 (PCN 1200)","State of Alaska",aebsd.org,"Education Management","$24.96 an hour",Remote,,"Hybrid remote in Anchorage",AK,""
2022-05-14,"Dental Assistant","Anchorage Neighborhood Health Center",anhc.org,"Medical Practice","$20.15 an hour",,,Anchorage,AK,""
2022-05-14,"Receptionist - Northwest District","Kiewit Corporation",kwmjv.com,,,,"Fairview area",Anchorage,AK,"99501"
2022-05-13,"Delivery Driver - Full-Time 107","NAPA Auto Parts",douglasnapa.com,,,,"Mountain View area",Anchorage,AK,"99501"
2022-05-15,"Cargo Handler","Lynden Incorporated",lynden.com,Transportation/Trucking/Railroad,"$32K - $40.6K a year",,"Ted Stevens Anchorage International Airport area",Anchorage,AK,"99502"
2022-05-13,"EXECUTIVE ASSISTANT","OrthoAlaska LLC",orthoak.net,,"$45.5K - $57.5K a year",,"University Area area",Anchorage,AK,"99508"
2022-05-13,"Security Officer - Anchorage Courts","Allied Universal®",,,,,"Airport Heights area",Anchorage,AK,"99508"
2022-05-14,"Legal Assistant - Litigation Support Specialist","Career Training Concepts, Inc.",,,"$22.33 an hour",,"Downtown area",Anchorage,AK,"99513"
