DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
1970-01-01,18-04-2022,"Land Law Examiner (Lands and Realty)",,,,"$50,216 - $96,607 a year",,,Anchorage,AK
1970-01-01,15-04-2022,"Staff Assistant",,,,"$79,363 - $126,742 a year",Remote,,"Hybrid remote in Anchorage",AK
1970-01-01,15-04-2022,"Management and Program Analyst",,,,"$111,521 - $176,300 a year",Remote,,"Hybrid remote in Anchorage",AK
1970-01-01,16-04-2022,"Admin Specialist",,,,,Remote,,"Remote in Anchorage",AK
1970-01-01,17-04-2022,Genius,poweredbygenius.com,null,,,,"Downtown area",Anchorage,AK
1970-01-01,17-04-2022,"Specialist: Full-Time, Part-Time, and Part-Time Temporary",,,,,,"Downtown area",Anchorage,AK
1970-01-01,15-04-2022,"Patient Care Tech - Renal Care Unit",,,,,,,Anchorage,AK
1970-01-01,16-04-2022,"Admin Specialist",,,,,Remote,,"Remote in Anchorage",AK
1970-01-01,15-04-2022,"ADMINISTRATOR (ENGAGEMENT & OUTREACH)",,,,"$138,786 - $187,300 a year",,,Anchorage,AK
1970-01-01,15-04-2022,"Receiving/Warehouse Team (Temporary - Six months)",,,,"From $21 an hour",,"Midtown area",Anchorage,AK
1970-01-01,17-04-2022,"Technical Specialist",,,,,,"Downtown area",Anchorage,AK
1970-01-01,18-04-2022,"SOCIAL SCIENCE ANALYST",,,,"$66,214 - $150,703 a year",,,Anchorage,AK
1970-01-01,18-04-2022,"Laborer Grounds Maintenance & Driver - $20-$25/hr",,,,"$20 - $25 an hour",,,Anchorage,AK
1970-01-01,16-04-2022,"Project Scheduler",,,,,,,Anchorage,AK
1970-01-01,15-04-2022,"Branch Office Administrator - Anchorage, AK",,,,,,,Anchorage,AK
1970-01-01,15-04-2022,"Warehouse Worker",warehouseworkers.org,,,"$28.4K – $36K a year",,"Taku-Campbell area",Anchorage,AK
1970-01-01,15-04-2022,"Delivery Prep & Assembly Associate",,,,"$27.8K – $35.2K a year",,"Midtown area",Anchorage,AK
1970-01-01,18-04-2022,"Parent Partner",,,,"$15 an hour",,"Mid-Hillside area",Anchorage,AK
1970-01-01,15-04-2022,"Office Support",,,,"$27.9K – $35.3K a year",,"Government Hill area",Anchorage,AK
1970-01-01,15-04-2022,"Security Monitor BOP",,,,"$19.50 an hour",,,Anchorage,AK
1970-01-01,16-04-2022,"Election Clerk II (Data Entry Clerk)",,,,"$16.20 an hour",,,Anchorage,AK
