DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-10-23,"Community Organizer, up to $1560/Wk + Benefits, Election Wor...","Working America",workingamerica.org,"Nonprofit Organization Management","$25 - $27 an hour",,"Central City area)",Phoenix,AZ,"85034"
2022-10-25,PCT,"Phoenix Children's Hospital",phoenixchildrens.com,"Hospital & Health Care",,,,Phoenix,AZ,""
2022-10-23,"Amazon Warehouse Worker","Amazon Warehouse",,,"$16.35 an hour",,"Estrella area)",Phoenix,AZ,"85043"
2022-10-23,"Amazon Warehouse Worker","Amazon Warehouse",,,"$16.85 an hour",,"Estrella area)",Phoenix,AZ,"85043"
2022-10-25,"Retail Sales Associate",Verizon,verizon.co.in,,,,"Paradise Valley area)",Phoenix,AZ,"85028"
2022-10-25,"Amazon Warehouse Worker","Amazon Warehouse",,,"$15.50 an hour",,"Deer Valley area)",Phoenix,AZ,"85027"
2022-10-25,"Retail Sales Associate Part Time","Castle Megastore",castlemegastore.com,Retail,"$16 - $17 an hour",,"North Mountain area)",Phoenix,AZ,"85051"
2022-10-25,"Account Representative",U-Haul,uhaul.com,Retail,,,"Encanto area)",Phoenix,AZ,"85004"
2022-10-25,"Pharmacy Technician, Fulfillment - Amazon Pharmacy","PillPack, LLC",pillpack.com,"Hospital & Health Care",,,,Phoenix,AZ,""
2022-10-25,"Pharmacy Technician, Fulfillment - Amazon Pharmacy","PillPack, LLC",pillpack.com,"Hospital & Health Care",,,,Phoenix,AZ,""
2022-10-25,"Retail Sales Associate",Verizon,verizon.co.in,,,,"Camelback East area)",Phoenix,AZ,"85016"
2022-10-25,"Desk Operations Specialist - Radiology - Phoenix","Mayo Clinic",mayoclinic.org,"Hospital & Health Care","$18.53 - $25.59 an hour",,"Desert View area)",Phoenix,AZ,"85054"
2022-10-25,"Spanish Inbound Customer Service - PM Shift (Remote)",Discover,atlashp.com,"Hospital & Health Care","$17 an hour",Remote,,"Remote in Phoenix",AZ,"85004"
