DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
17-02-2022,"Quality Assurance/Admin - Phoenix","WTI, Inc.",wtiinc.com,"Food Production",,,"South Mountain area",Phoenix,AZ,"85040"
16-02-2022,"Training and Development Specialist","FM Industries",fmindustries.com,Semiconductors,,,"Central City area",Phoenix,AZ,"85034"
17-02-2022,"Entry level AML Analyst","AML RightSource",,,"$40,000 - $42,000 a year",,"Central City area",Phoenix,AZ,"85004"
17-02-2022,"Administrative Assistant I (Child and Family Protection Divi...","Arizona Attorney General's Office Child and Family...",,,"$23,191 - $32,000 a year",,"North Mountain area",Phoenix,AZ,"85029"
17-02-2022,"Real Estate Photographer (Phoenix)","Rocket Lister",rocketlister.com,"Real Estate","$16 - $18 an hour",,,Phoenix,AZ,""
16-02-2022,"IT Support Specialist","Dogtopia Enterprises LLC",dogtopia.com,"Consumer Services",,Remote,,"Hybrid remote in Phoenix",AZ,""
17-02-2022,"Sourcing Specialist","Delta-T Grp.",,,,,,Phoenix,AZ,""
17-02-2022,"Remote Terminal Customer Service Representative","Forward Air",forwardaircorp.com,Transportation/Trucking/Railroad,,Remote,,"Remote in Phoenix",AZ,""
15-02-2022,"Automotive Parts Specialist at Auto Repair Shop - No Weekend...","3A Automotive & Diesel Repair",,,"$40,000 - $50,000 a year",,"North Mountain area",Phoenix,AZ,"85021"
17-02-2022,"Solar Sales Consultant","Tycho Energy",uchicago.edu,"Higher Education","$100,000 - $125,000 a year",,,Phoenix,AZ,""
17-02-2022,"General Manager in Training (NEW Phoenix location!)",eegee's,eegees.com,Restaurants,,,,Phoenix,AZ,""
16-02-2022,"Quality Control Inspector","Reynaers Inc",,,"$18 - $24 an hour",,"Deer Valley area",Phoenix,AZ,"85027"
16-02-2022,"Call Center Customer Service Representative","Radiator Depot",,,"From $17 an hour",,"Estrella area",Phoenix,AZ,"85043"
17-02-2022,"Engagement Editor",Gannett,mplsoffset.com,Printing,,,"Central City area",Phoenix,AZ,"85004"
17-02-2022,Recruiter,"PRO EM National Event Services, LLC",proem.org,"Events Services",,,,Phoenix,AZ,""
16-02-2022,"Vocational Instructor - Computer Skills","Beacon Group",nybeacongroup.com,"Human Resources","$22 an hour",,"Alhambra area",Phoenix,AZ,"85015"
17-02-2022,"Data Entry Clerk",Moveras,moveras.com,Automotive,"$14 - $17 an hour",,"Maryvale area",Phoenix,AZ,"85031"
17-02-2022,"Compensation Administrator","LESLIES POOLMART INC",,,"$46,125 - $54,384 a year",,"Camelback East area",Phoenix,AZ,"85016"
17-02-2022,"Customer Service Agent (Phoenix Airport)","Sixt Rent A Car",sixt.com,"Leisure, Travel & Tourism","From $17.50 an hour",,"Central City area",Phoenix,AZ,"85034"
14-02-2022,"Account Representative - State Farm Agent Team Member","Trey Clarkson - State Farm Agency Intern",,,"$31,000 - $65,000 a year",,"Desert View area",Phoenix,AZ,"85054"
17-02-2022,"Customer Service Representative","Cash 1",cash1loans.com,"Financial Services","From $15 an hour",,"Paradise Valley area",Phoenix,AZ,"85032"
