DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
24-02-2022,"Diversity Communications Supervisor","Maricopa County, AZ",maricopa.gov,"Government Administration","$62,504 - $95,472 a year",,"Central City area",Phoenix,AZ,"85003"
24-02-2022,"Program Coordinator, Washington D.C.","Arizona State University",asu.edu,"Higher Education","$50,000 - $60,000 a year",,"Central City area",Phoenix,AZ,"85004"
23-02-2022,"Splunk> Customer Success Manager (Remote)",Splunk,splunk.com,"Computer Software","$83,333 a year",Remote,,"Remote in Phoenix",AZ,""
24-02-2022,"Specialist, Operations Policy and Procedure",Upgrade,upgrade.com,"Marketing & Advertising","$60,000 - $70,000 a year",,"Central City area",Phoenix,AZ,"85004"
23-02-2022,"Program Coordinator","Arizona State University",asu.edu,"Higher Education",,,"Central City area",Phoenix,AZ,"85004"
22-02-2022,"Supervisor Flight Attendants PHX","Southwest Airlines",southwest.com,Airlines/Aviation,,,"Central City area",Phoenix,AZ,"85034"
24-02-2022,"Director, Customer Service (Call Center in Phoenix, AZ)",Upgrade,upgrade.com,"Marketing & Advertising","From $130,000 a year",,"Central City area",Phoenix,AZ,"85004"
24-02-2022,"Special Projects Advisor","State of Arizona",az.gov,"Government Administration","$64,000 - $71,000 a year",,"Central City area",Phoenix,AZ,"85007"
23-02-2022,"Reference & Instruction Librarian","Grand Canyon University",gcu.edu,"Higher Education",,,"Alhambra area",Phoenix,AZ,"85017"
24-02-2022,"Administrative Assistant","Lewis Roca",lewisroca.com,"Law Practice",,Remote,,"Hybrid remote in Phoenix",AZ,""
23-02-2022,"Supervisor Flight Attendants PHX","Southwest Airlines Co.",sammcelroy.co.uk,,,,"Phoenix Sky Harbor International Airport area",Phoenix,AZ,"85034"
24-02-2022,"Executive Administrator",Intel,intel.in,"Information Technology & Services",,,"Camelback East area",Phoenix,AZ,"85018"
