DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-04-26,"Customer Service Specialist","Public Storage",publicstorage.com,"Real Estate",,Remote,,"Remote in Phoenix",AZ,"85003"
2022-04-26,"Content Safety Moderation Specialist - Phoenix, AZ",TikTok,tiktok.com,Internet,"$39.6K - $50.2K a year",,,Phoenix,AZ,""
2022-04-26,"Storage Marketing Strategist - 672023",U-Haul,uhaul.com,Retail,,,"Encanto area",Phoenix,AZ,"85004"
2022-04-26,"Social Media Specialist","Driggs Title Agency",driggstitle.com,"Real Estate","$39.1K - $49.5K a year",,"North Mountain area",Phoenix,AZ,"85029"
2022-04-26,"Training Design and Delivery Specialist","Maricopa County, AZ",maricopa.gov,"Government Administration","$50,024 - $74,776 a year",,"Central City area",Phoenix,AZ,"85003"
2022-04-26,"✨Full Time House Cleaner (Paid Weekly)","Dirt Busters House Cleaning",bookdirtbusters.com,"Consumer Services","$23 - $28 an hour",,,Phoenix,AZ,""
2022-04-26,"Claims Service Representative (Full Time)",U-Haul,uhaul.com,Retail,,,"Encanto area",Phoenix,AZ,""
2022-04-26,"District Manager","Public Storage",publicstorage.com,"Real Estate","$117,000 a year",,,Phoenix,AZ,""
2022-04-26,"HR Program Coordinator",U-Haul,uhaul.com,Retail,,,"Encanto area",Phoenix,AZ,"85004"
2022-04-26,"Claims Adjuster I - Temporary",U-Haul,uhaul.com,Retail,,,"Encanto area",Phoenix,AZ,"85004"
2022-04-26,"Marketing Receptionist",U-Haul,uhaul.com,Retail,,,"Encanto area",Phoenix,AZ,"85004"
2022-04-26,"Remote Call Center Customer Experience Association","Cox Communications Inc",coxenterprises.com,Telecommunications,,Remote,,"Remote in Phoenix",AZ,"85027"
2022-04-26,"Case Advocate (Bilingual-Spanish)","US Internal Revenue Service",irs.gov,"Government Administration","$37,561 - $60,480 a year",,,Phoenix,AZ,""
2022-04-26,"Customer Service Agent","Southwest Airlines",southwest.com,Airlines/Aviation,"$17.54 an hour",,"Central City area",Phoenix,AZ,"85034"
2022-04-26,"Customer Service Agent","Southwest Airlines Co.",sammcelroy.co.uk,,"$17.54 an hour",,"Phoenix Sky Harbor International Airport area",Phoenix,AZ,"85034"
2022-04-26,"Account Representative",U-Haul,uhaul.com,Retail,,,"Encanto area",Phoenix,AZ,"85004"
2022-04-26,"Staff Assistant",U-Haul,uhaul.com,Retail,,,"Encanto area",Phoenix,AZ,""
2022-04-26,"Bank Services Support Clerk",U-Haul,uhaul.com,Retail,,,"Encanto area",Phoenix,AZ,"85004"
2022-04-26,"Keeper I- Elephants","Phoenix Zoo",,,"$28.1K - $35.5K a year",,"Camelback East area",Phoenix,AZ,"85008"
2022-04-26,"Business Analyst",U-Haul,uhaul.com,Retail,,,"Encanto area",Phoenix,AZ,"85004"
2022-04-26,"Customer Support Specialist",U-Haul,uhaul.com,Retail,,,"Encanto area",Phoenix,AZ,"85004"
2022-04-26,"Administrative Assistant",Schneider,schneider.com,Transportation/Trucking/Railroad,,,,Phoenix,AZ,""
2022-04-26,"Sales Recruiter - Opportunity for Working Remotely Phoenix,...",VMware,thebrunswicknews.com,Newspapers,,Remote,,"Remote in Phoenix",AZ,""
2022-04-26,"Customer Service Representative","Rapid Repair - AZ",penskerapidrepair.com,Automotive,,,"Desert View area",Phoenix,AZ,"85054"
2022-04-26,"Join our Tesla Courier Fleet-Tesla Provided","Driggs Title Agency",driggstitle.com,"Real Estate","$28.5K - $36.1K a year",,"North Mountain area",Phoenix,AZ,"85029"
2022-04-26,"U-Box, One Way Coordinator - Entry Level",U-Haul,uhaul.com,Retail,,,"Encanto area",Phoenix,AZ,"85004"
2022-04-26,"E-Discovery Project - Attorney","Dauntless Discovery",dauntlessdiscovery.com,"Legal Services","$30 an hour",Remote,,"Remote in Phoenix",AZ,"85001"
2022-04-26,"Operations Clerk","Republic Services Inc",republicserivces.com,,,,,Phoenix,AZ,""
2022-04-26,"Contract Recruiter - Opportunity for Working Remotely Phoeni...",VMware,thebrunswicknews.com,Newspapers,,Remote,,"Remote in Phoenix",AZ,""
2022-04-26,"Shipping/Receiving Specialist - Level 2","ADI Global Distribution",,,,,"South Mountain area",Phoenix,AZ,"85042"
2022-04-26,"Account Representative",U-Haul,uhaul.com,Retail,,,"Encanto area",Phoenix,AZ,"85004"
2022-04-24,"Accounting Clerk (2022-3949)","Atrium CWS",atriumworks.com,"Human Resources","$32.8K - $41.6K a year",Remote,,"Remote in Phoenix",AZ,"85040"
2022-04-26,"SaaS Project Manager",BlueOptima,blueoptima.com,"Computer Software","$92,000 - $102,000 a year",,"Central City area",Phoenix,AZ,"85004"
2022-04-26,"Sales Development Representative - Phoenix Tech Scale-Up",BlueOptima,blueoptima.com,"Computer Software","$40,000 - $45,000 a year",,"Central City area",Phoenix,AZ,"85004"
