DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-11-12,"Mailroom Clerk","Dillard's, Inc.",,,,,"Riverdale area)","Little Rock",AR,"72201"
2022-11-11,"Team Member (Full & Part Time Storewide Opportunities)","Whole Foods Market",wholefoodsmarket.com,Supermarkets,,,"Walnut Valley area)","Little Rock",AR,"72211"
2022-11-11,"Patient Access Representative I","Arkansas Children's Hospital",archildrens.org,"Hospital & Health Care","estimated $38.8k - $49.1k a year",,,"Little Rock",AR,""
2022-11-12,"Sales Teammate, Seasonal Part-Time, Starting Pay $15 per Hou...","Under Armour",underarmour.com,"Sporting Goods","$15 an hour",,,"Little Rock",AR,"72209"
2022-11-11,"Stock Teammate, Part-time 5am Shift, Starting Pay $15 per Ho...","Under Armour",underarmour.com,"Sporting Goods","$15 an hour",,,"Little Rock",AR,"72209"
2022-11-12,"Forklift Operator, Let Down",Sysco,sysco.com,"Food & Beverages","stock teammate, seasonal part-time shift, starting pay $15 p...",,,"Little Rock",AR,"72209"
2022-11-12,"Stock Teammate, Seasonal Part-time Shift, Starting Pay $15 p...","Under Armour",underarmour.com,"Sporting Goods","$15 an hour",,,"Little Rock",AR,"72209"
2022-11-12,"Account Representative",Ryerson,ryerson.com,"Mining & Metals","estimated $50.1k - $63.5k a year",,,"Little Rock",AR,"72206"
2022-11-12,"Surgery Scheduler Coordinator","CHI St Vincent Health",,,"estimated $37.2k - $47.2k a year",,"Medical Center area)","Little Rock",AR,"72205"
2022-11-11,"Private Investigator","Allied Universal® Compliance and Investigations",,,"$18 an hour",,,"Little Rock",AR,"72223"
2022-11-14,"CL A Dedicated Home Tues & Weds-No Touch-Riders & Pets Allow...","Blackbird Transport",,,"$1,300 - $1,750 a week",,,"Little Rock",AR,"72002"
2022-11-12,"Patient Account Rep","CHI St Vincent Health",,,"estimated $29.3k - $37.1k a year",,"Medical Center area)","Little Rock",AR,"72205"
2022-11-14,"Environmental Svc Attnd",Sodexo,sodexo.com,"Facilities Services",,,"Briarwood area)","Little Rock",AR,"72205"
