DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-03-02,"Motor Carrier Safety Specialist (Safety Investigator) (Open...","US Federal Motor Carrier Safety Administration",,,"$44,740 - $79,093 a year",,,"Little Rock",AR,""
2022-03-02,"AIRLINE PASSENGER ASSIST","ABM Industries",marriott.com,"Computer Software",,,,"Little Rock",AR,""
2022-03-03,"Truancy Case Coordinator","City of Little Rock, AR",littlerock.gov,"Government Administration","$34,972 - $53,857 a year",,,"Little Rock",AR,""
2022-03-02,"General Interest",Apptegy,apptegy.com,"Education Management",,,,"Little Rock",AR,""
2022-03-03,"Chart Scanning Technician-HIM (FTD)","Arkansas Heart Hospital",arheart.com,"Hospital & Health Care",,,"Rock Creek area","Little Rock",AR,"72211"
2022-03-02,"Security Coordinator","Dassault Falcon Jet",falconjet.com,"Aviation & Aerospace",,,"Bill and Hillary Clinton National Airport area","Little Rock",AR,"72202"
2022-03-03,"Armed Security Officer","Stephens Inc.",stephens.com,"Financial Services",,,"Downtown CBD area","Little Rock",AR,"72201"
2022-03-02,"Professional Development Specialist (AR)","Imagine Learning",imaginelearning.com,E-Learning,,Remote,,"Hybrid remote in Little Rock",AR,""
2022-03-01,"PCP Residency Program - May 2022 Classes","Arkansas Heart Hospital",arheart.com,"Hospital & Health Care",,,"Rock Creek area","Little Rock",AR,"72211"
2022-03-03,"Project/Program Specialist","University of Arkansas at Little Rock",ualr.edu,"Higher Education",,,"Oak Forest area","Little Rock",AR,"72204"
2022-03-02,"AIRLINE PASSENGER ASSIST","ABM Industries",marriott.com,"Computer Software",,,,"Little Rock",AR,""
2022-03-03,"Armed Security Office - Alotian Golf Club","Stephens Inc.",stephens.com,"Financial Services",,,"Downtown CBD area","Little Rock",AR,"72201"
2022-03-03,"Maintenance Assistant","University of Arkansas at Little Rock",ualr.edu,"Higher Education",,,"Oak Forest area","Little Rock",AR,"72204"
2022-03-02,"Assistant, Procurement","Winrock International",winrock.org,,,Remote,,"Remote in Little Rock",AR,""
2022-03-03,"First Year Student Job Program Participant","Banfield Pet Hospital",banfield.com,Veterinary,,,"Walnut Valley area","Little Rock",AR,"72211"
2022-03-03,"OFFICE REP","Baptist Health Arkansas",,,,,"John Barrow area","Little Rock",AR,"72205"
2022-03-02,"Dispatcher Full Time","Fort Worth Carrier Corporation",fwcarrier.com,Transportation/Trucking/Railroad,"$25 an hour",,,"Little Rock",AR,""
2022-03-02,"DWS Admin Tester Little Rock","UNITED PARCEL SERVICE",ups.com,"Logistics & Supply Chain",,,,"Little Rock",AR,"72206"
2022-03-02,"Mortgage Servicing Customer Care Representative","Arvest Bank",arvest.com,Banking,,,"John Barrow area","Little Rock",AR,"72205"
2022-03-03,"PATIENT REP I / ADMISSIONS LR","Baptist Health Arkansas",,,,,"John Barrow area","Little Rock",AR,"72205"
2022-03-03,"Wire Transfer Specialist I","Bank OZK",bankozarks.com,Banking,,,,"Little Rock",AR,""
2022-03-02,"Lead Maintenance Technician","Wehner Multifamily",wehnermultifamily.com,"Real Estate",,,"Otter Creek Crystal area","Little Rock",AR,"72210"
2022-03-02,"TRANSPORT I","Baptist Health Arkansas",,,,,"John Barrow area","Little Rock",AR,"72205"
2022-03-03,"MENTAL HEALTH TECHNICIAN","Baptist Health Arkansas",,,,,"John Barrow area","Little Rock",AR,"72205"
2022-03-03,Buyer,"University of Arkansas at Little Rock",ualr.edu,"Higher Education",,,"Oak Forest area","Little Rock",AR,"72204"
2022-03-02,"Process Coordinator - Little Rock, AR (Chenal)","Splash Car Wash, Detail & Oil Change",,,"$50,000 - $70,000 a year",,"Rock Creek area","Little Rock",AR,"72211"
2022-03-02,"Writer and Research Analyst",Apptegy,apptegy.com,"Education Management",,,,"Little Rock",AR,""
2022-03-03,"Vehicle Purchasing Agent","Pick N Pull Auto Dismantlers",,,"$15.50 an hour",,"65th St. West area","Little Rock",AR,"72209"
2022-03-02,"Donor Center Technician","Biomat USA, Inc.",grifolsplasma.com,Pharmaceuticals,,,"Briarwood area","Little Rock",AR,"72205"
2022-03-03,"Credit Analyst",Ryerson,ryerson.com,"Mining & Metals",,Remote,,"Remote in Little Rock",AR,""
2022-03-02,"Warehouse Cleaner","ABM Industries",marriott.com,"Computer Software",,,,"Little Rock",AR,"72206"
2022-03-03,"ATTENDANT, VALET (FULL-TIME)","Compass Group Careers",,,,,"Briarwood area","Little Rock",AR,"72205"
2022-03-02,"Client Implementation Representative",Apptegy,apptegy.com,"Education Management",,,,"Little Rock",AR,""
2022-03-03,"Family Intervention Specialist","Youth Villages",youthvillages.org,"Nonprofit Organization Management","$41,000 - $48,000 a year",,,"Little Rock",AR,"72201"
2022-03-03,"Rehab Therapy Aide","UAMS Medical Center",uamshealth.com,"Hospital & Health Care",,,"Capitol View-Stifft Station area","Little Rock",AR,"72205"
2022-03-02,"Coin Processor","Loomis Armored US, LLC",loomis.com,Transportation/Trucking/Railroad,"$15 an hour",,"Downtown Neighborhood area","Little Rock",AR,"72202"
2022-03-03,"FINANCIAL COUNSELOR I / LR","Baptist Health Arkansas",,,,,"John Barrow area","Little Rock",AR,"72205"
2022-03-03,"Unarmed Security Officer - Stephens Building","Stephens Inc.",stephens.com,"Financial Services",,,"Downtown CBD area","Little Rock",AR,"72201"
2022-03-02,"Federal Programs Specialist (temp position for the remainder...","Pulaski County Special School District",pcssd.org,"Primary/Secondary Education","$14.01 an hour",,,"Little Rock",AR,"72206"
2022-03-02,"PATIENT CARE TECH","Baptist Health Arkansas",,,,,"John Barrow area","Little Rock",AR,"72205"
2022-03-03,"Animal Husbandry Technician","UAMS Medical Center",uamshealth.com,"Hospital & Health Care",,,"Medical Center area","Little Rock",AR,"72205"
2022-03-02,"HR Manager Tenn/Ark","Old Navy",gap.com,Retail,,,"Otter Creek Crystal area","Little Rock",AR,"72210"
2022-03-03,"Mobile Event Expert",T-Mobile,interseguro.pe,Insurance,,,"John Barrow area","Little Rock",AR,"72205"
2022-03-03,"Mental Health Technician","CHI St. Vincent Health",chistvincent.com,"Hospital & Health Care",,,"Medical Center area","Little Rock",AR,"72205"
2022-03-01,Buyer,"City of Little Rock, AR",littlerock.gov,"Government Administration","$38,563 - $59,387 a year",,,"Little Rock",AR,""
2022-03-03,"Assistant Manager","Leslie's Poolmart",lesliespool.com,Retail,,,"Walnut Valley area","Little Rock",AR,"72211"
2022-03-02,Phlebotomist,"Biomat USA, Inc.",grifolsplasma.com,Pharmaceuticals,,,"Briarwood area","Little Rock",AR,"72205"
