DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-03-05,"Lead Transportation Security Officer","TSA (Transportation Security Administration)",tsa.gov,"Government Administration","$48,703 - $73,135 a year",,,"Little Rock",AR,""
2022-03-04,"Child Life Fellowship, Child Life, Tues-Sat 8a-4:30p, Full-T...","Arkansas Children's Hospital",archildrens.org,"Hospital & Health Care","$52.2K – $66.2K a year",,,"Little Rock",AR,""
2022-03-05,"Student Engagement Specialist - Premier High School of Littl...",ResponsiveEd,,,"Up to $18 an hour",,"Rock Creek area","Little Rock",AR,"72211"
2022-03-05,"9th-12th English Language Teacher - Premier High School of N...","Responsive Education Solutions",responsiveed.com,"Education Management","$49.1K – $62.1K a year",,"Walnut Valley area","Little Rock",AR,"72211"
2022-03-04,"Temporary Admin Assistant","American Heart Association",heart.org,"Health, Wellness & Fitness","$29.1K – $36.9K a year",,"Downtown CBD area","Little Rock",AR,"72201"
2022-03-04,"Desktop Support Specialist","Arkana Laboratories",arkanalabs.com,"Medical Practice","$44K – $55.8K a year",,,"Little Rock",AR,""
2022-03-05,"9th-12th English Language Teacher - Premier High School of N...",ResponsiveEd,,,"Up to $45,000 a year",,"Rock Creek area","Little Rock",AR,"72211"
2022-03-05,"Hospital Services Technician",Stericycle,stericycle.co,,,,,"Little Rock",AR,"72201"
2022-03-04,"Temporary Admin Assistant","American Heart Association",heart.org,"Health, Wellness & Fitness","$29.1K – $36.9K a year",,"Briarwood area","Little Rock",AR,"72205"
2022-03-05,"Part-Time Instructional Aide - Founders Classical Academy of...",ResponsiveEd,,,"Up to $18 an hour",,"Rock Creek area","Little Rock",AR,"72211"
2022-03-04,"Instructor - Criminal Justice and Criminology","University of Arkansas at Little Rock",ualr.edu,"Higher Education",,,"Oak Forest area","Little Rock",AR,"72204"
2022-03-05,"Elementary Art Teacher - Founders Classical Academy of Bento...",ResponsiveEd,,,"$44.2K – $56K a year",,"Rock Creek area","Little Rock",AR,"72211"
2022-03-05,"Clinical Support Assistant, Emergency Department, Full Time,...","Arkansas Children's Hospital",archildrens.org,"Hospital & Health Care","$26.2K – $33.2K a year",,,"Little Rock",AR,""
2022-03-05,"Kindergarten Teacher (2022-2023) - Founders Classical Academ...",ResponsiveEd,,,"$47.2K – $59.8K a year",,"Rock Creek area","Little Rock",AR,"72211"
2022-03-06,"Billing Specialist","CHI St. Vincent Health",chistvincent.com,"Hospital & Health Care",,,"Boyle Park area","Little Rock",AR,"72204"
2022-03-05,"RN Case Manager - Home Care","CHI St. Vincent Health at Home Little Rock",,,"$64,000 - $80,000 a year",,,"Little Rock",AR,""
2022-03-04,"Elementary Fourth Grade Teacher - Interim 2021-22 School Yea...","Little Rock School District",lrsd.org,"Primary/Secondary Education","$38.7K – $49.1K a year",,,"Little Rock",AR,"72209"
2022-03-05,"RN Case Manager - Home Care","CHI St. Vincent Health at Home Little Rock",,,"$64,000 - $80,000 a year",,"Rock Creek area","Little Rock",AR,"72211"
2022-03-04,"Remarketing Rep","Ally Financial",ally.com,"Financial Services",,,"Rock Creek area","Little Rock",AR,"72223"
2022-03-06,"Field Sales Representative",AT&T,att.com,Telecommunications,,,,"Little Rock",AR,""
