DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
24-02-2022,Checker,"Coca-Cola Consolidated, Inc.",,,"$17 an hour",,,"Little Rock",AR,"72002"
24-02-2022,Checker,"Coca-Cola Consolidated, Inc.",,,,,,"Little Rock",AR,""
22-02-2022,"Maintenance Data Entry Clerk","Central Flying Service Inc",,,,,"Bill and Hillary Clinton National Airport area","Little Rock",AR,"72202"
23-02-2022,"Free Hand Artist","Dassault Falcon Jet",falconjet.com,"Aviation & Aerospace",,,"Bill and Hillary Clinton National Airport area","Little Rock",AR,"72202"
24-02-2022,"FT-Sales Associate - Outside Lawn And Garden-Day",Lowe's,lowes.com,Retail,,,"Rock Creek area","Little Rock",AR,"72211"
23-02-2022,"Mail and Print Center Clerk",Ricoh,ricoh-usa.com,"Information Technology & Services",,,,"Little Rock",AR,""
22-02-2022,"Police Reconciliation Specialist","City of Little Rock, AR",littlerock.gov,"Government Administration","$38,563 - $59,387 a year",,,"Little Rock",AR,""
23-02-2022,"Warehouse Cleaner LIT1 (Retail)","ABM Industries",marriott.com,"Computer Software","$15 an hour",,,"Little Rock",AR,"72206"
23-02-2022,"Corporate Accounts Receivable Manager","Little Rock Athletic Centers LLC",lrac.com,"Recreational Facilities & Services",,,,"Little Rock",AR,"72223"
23-02-2022,"General Custodian - 7 hr/day","Pulaski County Special School District",pcssd.org,"Primary/Secondary Education","$11 an hour",,,"Little Rock",AR,"72223"
22-02-2022,"Produce Manager","Edwards Food Giant",edwardsfoodgiant.com,,,,"Midtown area","Little Rock",AR,"72207"
22-02-2022,"Meat Cutter","Edwards Food Giant",edwardsfoodgiant.com,,,,"Midtown area","Little Rock",AR,"72207"
23-02-2022,"Referral Processor","Mackie Wolf Zientz Mann",mwzmlaw.com,Banking,,,,"Little Rock",AR,"72201"
23-02-2022,"Driver Trainee","Estes Express Lines, Inc.",estesexpress.com,,,,,"Little Rock",AR,"72206"
23-02-2022,"HR Coordinator - South Central District","Kiewit Corporation",kwmjv.com,,,,"Walnut Valley area","Little Rock",AR,"72211"
23-02-2022,"Buffer Sander","Dassault Falcon Jet",falconjet.com,"Aviation & Aerospace",,,"Bill and Hillary Clinton National Airport area","Little Rock",AR,"72202"
