DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
1970-01-01,"Temporary Talent Workforce Lead Specialist, Learning and Dev...",Deloitte,deloitte.com,"Management Consulting",,,"Downtown CBD area)","Little Rock",AR," 72201"
1970-01-01,"Zoo Conservation Education Manager","City of Little Rock, AR",littlerock.gov,"Government Administration","$58,128 - $89,517 a year",,"Medical Center area)","Little Rock",AR," 72205"
1970-01-01,"Zoo Guest Services Supervisor","City of Little Rock, AR",littlerock.gov,"Government Administration","$30,683 - $47,252 a year",,"Medical Center area)","Little Rock",AR," 72205"
1970-01-01,"Driver Recruiter","Hurricane Express",,,"$75,000 - $100,000 a year",,,"Little Rock",AR,""
1970-01-01,"Research Program Manager","UAMS Medical Center",uamshealth.com,"Hospital & Health Care",,,"Medical Center area)","Little Rock",AR," 72205"
1970-01-01,"People and Culture Partner","Smiley Technologies",,,,,"River Mountain area)","Little Rock",AR," 72212"
1970-01-01,"Regional Patient Educator (Regional Travel Team - South Cent...","Care Access",,,,,,"Hybrid remote in Little Rock",AR,""
1970-01-01,"Product Support Manager I","FIS Global",fisglobal.com,"Computer Games",,,"River Mountain area)","Little Rock",AR," 72212"
1970-01-01,"Lead Event Planner",Deloitte,deloitte.com,"Management Consulting",,,"Downtown CBD area)","Little Rock",AR," 72201"
1970-01-01,"Financial Service Representative","Arkansas Federal Credit Union",afcu.org,Banking,"up to $21 an hour",,"Downtown CBD area)","Little Rock",AR," 72201"
1970-01-01,"Court Systems Operations Coordinator","City of Little Rock, AR",littlerock.gov,"Government Administration","$34,972 - $53,857 a year",,,"Little Rock",AR,""
1970-01-01,"Territory Account Manager - Southern Arkansas, Parts of Miss...","True Value",truevaluecompany.com,Retail,,,,"Little Rock",AR,""
1970-01-01,"Administrative Assistant","Wesco International",wesco.com,"Logistics & Supply Chain",,,,"Little Rock",AR,""
1970-01-01,"Workday Report Developer REMOTE","Banner Health",bannerhealth.com,"Hospital & Health Care",,Remote,,"Remote in Little Rock",AR," 72206"
1970-01-01,"Development Manager, Deloitte Leadership Academy - Learning...",Deloitte,deloitte.com,"Management Consulting",,,"Downtown CBD area)","Little Rock",AR," 72201"
1970-01-01,"BIOLOGIST PROGRAM SPECIALIST/ QUAIL COORDINATOR","Arkansas Game & Fish Commission",agfc.com,"Government Administration","$54,021 a year",,,"Little Rock",AR,""
1970-01-01,"Information Specialist","UAMS Medical Center",uamshealth.com,"Hospital & Health Care",,,"Oak Forest area)","Little Rock",AR," 72204"
1970-01-01,"Director of Restaurants - The Capital Hotel Little Rock, Ark...","Capital Hotel",capitalhotel.com,Hospitality,"$63,713 - $79,642 a year",,,"Little Rock",AR," 72201"
1970-01-01,"Program Manager","UAMS Medical Center",uamshealth.com,"Hospital & Health Care",,,"Medical Center area)","Little Rock",AR," 72205"
1970-01-01,"Right of Way Agent","ORCA Public Sector",,,,,,"Little Rock",AR,""
1970-01-01,"US Fraud Specialist Team Manager",Deloitte,deloitte.com,"Management Consulting",,,"Downtown CBD area)","Little Rock",AR," 72201"
1970-01-01,"Human Resources Generalist (HOURLY)","Little Rock Embassy Suites",,,,,"Walnut Valley area)","Little Rock",AR," 72211"
1970-01-01,"Patient Safety Coordinator","UAMS Medical Center",uamshealth.com,"Hospital & Health Care",,,"Medical Center area)","Little Rock",AR," 72205"
1970-01-01,"Principal Accountant","Easterseals Arkansas",eastersealsopts.org,"Individual & Family Services",,,"River Mountain area)","Little Rock",AR," 72212"
1970-01-01,"Clinical Services Manager - Endoscopy Lab","UAMS Medical Center",uamshealth.com,"Hospital & Health Care",,,"Medical Center area)","Little Rock",AR," 72205"
1970-01-01,"Financial Analyst Supervisor","Simmons Bank",simmonsbank.com,Banking,,,,"Little Rock",AR,""
1970-01-01,"Help Desk Support Manager","Arkansas Federal Credit Union",afcu.org,Banking,,,,"Little Rock",AR," 72223"
1970-01-01,"COORDINATOR OF SPECIAL EDUCATION (FOR THE 2022-2023 SCHOOL Y...","Pulaski County Special School District",pcssd.org,"Primary/Secondary Education",,,,"Little Rock",AR," 72206"
1970-01-01,"Account Executive, Major","Canon Solutions America, Inc.",imagistics.com,,,,,"Hybrid remote in Little Rock",AR," 72201"
1970-01-01,"Deloitte Entity Search & Compliance (DESC) Manager",Deloitte,deloitte.com,"Management Consulting",,,"Downtown CBD area)","Little Rock",AR," 72201"
1970-01-01,"Warehouse Supervisor",Bunzl,bunzl.com,Wholesale,,,,"Little Rock",AR," 72206"
