DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
1970-01-01,"Application Architect Manager- DAS ERM",Deloitte,deloitte.com,"Management Consulting",,,"Downtown area)",Stamford,CT," 06902"
1970-01-01,"Lead Process Analyst",Spectrum,spectrumvic.org.au,"Nonprofit Organization Management",,,,Stamford,CT,""
1970-01-01,"UI Architect","Business Intelli Solutions",,,"$70 - $75 an hour",,,Stamford,CT,""
1970-01-01,"Business Change Director - Medicare Pharmacy Operations",Anthem,anthem.com,Insurance,,,,"New Haven",CT," 06513"
1970-01-01,"Director of Curriculum - Math - K-12","CAPITAL PREP HARBOR SCHOOL INC",capitalprepharbor.org,,"estimated $104k ? $132k a year",,,Bridgeport,CT," 06608"
1970-01-01,"Director of Curriculum - Math - K-8","CAPITAL PREP HARBOR SCHOOL INC",capitalprepharbor.org,,"estimated $104k ? $132k a year",,,Bridgeport,CT," 06608"
1970-01-01,"Evernorth Care Solutions Product Director",Cigna,cigna.com,"Health, Wellness & Fitness","$148,800 - $248,000 a year",,"Frog Hollow area)",Hartford,CT," 06152"
1970-01-01,"Property Agent 2 (35 Hour) (Hybrid)","State of Connecticut - Department of...",,,"$66,161 - $95,393 a year",,,Hartford,CT,""
1970-01-01,"Analyst IT Business Analysis","The Hartford",thehartford.com,"Financial Services",,,,Hartford,CT,""
1970-01-01,"Customer Success Manager (Hybrid Schedule) (Information Tech...","State of Connecticut - Department of...",,,"$113,147 - $154,280 a year",,,"Hybrid remote in Hartford",CT," 06106"
1970-01-01,"Manager - Temporary Talent Workforce, Learning and Developme...",Deloitte,deloitte.com,"Management Consulting",,,"Downtown area)",Hartford,CT," 06103"
1970-01-01,"Director of Executive Recruiting","The Hartford",thehartford.com,"Financial Services",,,,Hartford,CT,""
1970-01-01,"Application Architect Manager- DAS ERM",Deloitte,deloitte.com,"Management Consulting",,,"Downtown area)",Hartford,CT," 06103"
1970-01-01,"Financial Systems Lead","Hartford Steam Boiler",,,"estimated $92.6k ? $117k a year",,"Downtown area)",Hartford,CT," 06103"
1970-01-01,"AVP, Underwriting, CEM","The Travelers Companies, Inc.",,,,,,"Hybrid remote in Hartford",CT,""
1970-01-01,"Director of Human Resources","Executive Insight",,,"$165,000 - $195,000 a year",,"Downtown area)",Hartford,CT," 06103"
1970-01-01,Treasurer,"Wilton RE",wiltonre.com,Insurance,"estimated $98.8k ? $125k a year",,,Norwalk,CT," 06850"
1970-01-01,"Global Head of Tax","Hart Consulting",,,"$190,000 - $250,000 a year",,,Greenwich,CT,""
1970-01-01,"Deputy Director of Financial Aid","Fairfield University",,,"estimated $72.9k ? $92.3k a year",,,Fairfield,CT,""
