DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
1970-01-01,"Modern Communications - Customer Success Mgr",Microsoft,microsoft.com,"Computer Software",,,,Washington,DC,""
1970-01-01,"Records and Systems Specialist","US Senate",senate.gov,"Legislative Office","$57,661 - $86,498 a year",,"NoMa area)",Washington,DC," 20002"
1970-01-01,"Digital Services Analyst-Health Policy","Center on Budget & Policy",cbpp.org,"Public Policy","estimated $61.6k ? $78k a year",,,"Hybrid remote in Washington",DC," 20002"
1970-01-01,"Standards Editor","The Washington Post",washpost.com,,"estimated $35.2k ? $44.6k a year",,,Washington,DC,""
1970-01-01,"Armed Security Officer","Allied Universal?",,,,,"Logan Circle area)",Washington,DC," 20005"
1970-01-01,"Associate, Development","Search for Common Ground",sfcg.org,"Nonprofit Organization Management","estimated $60.3k ? $76.3k a year",,,Washington,DC,""
1970-01-01,"Executive Vice President of Social Impact","Korn Ferry International",,,,,"Downtown area)",Washington,DC," 20006"
1970-01-01,"Executive Administrative Assistant","The Salvation Army",salvationarmyfortwalton.org,Retail,,,"Foggy Bottom area)",Washington,DC," 20037"
1970-01-01,"Program Analyst","US Employment and Training Administration",doleta.gov,"Human Resources","$126,233 - $164,102 a year",Remote,,"Remote in Washington",DC," 20210"
1970-01-01,"Administrative Assistant",Fiola,,,"estimated $41.1k ? $52.1k a year",,,Washington,DC,""
1970-01-01,"Program Management Consultant","Hagerty Consulting Inc",hagertyconsulting.com,"Management Consulting","estimated $84k ? $106k a year",Remote,,"Remote in Washington",DC," 20001"
1970-01-01,"Associate Editor, Fierce Wireless",Questex,questex.com,"Information Services","estimated $59.5k ? $75.3k a year",,"Downtown area)",Washington,DC," 20036"
1970-01-01,"Community Health Worker Case Management","MEDSTAR HEALTH",medstarhealth.org,"Hospital & Health Care",,,"Cleveland Park area)",Washington,DC," 20008"
1970-01-01,"Program Officer","Results for Development",r4d.org,"International Trade & Development","estimated $97.2k ? $123k a year",,"Downtown area)",Washington,DC," 20036"
1970-01-01,"Executive Administrative Assistant","JPMorgan Chase Bank, N.A.",chase.com,"Financial Services",,,,Washington,DC,""
1970-01-01,"Assistant Director, Career Services","Howard University",howard.edu,"Higher Education",,,,Washington,DC,""
1970-01-01,"Public Policy Lead",Humana,humana.com,"Health, Wellness & Fitness",,,"Downtown area)",Washington,DC," 20006"
1970-01-01,"Associate Producer/Director, All Things Considered",NPR,npr.org,"Broadcast Media","$85,000 a year",,"Capitol Hill area)",Washington,DC," 20002"
1970-01-01,"Client Experience Associate",HSBC,hsbc.com,"Financial Services",,,,Washington,DC,""
1970-01-01,"Policy Manager","Children's Hospital Association",,,"estimated $86.4k ? $109k a year",,,"Hybrid remote in Washington",DC," 20005"
1970-01-01,"Program Management Analyst *HYBRID REMOTE ELIGIBLE*",CACI,caci.com,"Information Technology & Services",,,,"Hybrid remote in Washington",DC," 20005"
1970-01-01,"White House Producer","Hearst Media Services",hearstmediact.com,"Marketing & Advertising","estimated $60k ? $76k a year",,"Logan Circle area)",Washington,DC," 20005"
