DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
1970-01-01,"HR Strategic Advisor-Compensation (Multiple Locations)(REMOT...","FedEx Logistics",,,"$73,224 - $166,751 a year",Remote,,"Remote in Miami",FL," 33126"
1970-01-01,"Manager - Temporary Talent Workforce, Learning and Developme...",Deloitte,deloitte.com,"Management Consulting",,,"Downtown area)",Miami,FL," 33131"
1970-01-01,"Channel Manager",ABB,abb.com,"Electrical/Electronic Manufacturing",,,,"Hybrid remote in Miami",FL,""
1970-01-01,"General Manager, Hialeah, Florida","Standard Aero",,,"estimated $78.5k ? $99.3k a year",,,Miami,FL," 33222"
1970-01-01,"Manager, HPCS Regional Marketing, Americas, CMD","Thermo Fisher Scientific",rwenpower.com,,,Remote,,"Remote in Miami",FL," 33169"
1970-01-01,"Director of Partnerships,Observability/APM - Remote","New Relic",newrelic.com,"Computer Software","estimated $94.2k ? $119k a year",Remote,,"Remote in Miami",FL," 33101"
1970-01-01,"Oracle Supply Chain Management/Procurement Consultant SA/SS/...",Deloitte,deloitte.com,"Management Consulting",,,"Downtown area)",Miami,FL," 33131"
1970-01-01,"Division Director - Miami, FL","Enthuse Marketing",enthuse-marketing.com,"Marketing & Advertising","estimated $57.8k ? $73.2k a year",,,Miami,FL,""
1970-01-01,"Manager, GPS Competitive Pricing",Deloitte,deloitte.com,"Management Consulting",,,"Downtown area)",Miami,FL," 33131"
1970-01-01,"Global Creative Director, Sustainability",Accenture,cazoodle.com,"Computer Software",,,"Flagami area)",Miami,FL," 33126"
1970-01-01,"Corporate Finance-Healthcare Transaction Advisory-Managing C...","Berkeley Research Group, LLC",thinkbrg.com,"Management Consulting","estimated $127k ? $160k a year",,,Miami,FL," 33131"
1970-01-01,"SAP Central Finance Manager",Accenture,cazoodle.com,"Computer Software",,,"Flagami area)",Miami,FL," 33126"
1970-01-01,"Cloud Native Application Architect",Accenture,cazoodle.com,"Computer Software",,,"Flagami area)",Miami,FL," 33126"
1970-01-01,"AWS DevOps Architect- Location Open",Deloitte,deloitte.com,"Management Consulting",,,"Downtown area)",Miami,FL," 33131"
1970-01-01,"Vice President of Finance","Greenbox Capital",greenboxcapital.com,"Financial Services","$150,000 - $200,000 a year",,"Wynwood - Edgewater area)",Miami,FL," 33137"
1970-01-01,"Director of Business Development","All Florida Pool & Spa Center",allfloridapool.com,Construction,"$80,000 a year",,,Miami,FL," 33181"
