DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
1970-01-01,"Internal Communications Manager","Fast Radius",fastradius.com,"Mechanical Or Industrial Engineering","estimated $89.8k ? $114k a year",,,Chicago,IL,""
1970-01-01,"Executive Assistant to the CMFO","Alzheimer's Association",alznj.org,,"estimated $59.5k ? $75.3k a year",,,Chicago,IL,""
1970-01-01,"Innovation Director - New Ventures",Anthem,anthem.com,Insurance,,Remote,,"Remote in Chicago",IL," 60601"
1970-01-01,"Manager - Temporary Talent Workforce, Learning and Developme...",Deloitte,deloitte.com,"Management Consulting",,,"The Loop area)",Chicago,IL," 60606"
1970-01-01,"Regional Marketing Consultant","True Value",truevaluecompany.com,Retail,,,,Chicago,IL,""
1970-01-01,"Director of Operations - Clinical Support Services, Full-Tim...","Northwestern Memorial Healthcare",,,,,"Streeterville area)",Chicago,IL," 60611"
1970-01-01,"Associate Principal, Server Administration","Options Clearing Corporation",theocc.com,"Financial Services","estimated $45.1k ? $57.1k a year",,,"Hybrid remote in Chicago",IL,""
1970-01-01,"Regulatory Imp Consulting Mgr","Blue Cross Blue Shield of IL, MT, NM, OK & TX",bcbsil.com,"Financial Services",,,,Chicago,IL,""
1970-01-01,"SAP Fieldglass Customer Adoption Consultant",SAP,sap.com,"Information Technology & Services",,,"Loop area)",Chicago,IL," 60606"
1970-01-01,"Business Strategy Plan Director- Center of Excellence",Anthem,anthem.com,Insurance,,Remote,,"Remote in Chicago",IL," 60606"
1970-01-01,PMO,"Origami Risk LLC",origamirisk.com,"Computer Software","estimated $86k ? $109k a year",Remote,,"Remote in Chicago",IL," 60601"
1970-01-01,"Enterprise Account Executive (Remote)",RainFocus,rainfocus.com,"Computer Software","estimated $107k ? $135k a year",Remote,,"Remote in Chicago",IL,""
1970-01-01,"Metaverse Business Strategist",Accenture,cazoodle.com,"Computer Software",,,,Chicago,IL,""
1970-01-01,"Product Development Manager","Blue Cross Blue Shield of IL, MT, NM, OK & TX",bcbsil.com,"Financial Services",,,,Chicago,IL,""
1970-01-01,"Principal Partner SA","Amazon Web Services, Inc.",,,,,,Chicago,IL,""
1970-01-01,"Service Manager - Goose Island","Lucid Motors",lucidmotors.com,Automotive,,,,Chicago,IL,""
1970-01-01,"Director of VDCI","Rentokil Initial",rentokil-initial.com,"Environmental Services",,,,Chicago,IL,""
1970-01-01,"P&C Consultant, Fuels Supply & Midstream Americas",bp,bp.com,"Oil & Energy",,,,Chicago,IL,""
1970-01-01,"Director of District and School Development - Midwest","New Tech Network",newtechnetwork.org,Education,"estimated $96.1k ? $122k a year",,,Chicago,IL,""
