DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
1970-01-01,"Marketing Coordinator","Wellness Connection of Maine",mainewellness.org,"Health, Wellness & Fitness","$40,000 - $50,000 a year",,"Parkside area)",Portland,ME," 04101"
1970-01-01,"Special Assistant to the Dean","University of Maine System Office",,,"estimated $49.3k ? $62.5k a year",,,Portland,ME,""
1970-01-01,"Digital Marketing Associate","Wellness Connection of Maine",mainewellness.org,"Health, Wellness & Fitness","$50,000 - $60,000 a year",,"Parkside area)",Portland,ME," 04101"
1970-01-01,"district manager - Portland, ME/NH",Starbucks,starbucks.com,Retail,,,,Portland,ME,""
1970-01-01,"Sales Representative - Portland",Regions,regions.com,Banking,,,"West Bayside area)",Portland,ME," 04101"
1970-01-01,"Commercial Loan Officer- Portland Business Center","Skowhegan Savings Bank",,,"estimated $65.5k ? $82.9k a year",,"West Bayside area)",Portland,ME," 04101"
1970-01-01,"Land Acquisition Manager","Toll Brothers",tollbrothers.com,"Real Estate",,,,Portland,ME,""
1970-01-01,"Business Development/Partnerships Director- Care Management",Anthem,anthem.com,Insurance,,,,Portland,ME,""
1970-01-01,"Registered Nurse II","Northern Light Health",northernlighthealth.org,"Hospital & Health Care",,,"West End area)",Portland,ME," 04102"
1970-01-01,"Registered Nurse II","Northern Light Health",northernlighthealth.org,"Hospital & Health Care",,,"West End area)",Portland,ME," 04102"
1970-01-01,"Business Analyst",MPX-SFX,mpxonline.com,"Information Technology & Services","estimated $55k ? $69.6k a year",,"Rosemont area)",Portland,ME," 04102"
1970-01-01,"Database Operations Coordinator","Portland Museum of Art",portlandmuseum.org,"Museums & Institutions","from $19.71 an hour",,"Downtown area)",Portland,ME," 04101"
1970-01-01,"Account Executive","Health Plans Inc",hpitpa.com,Insurance,,,"West Bayside area)",Portland,ME," 04101"
1970-01-01,"Software QA Analyst","Portland Webworks",portlandwebworks.com,"Computer Software","estimated $61.4k ? $77.8k a year",,"Downtown area)",Portland,ME," 04101"
1970-01-01,"Resource Parent Care Team Case Carrying Supervisor","Spurwink Services",spurwink.org,"Mental Health Care","estimated $47.6k ? $60.2k a year",,"North Deering area)",Portland,ME," 04103"
1970-01-01,"Supervisor, Reinsurance","Health Plans Inc",hpitpa.com,Insurance,,,,"Hybrid remote in Portland",ME," 04101"
1970-01-01,"Property Manager Affordable Housing","Preservation Management, Inc.",preservationmanagement.com,"Real Estate","estimated $55.4k ? $70.2k a year",,,Portland,ME,""
1970-01-01,"Body Shop Frame Technician","Key Collision of Portland LLC",keycollisioncenter.com,"Individual & Family Services","estimated $51.6k ? $65.4k a year",,"North Deering area)",Portland,ME," 04103"
1970-01-01,"Special Assistant to the Dean","University of Maine System Office",,,"estimated $49.3k ? $62.5k a year",,,Portland,ME,""
1970-01-01,"Temp / Task Force General Manager / Project Manager","Hay Creek Hotels Corporate",,,"estimated $59.8k ? $75.8k a year",,"North Deering area)",Portland,ME," 04103"
