DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
1970-01-01,Reporter,"Hearst Media Services",hearstmediact.com,"Marketing & Advertising","estimated $39.2k ? $49.6k a year",,"Hampden-Woodberry-Remington area)",Baltimore,MD," 21211"
1970-01-01,"Creative Copywriter","Beacon Street Services LLC",beaconstreet.com,Publishing,"estimated $56.3k ? $71.3k a year",,"Mid-Town Belvedere area)",Baltimore,MD," 21201"
1970-01-01,"Central Sterile Processing Educator","University of Maryland Medical Center",,,,,"Downtown area)",Baltimore,MD," 21201"
1970-01-01,"Administrative Asst","UMMC Midtown Campus",,,,,"Downtown area)",Baltimore,MD," 21201"
1970-01-01,"Educator Diabetes","UMMC Midtown Campus",,,,,"Downtown area)",Baltimore,MD," 21201"
1970-01-01,"IT Customer Support","Cognosante, LLC",cognosante.com,"Information Technology & Services","$18.92 an hour",,,Baltimore,MD,""
1970-01-01,"PHARM TECH SUPERVISOR","Johns Hopkins Hospital",,,,,"Downtown area)",Baltimore,MD," 21201"
1970-01-01,"Administrative Assistant","GBMC HealthCare",gbmc.org,"Hospital & Health Care","estimated $34.2k ? $43.4k a year",,,Baltimore,MD," 21204"
1970-01-01,"Project Specialist","University of Maryland Medical Center",,,,,"Downtown area)",Baltimore,MD," 21201"
1970-01-01,"E-ZPass Customer Service Manager","Maryland Department of Transportation",state.md.us,Transportation/Trucking/Railroad,"$62,343 - $102,097 a year",,"Mount Vernon area)",Baltimore,MD," 21202"
1970-01-01,"Information Support Specialist II","University of Maryland Faculty Physicians",,,,,"Downtown area)",Baltimore,MD," 21201"
1970-01-01,"SIU Investigator","Allied Universal? Compliance and Investigations",,,,,"Midway-Coldstream area)",Baltimore,MD," 21218"
1970-01-01,Producer,"Hearst Media Services",hearstmediact.com,"Marketing & Advertising","estimated $43.1k ? $54.5k a year",,"Hampden-Woodberry-Remington area)",Baltimore,MD," 21211"
1970-01-01,"Juvenile Court Secretary - Baltimore City Circuit Court","City of Baltimore, MD",,,"$47,971 a year",,"Downtown area)",Baltimore,MD," 21202"
1970-01-01,"General Manager",Wawa,wawainc.com,,,,"Pulaski Industrial Area area)",Baltimore,MD," 21224"
1970-01-01,"Scheduling & Preauthorization Coordinator","University of Maryland Medical Center",,,,,"Downtown area)",Baltimore,MD," 21201"
1970-01-01,"Director for Donor Services and Annual Giving","Lutheran Immigration & Refugee Service (LIRS)",lirs.org,"Nonprofit Organization Management","estimated $97.3k ? $123k a year",,"Otterbein area)",Baltimore,MD," 21230"
1970-01-01,"Research Program Coordinator","Johns Hopkins University",thompsonadvising.com,"Education Management","$16.42 - $22.57 an hour",,"Dunbar-Broadway area)",Baltimore,MD," 21205"
1970-01-01,"Clinical Project Specialist","UMMC Midtown Campus",,,,,"Downtown area)",Baltimore,MD," 21201"
1970-01-01,"Assistant Director of Annual Giving & Special Projects (AGO2...","University of Maryland, Baltimore",umaryland.edu,"Higher Education",,,,Baltimore,MD,""
1970-01-01,"Medical Affairs Associate",Veristat,veristat.com,Pharmaceuticals,"estimated $46.7k ? $59.1k a year",Remote,,"Remote in Baltimore",MD,""
