DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
1970-01-01,"Morning Shifts At Dunkin","First Cup LLC",,,"estimated $24.4k ? $31k a year",,"Spring Valley area)","Las Vegas",NV," 89146"
1970-01-01,"Park Ranger","US Bureau of Land Management",blm.gov,"Government Administration","$33,221 - $42,707 a year",Remote,,"Temporarily Remote in Las Vegas",NV,""
1970-01-01,"Early morning Donut finishers","First Cup LLC",,,"estimated $20.7k ? $26.3k a year",,"Centennial Hills area)","Las Vegas",NV," 89149"
1970-01-01,"AM Restaurant Team Member (Centennial)","Cafe Zupas",cafezupas.com,Restaurants,,,,"Las Vegas",NV," 89149"
1970-01-01,"Store Clerk","Westgate Resorts",westgateresorts.com,Hospitality,,,"Enterprise area)","Las Vegas",NV," 89119"
1970-01-01,"AM Restaurant Team Member (Boca Park)","Cafe Zupas",cafezupas.com,Restaurants,,,,"Las Vegas",NV," 89117"
1970-01-01,"Shift Coordinator",Sephora,sephora.ch,,,,,"Las Vegas",NV," 89115"
1970-01-01,"Project Coordinator","Cushman & Wakefield",cushwake-ni.com,"Commercial Real Estate",,,"North Cheyenne area)","Las Vegas",NV," 89130"
1970-01-01,"Program Support Assistant","US Veterans Health Administration",va.gov,"Government Administration","$36,756 - $47,781 a year",,,"Las Vegas",NV,""
1970-01-01,"Shift Coordinator","Sephora USA",sephora.com,Retail,,,,"Las Vegas",NV," 89115"
1970-01-01,"Mornings Shifts at Dunkin","First Cup LLC",,,"estimated $24.4k ? $31k a year",,"North Cheyenne area)","Las Vegas",NV," 89130"
1970-01-01,"Dunkin Mornings Shifts","First Cup LLC",,,"estimated $24.4k ? $31k a year",,"Spring Valley area)","Las Vegas",NV," 89113"
1970-01-01,"Program Assistant (Health)","Sunrise Children's Foundation",sunrisechildren.org,"Education Management","estimated $26.1k ? $33.1k a year",,"Paradise area)","Las Vegas",NV," 89121"
1970-01-01,Cleaner,"BJ's Restaurant and Brewhouse",bjsrestaurants.com,Restaurants,,,,"Las Vegas",NV," 89123"
1970-01-01,"Sales and Service Coordinator",Sephora,sephora.ch,,,,"The Strip area)","Las Vegas",NV," 89109"
1970-01-01,"Mental Health Discharge Planner - Jails","NaphCare, Inc.",naphcare.com,"Hospital & Health Care",,,,"Las Vegas",NV,""
1970-01-01,"Crew Leader","Pinkbox Doughnuts",pinkboxdoughnuts.com,"Food & Beverages","estimated $29.1k ? $36.9k a year",,"Paradise area)","Las Vegas",NV," 89169"
1970-01-01,"Clerk Lost & Found - Bellagio","MGM Resorts International",mgmresorts.com,Hospitality,,,,"Las Vegas",NV," 89177"
1970-01-01,"Front of House Team","Pinkbox Doughnuts",pinkboxdoughnuts.com,"Food & Beverages","estimated $22.4k ? $28.4k a year",,"Paradise area)","Las Vegas",NV," 89169"
1970-01-01,"Security Dispatcher","Westgate Resorts",westgateresorts.com,Hospitality,,,"The Strip area)","Las Vegas",NV," 89109"
1970-01-01,"Housekeeping / House Cleaner (Flexible Schedule + Tips)","LA House Cleaning",losangeleshousecleaners.net,"Consumer Services","$27 - $33 an hour",,,"Las Vegas",NV,""
1970-01-01,"Crew Member","First Cup LLC",,,"estimated $19.6k ? $24.8k a year",,,"Las Vegas",NV," 89123"
1970-01-01,"Operations Agent","Southwest Airlines Co.",sammcelroy.co.uk,,"$17.41 an hour",,"Paradise area)","Las Vegas",NV," 89119"
1970-01-01,"Plant Operations Assistant","Avamere Family of Companies",,,,,"Michael Way area)","Las Vegas",NV," 89108"
1970-01-01,"HouseAide/Laundry ($16.55/hr With Experience)","Marriott International, Inc",,,"$16.55 an hour",,"The Strip area)","Las Vegas",NV," 89109"
