DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
1970-01-01,"Customer Service Agent",Jerry,getjerry.com,Internet,,,"Downtown area)",Columbus,OH," 43215"
1970-01-01,"Client Success Associate","Hometown Ticketing Inc",hometownticketing.com,"Computer Software",,Remote,,"Remote in Columbus",OH," 43215"
1970-01-01,"Instructional Designer","The Ohio State University",,,"$58,000 - $65,000 a year",,"The Ohio State University area)",Columbus,OH," 43210"
1970-01-01,"Delivery Driver Installer","WME Express",wmetrucking.com,Transportation/Trucking/Railroad,"$50,000 a year",,,Columbus,OH,""
1970-01-01,"Professional Talent Acquisition Coordinator","Nationwide Children's Hospital",nationwidechildrens.org,"Hospital & Health Care",,,"Southern Orchards area)",Columbus,OH," 43205"
1970-01-01,"Retail Sales Consultant",AT&T,att.com,Telecommunications,"$55,965 a year",,,Columbus,OH,""
1970-01-01,"Administrative Accountant","First Transit",firsttransit.com,Transportation/Trucking/Railroad,,,"Port Columbus International Airport area)",Columbus,OH," 43219"
1970-01-01,"Scheduling Coordinator","The Ohio State University",,,"$42,000 - $46,000 a year",,"The Ohio State University area)",Columbus,OH," 43210"
1970-01-01,"Administrative Professional 2","State of Ohio Jobs",,,"$19.72 an hour",,"Downtown area)",Columbus,OH," 43215"
1970-01-01,"Research Assistant - Center for Gene Therapy- Vaidyanathan L...","Nationwide Children's Hospital",nationwidechildrens.org,"Hospital & Health Care",,,"Livingston Park North area)",Columbus,OH," 43205"
1970-01-01,"Manager 1, Clinical Research","The Ohio State University Wexner Medical Center",,,,,"The Ohio State University area)",Columbus,OH," 43201"
1970-01-01,"P&C Insurance Agent - Join the #1 Insurance Tech Startup in...",Jerry,getjerry.com,Internet,"$40,000 a year",Remote,,"Remote in Columbus",OH," 43215"
1970-01-01,"Professional Talent Acquisition Partner","Nationwide Children's Hospital",nationwidechildrens.org,"Hospital & Health Care",,,"Southern Orchards area)",Columbus,OH," 43205"
1970-01-01,"Executive Assistant","The Ohio State University Wexner Medical Center",,,"$22 an hour",,"Weinland Park area)",Columbus,OH," 43201"
1970-01-01,"Customer Service Assistant 2","State of Ohio Jobs",,,"$44,595 a year",,"Downtown area)",Columbus,OH," 43215"
1970-01-01,"Accountant/Project Accountant (AEC Industry)","Moody Nolan",moodynolan.com,"Architecture & Planning",,,"Downtown area)",Columbus,OH," 43215"
1970-01-01,"Regional Client Service Associate","Union Bank Company",theubank.com,Banking,,,,Columbus,OH,""
1970-01-01,"Server - Clintonville","Northstar Cafe in Beechwold",,,"$23 - $28 an hour",,"Clintonville area)",Columbus,OH," 43214"
1970-01-01,Arborist,"The Ohio State University",,,"$16.30 - $20.38 an hour",,"West Campus area)",Columbus,OH," 43221"
1970-01-01,"Patient Service Representative",OhioHealth,ohiohealth.com,"Hospital & Health Care",,,"Riverview area)",Columbus,OH," 43202"
