DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
1970-01-01,"Surveillance Investigator","Allied Universal? Compliance and Investigations",,,,,,"Oklahoma City",OK," 73135"
1970-01-01,"Customer Experience",Kimray,kimray.com,"Oil & Energy","estimated $50.3k ? $63.7k a year",,,"Oklahoma City",OK,""
1970-01-01,"Division Support Coordinator (Human Resources)","Department of Corrections",dc.state.fl.us,"Charitable Organizations & Foundations, Organizations","$4,698 a month",,,"Oklahoma City",OK,""
1970-01-01,"Social Media Manager - Vast and Colcord","Vast Restaurant",,,"estimated $34.6k ? $43.8k a year",,"Arts District area)","Oklahoma City",OK," 73102"
1970-01-01,"MANAGEMENT SPECIALIST","City of Oklahoma City",okc.gov,"Government Administration","$62,995 - $96,382 a year",,,"Oklahoma City",OK,""
1970-01-01,"Social Media Manager - Colcord and Vast","Colcord Hotel",,,"estimated $34.6k ? $43.8k a year",,"Arts District area)","Oklahoma City",OK," 73102"
1970-01-01,"Quality Assurance Specialist (DOC Quality Assurance)","Department of Corrections",dc.state.fl.us,"Charitable Organizations & Foundations, Organizations","$4,674 a month",,,"Oklahoma City",OK,""
1970-01-01,"Full-Time Store Manager Trainee",ALDI,aldi.pl,Retail,"$24 an hour",,,"Oklahoma City",OK,""
1970-01-01,"Service Administrator","Heubel Material Handling",heubelshaw.com,"Logistics & Supply Chain","estimated $30.8k ? $39k a year",,"Meridian Avenue Corridor area)","Oklahoma City",OK," 73179"
1970-01-01,"Human Resources Recruitment Coordinator","Cedar Ridge Hospital",cedarridgebhs.com,"Mental Health Care",,,,"Oklahoma City",OK,""
1970-01-01,"ECS Assistant Director","Sunbeam Family Services",sunbeamfamilyservices.org,"Nonprofit Organization Management","estimated $33.8k ? $42.8k a year",,"Meridian Avenue Corridor area)","Oklahoma City",OK," 73108"
1970-01-01,"Environmental Scientist","Freese and Nichols",freese.com,"Civil Engineering","estimated $54.3k ? $68.7k a year",,,"Oklahoma City",OK,""
1970-01-01,"ECS Assistant Director","Sunbeam Family Services, Inc.",,,"estimated $32.7k ? $41.5k a year",,"Meridian Avenue Corridor area)","Oklahoma City",OK," 73108"
1970-01-01,"Well Planner","Continental Resources, Inc.",clr.com,"Oil & Energy","estimated $35.1k ? $44.5k a year",,,"Oklahoma City",OK,""
1970-01-01,"Assistant Coordination Center Manager",Chloeta,chloeta.com,"Government Relations","$55,000 - $65,000 a year",,,"Oklahoma City",OK," 73110"
1970-01-01,"F135 Scrap Manager (Hybrid)","Pratt & Whitney",prattwhitney.com,"Aviation & Aerospace",,Remote,,"Remote in Oklahoma City",OK," 73145"
1970-01-01,"Central Processing Supervisor","Tax Commission",utah.gov,"Government Administration","$49,181 a year",,"Capitol Campus area)","Oklahoma City",OK," 73194"
1970-01-01,"Food Supervisor - The Children's Hospital",Sodexo,sodexo.com,"Facilities Services","from $14.70 an hour",,,"Oklahoma City",OK," 73104"
1970-01-01,"Health Facility Surveyor III","State Department of Health",wa.gov,"Government Administration","up to $56,000 a year",,,"Oklahoma City",OK,""
