DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
1970-01-01,"Supervisory Hydrologist","US Natural Resources Conservation Service",,,"$140,367 - $176,300 a year",,,Portland,OR,""
1970-01-01,"Program Support Assistant","US Forest Service",el-doradorcd.com,,"$44,740 a year",,"Downtown area)",Portland,OR," 97204"
1970-01-01,"Data Entry Specialist","Rvk, Inc.",rvkinc.com,"Investment Management","estimated $37.7k ? $47.7k a year",,"Downtown area)",Portland,OR," 97204"
1970-01-01,"Intelligence Analyst - Remote Position","Allied Universal? Executive Protection and...",,,,Remote,,"Remote in Portland",OR,""
1970-01-01,"Buyer Food - Dietary",Providence,psjhealth.org,"Hospital & Health Care",,,,Portland,OR," 97225"
1970-01-01,"Medical Records Administrator (Assistant Chief HIMs)","US Veterans Health Administration",va.gov,"Government Administration","$84,923 - $110,404 a year",,,Portland,OR,""
1970-01-01,"Administrative Assistant- Women's Inpatient Units","Oregon Health & Science University",ohsu.edu,Research,,,"Homestead area)",Portland,OR," 97239"
1970-01-01,"Retail Sales Consultant City Center",AT&T,att.com,Telecommunications,"$55,965 a year",,,Portland,OR,""
1970-01-01,"Staff Schedule Coordinator","Legacy Health",legacyhealth.org,"Hospital & Health Care",,,"Northwest area)",Portland,OR," 97209"
1970-01-01,"Legal Assistant (Hearings Customer Service Representative)","US Social Security Administration",ssa.gov,"Government Administration","$38,649 - $68,922 a year",,,Portland,OR,""
1970-01-01,"Transportation Security Manager","TSA (Transportation Security Administration)",tsa.gov,"Government Administration","$82,416 - $127,815 a year",,,Portland,OR,""
1970-01-01,"Claims Specialist","CorVel Corporation",woodus.com,,"estimated $45.5k ? $57.7k a year",Remote,,"Remote in Portland",OR," 97223"
1970-01-01,"Inspector III",AECOM,aecom.com,"Civil Engineering",,,,"Hybrid remote in Portland",OR," 97240"
1970-01-01,"Warehouse Worker FT/PT","FedEx Express",fedex.com,"Logistics & Supply Chain","from $21.97 an hour",,"Portland International Airport area)",Portland,OR," 97218"
1970-01-01,"Internal Controls Compliance Specialist","US Bonneville Power Administration",bpa.gov,Utilities,"$70,853 - $110,404 a year",,,Portland,OR,""
