DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
1970-01-01,"Deputy Executive Director of Operations","City of Philadelphia",phila.gov,"Government Administration","$100,000 - $110,000 a year",,"Washington Square area)",Philadelphia,PA," 19107"
1970-01-01,"Director, Open Enrollment Programs - Wharton Executive Educa...","University of Pennsylvania",kupermanllc.com,"Venture Capital & Private Equity",,,"University City area)",Philadelphia,PA," 19104"
1970-01-01,"Unified Communication Supervisor","Children's Hospital of Philadelphia",chop.edu,"Hospital & Health Care",,,"City Center East area)",Philadelphia,PA," 19107"
1970-01-01,"Gen Diagnostics - Team Leader - Weekends","Children's Hospital of Philadelphia",chop.edu,"Hospital & Health Care",,,"Graduate Hospital area)",Philadelphia,PA," 19146"
1970-01-01,"Information Technology Director","City of Philadelphia",phila.gov,"Government Administration","estimated $93k ? $118k a year",,"Philadelphia International Airport area)",Philadelphia,PA," 19153"
1970-01-01,"REZUROCK Field Reimbursement Manager- Northeast","Sanofi US",,,,,,Philadelphia,PA,""
1970-01-01,"Service Delivery Manager ? Enterprise Network","ECi Software Solutions",ecisolutions.com,"Computer Software","estimated $103k ? $131k a year",Remote,,"Remote in Philadelphia",PA,""
1970-01-01,"Data Governance - Solution Architect - USDC - Location Open",Deloitte,deloitte.com,"Management Consulting",,,"Rittenhouse area)",Philadelphia,PA," 19103"
1970-01-01,"Global Technology Software Lead (Procurement Plus)",Accenture,cazoodle.com,"Computer Software",,,"Logan Square area)",Philadelphia,PA," 19103"
1970-01-01,"Electric System Design Team Leader","Philly Shipyard, Inc.",phillyshipyard.com,Shipbuilding,"estimated $74k ? $93.8k a year",,"Navy Yard area)",Philadelphia,PA," 19112"
1970-01-01,"Associate Creative Director, Art","Razorfish Health",razorfishhealth.com,"Marketing & Advertising","estimated $101k ? $127k a year",Remote,,"Remote in Philadelphia",PA," 19107"
1970-01-01,"Director of Software Development","Sharp Heads RPO",,,"$43,824 - $221,695 a year",,,Philadelphia,PA,""
1970-01-01,"Associate Director, Project Management","Razorfish Health",razorfishhealth.com,"Marketing & Advertising","estimated $87.8k ? $111k a year",Remote,,"Remote in Philadelphia",PA," 19107"
1970-01-01,"Engineering Program Technical Coordinator","Q.E.D. Systems, Inc.",qedsysinc.com,Maritime,,,"Navy Yard area)",Philadelphia,PA," 19112"
1970-01-01,"Lead Motion Designer","Power Home Remodeling",powerhrg.com,"Consumer Services","estimated $66.4k ? $84k a year",,,Philadelphia,PA," 19103"
1970-01-01,"Vice President - Integration - Operations","AccentCare, Inc.?",,,,,"Oxford Circle area)",Philadelphia,PA," 19111"
1970-01-01,"BIOPHARMA - DIRECTOR OF VALIDATION",PharmAllies,pharmallies.com,"Management Consulting","estimated $82.4k ? $104k a year",,,Philadelphia,PA,""
1970-01-01,"(PHARMA) Associate Director of Validation - Utilities & Faci...",PharmAllies,pharmallies.com,"Management Consulting","estimated $68.9k ? $87.3k a year",,,Philadelphia,PA,""
1970-01-01,"Project Manager","Design Group Inc",,,"estimated $72.8k ? $92.2k a year",,"North Shore area)",Pittsburgh,PA," 15212"
1970-01-01,"Global Trade Compliance Manager - Remote","Thermo Fisher Scientific",rwenpower.com,,,Remote,,"Remote in Pittsburgh",PA,""
1970-01-01,"Data Governance - Solution Architect - USDC - Location Open",Deloitte,deloitte.com,"Management Consulting",,,"Central Business District area)",Pittsburgh,PA," 15222"
1970-01-01,"Global Technology Software Lead (Procurement Plus)",Accenture,cazoodle.com,"Computer Software",,,"Central Business District area)",Pittsburgh,PA," 15222"
1970-01-01,"Marketing and Media Director","Shipley Energy",shipleyenergy.com,"Oil & Energy","$60,000 a year",,,York,PA," 17403"
1970-01-01,"Lead Motion Designer","Power Home Remodeling",powerhrg.com,"Consumer Services","estimated $62.7k ? $79.3k a year",,,Reading,PA," 19606"
1970-01-01,"VP Digital Marketing QVC US",QVC,qvc.com,Retail,,,,"West Chester",PA,""
1970-01-01,"Director of Retail Operations","West Chester University Student Services, Inc.",wcustudentservices.com,"Higher Education","$70,000 - $80,000 a year",,,"West Chester",PA," 19382"
1970-01-01,"Lead Motion Designer","Power Home Remodeling",powerhrg.com,"Consumer Services","estimated $62.7k ? $79.3k a year",,,"West Chester",PA," 19380"
1970-01-01,"Group Leader - Service Repair Coordination",Rexroth,boschrexroth.com,"Industrial Automation","estimated $41.4k ? $52.4k a year",,,Bethlehem,PA," 18017"
