DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
1970-01-01,"Human Resources Benefits Generalist","Providence College",providence.edu,"Higher Education","estimated $51.3k ? $64.9k a year",,"Downtown area)",Providence,RI," 02918"
1970-01-01,"Administrative Assistant","Twin River Management Group, Inc.",,,"$45,000 a year",,"Downtown area)",Providence,RI," 02903"
1970-01-01,"Event Coordinator","Brown University",brown.sd.us,"Government Administration","estimated $36.9k ? $46.7k a year",,"College Hill area)",Providence,RI," 02912"
1970-01-01,"Retail Sales Consultant",AT&T,att.com,Telecommunications,"$55,965 a year",,"Downtown area)",Providence,RI," 02903"
1970-01-01,"Teacher - MS Library (SY 22-23)","Providence Schools",,,"estimated $37.6k ? $47.6k a year",,"Hartford area)",Providence,RI," 02909"
1970-01-01,"Teacher - MS Art (SY 22-23)","Providence Schools",,,"estimated $41.7k ? $52.9k a year",,"Hartford area)",Providence,RI," 02909"
1970-01-01,"Teacher - HS Library (SY 22-23)","Providence Schools",,,"estimated $37.6k ? $47.6k a year",,"Valley area)",Providence,RI," 02904"
1970-01-01,"2022 Graduates - Career Development Program",Jerry,getjerry.com,Internet,"estimated $62k ? $78.6k a year",,,Providence,RI,""
1970-01-01,"Teacher - Early Childhood Pre-K (SY 22-23)","Providence Schools",,,"$40 an hour",,"Elmhurst area)",Providence,RI," 02908"
1970-01-01,"Teacher - HS Art (SY 22-23)","Providence Schools",,,"estimated $41.7k ? $52.9k a year",,"Blackstone area)",Providence,RI," 02906"
1970-01-01,Barista,"Hilton Providence",,,,,"Downtown area)",Providence,RI," 02903"
1970-01-01,"Teacher - MS English (SY 22-23)","Providence Schools",,,"estimated $40.4k ? $51.2k a year",,"Valley area)",Providence,RI," 02904"
1970-01-01,"Teacher - Elem. Library (SY 22-23)","Providence Schools",,,"estimated $36.8k ? $46.6k a year",,"Washington Park area)",Providence,RI," 02905"
1970-01-01,"Teacher - Elem. Library (SY 22-23)","Providence Schools",,,"estimated $38.5k ? $48.7k a year",,"Blackstone area)",Providence,RI," 02906"
