DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
1970-01-01,"Vice President I, Relationship Management","Silicon Valley Bank",svb.com,Banking,"estimated $55.5k ? $70.3k a year",,,"Salt Lake City",UT," 84121"
1970-01-01,"Administrative Assistant","University of Utah Health",utah.edu,"Hospital & Health Care",,,,"Salt Lake City",UT," 84190"
1970-01-01,"Management and Program Analyst","US Office of Workers' Compensation Programs",,,"$94,373 - $150,703 a year",Remote,,"Remote in Salt Lake City",UT,""
1970-01-01,"Coach, Athletics","University of Utah",adfinitashealth.com,"Medical Practice",,,"East Bench area)","Salt Lake City",UT," 84112"
1970-01-01,"GM Administrative Assistant","Amazon.com Services LLC",amazon.com,Internet,,,,"Salt Lake City",UT,""
1970-01-01,"Full Time Surveillance Investigator","Allied Universal? Compliance and Investigations",,,,,"People's Freeway area)","Salt Lake City",UT," 84101"
1970-01-01,"Advisor - Business Improvement","Rio Tinto",riotinto.com,"Mining & Metals",,,"East Central area)","Salt Lake City",UT," 84102"
1970-01-01,"Advisor - Business Improvement","Rio Tinto",riotinto.com,"Mining & Metals",,,"East Central area)","Salt Lake City",UT," 84102"
1970-01-01,"Store Process Implementation Specialist","dba Maverik Stores, Inc. in California",,,"$20 an hour",,"Central City area)","Salt Lake City",UT," 84111"
1970-01-01,"Project Administrator","University of Utah",adfinitashealth.com,"Medical Practice","from $47,600 a year",,"East Bench area)","Salt Lake City",UT," 84112"
1970-01-01,"Human Resources Generalist","Blue Ivy Professional Services, LLC",getblueivy.com,"Human Resources","estimated $49.9k ? $63.1k a year",,,"Salt Lake City",UT,""
1970-01-01,"Representative - Inside Sales","Wesco Accu-Tech",,,"estimated $41.1k ? $52.1k a year",,,"Salt Lake City",UT,""
1970-01-01,"Area Manager",RGIS,rgis.com,Retail,,,,"Salt Lake City",UT,""
1970-01-01,"Human Resources Advisor","Blue Ivy Professional Services, LLC",getblueivy.com,"Human Resources","estimated $50.7k ? $64.1k a year",,,"Salt Lake City",UT,""
1970-01-01,"IT Specialist (Sysanalys)","US Deputy Assistant Secretary for Information and...",,,"$56,983 - $105,579 a year",,,"Salt Lake City",UT,""
1970-01-01,"Floor Manager","VENETO Ristorante Italiano",venetoslc.com,Restaurants,"estimated $37.2k ? $47k a year",,"Central City-Liberty Wells area)","Salt Lake City",UT," 84111"
1970-01-01,"Virtual Assistant Director Training",Parallon,parallon.com,"Hospital & Health Care",,,,"Salt Lake City",UT," 84124"
1970-01-01,"IT Specialist (DATAMGT/ENTARCH)","US Office of the Assistant Secretary for...",,,"$111,524 - $176,300 a year",,,"Salt Lake City",UT,""
1970-01-01,"Technical Service Representative","Customer Engineering Services (CES) -cesservice",,,"$19 - $21 an hour",,,"Salt Lake City",UT,""
1970-01-01,"Program Assistant","University of Utah",adfinitashealth.com,"Medical Practice","$16.82 - $19.22 an hour",,"East Bench area)","Salt Lake City",UT," 84112"
1970-01-01,"Experienced Patient Financial Services Claims Representative...","Banner Health",bannerhealth.com,"Hospital & Health Care",,Remote,,"Remote in Salt Lake City",UT," 84114"
1970-01-01,"Manager, Administrative","University of Utah",adfinitashealth.com,"Medical Practice","$39,300 - $72,700 a year",,"East Bench area)","Salt Lake City",UT," 84112"
1970-01-01,"Electronic Technician","University of Utah",adfinitashealth.com,"Medical Practice","$15.19 - $28.08 an hour",,"East Bench area)","Salt Lake City",UT," 84112"
1970-01-01,"Revenue Collection Supervisor","Utah Transit Authority",rideuta.com,Transportation/Trucking/Railroad,"$19.32 an hour",,,"Salt Lake City",UT," 84119"
1970-01-01,"Account Executive","NICE CXone",niceincontact.com,"Computer Software","estimated $58.6k ? $74.2k a year",,,"Salt Lake City",UT,""
1970-01-01,"EDD & Sanctions/Watchlist Analyst","Varo Money",varomoney.com,Banking,"estimated $51k ? $64.6k a year",,,"Salt Lake City",UT,""
1970-01-01,"Diagnostic Manager -Cardiology - Primary Children's Hospital","Intermountain Healthcare",intermountainhealthcare.com,"Hospital & Health Care",,,"Greater Avenues area)","Salt Lake City",UT," 84113"
1970-01-01,"Sales Executive Specialist","FIS Global",fisglobal.com,"Computer Games",,,"People's Freeway area)","Salt Lake City",UT," 84101"
1970-01-01,"Specialist - Control Room","Rio Tinto",riotinto.com,"Mining & Metals",,,"East Central area)","Salt Lake City",UT," 84102"
1970-01-01,"Business Development Representative","Xometry Inc",xometry.com,Internet,"estimated $45.5k ? $57.5k a year",,,"Salt Lake City",UT,""
