DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
1970-01-01,"Surveillance Investigator","Allied Universal? Compliance and Investigations",,,,,"Martin Drive area)",Milwaukee,WI," 53208"
1970-01-01,"Journeyman Painter - Parks","Milwaukee County",milwaukee.gov,"Government Administration","$34.18 an hour",,"Zoo area)",Milwaukee,WI," 53226"
1970-01-01,"Field Services Technician","Children's Wisconsin",,,"estimated $41k ? $52k a year",,,Milwaukee,WI,""
1970-01-01,"Aquatic Supervisor","Milwaukee County",milwaukee.gov,"Government Administration","$52,042 - $60,632 a year",,"Zoo area)",Milwaukee,WI," 53226"
1970-01-01,"Office Assistant","Milwaukee Rescue Mission",milmission.org,"Individual & Family Services","estimated $31.7k ? $40.1k a year",,"Avenues West area)",Milwaukee,WI," 53233"
1970-01-01,"Research Program Coordinator II","Medical College of Wisconsin",mcw.edu,"Higher Education",,,,Milwaukee,WI," 53226"
1970-01-01,"Education Program Coordinator II","Medical College of Wisconsin",mcw.edu,"Higher Education",,,,Milwaukee,WI," 53226"
1970-01-01,"Education Program Coordinator II","Medical College of Wisconsin",mcw.edu,"Higher Education",,,,Milwaukee,WI," 53226"
1970-01-01,"Assistant General Manager Trainee",Menards,menards.com,Retail,,,"Bradley Estates area)",Milwaukee,WI," 53223"
1970-01-01,"Web Production Specialist","Medical College of Wisconsin",mcw.edu,"Higher Education",,,,Milwaukee,WI," 53226"
1970-01-01,"Project Analyst","U.S. Bank",whitefortcapital.com,,"$68,765 - $80,900 a year",,,Milwaukee,WI,""
1970-01-01,"Investigative Team Producer, WTMJ","The E.W. Scripps Company",scripps.com,"Media Production","estimated $45.7k ? $57.9k a year",,,Milwaukee,WI,""
1970-01-01,"Environmental Service Supervisor","Housing Authority of the City of Milwaukee",,,"estimated $34.4k ? $43.6k a year",,"Juneau Town area)",Milwaukee,WI," 53202"
1970-01-01,"Access Disclosure Analyst HIM","Children's Wisconsin",,,"estimated $42.9k ? $54.3k a year",,,Milwaukee,WI,""
1970-01-01,"Account Executive","Hearst Media Services",hearstmediact.com,"Marketing & Advertising","estimated $59k ? $74.8k a year",,"Marquette area)",Milwaukee,WI," 53233"
1970-01-01,"Substance Abuse Counselor","Milwaukee Rescue Mission",milmission.org,"Individual & Family Services","estimated $40.7k ? $51.5k a year",,"Avenues West area)",Milwaukee,WI," 53233"
1970-01-01,"Assistant Store Manager","Extra Space Storage",extraspace.com,"Real Estate",,,"Brynwood area)",Milwaukee,WI," 53223"
1970-01-01,"Women's and Family Counselor","Milwaukee Rescue Mission",milmission.org,"Individual & Family Services","estimated $49.3k ? $62.5k a year",,"Avenues West area)",Milwaukee,WI," 53233"
1970-01-01,"Records Coordinator","Marquette University",marquette.edu,"Higher Education","estimated $36.8k ? $46.6k a year",,"Marquette area)",Milwaukee,WI," 53233"
1970-01-01,"Home Health Admissions Coordinator","Ascension at Home - Together with Compassus",ascensionathome.com,"Hospital & Health Care",,,,Milwaukee,WI,""
1970-01-01,"Center Manager - Milwaukee, WI (76th)","Biomat USA, Inc.",grifolsplasma.com,Pharmaceuticals,,,"Martin Drive area)",Milwaukee,WI," 53208"
1970-01-01,"Inside Sales - IoT Customer Accounts","Zurn Water Solutions",zurnwatersolutions.com,"Building Materials","estimated $46.5k ? $58.9k a year",,"Walker's Point area)",Milwaukee,WI," 53204"
1970-01-01,"Technical Product Trainer","Zurn Water Solutions",zurnwatersolutions.com,"Building Materials","estimated $61.5k ? $77.9k a year",,"Walker's Point area)",Milwaukee,WI," 53204"
1970-01-01,"Store Manager - Bayshore Towne Center",J.Jill,j.jill,,,,,Milwaukee,WI,""
1970-01-01,"Co-Pack Manager","Palermo's Pizza",palermospizza.com,"Food & Beverages","estimated $47.3k ? $59.9k a year",,"Menomonee River Valley area)",Milwaukee,WI," 53208"
1970-01-01,"Sales Manager","Potawatomi Bingo Casino",paysbig.com,"Gambling & Casinos","estimated $45.7k ? $57.9k a year",,"Menomonee River Valley area)",Milwaukee,WI," 53233"
1970-01-01,"Supervisor RN Health and Compliance","GOODWILL INDUSTRIES OF SE WIS",,,"estimated $67.7k ? $85.7k a year",,"Kilbourn Town area)",Milwaukee,WI," 53201"
1970-01-01,"Supervisor Lab","Medical College of Wisconsin",mcw.edu,"Higher Education",,,,Milwaukee,WI," 53226"
1970-01-01,"Corporate Marketing Manager","Marcus Hotels Administration",,,"estimated $50.9k ? $64.5k a year",,"Juneau Town area)",Milwaukee,WI,""
1970-01-01,"Art Teacher K4-8th Grade","Nativity Jesuit Academy",,,"estimated $40.2k ? $50.8k a year",,,Milwaukee,WI,""
1970-01-01,"Claims Manager","Milwaukee County Transit System",ridemcts.com,Transportation/Trucking/Railroad,"$74,390 - $87,409 a year",,"Triangle area)",Milwaukee,WI," 53205"
1970-01-01,"My Home Housing Case Manager","The Salvation Army",salvationarmyfortwalton.org,Retail,,,"Midtown area)",Milwaukee,WI," 53205"
1970-01-01,"Grants and Fundraising Manager","Boys & Girls Clubs of Greater Milwaukee",bgcmilwaukee.org,"Nonprofit Organization Management",,,"Harambee area)",Milwaukee,WI," 53212"
1970-01-01,"LATAM Inside Sales Representative (Must be fluent in English...",Splunk,splunk.com,"Computer Software",,,,Milwaukee,WI," 53202"
1970-01-01,"Account Manager","Trisept Solutions",triseptsolutions.com,"Information Technology & Services",,,,Milwaukee,WI," 53217"
1970-01-01,"Commercial Banking Service Representative","BMO Harris Bank",bmoharris.com,Banking,,,"Juneau Town area)",Milwaukee,WI," 53202"
1970-01-01,"FT 1234 Customer Service Rep Milwaukee","CNG Holdings, Inc",,,"estimated $29.6k ? $37.4k a year",,,Milwaukee,WI,""
1970-01-01,"Strategic Account Executive ? Architects","Zurn Water Solutions",zurnwatersolutions.com,"Building Materials","estimated $70.8k ? $89.6k a year",,"Walker's Point area)",Milwaukee,WI," 53204"
1970-01-01,"Project Manager, Professional Services - Remote",Zywave,zywave.com,"Computer Software","estimated $76.2k ? $96.4k a year",Remote,,"Remote in Milwaukee",WI," 53226"
1970-01-01,"Credit Associate 3","Breakthru Beverage Group",breakthrubev.com,Wholesale,,,,"Hybrid remote in Milwaukee",WI," 53202"
1970-01-01,"Education Solutions Executive - Wisconsin","Frontline Education",,,"estimated $68.7k ? $87.1k a year",Remote,,"Remote in Milwaukee",WI," 53202"
1970-01-01,"Project Manager of Online Stores","AM Conservation Group",amconservation.com,Wholesale,"$85,000 - $105,000 a year",,"Kilbourn Town area)",Milwaukee,WI," 53290"
1970-01-01,"Small Business Product Analyst - Remote Within Footprint","Associated Bank",associatedbank.com,"Financial Services","estimated $58.6k ? $74.2k a year",Remote,,"Remote in Milwaukee",WI," 53202"
1970-01-01,"Supply Management Professional",Harley-Davidson,harleyofmasoncity.com,Automotive,,,,Milwaukee,WI,""
1970-01-01,Estimator,Michels,michels.us,Construction,"estimated $53.4k ? $67.6k a year",,,Milwaukee,WI,""
1970-01-01,"BMO Trust and Custody Services, Relationship Manager","BMO Harris Bank",bmoharris.com,Banking,,,"Juneau Town area)",Milwaukee,WI," 53202"
1970-01-01,"Account Manager","Apple Leisure Group",appleleisuregroup.com,Hospitality,,,,Milwaukee,WI," 53217"
1970-01-01,"Barista Supervisor | MSOE","American Food & Vending Corporation",afvusa.com,Hospitality,"estimated $24.4k ? $31k a year",,"Forest Home Hills area)",Milwaukee,WI," 53215"
1970-01-01,"Clinical Sales Specialist - Structural Heart, SI Stroke Prev...","Abbott Laboratories",abbottnutrition.com,Research,,,,Milwaukee,WI,""
1970-01-01,"Digital Marketing Strategist","Cardinal Stritch University Inc",stritch.edu,"Higher Education","estimated $47k ? $59.6k a year",Remote,,"Remote in Milwaukee",WI," 53217"
1970-01-01,"client executive - NASA - Opportunity for Working Remotely M...",VMware,thebrunswicknews.com,Newspapers,,Remote,,"Remote in Milwaukee",WI,""
1970-01-01,"Experienced Claims Adjuster",Progressive,progressivepartnership.co.uk,"Market Research","$50,000 - $69,800 a year",,,Milwaukee,WI,""
1970-01-01,"Project Manager ? Commercial Quotations","Zurn Water Solutions",zurnwatersolutions.com,"Building Materials","estimated $80.1k ? $101k a year",,"Walker's Point area)",Milwaukee,WI," 53204"
1970-01-01,"Operations Manager 2 - Contact Center","U.S. Bank",whitefortcapital.com,,,,,Milwaukee,WI,""
1970-01-01,"Lodging Operation Manager","Residence Inn Milwaukee Downtown",,,"estimated $46.2k ? $58.4k a year",,"Kilbourn Town area)",Milwaukee,WI," 53203"
1970-01-01,"Field Maintenance Technician","Scrub-A-Dub Car Wash & Oil Change",scrubadub.biz,Automotive,"$18 - $22 an hour",,,Milwaukee,WI,""
1970-01-01,"Property Manager","Commonbond Communities",commonbond.org,"Nonprofit Organization Management","estimated $43.9k ? $55.5k a year",,"Triangle area)",Milwaukee,WI," 53205"
1970-01-01,"Advisor Group Coordinator",Thrivent,thrivent.com,"Financial Services",,,,Milwaukee,WI,""
1970-01-01,"Manager Clinical Research","Medical College of Wisconsin",mcw.edu,"Higher Education",,,,Milwaukee,WI," 53226"
1970-01-01,"UX Strategist",Circa,circaingeneva.com,Retail,"estimated $78.3k ? $99.1k a year",,,Milwaukee,WI," 53202"
1970-01-01,"Property Manager","CommonBond Communities",commonbond.org,"Nonprofit Organization Management","estimated $43.9k ? $55.5k a year",,"King Park area)",Milwaukee,WI," 53205"
1970-01-01,"Branch Manager","World Finance",loansbyworld.com,"Financial Services","estimated $42.1k ? $53.3k a year",,,Milwaukee,WI," 53227"
1970-01-01,"3rd Grade Teacher","Nativity Jesuit Academy",,,"estimated $35.2k ? $44.6k a year",,,Milwaukee,WI,""
1970-01-01,"Enterprise Accounts Portfolio Manager - Wisconsin Based","Allied Universal?",,,,,,Milwaukee,WI," 53202"
1970-01-01,"Digital Merchandising Manager - B2B & eCommerce","Zurn Water Solutions",zurnwatersolutions.com,"Building Materials","estimated $56.8k ? $72k a year",,"Walker's Point area)",Milwaukee,WI," 53204"
1970-01-01,"Engineering Director - HR and Finance Systems","U.S. Bank",whitefortcapital.com,,,,,Milwaukee,WI,""
1970-01-01,"Research Nurse II","Medical College of Wisconsin",mcw.edu,"Higher Education",,,,Milwaukee,WI," 53226"
1970-01-01,"Market Development Manager - (RCCB)","Reyes Coca-Cola Bottling",reyescocacola.com,"Food & Beverages",,,"Calumet Farms area)",Milwaukee,WI," 53224"
1970-01-01,"Registered Nurse Therapeutic Services","BloodCenter of Wisconsin",versiti.org,"Hospital & Health Care","estimated $62.2k ? $78.8k a year",,,Milwaukee,WI,""
1970-01-01,"Project Manager - Healthcare","Kahler Slater",kahlerslater.com,"Architecture & Planning","estimated $82k ? $104k a year",,"Kilbourn Town area)",Milwaukee,WI," 53203"
1970-01-01,"Procurement Program Manager","Johnson Controls",ashburton.wa.gov.au,"Government Administration",,,,Milwaukee,WI,""
1970-01-01,"Clinical Documentation Specialist - RN","Children's Wisconsin",,,"estimated $66k ? $83.6k a year",,,Milwaukee,WI,""
