DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
3/2/2022,"Maintenance Technician","Challenger School Foundation",challengerschool.com,"Education Management","$24 - $32 an hour",,"North Valley area","San Jose",CA,"95112"
3/4/2022,"System Admin/Linux(Onsite)","Integration Developer Network LLC",idn-corp.com,"Information Technology & Services","$60 - $65 an hour",,,"San Jose",CA,""
3/1/2022,"Technical Specialist","ADT Security Services",adt.com,"Security & Investigations","$31,000 - $115,000 a year",,,"San Jose",CA,""
3/3/2022,"Field Service Technician","Dynamic Fuel Solutions",,,"$20 - $25 an hour",,,"San Jose",CA,""
3/1/2022,HRBP,"Lloyd Morgan",,,"$70,000 - $150,000 a year",,"Fairgrounds area","San Jose",CA,"95125"
3/3/2022,"Business Operations - Consultative Sales","Global Resources, LLC",,,"$147,000 a year",,,"San Jose",CA,""
3/4/2022,"Branch Manager- San Jose","Imperial Sprinkler Supply",imperialsprinklersupply.com,Wholesale,"$65,000 - $75,000 a year",,"North Valley area","San Jose",CA,"95133"
3/4/2022,"Diesel Technician","Capitol Ford",capitolford.com,Automotive,,,,"San Jose",CA,""
3/2/2022,"FTP/Lube/Sputter Operator","Western Digital",wd.org,,,Remote,,"Remote in San Jose",CA,""
3/4/2022,"Diesel Technician","Capitol Ford",capitolford.com,Automotive,,,,"San Jose",CA,""
3/3/2022,"Dietary Aide","Vista Manor Nursing & Rehabilitation Center",,,,,"North Valley area","San Jose",CA,"95116"
3/2/2022,Housekeeper,"Alpha Phi Sorority",alphaphi.org,"Nonprofit Organization Management","From $20 an hour",,"Downtown area","San Jose",CA,"95112"
3/4/2022,"Accounts Receivable Specialist","GGW Staffing",ggwstaffing.com,"Human Resources","$19 - $20 an hour",,"Downtown area","San Jose",CA,"95112"
3/3/2022,"Service Advisor","Capitol Subaru",capitolsubaru.com,Automotive,,,"Blossom Valley area","San Jose",CA,"95136"
3/3/2022,"Site Manager","On Time Covid Testing",,,"$29.80 an hour",,"Blossom Valley area","San Jose",CA,"95123"
3/2/2022,"Assistant GM - Restaurant","Boston Market | Boston Market Corporation",bostonmarket.com,Restaurants,,,"Willow Glen area","San Jose",CA,"95125"
3/2/2022,"Technology Teacher","Spring Education Group",springeducationgroup.com,"Education Management","$12 - $46 an hour",,"Alum Rock-East Foothills area","San Jose",CA,"95133"
3/4/2022,"Forklift Driver",Foxconn,foxconn.com.sg,,,,"North San Jose area","San Jose",CA,"95112"
3/2/2022,"Locate Technician, Fiber","STAKE CENTER LOCATING LLC",stakecenter.com,Utilities,,,,"San Jose",CA,"95002"
3/3/2022,"Machine Operator","Central Tech",centraltech.edu,"Professional Training & Coaching","$22 - $25 an hour",,"North Valley area","San Jose",CA,"95131"
