DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-03-11,"Distribution Business Process Director (West Coast based, fi...",Nike,nike.com,"Sporting Goods",,,,"Los Angeles",CA,""
2022-03-12,"Director of Human Resources","Arroyo Vista Family Health Center",arroyovista.org,"Hospital & Health Care","Up to $169,916 a year",,,"Los Angeles",CA,""
2022-03-12,"Studio Technical Director","Electronic Arts",ea.com,"Computer Games",,,,"Los Angeles",CA,"90094"
2022-03-11,"Executive Producer",SKYDANCE,skydance.com,Entertainment,,Remote,,"Remote in Los Angeles",CA,"90036"
2022-03-12,"New Business Development Manager","Grantek Systems Integration",grantek.com,"Industrial Automation",,,,"Los Angeles",CA,""
2022-03-11,"Executive, Brand Management","United Talent Agency (UTA)",,,"$82.6K – $105K a year",,,"Los Angeles",CA,""
2022-03-12,"Finance Lead, Android, Wear OS",Google,google.com,Internet,,,"Venice area","Los Angeles",CA,""
2022-03-10,"Marketing/Proposal Manager","Rincon Consultants, Inc",rinconconsultants.com,"Environmental Services","$74.6K – $94.4K a year",,,"Los Angeles",CA,""
2022-03-12,"Social Scientist-Health Equity/Disparity","Health Services Advisory Group, Inc.",hsag.com,"Hospital & Health Care","$71.9K – $91.1K a year",,,"Los Angeles",CA,""
2022-03-12,"Director Org Effectiveness","Electronic Arts",ea.com,"Computer Games",,,,"Los Angeles",CA,""
2022-03-10,"Technical Lead/ Manager (.NET)",NEOGOV,neogov.com,"Computer Software","$125K – $159K a year",Remote,,"Remote in Los Angeles",CA,""
2022-03-10,"Head of Social Production",Tastemade,tastemade.com,Entertainment,,,,"Los Angeles",CA,""
2022-03-12,"Innovation Director (XR)",Trigger,thisistrigger.com,"Marketing & Advertising","$125K – $158K a year",,,"Los Angeles",CA,""
2022-03-12,"Head of Policies & Compliance",Uber,uber.com,Internet,,,,"Los Angeles",CA,"90057"
2022-03-11,"Project Director","Cumming Group",cumming-group.com,Construction,"$106K – $134K a year",,"Downtown area","Los Angeles",CA,"90014"
2022-03-11,"SaaS Head of User Research- Remote",Siemens,siemens.com,"Industrial Automation",,Remote,,"Remote in Los Angeles",CA,""
2022-03-12,"Human Resources Director",Microdesk,microdesk.com,"Computer Software","$118K – $149K a year",,,"Los Angeles",CA,"90014"
2022-03-11,"Lead GM Client Strategy","The Trade Desk",thetradedesk.com,Internet,,,"Westchester area","Los Angeles",CA,"90045"
2022-03-11,"National Design Director - Aviation","HNTB Corporation",hntb.com,"Civil Engineering","$124K – $157K a year",,,"Los Angeles",CA,"90006"
2022-03-10,"Partner Account Manager, AWS (West/Central)",Splunk,splunk.com,"Computer Software",,Remote,,"Remote in Los Angeles",CA,"90002"
2022-03-10,"Project Manager","PMA Consultants",pmaconsultants.com,"Management Consulting","$95.1K – $120K a year",,"Downtown area","Los Angeles",CA,"90014"
