DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-04-18,"Coordinator - Training Service Center","United Airlines Inc.",united.com,Airlines/Aviation,"$37,650 a year",,,Denver,CO,"80221"
2022-04-19,"Student Services Office Coordinator","Metropolitan State University of Denver",msudenver.edu,"Higher Education","$40 an hour",,"Auraria area",Denver,CO,"80204"
2022-04-19,"P&C Insurance Representative - Join the #1 Insurance Tech St...",Jerry,getjerry.com,Internet,"$40,000 a year",Remote,,"Remote in Denver",CO,"80222"
2022-04-19,,"Cultural Care Au Pair",culturalcare.com,"Education Management","$40,000 a year",,,"Hybrid remote in Denver",CO,"80202"
2022-04-19,,"Denver Health",denverhealth.org,"Hospital & Health Care","$17.86 - $24.18 an hour",,"Lincoln Park area",Denver,CO,"80204"
2022-04-19,"✨ House Cleaner (Arvada): Paid Weekly - Full Time","Summit Cleaning LLC",summitcleaningco.com,,"$800 - $950 a week",,,Denver,CO,""
2022-04-16,"ASSISTANT OPERATIONS MANAGER - FRONT OFFICE","Hyatt Regency Denver Convention Center",,,"$54,100 - $78,400 a year",,,Denver,CO,""
2022-04-17,,"Remote Customer Service Representative",,,"$18 - $19 an hour",,,,,""
2022-04-16,,"Insurance Representative",,,"$19.67 - $25.57 an hour",,,,,""
2022-04-16,"Membership Rep II",Anthem,anthem.com,Insurance,,,"Capitol Hill area",Denver,CO,"80273"
2022-04-19,"Associate Manager Data Center Operations",e-Infochips,,,"estimated $66k – $83.6k a year",,,Denver,CO,""
2022-04-19,"MANAGER II, FACILITY","Denver Public Schools",dpsk12.org,"Primary/Secondary Education","$23.74 an hour",,"Lowry Field area",Denver,CO,"80230"
2022-04-16,,"Dumb Friends League",ddfl.org,"Nonprofit Organization Management","$20 an hour",,,Denver,CO,""
2022-04-19,"Receptionist / Administrative Assistant - $20 per Hour","Denver, CO 80221",,,,,,,,""
2022-04-19,,"PBA AGENT",,,"$18 an hour",,,,,""
2022-04-19,,"Equipment Operator (Airport)",,,"$24.54 an hour",,,,,""
2022-04-16,"Texas Roadhouse Managing Partner","Texas Roadhouse",nextbposolutions.com,Outsourcing/Offshoring,,,"Stapleton area",Denver,CO,"80238"
2022-04-18,"Strategic Account Executive",Popmenu,popmenu.com,Internet,"$150,000 - $200,000 a year",,,Denver,CO,""
2022-04-19,"MANAGER I, FACILITY","Denver Public Schools",dpsk12.org,"Primary/Secondary Education","$21.77 an hour",,"Central East Denver area",Denver,CO,"80220"
2022-04-16,,"State of Colorado Job Opportunities",colorado.gov,"Government Administration","$4,370 - $5,244 a month",Remote,,"Remote in Denver",CO,"80203"
2022-04-19,,"Courtesy Posting- Administrative Assistant – Appellate Divis...",,,"$3,137 a month",,,Denver,CO,""
2022-04-19,,"Administrative Assistant - Appellate Division",,,"$3,137 a month",,,,,""
2022-04-16,"WS Ranch Collections Assistant (14 month Term)","Denver Museum of Nature & Science",dmns.org,"Museums & Institutions",,,"City Park area",Denver,CO,"80205"
2022-04-16,"Technical Sales Representative",Ecolab,ecolab.com,Chemicals,,,"Montbello area",Denver,CO,"80239"
2022-04-19,"FRONT OFFICE AGENT","Grand Hyatt Denver",,,,,"Central Business District area",Denver,CO,"80202"
2022-04-16,"Project Controls Specialist",Stantec,tdg.co.nz,"Civil Engineering","$25.53 an hour",,"University Hills area",Denver,CO,"80222"
2022-04-16,"Account Manager- Construction","IMA Financial Group, Inc.",imacorp.com,Insurance,"$57,100 - $78,500 a year",,"Union Station area",Denver,CO,"80202"
2022-04-18,"SOCIAL WORKER","Denver Public Schools",dpsk12.org,"Primary/Secondary Education",,,"Central West Denver area",Denver,CO,"80204"
2022-04-19,"Sales Rep","Residential Elevators",residentialelevators.com,Construction,"estimated $61.3k – $77.7k a year",,,Denver,CO,""
