DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
3/2/2022,"Part-Time Banquet Server - The Antlers, A Wyndham Hotel","The Antlers Hotel",antlers.com,Hospitality,,,"Central Colorado Springs area","Colorado Springs",CO,"80903"
3/2/2022,Bartender,"Dog Haus",,,"$14 - $18 an hour",,"Northgate area","Colorado Springs",CO,"80921"
3/4/2022,"Cashier and Customer Service","Colorado Liquor Outlet",coloradoliquormart.net,Restaurants,"$13.00 - $13.50 an hour",,"Briargate area","Colorado Springs",CO,"80920"
3/4/2022,"Medical Biller/Coder","Pikes Peak Allergy & Asthma",,,"$19 - $22 an hour",,"Briargate area","Colorado Springs",CO,"80920"
3/4/2022,"Travel Team Inventory Associate","WIS International",wisintl.com,Retail,"From $16 an hour",,,"Colorado Springs",CO,""
3/2/2022,"Restaurant Team Member","Noodles & Company",sagamoredp.com,,"$13.50 - $16.50 an hour",,"Northeast Colorado Springs area","Colorado Springs",CO,"80918"
3/2/2022,"Restaurant Team Member","Noodles & Company",sagamoredp.com,,"$13.50 - $16.50 an hour",,"Northeast Colorado Springs area","Colorado Springs",CO,"80918"
3/1/2022,"Program Lead (PT)","Boys and Girls Club of the Pikes Peak Region",bgcppr.org,,"$13 - $14 an hour",,"Old Colorado City area","Colorado Springs",CO,""
3/1/2022,"Labor- Paid Weekly Weekends ONLY-","Fleet Clean",fleetcleanusa.com,Transportation/Trucking/Railroad,"$16 an hour",,"Powers area","Colorado Springs",CO,"80918"
3/3/2022,"EM or Youth Pastor (part-time)","Korean New Life Church",,,"From $1,000 a month",,"East Colorado Springs area","Colorado Springs",CO,"80915"
3/2/2022,"Mall Bungee Worker","Fly High Bungee",,,"From $12.56 an hour",,"East Colorado Springs area","Colorado Springs",CO,"80909"
3/2/2022,"Food Service Assoc SSA at Cheyenne Mountain Zoo","SSA Group, LLC",thessagroup.com,"Events Services","$12.75 - $16.00 an hour",,"Southwest Colorado Springs area","Colorado Springs",CO,"80906"
3/4/2022,"Front Desk Administrator","Ascend Physical Therapy",ascendptwellness.com,"Medical Practice","$11 - $16 an hour",,"Northwest Colorado Springs area","Colorado Springs",CO,"80919"
3/2/2022,"Lower School Paraprofessional","Thomas MacLaren School",maclarenschool.org,"Primary/Secondary Education","$14 - $17 an hour",,"East Colorado Springs area","Colorado Springs",CO,"80915"
3/1/2022,"Part Time Sales Associate","Precious Pals dba Pet City",,,,,"Briargate area","Colorado Springs",CO,"80920"
3/4/2022,"Crew Member Dublin - Open Availability","Firehouse Subs",firehousesubsfoundation.org,"Nonprofit Organization Management","$12.56 - $14.00 an hour",,"Northeast Colorado Springs area","Colorado Springs",CO,"80923"
3/4/2022,"Crew Member Dublin - 10:30AM-4:00PM","Firehouse Subs",firehousesubsfoundation.org,"Nonprofit Organization Management","$12.56 - $14.00 an hour",,"Northeast Colorado Springs area","Colorado Springs",CO,"80923"
3/4/2022,"Graphic Designer/Production Artist","Colorado Canyon Signs",,,"From $18 an hour",,"Old Colorado City area","Colorado Springs",CO,"80905"
3/3/2022,"Restaurant Server (Evenings)","The Academy Hotel",theacademyhotel.com,Restaurants,"$14 an hour",,"Powers area","Colorado Springs",CO,"80918"
3/2/2022,"Night Stocker",Safeway,safewaymobility.com,,"From $15.80 an hour",,,"Colorado Springs",CO,"80907"
3/4/2022,"Concierge - Part Time - Revel Province","Revel Communities, LLC",,,"$14.25 an hour",,"Powers area","Colorado Springs",CO,"80922"
3/3/2022,"Sat & Sun Evening Cleaner on Ft Carson","COMMERICAL CLEANING SERVICES",78clean.com,"Facilities Services","From $16.20 an hour",,,"Colorado Springs",CO,"80913"
3/3/2022,"Crew Member","Papa Murphy's | Fresh Take LLC",papamurphys.com,Restaurants,"$15 - $18 an hour",,"Southeast Colorado Springs area","Colorado Springs",CO,"80916"
3/2/2022,"Opening Bartender SpringHill Suites and Element","Hotel Equities",hotelequities.com,Hospitality,"$12 an hour",,"Central Colorado Springs area","Colorado Springs",CO,"80903"
3/4/2022,"Litigation Paralegal","McCormick & Murphy, PC",,,"From $25 an hour",Remote,,"Hybrid remote in Colorado Springs",CO,""
3/4/2022,"Banquet Severs (Part Time/On-Call)","Doubletree by Hilton Colorado Springs",,,"$14 - $17 an hour",,,"Colorado Springs",CO,""
3/4/2022,"Part-Time Trash Valet- PAW","Ally Waste",allywaste.com,"Environmental Services","$50 a day",,,"Colorado Springs",CO,""
3/3/2022,"Service Coordinator: New Life Downtown","New Life Church",newlifeeveryday.com,,"$14 an hour",,"Central Colorado Springs area","Colorado Springs",CO,"80903"
3/3/2022,"OB/GYN Nurse","Exceptional Care For Women",exceptionalcareforwomen.com,"Medical Practice","$28 - $34 an hour",,"Powers area","Colorado Springs",CO,"80923"
3/4/2022,"Front Desk Receptionist","Medical Alternatives Clinics",medicalalternativesclinics.com,"Hospital & Health Care","$12.60 - $13.00 an hour",,"Northwest Colorado Springs area","Colorado Springs",CO,"80919"
3/4/2022,"Overnight and Weekends Caregivers NEEDED! WEEKLY PAY!","Cornerstone Caregiving",cornerstonecaregiving.com,"Hospital & Health Care","$15 - $18 an hour",,,"Colorado Springs",CO,""
3/4/2022,"Sales Executive","Trufl Inc",,,"From $6,000 a month",,,"Colorado Springs",CO,""
3/3/2022,"Restaurant Server (Breakfast)","Buttermilk Breakfast Eatery",,,"$9.54 an hour",,"Northgate area","Colorado Springs",CO,"80921"
3/2/2022,"Operations Clerk I Part Time","Saia LTL Freight",saia.com,,"$16.40 - $20.21 an hour",,"West Colorado Springs area","Colorado Springs",CO,"80907"
3/4/2022,"Physical Therapy Assistant (PTA) - Home Health Care","Optimal Home Care Inc",optimalhomecare.com,"Hospital & Health Care","$26 - $30 an hour",,,"Colorado Springs",CO,""
3/3/2022,"Peterson - Warehouse Specialist","Lamain Crescent Joint Venture, LLC",,,"$19.28 an hour",,"Powers area","Colorado Springs",CO,"80914"
3/2/2022,"Part Time Security Officer (Unarmed) - Children's Hospital (...","HSS Inc.",hss-us.com,"Security & Investigations",,,"Briargate area","Colorado Springs",CO,"80920"
3/1/2022,"Kennel Maintenance Team Member","Precious Pals dba Pet City",,,"$15 an hour",,"Briargate area","Colorado Springs",CO,"80920"
3/4/2022,"Delivery Drivers needed! Same day TIPS! 817 Cheyenne Meadows...","Jimmy John's",,,"$11.50 - $25.00 an hour",,"Southwest Colorado Springs area","Colorado Springs",CO,"80906"
3/2/2022,"On Call Handyman","Five Star Mountain Rentals",,,"$34.75 - $35.00 an hour",,,"Colorado Springs",CO,""
3/3/2022,"Behavior Technician (Colorado Springs Center)","Hopebridge, LLC",hopebridge.com,"Hospital & Health Care","$15.50 an hour",,"East Colorado Springs area","Colorado Springs",CO,"80909"
3/2/2022,"Registered Behavior Technician (RBT) - North East Colorado S...","InBloom Autism Services",inbloomautism.com,"Individual & Family Services","$18 - $22 an hour",,"Northwest Colorado Springs area","Colorado Springs",CO,"80919"
