DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
01-03-2022,"Conflicts Analyst","Hogan Lovells",hoganlovells.com,"Law Practice","$42,000 - $62,000 a year",,"Central Business District area",Denver,CO,"80202"
01-03-2022,"Training and Outreach Specialist","State of Colorado Job Opportunities",colorado.gov,"Government Administration","$4,370 - $6,000 a month",,,Denver,CO,""
26-02-2022,"Developer Advocate",Slack,slack.com,"Computer Software","$107,000 a year",,"Union Station area",Denver,CO,"80202"
26-02-2022,"Learning & Evaluation Officer","NextFifty Initiative",next50initiative.org,"Nonprofit Organization Management","$80,000 - $95,000 a year",Remote,,"Remote in Denver",CO,""
01-03-2022,"Government Affairs Specialist","Denver Health",denverhealth.org,"Hospital & Health Care","$67.6K ? $85.6K a year",,,Denver,CO,""
27-02-2022,"SPECIALIST II, SCHOOL TECHNOLOGY","Denver Public Schools",dpsk12.org,"Primary/Secondary Education","$25.86 - $31.41 an hour",,"Southeastern Denver area",Denver,CO,"80224"
01-03-2022,"Technical Distribution Design Supervisor - Denver Metro","Xcel Energy",xcelenergy.com,Utilities,"$77,000 - $109,666 a year",,"Union Station area",Denver,CO,"80202"
01-03-2022,"Development Associate","Alliance Residential Company",allresco.com,"Real Estate","$95,000 a year",,"Southeastern Denver area",Denver,CO,"80237"
26-02-2022,"Accountant II - General Accounting","State of Colorado Job Opportunities",colorado.gov,"Government Administration","$52,440 - $68,400 a year",Remote,,"Hybrid remote in Denver",CO,""
26-02-2022,"Executive Assistant","University of Colorado",cu.edu,"Higher Education",,,"Central Business District area",Denver,CO,"80217"
26-02-2022,"Specialist 3, Product Management",Comcast,comcast.com,Telecommunications,,,"Highland area",Denver,CO,"80202"
26-02-2022,"Education Coordinator","Denver Health",denverhealth.org,"Hospital & Health Care","$43.4K ? $55K a year",,,Denver,CO,""
01-03-2022,"Executive Assistant","CorePower Yoga",corepoweryoga.com,"Health, Wellness & Fitness","$65,000 - $85,000 a year",,"Five Points area",Denver,CO,"80216"
27-02-2022,"Recruiting Business Partner - West Division Virtual",Comcast,comcast.com,Telecommunications,,,,Denver,CO,""
01-03-2022,"988 CONTRACT ADMINISTRATOR","State of Colorado Job Opportunities",colorado.gov,"Government Administration","$65,136 - $95,352 a year",,"North Capitol Hill area",Denver,CO,"80203"
01-03-2022,"Residency Coordinator-Community Health Services","Denver Health",denverhealth.org,"Hospital & Health Care",,,,Denver,CO,""
26-02-2022,"Postsecondary Apprenticeship Specialist","State of Colorado Job Opportunities",colorado.gov,"Government Administration","$65,136 - $80,244 a year",Remote,,"Hybrid remote in Denver",CO,""
26-02-2022,"Sports Anchor - MMJ","Nexstar Broadcasting",binghamtonhomepage.com,,"From $80,000 a year",,,Denver,CO,""
01-03-2022,"Public Health Program Assistant (PA II) (FAA-00957-02-2022)","State of Colorado Job Opportunities",colorado.gov,"Government Administration","$52,776 - $70,200 a year",Remote,,"Remote in Denver",CO,""
01-03-2022,"Coordinator Inpatient Coding Quality",UCHealth,uchealth.org,"Hospital & Health Care","$29.54 - $44.31 an hour",Remote,,"Remote in Denver",CO,""
28-02-2022,"Director of Admissions (Anderson College of Business & Compu...","Regis University",regis.edu,"Higher Education","Up to $90,000 a year",,"Regis area",Denver,CO,"80221"
26-02-2022,"Payroll Coordinator","Colorado Rockies",coloradorockies.com,"Fitness & Dance Facilities, Recreation, Hospitality","$60,000 - $65,000 a year",,,Denver,CO,""
26-02-2022,"Health Information Technology (IT) Director","State of Colorado Job Opportunities",colorado.gov,"Government Administration","$93,540 - $151,596 a year",,"North Capitol Hill area",Denver,CO,"80203"
01-03-2022,"Payroll Accountant","State of Colorado Job Opportunities",colorado.gov,"Government Administration","$4,370 - $4,866 a month",,"North Capitol Hill area",Denver,CO,"80203"
01-03-2022,"Contingent Workforce Program Manager - Remote, US",Splunk,splunk.com,"Computer Software","$75,000 a year",Remote,,"Remote in Denver",CO,""
28-02-2022,"Risk Operations Analyst",Visa,visa.com,"Information Technology & Services","$88,000 a year",,,Denver,CO,""
28-02-2022,"Marketing Strategist","TOP Agency",topagency.com,"Marketing & Advertising","$62.4K ? $79K a year",,,Denver,CO,""
26-02-2022,"Information Technology (IT) Manager","Atlas Real Estate",realatlas.com,"Real Estate","$75,000 - $113,000 a year",,,Denver,CO,""
27-02-2022,"Digital Strategist","TOP Agency",topagency.com,"Marketing & Advertising","$68K ? $86K a year",,,Denver,CO,""
26-02-2022,"Visits and Events Coordinator","Metropolitan State University of Denver",msudenver.edu,"Higher Education","$41,200 - $51,500 a year",,"Auraria area",Denver,CO,"80204"
27-02-2022,"OSIsoft PI Data Analyst","Xcel Energy",xcelenergy.com,Utilities,"$72,100 - $102,433 a year",,"Union Station area",Denver,CO,"80202"
01-03-2022,"Patient Access Specialist Lead- Westwood Family Practice","Denver Health",denverhealth.org,"Hospital & Health Care","$30.6K ? $38.8K a year",,,Denver,CO,""
26-02-2022,"Marketing Data Analyst","Zayo Group",zayo.com,Telecommunications,"$75,000 - $95,000 a year",,,Denver,CO,""
26-02-2022,"Manager, Grants","United Way",unitedwaytv.com,"Civic & Social Organization","$54,000 - $58,000 a year",Remote,,"Hybrid remote in Denver",CO,""
28-02-2022,"Food Runner","Quality Italian Denver",qualityitaliandenver.com,,"$26.7K ? $33.9K a year",,,Denver,CO,""
26-02-2022,"Global Talent Management Lead - Remote, US",Splunk,splunk.com,"Computer Software","$75,000 a year",Remote,,"Remote in Denver",CO,""
01-03-2022,"Business Integration Consultant","Xcel Energy",xcelenergy.com,Utilities,"$77,000 - $109,666 a year",,"Union Station area",Denver,CO,"80202"
01-03-2022,"Benefits Supervisor (remote work options) - Human Resources...","State of Colorado Job Opportunities",colorado.gov,"Government Administration","$81,504 - $102,258 a year",Remote,,"Remote in Denver",CO,""
26-02-2022,Inspector,Benesch,,,"$20 - $40 an hour",,"Hampden South area",Denver,CO,"80237"
26-02-2022,"Studio Manager",Rowan,forrowan.com,"Apparel & Fashion","$70,000 - $75,000 a year",,,Denver,CO,""
26-02-2022,"Laboratory Technician (Full Time)","Denver Health",denverhealth.org,"Hospital & Health Care","$35.6K ? $45K a year",,,Denver,CO,""
01-03-2022,"Director of Animal Protection - Department of Public Health...","City and County of Denver",,,,,,Denver,CO,""
26-02-2022,"CDPHE ONLY - Superfund & Site Assessment Unit Leader - 02322","State of Colorado Job Opportunities",colorado.gov,"Government Administration","$6,995 - $10,605 a month",,"North Capitol Hill area",Denver,CO,"80203"
01-03-2022,"Transactions and Records Services Manager","State of Colorado Job Opportunities",colorado.gov,"Government Administration","$81,504 - $99,900 a year",,,Denver,CO,""
01-03-2022,"Commercial Banking Assistant II","Citywide Bank",citywidebanks.com,Banking,"$35.1K ? $44.5K a year",,"Montbello area",Denver,CO,"80239"
01-03-2022,"Transactions and Record Services Manager","Colorado State Board of Land Commissioners",,,"$81,504 - $99,900 a year",,"Capitol Hill area",Denver,CO,"80203"
01-03-2022,"Financial Analyst","Intermountain Electric, Inc",imelect.com,Construction,"$75,000 - $112,000 a year",,"Chaffee Park area",Denver,CO,"80221"
26-02-2022,"Remote Accountant (Virtual Bookkeeper PART-TIME or FULL-TIME...","Supporting Strategies",supportingstrategies.com,Accounting,"$39.1K ? $49.5K a year",Remote,,"Remote in Denver",CO,""
26-02-2022,"Grants Specialist III (POST Unit)","State of Colorado Job Opportunities",colorado.gov,"Government Administration","$4,370 - $5,800 a month",,,Denver,CO,""
26-02-2022,"Financial Analyst","Broe Real Estate Group",broerealestate.com,"Real Estate","$75,000 - $95,000 a year",,"Central East Denver area",Denver,CO,"80206"
01-03-2022,"Associate Director of Admission, Communications and Events","Metropolitan State University of Denver",msudenver.edu,"Higher Education","$57,600 - $76,900 a year",,"Auraria area",Denver,CO,"80204"
01-03-2022,"MARKETING & COMMUNICATIONS SPECIALIST III (FAA00971-02.2022)","State of Colorado Job Opportunities",colorado.gov,"Government Administration","$52,440 - $76,740 a year",,"North Capitol Hill area",Denver,CO,"80203"
01-03-2022,"Public Health COVID-19 Training Manager (HP IV) (FAA-00956-0...","State of Colorado Job Opportunities",colorado.gov,"Government Administration","$68,340 - $85,320 a year",Remote,,"Remote in Denver",CO,""
27-02-2022,"LIAISON, STUDENT SUPPORT","Denver Public Schools",dpsk12.org,"Primary/Secondary Education","$41,377 - $50,259 a year",,"Montbello area",Denver,CO,"80239"
27-02-2022,"LIAISON, STUDENT, PARENT, FAMILY, AND COMMUNITY","Denver Public Schools",dpsk12.org,"Primary/Secondary Education","$42,301 - $51,427 a year",,"Westwood area",Denver,CO,"80219"
