DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-03-08,"Business Value Services Manager",Salesforce,covidi.com,"Computer Software","$138,400 a year",,,Denver,CO,""
2022-03-05,"Director of Horticulture and the Center for Global Initiativ...","Denver Botanic Gardens",botanicgardens.org,"Museums & Institutions","$12,692 - $13,462 a month",Remote,,"Remote in Denver",CO,"80206"
2022-03-05,"Deputy Director of Facilities Management - General Services","City and County of Denver",,,"$97K – $123K a year",,,Denver,CO,""
2022-03-06,"Director of Operations",blennd,blennd.com,"Online Media","$85,000 - $110,000 a year",Remote,,"Hybrid remote in Denver",CO,"80216"
2022-03-05,"Director Communications",CSG,csgi.com,"Computer Software","$97.5K – $123K a year",Remote,,"Remote in Denver",CO,""
2022-03-08,"Principal Cloud Migration Consultant","Amazon Web Services, Inc.",,,"$122,300 a year",,,Denver,CO,""
2022-03-08,Estimator,"PCL Construction",pcl.com,Construction,"Up to $146,000 a year",,,Denver,CO,""
2022-03-05,"AWS Solution Architect",IBM,bionovo.com.cn,"Computer Software",,,,Denver,CO,""
2022-03-06,"Brand Marketing Manager","CapTech Consulting",captechconsulting.com,"Information Technology & Services","$89.5K – $113K a year",Remote,,"Remote in Denver",CO,""
2022-03-05,"Application Architect",IBM,bionovo.com.cn,"Computer Software","$135,000 - $208,000 a year",,,Denver,CO,""
2022-03-05,"Executive Director, Financial Aid and Scholarships","Metropolitan State University of Denver",msudenver.edu,"Higher Education","$105,000 - $130,000 a year",,"Auraria area",Denver,CO,"80204"
2022-03-08,"Edge Specialist",Equinix,equinix.com,Internet,,,"Lodo area",Denver,CO,"80202"
2022-03-05,"Group Leader, Human Resources","Western Union",westernunion.com,"Financial Services","$191,182 a year",,"Southeastern Denver area",Denver,CO,"80237"
2022-03-05,"Interior Designer",Jacobs,jacobs.com,"Civil Engineering","$88,700 - $138,650 a year",,,Denver,CO,"80221"
2022-03-08,"Edge Specialist",Equinix,equinix.com,Internet,,,"City Park West area",Denver,CO,"80218"
2022-03-08,"Oracle DBA","Cognizant Technology Solutions",cognizant.com,"Information Technology & Services",,,,Denver,CO,"80012"
2022-03-07,"Preconstruction Manager","PCL Construction",pcl.com,Construction,"$119,000 - $160,000 a year",,,Denver,CO,""
2022-03-05,"Engineering Manager",RK,rkguns.com,,"$116K – $148K a year",,"Stapleton area",Denver,CO,"80238"
2022-03-08,"Building Systems Manager","PCL Construction",pcl.com,Construction,"$130,000 - $165,000 a year",,,Denver,CO,""
2022-03-06,"Solutions Architect - All Covered","Konica Minolta",konicaminolta.in,"Information Technology & Services",,,,Denver,CO,"80201"
2022-03-06,"Director - Research, Collections, Detections (Remote US)",Mandiant,mandiant.com,"Information Technology & Services","$180,000 a year",Remote,,"Remote in Denver",CO,""
2022-03-08,"Project Manager - EPA","CDM Smith",cdmsmith.com,"Civil Engineering","$85.1K – $108K a year",,"Union Station area",Denver,CO,"80202"
2022-03-05,"Preconstruction Manager",RK,rkguns.com,,"$81.5K – $103K a year",,"Stapleton area",Denver,CO,"80238"
2022-03-06,"Director Marketing",Frontdoor,frontdoorhome.com,"Consumer Services","$100K – $127K a year",Remote,,"Remote in Denver",CO,"80238"
2022-03-05,"Financial Planning and Analysis (FP&A) - Associate Director","Riveron Consulting",riveron.com,"Management Consulting",,,,Denver,CO,""
2022-03-08,"Technical Fellow",Indeed,indeed.com,Internet,"$236,000 - $342,000 a year",,,Denver,CO,""
2022-03-08,"Director of Operations",Blennd,blennd.com,"Online Media","$85,000 - $110,000 a year",Remote,,"Hybrid remote in Denver",CO,"80216"
2022-03-08,"Human Resources Director","Kenny Electric Services Inc",,,"$110,000 - $120,000 a year",,"Baker area",Denver,CO,"80204"
