DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-05-22,"Surgical Coordinator",UCHealth,uchealth.org,"Hospital & Health Care","$20.26 - $26.34 an hour",,,Denver,CO,""
2022-05-21,"Medical Records","Clinica Family Health",clinica.org,"Medical Practice","$15.20 - $17.50 an hour",,,Denver,CO,"80221"
2022-05-24,"The North Face: Planner, Outlet","The North Face",thenorthface.com,"Apparel & Fashion","$86,400 - $129,600 a year",,"Cherry Creek area",Denver,CO,"80206"
2022-05-24,"Data Privacy Specialist",Ibotta,ibotta.com,Internet,"$90,000 - $120,000 a year",Remote,,"Remote in Denver",CO,"80202"
2022-05-21,"House Cleaner/Housekeeping (Flexible Schedule + Tips)","Cleanzen Cleaning Services",cleanzen.com,Hospitality,"$1,000 - $1,400 a week",,,Denver,CO,""
2022-05-24,"Team Lead, Software Development",Crownpeak,crownpeak.com,"Computer Software","$94,016 a year",,,Denver,CO,""
2022-05-24,"Sales Administrative Assistant","Four Seasons",fourseasons.com,Hospitality,,,,Denver,CO,""
2022-05-21,"Travel Nurse Practitioner","Milan Laser Hair Removal",milanlaser.com,"Health, Wellness & Fitness","$115,000 a year",,"Gateway-Green Valley Ranch area",Denver,CO,"80249"
2022-05-21,"Health Care Navigator","Volunteers of America Colorado Branch",voacolorado.org,"Nonprofit Organization Management",,,"Central West Denver area",Denver,CO,"80204"
2022-05-24,"Executive Housekeeper","Stapleton Residence Inn",,,"$37.2K - $47K a year",,,Denver,CO,"80238"
2022-05-21,"Office Service Representative I","Canon Business Process Services, Inc.",canon.com,"Consumer Electronics",,,,Denver,CO,"80221"
2022-05-24,"Warehouse Worker","Keurig Dr Pepper",drpeppersnapplegroup.com,"Food & Beverages","$20.33 an hour",,,Denver,CO,""
2022-05-24,"Marketing Associate",Transwestern,transwestern.com,"Commercial Real Estate","$52.3K - $66.3K a year",,,Denver,CO,""
2022-05-24,"Data Analyst - Renewal Desk Administrator",Dynatrace,dynatrace.com,"Computer Software","$51,500 - $63,000 a year",,"Lodo area",Denver,CO,"80202"
2022-05-21,"Physician Coordinator","Devereux Advanced Behavioral Health",devereux.org,"Mental Health Care","$17.50 - $19.95 an hour",,"University area",Denver,CO,"80210"
2022-05-21,"Payments Processor","American Auto Shield",americanautoshield.com,Insurance,"$18 - $22 an hour",Remote,,"Remote in Denver",CO,""
2022-05-22,Registrar,"Presbyterian/St. Luke's Medical Center",pslmc.com,"Hospital & Health Care","$16.45 - $22.21 an hour",,,Denver,CO,"80218"
2022-05-22,"Associate Payment Intelligence and Cybercrime Analyst",Visa,visa.com,"Information Technology & Services","$72,000 a year",,,Denver,CO,""
2022-05-24,"Night Auditor",Hyatt,hyatt.com,Hospitality,"$18 an hour",,"Central Business District area",Denver,CO,"80202"
2022-05-24,"Membership and Visitor Services Database Coordinator","DENVER BOTANIC GARDENS INC",,,"$24.04 an hour",,"Central East Denver area",Denver,CO,"80206"
2022-05-22,"Multi-Media Reporter","CBS Television Stations",,,"$60,000 - $70,000 a year",,"Capitol Hill area",Denver,CO,"80203"
2022-05-21,Teller,"Blue Federal Credit Union",bluefcu.com,"Financial Services","$15.60 - $19.50 an hour",,"Southeastern Denver area",Denver,CO,"80222"
2022-05-21,"Network Support Representative","American Auto Shield",americanautoshield.com,Insurance,"$18 - $22 an hour",,,Denver,CO,""
2022-05-21,"1:1 Educational Assistant (RBH, 2022-2023)","STRIVE Prep",,,"$35,000 - $48,250 a year",,"College View - South Platte area",Denver,CO,"80219"
2022-05-24,"Entry Level Traveling Customer Trainer","Reynolds and Reynolds",reyrey.com,"Computer Software","$50,000 - $52,000 a year",,,Denver,CO,"80201"
2022-05-22,Registrar,"Rose Medical Center",rosemed.com,"Hospital & Health Care","$16.45 - $22.21 an hour",,,Denver,CO,"80220"
2022-05-22,"Security Guard Specialist 1","Scout Security",scoutalarm.com,,"$19 - $21 an hour",,"Virginia Village area",Denver,CO,"80224"
2022-05-21,"Crew Member",Wingstop,,,"From $15.87 an hour",,"College View - South Platte area",Denver,CO,"80219"
2022-05-21,"Library Assistant II - Virginia Village Branch Library","City and County of Denver",,,"$16.22 - $24.33 an hour",,,Denver,CO,""
2022-05-24,"PM Housekeeper",Hyatt,hyatt.com,Hospitality,"$16 an hour",,"Central Business District area",Denver,CO,"80202"
2022-05-21,"Center Educational Assistant (MBC, 2022-2023)","STRIVE Prep",,,"$35,000 - $48,250 a year",,"Montbello area",Denver,CO,"80239"
2022-05-24,"Entry Level Customer Training Specialist – Traveling","Reynolds and Reynolds",reyrey.com,"Computer Software","$50,000 - $52,000 a year",,,Denver,CO,"80201"
2022-05-21,"Mainframe Software Engineer Trainee - Denver, CO","U.S. Bank",whitefortcapital.com,,"$58,735 - $69,100 a year",,,Denver,CO,""
2022-05-21,"Office Manager (MBC, 2022-2023)","STRIVE Prep",,,"$50,000 - $59,000 a year",,"Montbello area",Denver,CO,"80239"
2022-05-24,"Maintenance Technician",Hyatt,hyatt.com,Hospitality,"$17 an hour",,"Central Business District area",Denver,CO,"80202"
2022-05-24,"PHYSICAL SCIENCE RESEARCHER/SCIENTIST I","State of Colorado Job Opportunities",colorado.gov,"Government Administration","$4,838 - $5,806 a month",,"North Capitol Hill area",Denver,CO,"80203"
2022-05-24,"Patient Safety Attendant","Presbyterian/St. Luke's Medical Center",pslmc.com,"Hospital & Health Care","$15 - $19 an hour",,,Denver,CO,"80218"
2022-05-24,"Dual Sales Coordinator","Denver Residence inn & Staybridge Suites",,,,,,Denver,CO,"80238"
2022-05-24,"Non certified Sterile Processing Technician","Denver Health",denverhealth.org,"Hospital & Health Care","$33.7K - $42.7K a year",,,Denver,CO,""
2022-05-21,"Animal Care Associate - Seasonal","Dumb Friends League",ddfl.org,"Nonprofit Organization Management","$17 an hour",,,Denver,CO,""
2022-05-24,"Office Services Associate","Williams Leatag",williamslea.com,Outsourcing/Offshoring,"$18 an hour",,,Denver,CO,""
2022-05-21,"Marketing Assistant - CO & MN","Xcel Energy",xcelenergy.com,Utilities,"$19.80 - $27.66 an hour",,"Union Station area",Denver,CO,"80202"
2022-05-24,"Inventory Specialist",TEGNA,tegna.com,"Broadcast Media","$40,000 - $45,000 a year",,,Denver,CO,""
2022-05-23,Server,"Sunday Vinyl",sundayvinyl.com,,"$18 - $22 an hour",,"Union Station area",Denver,CO,"80202"
2022-05-21,"Constituent Services Program Assistant","State of Colorado Job Opportunities",colorado.gov,"Government Administration","$4,092 - $5,400 a month",,,Denver,CO,""
2022-05-24,"Regulatory Administrator","Xcel Energy",xcelenergy.com,Utilities,"$66,000 - $94,000 a year",,"Union Station area",Denver,CO,"80202"
2022-05-21,"Lead Case Manager","Volunteers of America Colorado Branch",voacolorado.org,"Nonprofit Organization Management",,,"Central West Denver area",Denver,CO,"80204"
2022-05-24,"Patient Safety Attendant","Presbyterian/St. Luke's Medical Center",pslmc.com,"Hospital & Health Care","$15 - $19 an hour",,,Denver,CO,"80218"
