DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-03-01,"Production Assistant",WWE,wwe.com,Entertainment,,,,Stamford,CT,""
2022-03-03,"Second Year Student Job Program Participant","Banfield Pet Hospital",banfield.com,Veterinary,,,"Waterside area",Stamford,CT,"6902"
2022-03-01,"Registered Client Service Associate","Morgan Stanley",morganstanleybranch.com,"Financial Services",,,,Stamford,CT,""
2022-03-01,"Virtual Graphics Artist (Freelance)",WWE,wwe.com,Entertainment,,,,Stamford,CT,""
2022-03-01,"2D Motion Graphics Artist (Freelance)",WWE,wwe.com,Entertainment,,,,Stamford,CT,""
2022-03-01,"Employment Case Manager - Stamford",Marrakech,marrakech.com,"Computer Software","$18.79 an hour",,,Stamford,CT,""
2022-03-03,"WIC Program Assistant-Bilingual Spanish","Optimus Health Care Inc",optimushealthcare.org,"Hospital & Health Care",,,"South End area",Stamford,CT,"6902"
2022-03-03,"Analyst, Advertising Analytics",WWE,wwe.com,Entertainment,,,,Stamford,CT,""
2022-03-02,"GPS Human Capital Strategy Analyst",Deloitte,deloitte.com,"Management Consulting",,,"Downtown area",Stamford,CT,"6902"
2022-03-03,"WIC Program Assistant-Bilingual Spanish","Optimus Health Care",opthc.org,"Hospital & Health Care",,,,Stamford,CT,""
2022-03-02,CGC,"Community Health Center, Inc.",,,,,"Downtown area",Stamford,CT,"6901"
2022-03-03,"Assistant Manager","Leslie's Poolmart",lesliespool.com,Retail,,,"Waterside area",Stamford,CT,"6902"
2022-03-03,Technician-Service,"United Site Services",unitedsiteservices.com,Construction,,,"Waterside area",Stamford,CT,"6902"
2022-03-02,"FULL TIME DAY PORTER","ABM Industries",marriott.com,"Computer Software","$23.9K – $30.3K a year",,"Downtown area",Stamford,CT,""
2022-03-03,"Assistant Manager",Lennar,lennar.com,"Real Estate","$37.5K – $47.5K a year",,"Downtown area",Stamford,CT,"6901"
2022-03-01,"Sleep Expert","Mattress Firm",mattressfirmnewmexico.com,Retail,,,,Stamford,CT,""
2022-03-01,"Recovery Support Specialist Trainee (40 Hour)","State of Connecticut - Department of Mental Health...",,,"$45,385 - $61,654 a year",,"Downtown area",Stamford,CT,"6902"
2022-03-02,"Entry Level Recruiter/Sales Trainee",Actalent,actalentagency.com,,"$55,000 a year",,"Downtown area",Stamford,CT,"6901"
2022-03-02,"Compensation Advisor","XL Catlin",xlcatlin.com,Insurance,"$55.2K – $69.8K a year",,,Stamford,CT,""
2022-03-01,"ATTENDANT, CATERING (FULL-TIME)","Compass Group Careers",,,,,"Downtown area",Stamford,CT,"6901"
2022-03-01,"CREW/Team Member - Burger King","Rackson Restaurants LLC",,,"$24.1K – $30.5K a year",,"Turn of River area",Stamford,CT,"6905"
2022-03-01,"240 - Peer Support Specialist BHS (FT and PT Available)",Marrakech,marrakech.com,"Computer Software","$13 an hour",,,Stamford,CT,""
2022-03-01,"Operations Assistant",Centurion,centurion.net.au,"Logistics & Supply Chain",,,"South End area",Stamford,CT,"6902"
2022-03-01,"Rehabilitation Specialist (Full-time, 1st shift - Tuesday -...","Mental Health Connecticut Inc",mhconn.org,"Mental Health Care","$16 an hour",,"Downtown area",Stamford,CT,"6902"
2022-03-01,"COLD FOOD (SALAD) (FULL-TIME)","Compass Group Careers",,,,,"Downtown area",Stamford,CT,"6901"
