DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-09-05,"Talent Strategy Consultant - National_Office",Deloitte,deloitte.com,"Management Consulting","estimated $76.4k - $96.8k a year",,"Downtown area)",Hartford,CT,"6103"
2022-09-03,"Breeze Airways Flight Attendant - Full Time BDL","Breeze Airways™",,,,,,Hartford,CT,""
2022-09-03,"Information Technology Leadership Development Program","CVS Health",cvs.colinkedinprofile,,"$46,400 - $97,400 a year",,,Hartford,CT,""
2022-09-02,"Accounts Payable Associate / Accounting Disbursements","Hartford HealthCare Corp.",hartfordhealthcare.org,"Hospital & Health Care",,,"Downtown area)",Hartford,CT,"6103"
2022-09-02,"Patient Transport Aide","Hartford Hospital",hartfordhospital.org,"Hospital & Health Care",,,"South Green area)",Hartford,CT,"6102"
2022-09-03,"IT Customer Service - 4457271",Accenture,cazoodle.com,"Computer Software",,,"Downtown area)",Hartford,CT,"6103"
2022-09-03,"Administrative Assistant (Hartford)","Murtha Cullina",,,"estimated $35.3k - $44.7k a year",,"Downtown area)",Hartford,CT,"6103"
2022-09-02,"Assistant Accountant - Statutory Reporting","The Travelers Companies, Inc.",,,"$47,500 - $77,200 a year",,,Hartford,CT,""
2022-09-02,"Project Coordinator IMLS","Hartford Public Library",hplct.org,Libraries,"$57,391 - $64,143 a year",,"Downtown area)",Hartford,CT,"6103"
2022-09-02,"Phlebotomist/Patient Service Technician",Labcorp,labcorp.com,"Hospital & Health Care",,,"Frog Hollow area)",Hartford,CT,"6106"
2022-09-02,"Operations Advisor - Business Analyst - Payer Solutions",Cigna,cigna.com,"Health, Wellness & Fitness","$78,300 - $130,500 a year",,"Frog Hollow area)",Hartford,CT,"6152"
2022-09-02,"Message Center Operator","Trinity Health Of New England",,,,,"Asylum Hill area)",Hartford,CT,"6105"
2022-09-04,"Entry Level Customer Training Specialist – Traveling","Reynolds and Reynolds",reyrey.com,"Computer Software",,,"North Meadows area)",Hartford,CT,"6101"
2022-09-02,"Inside Claim Representative - Boiler & Machinery","The Travelers Companies, Inc.",,,"$55,400 - $91,300 a year",,,"Hybrid remote in Hartford",CT,""
