DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2/16/2022,"Enrollment Specialist","Choosy Brand",getchoosy.com,"Apparel & Fashion","$20 - $25 an hour",,,Stamford,CT,""
2/17/2022,"Parking Attendant FT days 9am-5pm","Valet Park of America",valetparkofamerica.com,Hospitality,,,,Stamford,CT,""
2/16/2022,"Outreach Benefits Navigator","Choosy Brand",getchoosy.com,"Apparel & Fashion","$20 - $25 an hour",,,Stamford,CT,""
2/16/2022,"Administrative Assistant - Gaming & Marketing",WWE,wwe.com,Entertainment,,,,Stamford,CT,""
2/17/2022,"Assistant Manager",Leslies,,,,,"Waterside area",Stamford,CT,"06902"
2/17/2022,"Store Manager- CT","ATLANTIS MANAGEMENT GROUP LLC",,,"$50,000 - $58,000 a year",,"Downtown area",Stamford,CT,"06902"
2/17/2022,".Net Technical lead","Cognizant Technology Solutions",cognizant.com,"Information Technology & Services",,,"Downtown area",Stamford,CT,"06901"
2/15/2022,"Warehouse Associate, Full Time and Part Time Positions Avail...","Bender Plumbing",benderplumbing.com,Retail,,,,Stamford,CT,""
2/17/2022,".Net Technical lead","Cognizant Technology Solutions",cognizant.com,"Information Technology & Services",,,,Stamford,CT,""
2/15/2022,"Advanced Medical Support Assistant","US Veterans Health Administration",va.gov,"Government Administration","$46,797 - $60,836 a year",,,Stamford,CT,""
2/16/2022,"Assistant Manager- CT","ATLANTIS MANAGEMENT GROUP LLC",,,"$15 - $17 an hour",,"Downtown area",Stamford,CT,"06902"
2/16/2022,"Assistant Manager- CT","ATLANTIS MANAGEMENT GROUP LLC",,,"$15 - $17 an hour",,,Stamford,CT,""
2/15/2022,"Registered Wealth Management Client Associate","Bank of America",appianrx.com,"Hospital & Health Care",,,"Downtown area",Stamford,CT,"06901"
2/17/2022,"FULL TIME DAY PORTER","ABM Industries",marriott.com,"Computer Software",,,"Downtown area",Stamford,CT,"06901"
2/15/2022,"Operations Manager","CVS Health Retail",cvshealth.com,"Health, Wellness & Fitness",,,,Stamford,CT,""
2/16/2022,"Syndicated Loan Primary Deal Closer",UBS,americanbehavioralhealth.net,"Hospital & Health Care",,,"Downtown area",Stamford,CT,"06901"
2/15/2022,"Preschool Head Teacher","Children's Learning Centers of Fairfield County",,,,,"Downtown area",Stamford,CT,"06902"
2/15/2022,"Arborist Plant Health Care Specialist","Bartlett Tree Experts",bartlett.com,"Environmental Services",,,"South End area",Stamford,CT,"06902"
2/16/2022,"Summer Camp Educator?","Bartlett Arboretum & Gardens",,,"$18 - $22 an hour",,"North Stamford area",Stamford,CT,"06903"
2/15/2022,"Business Solutions Systems Analyst","De Beers Group of Companies",debeersgroup.com,"Luxury Goods & Jewelry","$80,000 - $90,000 a year",,,Stamford,CT,""
2/14/2022,"Purchasing Agent II",Henkel,henkel.com,"Consumer Goods",,,,Stamford,CT,""
2/15/2022,"Arborist Climber Trainee","Bartlett Tree Experts",bartlett.com,"Environmental Services",,,"South End area",Stamford,CT,"06902"
2/17/2022,"Dental Assistant-Stamford","Optimus Health Care Inc",optimushealthcare.org,"Hospital & Health Care",,,"Downtown area",Stamford,CT,"06902"
2/17/2022,"Dental Assistant-Stamford","Optimus Health Care",opthc.org,"Hospital & Health Care",,,,Stamford,CT,""
2/16/2022,"Swim Instructor","JCC of Stamford",,,"$40 - $50 an hour",,"Springdale area",Stamford,CT,"06905"
2/17/2022,"FOOD SVC UTILITY (FULL-TIME)","FLIK Hospitality Group",flik-usa.com,"Food & Beverages",,,"Downtown area",Stamford,CT,"06902"
2/15/2022,"Graphic Design and Content Specialist","United Rentals, Inc.",unitedrentals.com,Construction,,,"Downtown area",Stamford,CT,"06902"
2/17/2022,"FULL TIME DAY PORTER","ABM Industries",marriott.com,"Computer Software",,,"Downtown area",Stamford,CT,"06901"
2/15/2022,"Wealth Management Client Associate","Bank of America",appianrx.com,"Hospital & Health Care",,,"Downtown area",Stamford,CT,"06901"
2/15/2022,"Plant Health Care Specialist Trainee","Bartlett Tree Experts",bartlett.com,"Environmental Services",,,"South End area",Stamford,CT,"06902"
2/15/2022,"Wealth Management Client Associate PR","Bank of America",appianrx.com,"Hospital & Health Care",,,"Downtown area",Stamford,CT,"06901"
2/15/2022,"Office Worker","City of Stamford",stamfordct.gov,"Government Administration","$20 an hour",,"Downtown area",Stamford,CT,"06901"
2/15/2022,"Purchasing Assistant",Patio.com,patio.com,Retail,"$17 - $20 an hour",,"Springdale area",Stamford,CT,"06907"
2/17/2022,"Sales Associate","Orangetheory Fitness",orangetheory.com,"Health, Wellness & Fitness","$13 - $17 an hour",,"Newfield area",Stamford,CT,"06905"
2/17/2022,"Technical Support Specialist",Forsta,forstafilters.com,"Mechanical Or Industrial Engineering",,,"Downtown area",Stamford,CT,"06902"
2/17/2022,"Inside Sales/Business Development - Healthcare Industry","The HomeAides",,,"$55,000 - $100,000 a year",,,Stamford,CT,""
2/17/2022,"Hotel Mini Bar Attendant","Delamar Hotel",,,"$15 an hour",,"Shippan area",Stamford,CT,"06902"
2/17/2022,"Counter Server/ Cashier","Tomatillo Taco Joint",tomatillotacojoint.com,Restaurants,"From $14 an hour",,"Downtown area",Stamford,CT,"06901"
2/15/2022,"Store Manager","Ralph's Italian Ices",,,"From $40,000 a year",,"Turn of River area",Stamford,CT,"06905"
2/16/2022,"Administrative Assistant","Plaza Realty & Management Corporation",plazarealtymgmt.com,"Real Estate","$37,000 - $39,000 a year",,"Springdale area",Stamford,CT,"06907"
2/17/2022,"HomeCare Office Coordinator","ROYAL CAREGIVERS LLC-NY",,,"$14 - $16 an hour",,,Stamford,CT,""
2/17/2022,"Salon and Spa Coordinator","Noelle Spa",noelle.com,"Individual & Family Services","$16 - $18 an hour",,"Turn of River area",Stamford,CT,"06905"
2/17/2022,"Outside Sales Representative -CosmoProf","Sally Beauty Holdings LLC",,,,,,Stamford,CT,""
2/16/2022,"Customer Service Rep-Self Storage Mgr","Public Storage",publicstorage.com,"Real Estate","$14 an hour",,,Stamford,CT,""
2/17/2022,"Real Estate Agent","Keller Williams Prestige Properties",southerncthomes.com,"Real Estate",,,,Stamford,CT,""
2/17/2022,"Temporary Laboratory Assistant","Executive Management Associates",,,"From $20 an hour",,"Waterside area",Stamford,CT,"06902"
2/17/2022,"Corporate Security Officer",Prosegur,prosegur.com,"Security & Investigations","$15 an hour",,"Downtown area",Stamford,CT,"06902"
2/16/2022,"Knife sharpener","FoodPrep Solutions",mealprepsolutions.com,,,,"Springdale area",Stamford,CT,""
2/17/2022,Nanny,"ABC Nanny Source, LLC",abcnannysource.com,"Individual & Family Services","$18 - $24 an hour",,,Stamford,CT,""
2/16/2022,"Vice President Human Resources","Allegiance Trucks",allegiancetrucks.com,Transportation/Trucking/Railroad,,,"Downtown area",Stamford,CT,"06902"
2/15/2022,"Dental Office Manager","Stamford Dentist",dentalcarestamford.com,"Medical Practice","$17 - $22 an hour",,"Downtown area",Stamford,CT,"06905"
2/14/2022,"Entry Level Sales Representative*","Power Home Remodeling",powerhrg.com,"Consumer Services",,,"Downtown area",Stamford,CT,"06902"
2/15/2022,"Warehouse Associate, Full Time and Part Time Positions Avail...",BENDER,benderinc.com,"Electrical/Electronic Manufacturing",,,"Downtown area",Stamford,CT,"06902"
2/16/2022,"General Dentist Position (Equity Opportunity)","The Stein Dental Group",thesteindentalgroup.com,"Medical Practice","$125,273 - $352,910 a year",,"Springdale area",Stamford,CT,"06907"
2/17/2022,"Marine Science Educator Aboard 80' Schooner",SoundWaters,soundwaters.org,"Education Management",,,"Cove - East Side area",Stamford,CT,"06902"
2/16/2022,"Delivery Driver/Customer Service","Bruce park Liquor",,,"From $15 an hour",,,Stamford,CT,""
2/14/2022,"Entry Level Sales Representative*","Power Home Remodeling",powerhrg.com,"Consumer Services",,,"Downtown area",Stamford,CT,"06902"
2/14/2022,"Sales Representative*","Power Home Remodeling",powerhrg.com,"Consumer Services",,,"Downtown area",Stamford,CT,"06902"
2/17/2022,"Move-In Coordinator","Waterstone on High Ridge",waterstonesl.com,"Medical Practice",,,"Turn of River area",Stamford,CT,"06905"
2/17/2022,"Digital Marketing Sales Consultant - Hybrid",Gannett,mplsoffset.com,Printing,,Remote,,"Hybrid remote in Stamford",CT,""
2/16/2022,"Housing / DHMAS Case Manager","Pacific House",pacifichousenw.com,Hospitality,,,"Downtown area",Stamford,CT,"06902"
2/15/2022,"Activities Assistant","Waterstone on High Ridge",waterstonesl.com,"Medical Practice",,,"Turn of River area",Stamford,CT,"06905"
2/15/2022,"Disaster Restoration Technician","ServiceMaster Restoration by Wills",,,"$18 - $20 an hour",,"Downtown area",Stamford,CT,"06902"
2/15/2022,Companion/Caregiver,"Kase Heart",,,"$14 - $15 an hour",,,Stamford,CT,""
2/16/2022,"Direct In-Home Sales Representative in Danbury, CT","ProEdge Remodeling by Custom Built, Inc.",proedgecc.com,Construction,"$75,000 - $150,000 a year",,,Stamford,CT,""
2/14/2022,"Sales Representative*","Power Home Remodeling",powerhrg.com,"Consumer Services",,,"Downtown area",Stamford,CT,"06902"
2/17/2022,Dishwasher,"Barcelona Wine Bar",barcelonawinebar.com,Restaurants,,,"Downtown area",Stamford,CT,"06901"
2/16/2022,"Part Time Recreation Assistant ~ 8 Hours Per Week ~ 16 Hours...","Ark healthcare & Rehabilitation at St. Camillus...",arkstcamillus.com,,,,"Cove - East Side area",Stamford,CT,"06902"
2/15/2022,"Sales Manager","Stamford Hilton",,,,,,Stamford,CT,""
2/15/2022,"Hospice Community Liaison","Caring Hospice Services",caringhospice.com,"Hospital & Health Care",,,,Stamford,CT,""
2/17/2022,Busser,"Barcelona Wine Bar",barcelonawinebar.com,Restaurants,,,"Downtown area",Stamford,CT,"06901"
2/16/2022,"Video Graphics Production Assistant","CBS Sports Digital",,,,,"Shippan area",Stamford,CT,"06902"
2/15/2022,"Pre-Kindergarten Teacher (Maternity Leave)","Bi-Cultural Hebrew Academy",bcha-ct.org,,"$18 - $22 an hour",,"North Stamford area",Stamford,CT,"06903"
2/15/2022,"Merchant Services Territory Account Manager","PayHub Payments",payhub.com,,"$52,000 - $100,000 a year",,,Stamford,CT,""
2/15/2022,"Sales & Events Manager","Stamford Hilton",,,,,,Stamford,CT,""
2/17/2022,"Outside Sales Representative -CosmoProf","Sally Beauty Holdings LLC",,,,,,Stamford,CT,""
