DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-03-17,"AVP, Stress Testing",Synchrony,synchrony.com,"Financial Services","$75,000 - $150,000 a year",,"Turn of River area",Stamford,CT,"06902"
2022-03-16,"VP, Finance - Platform Portfolio Support",Synchrony,synchrony.com,"Financial Services","$100,000 - $200,000 a year",,"Turn of River area",Stamford,CT,"06902"
2022-03-17,"Client Project Specialist - Remote, USA",Intelerad,intelerad.com,"Medical Devices","$53.5K – $67.7K a year",Remote,,"Remote in Stamford",CT,""
2022-03-17,"LCSW, LPC, LMFT - Stamford","Optimus Health Care Inc",optimushealthcare.org,"Hospital & Health Care","$49.8K – $63K a year",Remote,,"Hybrid remote in Stamford",CT,"06902"
2022-03-16,Cashier,"RIDGEWAY BEVERAGES INC",,,"$23.8K – $30.2K a year",,"Turn of River area",Stamford,CT,"06905"
2022-03-15,"ETL Production Support Lead","Cognizant Technology Solutions",cognizant.com,"Information Technology & Services",,,"Downtown area",Stamford,CT,"06901"
2022-03-17,"Marketing Controlling - RB Analyst",Henkel,henkel.com,"Consumer Goods",,,,Stamford,CT,""
2022-03-16,Cashier,"WAREHOUSE WINES & LIQUORS CORP",,,"$23.8K – $30.2K a year",,"Downtown area",Stamford,CT,"06902"
2022-03-16,"Stock Clerk","RIDGEWAY BEVERAGES INC",,,"$26.4K – $33.4K a year",,"Turn of River area",Stamford,CT,"06905"
2022-03-16,PSR,"Summit Health Management, LLC",summithealth.com,"Medical Practice","$28K – $35.4K a year",,,Stamford,CT,""
2022-03-16,"Stock Clerk","WAREHOUSE WINES & LIQUORS CORP",,,"$26.4K – $33.4K a year",,"Downtown area",Stamford,CT,"06902"
2022-03-15,"District Manager",Securitas,securitasantias.com,"Security & Investigations",,,,Stamford,CT,""
2022-03-17,"LCSW, LPC, LMFT - Stamford","Optimus Health Care",opthc.org,"Hospital & Health Care","$49.8K – $63K a year",Remote,,"Hybrid remote in Stamford",CT,""
2022-03-16,"TPO Marketing Manager","Luxury Mortgage Corp",luxurymortgage.com,Banking,"$57.7K – $73.1K a year",,"Downtown area",Stamford,CT,"06901"
2022-03-15,"ETL Production Support Lead",Cognizant,,,,,,Stamford,CT,""
2022-03-17,"Life Coach (Full-Time, 30-hour work-week, Friday - Monday, 8...","Mental Health Connecticut Inc",mhconn.org,"Mental Health Care","$17 an hour",,"Downtown area",Stamford,CT,"06902"
2022-03-16,"Actuarial Associate, Reinsurance","Odyssey Group Holdings, Inc.",,,"$50.2K – $63.6K a year",,"Downtown area",Stamford,CT,"06902"
2022-03-15,"Relationship Banker-Connecticut Community Market- Stamford/N...","Bank of America",appianrx.com,"Hospital & Health Care",,,"Shippan area",Stamford,CT,"06902"
2022-03-16,"BH Medical Assistant - Optimus on the Boulevard","Optimus Health Care",opthc.org,"Hospital & Health Care","$28.3K – $35.9K a year",,,Stamford,CT,""
