DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2/6/2022,"Aesthetic Consultant (In-Clinic)","Ideal Image Development Corporation",idealimage.com,"Medical Practice","From $85,000 a year",,"Turn of River area",Stamford,CT,"06905"
2/7/2022,"Immigration Manager, Financial Analysis",Deloitte,deloitte.com,"Management Consulting",,,"Downtown area",Stamford,CT,"06902"
2/6/2022,"Project Administrator",Spectrum,spectrumvic.org.au,"Nonprofit Organization Management",,,,Stamford,CT,""
2/5/2022,"Hyperion Consultant",Deloitte,deloitte.com,"Management Consulting",,,"Downtown area",Stamford,CT,"06902"
2/5/2022,"Territory Management Analyst",Spectrum,spectrumvic.org.au,"Nonprofit Organization Management",,,,Stamford,CT,""
2/6/2022,"Lead Financial Analyst",Deloitte,deloitte.com,"Management Consulting",,,"Downtown area",Stamford,CT,"06902"
2/7/2022,"Manager, Corporate Facilities",Spectrum,spectrumvic.org.au,"Nonprofit Organization Management",,,,Stamford,CT,""
2/5/2022,"Manager Operations Excellence-Field Automation","United Rentals, Inc.",unitedrentals.com,Construction,,,"Downtown area",Stamford,CT,"06902"
2/6/2022,"Director of Quality","Stamford Hospital",stamfordhealth.org,"Hospital & Health Care",,,,Stamford,CT,""
2/5/2022,"Automotive Service Manager","Firestone Complete Auto Care",firestonecompleteautocare.com,Automotive,,,"Downtown area",Stamford,CT,"06902"
2/6/2022,"Float Pool Nurse Supervisor","Stamford Hospital",stamfordhealth.org,"Hospital & Health Care",,,,Stamford,CT,""
2/6/2022,"Lead Specialist (GPS), Learning and Development",Deloitte,deloitte.com,"Management Consulting",,,"Downtown area",Stamford,CT,"06902"
2/5/2022,"Recruiter II",Spectrum,spectrumvic.org.au,"Nonprofit Organization Management",,,,Stamford,CT,""
2/6/2022,"Cloud Architect Federal-Consultant",Deloitte,deloitte.com,"Management Consulting",,,"Downtown area",Stamford,CT,"06902"
2/5/2022,"Revenue Cycle Analyst","Stamford Hospital",stamfordhealth.org,"Hospital & Health Care",,,,Stamford,CT,""
2/6/2022,"Data and Reporting Analyst Spectrum Enterprise",Spectrum,spectrumvic.org.au,"Nonprofit Organization Management",,,,Stamford,CT,""
2/5/2022,"Math Teaching Jobs at K-12 Independent/Private Schools","ATOMS Placement Services",atomsplacement.com,"Staffing & Recruiting",,,,Stamford,CT,""
2/5/2022,"Data Scientist",Spectrum,spectrumvic.org.au,"Nonprofit Organization Management",,,,Stamford,CT,""
2/5/2022,"Recruiter II",Spectrum,spectrumvic.org.au,"Nonprofit Organization Management",,,,Stamford,CT,""
2/5/2022,"Revenue Cycle Analyst","Stamford Hospital",stamfordhealth.org,"Hospital & Health Care",,,,Stamford,CT,""
2/5/2022,"Assistant Brand Manager",Canidae,canidae.com,"Consumer Goods",,,"South End area",Stamford,CT,"06902"
2/5/2022,"Office Manager/Operations Manager",Kleen-Tech,k-tservices.com,Retail,"$55,000 - $60,000 a year",,"Shippan area",Stamford,CT,"06902"
2/5/2022,"Operations Manager (Remote Flexibility)","Cohen Veterans Network",cohenveteransnetwork.org,"Mental Health Care",,Remote,,"Remote in Stamford",CT,""
2/5/2022,"Clinic Communications Manager (Remote Flexibility)","Cohen Veterans Network",cohenveteransnetwork.org,"Mental Health Care",,Remote,,"Remote in Stamford",CT,""
2/6/2022,"Floor Manager/ Assistant Manager","Farmhouse at the Crossroads",,,"$70,000 - $95,000 a year",,"North Stamford area",Stamford,CT,"06903"
2/5/2022,"Corporate Trainer","United Training Commercial LLC",unitedtraining.com,"Information Technology & Services","$48 - $60 an hour",,,Stamford,CT,""
2/6/2022,Server/Bartender,"Farmhouse at the Crossroads",,,"$45,000 - $80,000 a year",,"North Stamford area",Stamford,CT,"06903"
2/6/2022,"Enterprise Account Executive - Sales",Securion,securion.io,"Computer & Network Security",,Remote,,"Remote in Stamford",CT,""
2/5/2022,"Talent Acquisition Specialist","FoodPrep Solutions",mealprepsolutions.com,,,,"Springdale area",Stamford,CT,""
2/5/2022,"Instructional Designer","United Training Commercial LLC",unitedtraining.com,"Information Technology & Services","$48 - $60 an hour",,,Stamford,CT,""
2/5/2022,"IT Manager","FoodPrep Solutions",mealprepsolutions.com,,,,"Springdale area",Stamford,CT,"06907"
2/5/2022,"Financial Planning & Analysis Analyst","FoodPrep Solutions",mealprepsolutions.com,,,,"Springdale area",Stamford,CT,"06907"
2/5/2022,"Account Manager, Revenue Cycle Management (Remote Flexibilit...","Cohen Veterans Network",cohenveteransnetwork.org,"Mental Health Care",,Remote,,"Remote in Stamford",CT,""
2/6/2022,"Theater Actor","Arts in CT",ctartsalliance.org,"Public Policy","$40 - $50 an hour",,"Ridgeway area",Stamford,CT,"06902"
2/5/2022,"Corporate Trainer","United Training Commercial LLC",unitedtraining.com,"Information Technology & Services","$48 - $60 an hour",,,Stamford,CT,""
2/6/2022,Server/Bartender,"Farmhouse at the Crossroads",,,"$45,000 - $80,000 a year",,"North Stamford area",Stamford,CT,"06903"
2/5/2022,"Instructional Designer","United Training Commercial LLC",unitedtraining.com,"Information Technology & Services","$48 - $60 an hour",,,Stamford,CT,""
2/5/2022,"Market Manager- Stamford, CT","Remy Cointreau",remy-cointreau.com,"Wine & Spirits",,,,Stamford,CT,""
2/6/2022,"Theater Actor","Arts in CT",ctartsalliance.org,"Public Policy","$40 - $50 an hour",,"Ridgeway area",Stamford,CT,"06902"
2/5/2022,"Corporate Trainer","United Training Commercial LLC",unitedtraining.com,"Information Technology & Services","$48 - $60 an hour",,,Stamford,CT,""
2/5/2022,"Instructional Designer","United Training Commercial LLC",unitedtraining.com,"Information Technology & Services","$48 - $60 an hour",,,Stamford,CT,""
2/5/2022,"Printing Asst YPPS","Yale University",yale.edu,"Higher Education",,,"Newhallville area","New Haven",CT,"06511"
2/5/2022,"Consultant I, Internal Consultanting Group","Yale New Haven Health System",ynhhs.org,"Hospital & Health Care",,,"Hill area","New Haven",CT,"06510"
2/5/2022,"Broadcast Services Coordinator","Yale University",yale.edu,"Higher Education",,,"Dixwell area","New Haven",CT,"06511"
2/5/2022,"Case Management Liaison-Pathology","Yale University",yale.edu,"Higher Education",,,"Hill area","New Haven",CT,"06510"
2/5/2022,"Arborist - Crew Leader/Foreperson","Lewis Tree Service, Inc.",lewistree.com,Utilities,,,,"New Haven",CT,""
2/6/2022,"Manager, Clinical Trial Disease Team","Yale University",yale.edu,"Higher Education",,,"Downtown area","New Haven",CT,"06511"
2/5/2022,"Associate Director of Technology Training","Yale University",yale.edu,"Higher Education",,,"Prospect Hill area","New Haven",CT,"06511"
2/5/2022,"Grants Administrator","Yale University",yale.edu,"Higher Education",,,"East Rock area","New Haven",CT,"06511"
2/6/2022,"Network Operations Support Coordinator Smilow","Yale New Haven Health System",ynhhs.org,"Hospital & Health Care",,,"Hill area","New Haven",CT,"06510"
2/5/2022,"Account Assistant 4 Claims","Yale University",yale.edu,"Higher Education",,,"Dixwell area","New Haven",CT,"06511"
2/5/2022,"ICG Consultant III","Yale New Haven Health System",ynhhs.org,"Hospital & Health Care",,,"Hill area","New Haven",CT,"06510"
2/6/2022,"Autochemistry Supervisor","Yale New Haven Health System",ynhhs.org,"Hospital & Health Care",,,"Hill area","New Haven",CT,"06510"
2/5/2022,"Supervisor - Food",Sodexo,sodexo.com,"Facilities Services",,,"Amity area","New Haven",CT,"06515"
2/6/2022,"Coordinator-Re-entry from Incarceration Program","Workforce Alliance",workforcealliance.biz,"Staffing & Recruiting","From $60,000 a year",,"Hill area","New Haven",CT,"06519"
2/5/2022,"Director of Enrichment Services","SARAH Inc",,,"From $70,000 a year",,"Downtown area","New Haven",CT,"06501"
2/5/2022,"RIST Interventionist (Full-time; New Haven, CT)","Columbus House, Inc.",columbushouse.org,"Nonprofit Organization Management","$17.30 - $19.23 an hour",,"Hill area","New Haven",CT,"06519"
2/5/2022,"Marketing and Development Coordinator","Fair Haven Community Health Care",fhchc.org,"Hospital & Health Care",,,,"New Haven",CT,"06513"
2/5/2022,"HR & Talent Acquisition Coordinator","Chapel Haven Schleifer Center Inc",,,,,"Amity area","New Haven",CT,"06515"
2/5/2022,"Receptionist/Office Manager","NeighborWorks New Horizons",,,"$17 - $19 an hour",,"Fair Haven area","New Haven",CT,"06513"
2/5/2022,"Case Manager 1 - West Village (New Haven)","The Connection",theconnectioncc.com,Outsourcing/Offshoring,"$18 an hour",,"Dwight area","New Haven",CT,"06511"
2/5/2022,"HR & Talent Acquisition Coordinator","Chapel Haven Schleifer Center, Inc.",,,"Up to $20 an hour",,"Westville area","New Haven",CT,"06515"
2/5/2022,Administrator,"New Haven Nursing and Rehabilitation Center",,,,,,"New Haven",CT,""
2/5/2022,"Refrigeration Service Technician","RA Levine",ralevine.com,,,,,"New Haven",CT,""
2/5/2022,"Medical Biller and Coder","Waterstone Health",,,"From $20 an hour",,,"New Haven",CT,""
2/5/2022,"Talent Recruiting Manager","Connecticut Innovations",ctinnovations.com,"Venture Capital & Private Equity",,,,"New Haven",CT,""
2/5/2022,"Product Line Manager - Opportunity for Working Remotely Brid...",VMware,thebrunswicknews.com,Newspapers,,Remote,,"Remote in Bridgeport",CT,""
2/5/2022,"Product Line Manager - Cloud Operations Platform - Opportuni...",VMware,thebrunswicknews.com,Newspapers,,Remote,,"Remote in Bridgeport",CT,""
2/5/2022,"Corporate Counsel",Qlik,qlik.com,"Computer Software",,Remote,,"Hybrid remote in Bridgeport",CT,""
2/5/2022,"Marketing Manager","GOODWILL OF WESTERN & NORTHERN CONNECTICUT",gwct.org,"Nonprofit Organization Management","$55,000 - $65,000 a year",,,Bridgeport,CT,"06605"
2/6/2022,"Resident Services Coordinator Manager","Building Neighborhoods Together",,,"$55,000 - $62,000 a year",,"Downtown area",Bridgeport,CT,"06604"
2/5/2022,"Human Resources Manager","Building Neighborhoods Together",,,"$50,000 - $60,000 a year",,"Downtown area",Bridgeport,CT,"06604"
2/5/2022,"MDT Family Advocate","Center for Family Justice",,,"From $20 an hour",,"West Side/ West End area",Bridgeport,CT,"06604"
2/6/2022,"Account Executive - Engage Staffing","The WorkPlace",jefferson.ny.us,"Health, Wellness & Fitness",,,,Bridgeport,CT,"06604"
2/6/2022,"Enterprise Account Executive - Sales",Securion,securion.io,"Computer & Network Security",,Remote,,"Remote in Bridgeport",CT,""
2/5/2022,"General Manager",Wingstop,,,,,,Bridgeport,CT,"06610"
2/7/2022,"Pursuit Coordinator, Enabling Areas-Government & Public Serv...",Deloitte,deloitte.com,"Management Consulting",,,"Downtown area",Hartford,CT,"06103"
2/5/2022,"Manager of Engagement and External Communications 1892 Fundr...","Oak Hill",oakhillcapital.com,,,,"Blue Hills area",Hartford,CT,"06112"
2/5/2022,"Underwriter - Telecommute","UnitedHealth Group",unitedhealthgroup.com,"Hospital & Health Care",,Remote,,"Remote in Hartford",CT,""
2/7/2022,"Manager, M&A Talent Services",Deloitte,deloitte.com,"Management Consulting",,,"Downtown area",Hartford,CT,"06103"
2/5/2022,"Ability Specialist","The Hartford",thehartford.com,"Financial Services",,,,Hartford,CT,""
2/5/2022,"VP, Relationship Manager","Berkshire Bank",berkshirebank.com,"Real Estate",,,"Asylum Hill area",Hartford,CT,"06105"
2/5/2022,"Manager of Engagement and External Communications 1892 Fundr...","Oak Hill",oakhillcapital.com,,,,"Blue Hills area",Hartford,CT,"06112"
2/7/2022,"Category Manager/Strategic Sourcing - Business Process Outso...",Cigna,cigna.com,"Health, Wellness & Fitness","$81,800 - $136,400 a year",,"Botanical Heights area","St. Louis",MO,"63110"
