DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-05-07,"Consumerism Account Specialist - Work From Home",Cigna,cigna.com,"Health, Wellness & Fitness","$49,400 - $82,400 a year",Remote,,"Remote in Hartford",CT,"6152"
2022-05-07,"Education Consultant (40 Hour)","State of Connecticut - Department of Aging and...",,,"$118,804 - $151,772 a year",,,Hartford,CT,""
2022-05-09,"Entry Level Customer Training Specialist – Traveling","Reynolds and Reynolds",reyrey.com,"Computer Software","$45,000 - $47,000 a year",,"North Meadows area",Hartford,CT,"6101"
2022-05-06,"Junior Fraud Analyst - Work from home",Cigna,cigna.com,"Health, Wellness & Fitness","$49,900 - $83,100 a year",Remote,,"Remote in Hartford",CT,"6152"
2022-05-07,"Accounting Careers Trainee (Target Class: Revenue Examiner 1...","State of Connecticut - Department of Revenue...",,,"$49,271 - $63,596 a year",,"Downtown area",Hartford,CT,"6103"
2022-05-09,"Entry Level Traveling Customer Trainer","Reynolds and Reynolds",reyrey.com,"Computer Software","$45,000 - $47,000 a year",,"North Meadows area",Hartford,CT,"6101"
2022-05-07,"2022 UPDP - Select","The Travelers Companies, Inc.",,,,,,Hartford,CT,""
2022-05-07,"Project Cornerstone - Program Management Advisor",Cigna,cigna.com,"Health, Wellness & Fitness","$85,800 - $143,000 a year",,"Frog Hollow area",Hartford,CT,"6152"
2022-05-06,"Template Optimization Specialist - Access Center","Hartford HealthCare Medical Group",,,,,"Downtown area",Hartford,CT,"6103"
2022-05-06,"Medicare Grievance Lead Representative-Work at home",Cigna,cigna.com,"Health, Wellness & Fitness",,Remote,,"Remote in Hartford",CT,"6152"
2022-05-06,"Behavioral Health After Hours Personal Advocate (Bachelors R...",Cigna,cigna.com,"Health, Wellness & Fitness",,,"Frog Hollow area",Hartford,CT,"6152"
2022-05-06,"Executive Assistant","The Nassau Companies of New York.",nfg.com,Insurance,"$61.8K - $78.2K a year",,"Downtown area",Hartford,CT,"6102"
2022-05-08,"Administrative Associate - Patient Relations","Hartford Hospital",hartfordhospital.org,"Hospital & Health Care",,,"South Green area",Hartford,CT,"6106"
2022-05-07,"Program Director","Youth Advocate Programs, Inc.",yapinc.org,"Nonprofit Organization Management","$63.7K - $80.7K a year",,,Hartford,CT,""
2022-05-06,"Sales Executive Mobility Retail*",AT&T,att.com,Telecommunications,,,"Behind the Rocks area",Hartford,CT,"6106"
2022-05-06,"Customer Service Intake Representative - Work From Home, TX,...",Cigna,cigna.com,"Health, Wellness & Fitness",,Remote,,"Remote in Hartford",CT,"6152"
2022-05-07,"Administrative Manager","Youth Advocate Programs, Inc.",yapinc.org,"Nonprofit Organization Management","$39.8K - $50.4K a year",,,Hartford,CT,""
2022-05-06,"Claims Specialist","Chubb INA Holdings Inc.",chubb.com,Insurance,"$48.5K - $61.3K a year",,,Hartford,CT,""
2022-05-09,Photographer,TEGNA,tegna.com,"Broadcast Media","$44.4K - $56.2K a year",,,Hartford,CT,""
2022-05-06,"In-home Clinician","Wheeler Clinic",wheelerclinic.org,"Hospital & Health Care",,,,Hartford,CT,""
2022-05-07,"VP of Product Management",Deloitte,deloitte.com,"Management Consulting",,,"Downtown area",Hartford,CT,"6103"
2022-05-07,"Summer Instructor (School-Aged)","The Salvation Army Eastern Territory",,,,,"Frog Hollow area",Hartford,CT,"6106"
2022-05-07,"Business Services Representative (Patient Access/Registratio...","Trinity Health Of New England",,,,,"Asylum Hill area",Hartford,CT,"6105"
2022-05-06,"Unit Secretary - Full Time (Evening Shift)","Trinity Health Of New England",,,,,"Asylum Hill area",Hartford,CT,"6105"
2022-05-07,"Patient Care Partner- evening shift- 40hr","Connecticut Children's Medical Center",ccmckids.org,"Hospital & Health Care",,,,Hartford,CT,"6106"
2022-05-06,"Security Officer State Building","Allied Universal®",,,,,"Downtown area",Hartford,CT,"6103"
2022-05-07,"Transportation Attendant","Trinity Health Of New England",,,,,"Asylum Hill area",Hartford,CT,"6105"
2022-05-09,Meteorologist,TEGNA,tegna.com,"Broadcast Media",,,,Hartford,CT,""
2022-05-09,"DUNKIN - Team Member / Tripulante","DUNKIN DONUTS / Southeast Enterprise Holdings",,,,,,Hartford,CT,"6114"
2022-05-06,"User Experience (UX) Specialist - Business Insurance","The Travelers Companies, Inc.",,,,,,Hartford,CT,""
2022-05-07,"Lead Credible Messenger","Youth Advocate Programs, Inc.",yapinc.org,"Nonprofit Organization Management","$35.1K - $44.5K a year",,,Hartford,CT,""
2022-05-06,"PR Coordinator","TOP Agency",topagency.com,"Marketing & Advertising","$40K - $50.6K a year",,,Hartford,CT,""
2022-05-07,"Medical Administrative Associate (MAA) - Behavioral Health","Institute of Living",instituteofliving.org,"Education Management",,,"Barry Square area",Hartford,CT,"6102"
2022-05-06,"Private/Not for Profit Renewal Underwriter Trainee","Chubb INA Holdings Inc.",chubb.com,Insurance,,,,Hartford,CT,""
2022-05-06,Supervisor,"Wheeler Clinic",wheelerclinic.org,"Hospital & Health Care",,,"Asylum Hill area",Hartford,CT,"6105"
2022-05-06,"Kitchen Sales Specialist","Cabinets To Go LLC",cabinetstogo.com,Retail,,,,Hartford,CT,"6114"
2022-05-06,"Pharmacy Technician - Retail","Trinity Health Of New England",,,,,"Asylum Hill area",Hartford,CT,"6105"
2022-05-07,"ETL Informatica Lead","Cognizant Technology Solutions",cognizant.com,"Information Technology & Services",,,,Hartford,CT,""
2022-05-07,"MANAGER TRAINEE",AutoZone,autolinesorters.com,,,,"South End area",Hartford,CT,"6114"
2022-05-07,"MANAGER TRAINEE",AutoZone,autolinesorters.com,,,,"Upper Albany area",Hartford,CT,"6112"
2022-05-07,"ETL Informatica Lead",Cognizant,,,,,,Hartford,CT,""
2022-05-07,"Manager of Data Stewardship (Hybrid)","State of Connecticut - Department of Consumer...",ct.gov,"Government Administration","$89,410 - $121,916 a year",,"Downtown area",Hartford,CT,"6103"
2022-05-06,"Warehouse Worker","Gabrielli Truck Sales",gabriellitruck.com,Transportation/Trucking/Railroad,"$28.5K - $36.1K a year",,,Hartford,CT,""
2022-05-07,"Advisory & Insights Associate Manager - Talent Strategy & Co...",Accenture,cazoodle.com,"Computer Software",,,"Downtown area",Hartford,CT,"6103"
2022-05-06,"USB Cyber/E&O Renewal Underwriter","Chubb INA Holdings Inc.",chubb.com,Insurance,,,,Hartford,CT,""
2022-05-06,"Integrated Healthcare Clinician","Wheeler Clinic",wheelerclinic.org,"Hospital & Health Care",,,,Hartford,CT,""
2022-05-06,"Clinical Reviewer - eviCore - Telephonic",Cigna,cigna.com,"Health, Wellness & Fitness",,,"Frog Hollow area",Hartford,CT,"6152"
2022-05-07,"Bus Operators (Hartford)",CTTRANSIT,cttransit.com,Transportation/Trucking/Railroad,"$15 an hour",,"North East area",Hartford,CT,"6141"
2022-05-06,"Behavioral Health Technician-40hr","Connecticut Children's Medical Center",ccmckids.org,"Hospital & Health Care",,,,Hartford,CT,"6106"
2022-05-06,Supervisor,"Wheeler Clinic",wheelerclinic.org,"Hospital & Health Care",,,,Hartford,CT,""
2022-05-09,"DUNKIN - Shift Leader","DUNKIN DONUTS / Southeast Enterprise Holdings",,,"$25.3K - $32.1K a year",,,Hartford,CT,"6114"
2022-05-08,"Administrative Associate - Patient Relations","Hartford Hospital",hartfordhospital.org,"Hospital & Health Care",,,"South Green area",Hartford,CT,"6106"
2022-05-07,"Neuroscience Sales Specialist- Hartford/New Haven, CT","Amplity Health",amplity.com,Pharmaceuticals,,,,Hartford,CT,""
2022-05-06,"Underwriting Associate, Westchester","Chubb INA Holdings Inc.",chubb.com,Insurance,,,,Hartford,CT,""
2022-05-06,"Intensive Family Preservation Clinician","Wheeler Clinic",wheelerclinic.org,"Hospital & Health Care",,,,Hartford,CT,""
2022-05-06,"Patient Care Associate - Float","Hartford Hospital",hartfordhospital.org,"Hospital & Health Care",,,"South Green area",Hartford,CT,"6102"
2022-05-08,"Fitness Specialist / Rehab Wellness and Bridge BJI (Per Diem...","Hartford HealthCare Rehabilitation Network",hartfordhealthcarerehabnetwork.org,"Hospital & Health Care",,,"South Green area",Hartford,CT,"6106"
2022-05-08,"Registered Behavior Technician (RBT)","CBS Therapy",cbstherapy.com,"Staffing & Recruiting","$35K - $44.4K a year",,,Hartford,CT,""
2022-05-07,"Phlebotomist / Laboratory","Hartford Hospital",hartfordhospital.org,"Hospital & Health Care",,,"South Green area",Hartford,CT,"6102"
2022-05-07,"Medical Assistant (MA) - Diabetes Education Pgm","Hartford Hospital",hartfordhospital.org,"Hospital & Health Care",,,"South Green area",Hartford,CT,"6106"
2022-05-07,"Auto Parts Delivery Driver (Part-Time)",AutoZone,autolinesorters.com,,,,"South End area",Hartford,CT,"6114"
2022-05-07,"Auto Parts Delivery Driver (Full-Time)",AutoZone,autolinesorters.com,,,,"Upper Albany area",Hartford,CT,"6112"
2022-05-06,"Advanced Practice Registered Nurse (201188)","Central Connecticut State University",ccsu.edu,"Higher Education",,,,Hartford,CT,""
2022-05-07,"Full Time Nurse Practitioner - 6 week Holiday Break! Hartfor...",Optum,optuminc.com,,,,"Downtown area",Hartford,CT,"6102"
2022-05-06,"IICAPS Clinician","Wheeler Clinic",wheelerclinic.org,"Hospital & Health Care",,,,Hartford,CT,""
2022-05-06,"Medical Assistant (MA) - Urogynecology","Hartford HealthCare Medical Group Specialists",hartfordhealthcaremedicalgroup.org,"Medical Practice",,,"South Green area",Hartford,CT,"6102"
2022-05-07,"Patient Care Assistant - Bone and Joint Institute","Hartford Hospital",hartfordhospital.org,"Hospital & Health Care",,,"South Green area",Hartford,CT,"6102"
2022-05-07,"Behavioral Health Clinician (LCSW, PhD, or PsyD) - Per Diem","Institute of Living",instituteofliving.org,"Education Management",,,"Barry Square area",Hartford,CT,"6114"
2022-05-07,"Speech Language Pathologist (SLP) Full Time Bethel, CT Area.","CBS Therapy",cbstherapy.com,"Staffing & Recruiting","$65.1K - $82.5K a year",,,Hartford,CT,""
2022-05-08,"School Psychologist -- ESY 2022 -- Monroe, CT Area","CBS Therapy",cbstherapy.com,"Staffing & Recruiting",,,,Hartford,CT,""
2022-05-06,"Electrical Distributor - Delivery Driver - Hartford, CT","NorthEast Electrical Distributors",needco.com,Wholesale,"$34.4K - $43.6K a year",,"South Meadows area",Hartford,CT,"6114"
2022-05-06,"Patient Care Partner- 40hr- evening shift","Connecticut Children's Medical Center",ccmckids.org,"Hospital & Health Care",,,,Hartford,CT,"6106"
2022-05-06,Psychologist,"Wheeler Clinic",wheelerclinic.org,"Hospital & Health Care",,,,Hartford,CT,""
2022-05-06,"Security Officer State Building","Allied Universal®",,,,,"Downtown area",Hartford,CT,"6103"
2022-05-06,"Security Officer State Building","Allied Universal®",,,,,"Downtown area",Hartford,CT,"6103"
2022-05-07,"Phlebotomist / Laboratory","Hartford Hospital",hartfordhospital.org,"Hospital & Health Care",,,"South Green area",Hartford,CT,"6102"
2022-05-06,"Private/Not for Profit Underwriter","Chubb INA Holdings Inc.",chubb.com,Insurance,,,,Hartford,CT,""
2022-05-06,"Private/Not for Profit Underwriter","Chubb INA Holdings Inc.",chubb.com,Insurance,,,,Hartford,CT,""
2022-05-06,"Integrated Care Supervisor","Wheeler Clinic",wheelerclinic.org,"Hospital & Health Care",,,,Hartford,CT,""
2022-05-07,"Auto Parts Delivery Driver (Part-Time)",AutoZone,autolinesorters.com,,,,"Upper Albany area",Hartford,CT,"6112"
2022-05-07,"Auto Parts Delivery Driver (Full-Time)",AutoZone,autolinesorters.com,,,,"South End area",Hartford,CT,"6114"
2022-05-07,"Selector, Day - FP - US",FreshPoint,freshpoint.com,"Food & Beverages",,,,Hartford,CT,"6112"
2022-05-07,"Warehouse Order Selector",FreshPoint,freshpoint.com,"Food & Beverages",,,,Hartford,CT,"6112"
2022-05-06,"Financial Lines New Business PNP Underwriter","Chubb INA Holdings Inc.",chubb.com,Insurance,,,,Hartford,CT,""
2022-05-07,"Phlebotomist / Laboratory","Hartford Hospital",hartfordhospital.org,"Hospital & Health Care",,,"South Green area",Hartford,CT,"6102"
2022-05-07,"Digital Court Reporter - CT - Training Provided!","U.S. Legal Support",myacc.net,,,,"Downtown area",Hartford,CT,"6103"
2022-05-06,"Administrative Assistant","Partners for Educational Leadership",,,"Up to $45,000 a year",,,Hartford,CT,""
2022-05-08,"Content Director","Tribune Publishing",tribpub.com,Publishing,,Remote,,"Remote in Hartford",CT,"6106"
2022-05-07,"LAN Support Technician","Spectrum Talent Management",,,"$40 - $55 an hour",,,Hartford,CT,""
