DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2/11/2022,"AAA - Car Care District Director","AAA Club Alliance",aaa-alliedgroup.com,,"$95,000 - $135,000 a year",,,Wilmington,DE,""
2/14/2022,"Store Security Coordinator","Wegmans Food Markets",wegmans.com,Retail,"$40.5K ? $51.3K a year",,,Wilmington,DE,"19807"
2/14/2022,"Loyalty - Automation Test Lead","JPMorgan Chase Bank, N.A.",chase.com,"Financial Services",,,,Wilmington,DE,""
2/11/2022,"Pediatric Pathologist",Nemours,nemours.org,"Hospital & Health Care",,,,Wilmington,DE,"19803"
2/12/2022,"Product Analyst - Card Lending - Wilmington, DE","JPMorgan Chase Bank, N.A.",chase.com,"Financial Services",,,,Wilmington,DE,""
2/14/2022,"Project Execution","JPMorgan Chase Bank, N.A.",chase.com,"Financial Services",,,,Wilmington,DE,""
2/14/2022,"Collections and Recovery Product Delivery","JPMorgan Chase Bank, N.A.",chase.com,"Financial Services",,,,Wilmington,DE,""
2/11/2022,"Business Analyst - Chase Cards Services - Wilmington, DE","JPMorgan Chase Bank, N.A.",chase.com,"Financial Services",,,,Wilmington,DE,""
2/12/2022,"Server Administrator",Nemours,nemours.org,"Hospital & Health Care","$74.4K ? $94.2K a year",,,Wilmington,DE,"19803"
2/11/2022,"Lead Credit Risk Officer (Personal Lending & Retail Services...","WELLS FARGO BANK",wellsfargo.com,"Financial Services",,,,Wilmington,DE,""
2/12/2022,"POS Fraud Strategy Analyst II - CREDIT CARD FRAUD","JPMorgan Chase Bank, N.A.",chase.com,"Financial Services",,,,Wilmington,DE,""
2/11/2022,"Application Security Training Developer/Instructor","JPMorgan Chase Bank, N.A.",chase.com,"Financial Services",,,,Wilmington,DE,""
2/14/2022,"Business UAT Analyst I","JPMorgan Chase Bank, N.A.",chase.com,"Financial Services",,,,Wilmington,DE,""
2/13/2022,"Specialty Nurse-Developmental Medicine",Nemours,nemours.org,"Hospital & Health Care",,,,Wilmington,DE,"19803"
2/11/2022,"Talent Acquisition Inclusion & Diversity Coordinator",AstraZeneca,astrazeneca.com,Pharmaceuticals,,,,Wilmington,DE,"19850"
2/12/2022,"Strategic Planning Leader - Sales Force Operations",AstraZeneca,astrazeneca.com,Pharmaceuticals,,,,Wilmington,DE,"19801"
2/12/2022,"Member Dining Manager","DuPont Country Club",dupontcountryclub.com,Hospitality,"$33.6K ? $42.6K a year",,,Wilmington,DE,"19803"
2/13/2022,"Fraud Strategy Analyst",Citizens,citizensbank.com,Banking,,,,Wilmington,DE,""
2/11/2022,"Consumer & Community Banking - Fraud Risk Strategic - Associ...","JPMorgan Chase Bank, N.A.",chase.com,"Financial Services",,,,Wilmington,DE,""
2/12/2022,"Product Associate- Account Opening Activation Group","JPMorgan Chase Bank, N.A.",chase.com,"Financial Services",,,,Wilmington,DE,""
2/11/2022,"HL Control - Policy and Change Control Program Leader","WELLS FARGO BANK",wellsfargo.com,"Financial Services","$89.8K ? $114K a year",,,Wilmington,DE,""
2/12/2022,"HR Data and Strategic Insights Analyst - Consumer Banking","JPMorgan Chase Bank, N.A.",chase.com,"Financial Services",,,,Wilmington,DE,""
2/12/2022,"Academic Advisor II, AAP, Wilmington","University of Delaware",udel.edu,"Higher Education","$44K ? $55.8K a year",,,Wilmington,DE,""
2/12/2022,"Credit - POS Fraud Strategy Manager","JPMorgan Chase Bank, N.A.",chase.com,"Financial Services",,,,Wilmington,DE,""
2/12/2022,"Scrum Master","JPMorgan Chase Bank, N.A.",chase.com,"Financial Services",,,,Wilmington,DE,""
2/13/2022,"Mental Health Specialist","Horizon House, Inc.",hhinc.org,"Nonprofit Organization Management","$44.2K ? $56K a year",,,Wilmington,DE,"19805"
2/12/2022,"Associate, Technology Finance & Business Management","JPMorgan Chase Bank, N.A.",chase.com,"Financial Services",,,,Wilmington,DE,""
2/11/2022,"Chase Card Services - Marketing Copy Review (Regulatory Revi...","JPMorgan Chase Bank, N.A.",chase.com,"Financial Services",,,,Wilmington,DE,""
2/12/2022,"Data Retention & Destruction Program Manager (Associate)","JPMorgan Chase Bank, N.A.",chase.com,"Financial Services",,,,Wilmington,DE,""
2/12/2022,"Lead Analytics Consultant","WELLS FARGO BANK",wellsfargo.com,"Financial Services","$84.1K ? $106K a year",,,Wilmington,DE,"19803"
2/11/2022,"Perioperative Evaluation Preparation (PEP) Coordinator","Christiana Care Health Systems",christianacare.org,"Hospital & Health Care","$66.4K ? $84K a year",,,Wilmington,DE,""
2/14/2022,"SAP CRM Functional LEAD",Comcentric,comcentric.com,"Information Technology & Services","$110,000 - $140,000 a year",,,Wilmington,DE,""
2/14/2022,"Business Analyst Associate","JPMorgan Chase Bank, N.A.",chase.com,"Financial Services",,,,Wilmington,DE,""
2/11/2022,"App/Content DBA - Oracle","JPMorgan Chase Bank, N.A.",chase.com,"Financial Services",,,,Wilmington,DE,""
2/14/2022,"Regulatory Services Business Analysis Associate I","JPMorgan Chase Bank, N.A.",chase.com,"Financial Services",,,,Wilmington,DE,""
2/12/2022,"Corporate Responsibility Financial Analysis Associate","JPMorgan Chase Bank, N.A.",chase.com,"Financial Services",,,,Wilmington,DE,""
2/11/2022,"Card Acq Risk Associate Loss Forecast","JPMorgan Chase Bank, N.A.",chase.com,"Financial Services",,,,Wilmington,DE,""
2/12/2022,"Program/Project Manager - 4165028",Accenture,cazoodle.com,"Computer Software","$30.11 - $69.18 an hour",,,Wilmington,DE,""
2/12/2022,"Threat Researcher - Malware - Opportunity for Working Remote...",VMware,thebrunswicknews.com,Newspapers,"$84.4K ? $107K a year",Remote,,"Remote in Wilmington",DE,""
2/12/2022,"Loyalty, Program Director","Fiserv, Inc.",banklink.com,,,,,Wilmington,DE,""
2/12/2022,"AI/ML Engineering Lead - Vice President","JPMorgan Chase Bank, N.A.",chase.com,"Financial Services",,,,Wilmington,DE,""
2/12/2022,"Scrum Master","JPMorgan Chase Bank, N.A.",chase.com,"Financial Services",,,,Wilmington,DE,""
2/14/2022,"Associate .Net Applications Developer","JPMorgan Chase Bank, N.A.",chase.com,"Financial Services",,,,Wilmington,DE,""
2/13/2022,"Marketing Resource Manager, VP","JPMorgan Chase Bank, N.A.",chase.com,"Financial Services",,,,Wilmington,DE,""
2/12/2022,"Principal Security Architect - Artificial Intelligence & Mac...","JPMorgan Chase Bank, N.A.",chase.com,"Financial Services",,,,Wilmington,DE,""
2/13/2022,"Director, Patient Safety Compliance Management",AstraZeneca,astrazeneca.com,Pharmaceuticals,,,,Wilmington,DE,"19801"
2/13/2022,"VP CCB Payments Product - Wires and International Payments","JPMorgan Chase Bank, N.A.",chase.com,"Financial Services",,,,Wilmington,DE,""
2/11/2022,"Collections Strategy Analytics Manager","Best Egg",bestegg.com,"Consumer Services","$39.9K ? $50.5K a year",,,Wilmington,DE,""
2/12/2022,"Software Engineering","JPMorgan Chase Bank, N.A.",chase.com,"Financial Services",,,,Wilmington,DE,""
2/13/2022,"Governance Analytics Lead","JPMorgan Chase Bank, N.A.",chase.com,"Financial Services",,,,Wilmington,DE,""
2/11/2022,"Associate - Acquisition Risk - Credit Underwriting Strategy","JPMorgan Chase Bank, N.A.",chase.com,"Financial Services",,,,Wilmington,DE,""
2/13/2022,"Business Systems Analyst/UAT, Marketing and Communications,C...","JPMorgan Chase Bank, N.A.",chase.com,"Financial Services",,,,Wilmington,DE,""
2/12/2022,"Consumer & Community Banking - Control Manager - Digital Con...","JPMorgan Chase Bank, N.A.",chase.com,"Financial Services",,,,Wilmington,DE,""
2/14/2022,"Chase Card Services - Agile Product Lead Analyst: CCB","JPMorgan Chase Bank, N.A.",chase.com,"Financial Services",,,,Wilmington,DE,""
2/11/2022,"Marketing Strategy & Analytics - Manager","Ally Financial",ally.com,"Financial Services","$61K ? $77.2K a year",,"Trinity Vicinity area",Wilmington,DE,"19801"
2/13/2022,"Developer - AWS/Big Data","JPMorgan Chase Bank, N.A.",chase.com,"Financial Services",,,,Wilmington,DE,""
2/13/2022,"Patient Safety Specialist (Compliance Management)",AstraZeneca,astrazeneca.com,Pharmaceuticals,,,,Wilmington,DE,"19801"
2/13/2022,"Product Manager II - Business Banking Lending","JPMorgan Chase Bank, N.A.",chase.com,"Financial Services",,,,Wilmington,DE,""
2/13/2022,"Data Strategy and Innovations Lead - Vice President","JPMorgan Chase Bank, N.A.",chase.com,"Financial Services",,,,Wilmington,DE,""
2/11/2022,"CCB - Expense Platform - P&A and Transfer Team - Associate","JPMorgan Chase Bank, N.A.",chase.com,"Financial Services",,,,Wilmington,DE,""
2/13/2022,"Product Manager Lead","WELLS FARGO BANK",wellsfargo.com,"Financial Services",,,,Wilmington,DE,"19803"
2/11/2022,"Vice President-Marketing Business Analysis & Reporting","JPMorgan Chase Bank, N.A.",chase.com,"Financial Services",,,,Wilmington,DE,""
2/12/2022,"CCB - Collections Strategy - Loss Prevention","JPMorgan Chase Bank, N.A.",chase.com,"Financial Services",,,,Wilmington,DE,""
2/11/2022,"Key Account Manager Associate","Solenis LLC",solenis.com,Chemicals,,,,Wilmington,DE,"19803"
2/12/2022,"Consumer & Community Banking - Card Risk Machine Learning -...","JPMorgan Chase Bank, N.A.",chase.com,"Financial Services",,,,Wilmington,DE,""
2/13/2022,"Project Manager - Card Partner Capabilities","JPMorgan Chase Bank, N.A.",chase.com,"Financial Services",,,,Wilmington,DE,""
2/12/2022,"Area Product Owner Vice President","JPMorgan Chase Bank, N.A.",chase.com,"Financial Services",,,,Wilmington,DE,""
2/13/2022,"Digital AEM Project Manager - Vice President","JPMorgan Chase Bank, N.A.",chase.com,"Financial Services",,,,Wilmington,DE,""
2/12/2022,"CCB - Finance and Data Insights - Consumer Analytics Reporti...","JPMorgan Chase Bank, N.A.",chase.com,"Financial Services",,,,Wilmington,DE,""
2/11/2022,"Multi-Line Claims Adjuster",Berkley,berkley-fishing.com,Internet,"$53.4K ? $67.6K a year",,,Wilmington,DE,"19809"
2/13/2022,"Card Pricing Product Team Business UAT Lead","JPMorgan Chase Bank, N.A.",chase.com,"Financial Services",,,,Wilmington,DE,""
2/11/2022,"CCB - Business Management - Associate","JPMorgan Chase Bank, N.A.",chase.com,"Financial Services",,,,Wilmington,DE,""
2/12/2022,"Python Developer w/ Cloud and Application Migration","JPMorgan Chase Bank, N.A.",chase.com,"Financial Services",,,,Wilmington,DE,""
2/12/2022,"Technical Support Team Lead",Berkley,berkley-fishing.com,Internet,"$72.8K ? $92.2K a year",,,Wilmington,DE,"19809"
