DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-12-24,"Staff Assistant","Metropolitan Police Department",,,"$58,591 - $75,436 a year",,"Garfield Heights area)",Washington,DC,"20020"
2022-12-24,"OSSE: Motor Vehicle Dispatcher","OSSE DOT Department",,,"$44,859 - $58,880 a year",,"NoMa area)",Washington,DC,"20002"
2022-12-23,"Customer Relations Representative (3818)","American University",american.edu,"Higher Education","$20.31 - $32.49 an hour",,"Spring Valley area)",Washington,DC,"20016"
2022-12-23,"Investigative Specialist","U.S. Department of State",,,"$126,233 - $164,102 a year",,,"Hybrid remote in Washington",DC,"20520"
2022-12-26,Producer,"Cumulus Media",cumulusmedia.com,"Broadcast Media",,,"Capitol Hill area)",Washington,DC,"20510"
2022-12-23,"Visitor Assistant","US Architect of the Capitol",aoc.gov,"Government Administration","$40,883 - $53,147 a year",,,Washington,DC,""
2022-12-23,"Foreign Affairs Officer","U.S. Department of State",,,"$126,233 - $164,102 a year",,,"Hybrid remote in Washington",DC,"20520"
2022-12-24,"Concierge - Market House","Greystar Real Estate Partners LLC",greystar.com,"Real Estate",,,,Washington,DC,""
2022-12-25,Photographer,"US Architect of the Capitol",aoc.gov,"Government Administration","$74,950 - $97,430 a year",,,Washington,DC,""
2022-12-24,"Administrative Assistant","MEDSTAR HEALTH",medstarhealth.org,"Hospital & Health Care",,,"Catholic University area)",Washington,DC,"20010"
2022-12-25,"Game Guide, Georgetown","The Escape Game",theescapegame.com,Entertainment,"$15.20 - $17.00 an hour",,"Georgetown area)",Washington,DC,"20007"
2022-12-25,"Deputy Clerk","US District of Columbia Courts",,,"$45,574 - $59,246 a year",,"Judiciary Square area)",Washington,DC,"20001"
2022-12-23,"Clinic Assistant- 19th Street (1.0 FTE)","MEDSTAR HEALTH",medstarhealth.org,"Hospital & Health Care",,,"Downtown area)",Washington,DC,"20036"
2022-12-24,"Supervisory Traffic Control Officer","Transportation, District Dept",,,"$73,334 - $102,667 a year",,"Southwest Waterfront area)",Washington,DC,"20024"
2022-12-23,"Dedicated Aide","Capital City Public Charter School",ccpcs.org,"Primary/Secondary Education","$35.4k - $44.8k a year (estimated)",,"Manor Park area)",Washington,DC,"20011"
2022-12-24,"Central Transport Assistant","MEDSTAR HEALTH",medstarhealth.org,"Hospital & Health Care",,,"Catholic University area)",Washington,DC,"20010"
2022-12-23,"ADMINISTRATIVE ASSISTANT- JUNIOR","Chugach Government Solutions",,,,,,Washington,DC,""
2022-12-23,"Administrative Assistant","Fox Corporation",foxcorporation.com,"Broadcast Media","$48.7k - $61.7k a year (estimated)",,,Washington,DC,""
2022-12-24,"Communications & Outreach Specialist","US Architect of the Capitol",aoc.gov,"Government Administration","$106,823 - $138,868 a year",,,Washington,DC,""
2022-12-23,"Site Support","Cognizant Technology Solutions",cognizant.com,"Information Technology & Services","$57.7k - $73k a year (estimated)",,"Shaw area)",Washington,DC,"20001"
2022-12-24,"Exhibits Specialist (General)","US Smithsonian Institution",,,"$74,950 - $97,430 a year",,"Capitol Hill area)",Washington,DC,"20002"
2022-12-24,"Multimedia Production Specialist","US Library of Congress",loc.gov,Libraries,"$61,947 - $80,532 a year",,"Capitol Hill area)",Washington,DC,"20540"
2022-12-24,"GRAND CLUB CONCIERGE","Grand Hyatt Washington",,,"$31.6k - $40.1k a year (estimated)",,"Downtown area)",Washington,DC,"20001"
2022-12-23,"Registration Admission Representative I","MEDSTAR HEALTH",medstarhealth.org,"Hospital & Health Care",,,"Catholic University area)",Washington,DC,"20010"
2022-12-24,"Administrative Officer (Customer Relations Manager)","US Internal Revenue Service",irs.gov,"Government Administration","$126,233 - $164,102 a year",,,"Hybrid remote in Washington",DC,"20224"
2022-12-24,"Intelligence Operations Specialist (Insider Threat), GS-0132-14","U.S. Coast Guard",uscg.mil,Military,"$126,233 - $164,102 a year",,"Saint Elizabeths area)",Washington,DC,"20593"
2022-12-23,Concierge,"Cushman & Wakefield",cushwake-ni.com,"Commercial Real Estate","$28.7k - $36.4k a year (estimated)",,"Penn Quarter area)",Washington,DC,"20004"
2022-12-25,"Guest Experience Specialist, Georgetown","The Escape Game",theescapegame.com,Entertainment,"$15.20 - $17.25 an hour",,"Georgetown area)",Washington,DC,"20007"
2022-12-26,"Game Guide, Washington D.C., Downtown","The Escape Game",theescapegame.com,Entertainment,"$15.20 - $17.00 an hour",,"Penn Quarter area)",Washington,DC,"20004"
2022-12-26,"Field Service Technician 1","Burroughs, Inc.",burroughs.com,"Information Technology & Services","$45.4k - $57.4k a year (estimated)",,"Shaw area)",Washington,DC,"20001"
2022-12-23,"Strategy & Operations Associate, Rides Compliance",Uber,uber.com,Internet,"$96,000 a year",,"Shaw area)",Washington,DC,"20001"
2022-12-23,"Service Specialist","Epiq Systems, Inc.",epiqglobal.com,"Legal Services","$39.5k - $50k a year (estimated)",,"Downtown area)",Washington,DC,""
