DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-11-12,"Team Member (Full Time & Part Time Storewide Opportunities)","Whole Foods Market",wholefoodsmarket.com,Supermarkets,,,"Near Northeast area)",Washington,DC,"20002"
2022-11-12,"Team Member (Full Time & Part Time Storewide Opportunities)","Whole Foods Market",wholefoodsmarket.com,Supermarkets,,,"Logan Circle area)",Washington,DC,"20005"
2022-11-12,"Team Member (Full Time & Part Time Storewide Opportunities)","Whole Foods Market",wholefoodsmarket.com,Supermarkets,,,"Foggy Bottom area)",Washington,DC,"20037"
2022-11-12,"Team Member (Full Time & Part Time Storewide Opportunities)","Whole Foods Market",wholefoodsmarket.com,Supermarkets,,,"Glover Park area)",Washington,DC,"20007"
2022-11-12,"Team Member (Full Time & Part Time Storewide Opportunities)","Whole Foods Market",wholefoodsmarket.com,Supermarkets,,,"Shaw area)",Washington,DC,"20001"
2022-11-11,"Driver Helper -Casual","Breakthru Beverage Group",breakthrubev.com,Wholesale,"$19.01 an hour",,"Gateway area)",Washington,DC,"20018"
2022-11-11,"Mail Clerk III","TeleSolv Consulting",telesolvconsulting.com,"Management Consulting","estimated $33.7k - $42.6k a year",,"Dupont Circle area)",Washington,DC,"20036"
2022-11-12,"Patient & Guest Relations Representative","MEDSTAR HEALTH",medstarhealth.org,"Hospital & Health Care",,,"Georgetown area)",Washington,DC,"20007"
2022-11-12,"Team Member (Full Time & Part Time Storewide Opportunities)","Whole Foods Market",wholefoodsmarket.com,Supermarkets,,,"Tenleytown area)",Washington,DC,"20016"
2022-11-14,"Evening Drive Thru Team Member","Chick-fil-A Ft Totten FSU",,,"$17.25 an hour",,,Washington,DC,""
2022-11-12,"Clinic Assistant- Irving Street (1.0 FTE)","MEDSTAR HEALTH",medstarhealth.org,"Hospital & Health Care",,,"Catholic University area)",Washington,DC,"20010"
2022-11-14,"Union Helper",CBRE,cbre.us,"Real Estate",,,"Downtown area)",Washington,DC,"20036"
2022-11-11,"Housing Specialist","International Rescue Committee",rescue.org,"Nonprofit Organization Management",,,,"Hybrid remote in Washington",DC,"20036"
2022-11-12,"Ambassador/Screener Floater","Metropolitan Healthcare Services, Inc.",,,"estimated $32.9k - $41.6k a year",,"Georgetown area)",Washington,DC,"20007"
2022-11-11,"Night Warehouse Associate","Breakthru Beverage Group",breakthrubev.com,Wholesale,"$20.09 an hour",,"Gateway area)",Washington,DC,"20018"
2022-11-14,"Evening Front Counter Team Member","Chick-fil-A Ft Totten FSU",,,"$17 an hour",,,Washington,DC,""
2022-11-12,"Officer I Unarmed","MEDSTAR HEALTH",medstarhealth.org,"Hospital & Health Care",,,"Catholic University area)",Washington,DC,"20010"
2022-11-12,"Supply Chain Materials Specialist","Owens & Minor",owens-minor.com,"Hospital & Health Care","estimated $48k - $60.8k a year",,,"Hybrid remote in Washington",DC,""
2022-11-11,"Peer Counselor","Department of Behavioral Healt",,,"$48,500 - $63,675 a year",,"Truxton Circle area)",Washington,DC,"20002"
2022-11-12,"Restaurant Team Member","Shake Shack",shakeshack.com,Hospitality,"$18.75 an hour",,"Logan Circle area)",Washington,DC,"20005"
2022-11-12,Cleaner,"C&W Services",cwservices.com,"Facilities Services","estimated $26.9k - $34k a year",,"NoMa area)",Washington,DC,"20002"
2022-11-12,"Restaurant Team Member","Shake Shack",shakeshack.com,Hospitality,"$18.25 an hour",,"Navy Yard area)",Washington,DC,"20003"
2022-11-13,"Visual Merchandiser",H&M,hm.com,Retail,"$19.28 - $21.21 an hour",,"Georgetown area)",Washington,DC,"20007"
2022-11-13,"Entry Level Manager","Wegmans Food Markets",wegmans.com,Retail,"$20.50 - $21.00 an hour",,,Washington,DC,""
2022-11-11,"Accts Receivable Coordinator I (100% Remote/Virtual)","US Foods",usfoods.com,"Food & Beverages","estimated $38.5k - $48.8k a year",Remote,,"Remote in Washington",DC,""
2022-11-11,"Program Assistant, Indo-Pacific Programs","Cultural Vistas",culturalvistas.org,"International Affairs","estimated $38.3k - $48.5k a year",,"Logan Circle area)",Washington,DC,"20005"
2022-11-12,"Overnight- Baker","Tatte Bakery & Cafe",,,"from $18.50 an hour",,"Downtown area)",Washington,DC,"20001"
2022-11-12,"Environmental Protection Specialist","US Environmental Protection Agency",epa.gov,"Government Administration","$61,947 - $80,532 a year",Remote,,"Temporarily Remote in Washington",DC,""
2022-11-11,"Contact Center Agent-1","Howard University",howard.edu,"Higher Education","estimated $31.1k - $39.3k a year",,,Washington,DC,""
2022-11-11,"Foreign Affairs Officer","U.S. Department of State",,,"$89,834 - $138,868 a year",,,"Hybrid remote in Washington",DC,"20520"
2022-11-12,"Policy Assistant","Jenner & Block LLP",jenner.com,"Law Practice","estimated $45.6k - $57.8k a year",,"Downtown area)",Washington,DC,"20001"
