DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2/6/2022,"Parent Engagement Organizer","American Federation of Teachers",aft.org,"Alternative Dispute Resolution","$91,939 a year",,"Swampoodle area",Washington,DC,"20001"
2/5/2022,"Professional Development Course Coordinator","American Federation of Teachers",aft.org,"Alternative Dispute Resolution","$113,712 a year",,"Swampoodle area",Washington,DC,"20001"
2/5/2022,"DEFI FELLOW","Cato Institute",cato.org,"Think Tanks",,,"Downtown area",Washington,DC,"20001"
2/5/2022,"Lawn Care Worker","LawnStarter Inc",lawnstarter.com,Internet,"Up to $1,000 a week",,,Washington,DC,""
2/5/2022,"Welcome Coordinator","Wounded Warrior Project",woundedwarriorproject.org,"Nonprofit Organization Management",,Remote,,"Hybrid remote in Washington",DC,""
2/5/2022,"Education Program Specialist, GS-1720-9/11 FPL 12 (DE)","US Office of Elementary and Secondary Education",ed.gov,"Government Administration","$61,947 - $97,430 a year",,,Washington,DC,""
2/6/2022,"Full-Time Tour Guide",WeVenture,,,,,,Washington,DC,""
2/5/2022,"Summer Analyst Program 2022","The Rock Creek Group",therockcreekgroup.com,"Financial Services",,,"Downtown area",Washington,DC,"20036"
2/5/2022,"Meetings Assistant","American Federation of Teachers",aft.org,"Alternative Dispute Resolution","$59,167 a year",,"Swampoodle area",Washington,DC,"20001"
2/5/2022,"2022 Summer Associate Program","The Rock Creek Group",therockcreekgroup.com,"Financial Services",,,"Downtown area",Washington,DC,"20036"
2/5/2022,"Media Assistant","Stratacomm LLC",stratacomm.net,"Marketing & Advertising",,Remote,,"Remote in Washington",DC,""
2/5/2022,"Program Assistant","The German Marshall Fund of the United States",gmfus.org,"Think Tanks",,,"U Street Corridor area",Washington,DC,"20009"
2/5/2022,"Research Associate","American Federation of Teachers",aft.org,"Alternative Dispute Resolution","$91,939 a year",,"Swampoodle area",Washington,DC,"20001"
2/5/2022,"NNSA NIMS Opportunities",Leidos,opera.org.au,"Performing Arts",,,"South West area",Washington,DC,"20090"
