DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-03-21,"Program Specialist, CG-0301-14","US Federal Deposit Insurance Corporation",fdic.gov,Banking,"$138,043 - $221,872 a year",,,Washington,DC,""
2022-03-21,"Supervisory Auditor","US Administration for Children and Families",cms.gov,"Government Administration","$126,233 - $164,102 a year",,,Washington,DC,""
2022-03-18,"Afterschool & Summer Meals Coordinator, DC Region","CAPITAL AREA FOOD BANK",capitalareafoodbank.org,"Nonprofit Organization Management","$43.5K ? $55.1K a year",,"Michigan Park area",Washington,DC,"20017"
2022-03-21,"Records and Information Management Specialist","US Treasury, Departmental Offices",,,"$106,823 - $138,868 a year",,,Washington,DC,""
2022-03-19,"Delivery Helper","Reyes Beer Division",reyesbeerdivision.com,"Food & Beverages",,,"Brentwood area",Washington,DC,"20018"
2022-03-21,"Assistant Inspector General for Investigations","US Department of State - Agency Wide",,,"$135,468 - $203,700 a year",,,Washington,DC,""
2022-03-21,"Program Analyst","US Assistant Secretary for Public and Indian...",,,"$126,233 - $164,102 a year",,,Washington,DC,""
2022-03-21,"Education Program Specialist, GS-1720-14 (DE)","US Office of Special Education and Rehabilitative...",,,"$126,233 - $159,894 a year",,,Washington,DC,""
2022-03-20,"Volunteer Placement & Assessment Specialist","US Peace Corps",peacecorps.gov,"International Affairs","$51,157 - $94,003 a year",,"NoMa area",Washington,DC,"20002"
2022-03-19,"Remote Summer Reading Teacher","Institute Of Reading Development Inc",,,"$600 - $700 a week",Remote,,"Remote in Washington",DC,""
2022-03-20,"Marketing / Advertising - Entry Level","MGD Inc.",,,"$36.5K ? $46.3K a year",,"Shaw area",Washington,DC,"20001"
2022-03-19,"Mail Handler","Chenega Corporation",chenega.com,"Information Technology & Services",,,"Anacostia area",Washington,DC,"20374"
2022-03-20,"Procurement Analyst (DE)","US Office of the Secretary",,,"$50,643 - $116,788 a year",,,Washington,DC,""
2022-03-19,"Department of Defence - Science Support Officer - PN 10256","Australian Government Department of Foreign...",dfat.gov.au,"Government Administration","$68,780 a year",,,Washington,DC,""
2022-03-19,"Counterintelligence Officer","Federal Bureau of Investigation",fbi.com,,,,"Penn Quarter area",Washington,DC,"20535"
2022-03-19,"Contract Specialist","Government of the District of Columbia",,,"$98,176 - $126,508 a year",,"Navy Yard area",Washington,DC,"20003"
2022-03-21,"Administrative Assistant / Sales Administrator","FASTSIGNS? OF WASHINGTON, DC",,,"$30.6K ? $38.8K a year",,"Brentwood area",Washington,DC,"20018"
2022-03-20,"Drug Testing Technician","US Pretrial Services Agency",psa.gov.in,"Government Administration","$50,422 - $62,686 a year",,"Penn Quarter area",Washington,DC,"20004"
2022-03-19,"Program Support Specialist","Government of the District of Columbia",,,"$68,870 - $88,787 a year",,"Truxton Circle area",Washington,DC,"20002"
2022-03-21,"Marketing Specialist","US Smithsonian Institution",,,"$74,950 - $97,430 a year",,"Capitol Hill area",Washington,DC,"20002"
2022-03-19,"Museum Specialist (Art), GS-1016-09","US Smithsonian Institution",,,"$61,947 - $80,532 a year",,"Capitol Hill area",Washington,DC,"20002"
2022-03-21,"Protective Service Specialist (Open to both U.S. Citizens an...","US Office of the Secretary of Transportation",,,"$64,012 - $97,430 a year",,,Washington,DC,""
2022-03-19,"2022 Summer Associate Program","The Rock Creek Group",therockcreekgroup.com,"Financial Services","$28.1K ? $35.5K a year",,"Downtown area",Washington,DC,"20036"
2022-03-19,"Deputy Project Manager","VSolvit LLC",vsolvit.com,"Information Technology & Services","$78.9K ? $99.9K a year",,"Shaw area",Washington,DC,"20001"
2022-03-19,"Real Estate Services Coordinator",CBRE,cbre.us,"Real Estate",,,"Downtown area",Washington,DC,"20036"
2022-03-19,"Copy Editor","National Journal",nationaljournal.com,Research,"$56.8K ? $72K a year",,,Washington,DC,""
2022-03-18,"Entry Level Medical Sales","Veterans Prime, Inc.",veteransprime.com,"Staffing & Recruiting","$80,000 - $85,000 a year",,,Washington,DC,""
2022-03-19,"Administrative Specialist","Credit Builders Alliance",,,"$45,000 - $55,000 a year",,"Downtown area",Washington,DC,"20006"
2022-03-21,"Attendant-Employee Dining Room","Marriott International, Inc",,,,,"West End area",Washington,DC,""
2022-03-19,"CUSTOMER SERVICE REPRESENTATIVE (WFH)",AT&T,att.com,Telecommunications,"Up to $792 a week",Remote,,"Remote in Washington",DC,""
2022-03-19,"Management Analyst","US DHS Headquarters",,,"$106,823 - $138,868 a year",,"American University Park area",Washington,DC,"20528"
2022-03-21,"US Politics and Policy Reporter","U.S. Agency for Global Media",usagm.gov,"Broadcast Media","$106,823 - $138,868 a year",,"Southwest Federal Center area",Washington,DC,"20237"
2022-03-19,"Patient Service Representative","Howard University",howard.edu,"Higher Education",,,,Washington,DC,""
2022-03-19,Analyst,"The Asia Group",theasiagroup.com,"Management Consulting","$59.4K ? $75.2K a year",Remote,,"Hybrid remote in Washington",DC,""
2022-03-19,"Department of Defence - Commercial Procurement Officer - PN1...","Australian Government Department of Foreign...",dfat.gov.au,"Government Administration","$57,924 a year",,,Washington,DC,""
2022-03-21,"Guest Service Aide","Marriott International, Inc",,,,,"Dupont Circle area",Washington,DC,"20037"
2022-03-20,"Program Manager","US Bureau of Land Management",blm.gov,"Government Administration","$126,233 - $164,102 a year",Remote,,"Temporarily Remote in Washington",DC,""
2022-03-18,"Office Asst","MEDSTAR HEALTH",medstarhealth.org,"Hospital & Health Care",,,"Catholic University area",Washington,DC,"20010"
2022-03-19,"Human Language Tech Specialist",Envistacom,envistacom.com,"Defense & Space","$58.7K ? $74.3K a year",,"Downtown area",Washington,DC,"20004"
2022-03-21,"Laundry Attendant","AC Washington",,,"$30.4K ? $29.4K a year",,"Capitol Hill area",Washington,DC,"20003"
2022-03-19,"Entry Level Surveillance Investigator","DigiStream Investigations, Inc.",,,"$18 an hour",,,Washington,DC,""
2022-03-19,"Human Capital/Human Resources Consultant","VSolvit LLC",vsolvit.com,"Information Technology & Services","$59.8K ? $75.8K a year",,"Shaw area",Washington,DC,"20001"
2022-03-19,"Deputy Director Congressional Relations","US Woodrow Wilson International Center for...",wilsoncenter.org,"Think Tanks","$106,823 - $138,868 a year",,"Downtown area",Washington,DC,"20004"
2022-03-18,"School Social Worker","Capital City Public Charter School",ccpcs.org,"Primary/Secondary Education","$52.3K ? $66.3K a year",,"Manor Park area",Washington,DC,"20011"
2022-03-19,"Research Associate, Trade Policy","Council on Foreign Relations",cfr.org,"Think Tanks","$48.3K ? $61.1K a year",,"Foggy Bottom area",Washington,DC,"20006"
2022-03-21,"Bartender-Lobby Lounge","Marriott International, Inc",,,,,"West End area",Washington,DC,""
2022-03-19,"Museum Specialist (Art)",Smithsonian,si.edu,"Museums & Institutions","$61,947 - $80,532 a year",Remote,,"Hybrid remote in Washington",DC,""
2022-03-21,"Membership Development Associate","National Journal",nationaljournal.com,Research,"$42.4K ? $53.6K a year",,,Washington,DC,""
2022-03-19,"Associate, Office of the CEO","The Rock Creek Group",therockcreekgroup.com,"Financial Services","$37.5K ? $47.5K a year",,"Downtown area",Washington,DC,"20036"
2022-03-21,"WFI-Guest Environment Expert (Housekeeping) - NA","Marriott International, Inc",,,,,"Downtown area",Washington,DC,"20005"
2022-03-20,Auditor,"US Office of Personnel Management",,,"$106,823 - $138,868 a year",Remote,,"Temporarily Remote in Washington",DC,"20415"
2022-03-19,"DISCHARGE COORDINATOR","Psychiatric Institute of Washington",psychinstitute.com,"Mental Health Care",,,"Tenleytown area",Washington,DC,"20016"
