DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2/5/2022,"Coordinator, Professional Education","American Association for Clinical Chemistry",aacc.org,"Hospital & Health Care",,,"Shaw area",Washington,DC,"20001"
2/7/2022,"Associate Environmental and Social Development Specialist","World Bank Group",worldbank.org,"International Trade & Development",,,,Washington,DC,""
2/5/2022,"Research Associate, International Climate Policy","American Progress",americanprogress.org,"Think Tanks","$50,000 a year",Remote,,"Hybrid remote in Washington",DC,""
2/5/2022,"Workforce Development Specialist","US Employment and Training Administration",doleta.gov,"Human Resources","$89,834 - $138,868 a year",,"Judiciary Square area",Washington,DC,"20210"
2/7/2022,"Post Secondary Support Fellow","KIPP DC Public Schools",kippdc.org,"Education Management",,,,Washington,DC,""
2/5/2022,"Management Analyst I",Ho-Chunk,ho-chunkgaming.com,"Gambling & Casinos",,,"Foggy Bottom area",Washington,DC,"20520"
2/7/2022,"Area Director ? Northwest D.C.","Young Life",lovejoyyounglife.com,,,Remote,,"Remote in Washington",DC,""
2/5/2022,"Health and Fitness Program Manager","Aquila Fitness Consulting Systems, Ltd.",aquilaltd.com,"Health, Wellness & Fitness",,,"Capitol Hill area",Washington,DC,"20515"
2/5/2022,"Research Analyst- Education (Remote)","AccessLex Institute",accesslex.org,"Higher Education",,Remote,,"Remote in Washington",DC,""
2/5/2022,"Career Counselor (9320)","American University",american.edu,"Higher Education",,,"Spring Valley area",Washington,DC,"20016"
2/5/2022,"Program Officer (Youth & Inclusion)","International Republican Institute",iri.org,"International Affairs",,,"Logan Circle area",Washington,DC,"20005"
2/6/2022,"Project Coordinator",Acdi/Voca,acdivoca.org,"International Trade & Development",,,"Swampoodle area",Washington,DC,"20001"
2/5/2022,"Director of Scheduling","The Rock Creek Group",therockcreekgroup.com,"Financial Services",,,"Downtown area",Washington,DC,"20036"
2/5/2022,"Executive Associate - Medicine","GW MFA",gwdocs.com,"Hospital & Health Care",,,"Foggy Bottom area",Washington,DC,"20037"
2/7/2022,"Program Officer - Africa","Mercy Corps",mercycorps.org,"Nonprofit Organization Management",,,"Downtown area",Washington,DC,"20036"
2/5/2022,"Program Officer (Youth & Inclusion)","IRI Washington DC",,,,,"Logan Circle area",Washington,DC,"20005"
2/5/2022,"Customer Success Operations Analyst",Pearson,pearson.com,"Education Management","$65,000 - $80,000 a year",,,Washington,DC,""
2/5/2022,"Reception and Resource Supervisor","Bread for the City",breadforthecity.org,"Civic & Social Organization",,,"Shaw area",Washington,DC,"20001"
2/5/2022,"Law Clerk",CACI,caci.com,"Information Technology & Services",,,"Logan Circle area",Washington,DC,"20005"
2/7/2022,"Program Analyst",Leidos,opera.org.au,"Performing Arts",,Remote,,"Remote in Washington",DC,""
2/5/2022,"Program Specialist","The American College of Obstetricians and...",,,,Remote,,"Temporarily Remote in Washington",DC,""
2/5/2022,"Cybersecurity Training Specialist",SAIC,spacedev.com,"Defense & Space",,Remote,,"Temporarily Remote in Washington",DC,""
2/6/2022,"Government Affairs Project Manager","National Journal",nationaljournal.com,Research,,,,Washington,DC,""
2/5/2022,"Grassroots Manager","National Federation of Independent Business (NFIB)",nfib.com,"Nonprofit Organization Management",,,,Washington,DC,""
2/5/2022,"Scheduling Coordinator","Medstar Georgetown University Hospital",medstargeorgetown.org,"Hospital & Health Care",,,"Georgetown area",Washington,DC,"20007"
2/6/2022,"Executive Secretary",AARP,aarp.org,"Nonprofit Organization Management",,,"Penn Quarter area",Washington,DC,"20049"
2/7/2022,"Program Analyst",Leidos,opera.org.au,"Performing Arts",,Remote,,"Temporarily Remote in Washington",DC,""
