DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-03-31,"ASSOCIATE DIRECTOR, WORKFORCE DEVELOPMENT","The D C Central Kitchen Inc",dccentralkitchen.org,"Nonprofit Organization Management","$60,000 - $75,000 a year",,"Shaw area",Washington,DC,"20001"
2022-03-30,"Human Resource Specialist (Employee/LaborRelations)","Government of the District of Columbia",,,"$89,457 - $115,262 a year",,"Downtown area",Washington,DC,"20001"
2022-03-29,"GLOBAL EUROPE PROGRAM DIRECTOR","US Woodrow Wilson International Center for...",wilsoncenter.org,"Think Tanks","$148,484 - $176,300 a year",,"Downtown area",Washington,DC,"20004"
2022-03-31,"PROJECT DIRECTOR (DOJ)","Creative Corrections, LLC",,,,,,Washington,DC,""
2022-03-31,"Digital Archive Specialist","Twentieth Century Fox",20thcenturystudios.com,Entertainment,,,,Washington,DC,""
2022-03-31,"Director of University Advancement Events","The Catholic University of America",cua.edu,"Higher Education",,,"Catholic University area",Washington,DC,"20064"
2022-03-30,"Executive Assistant to the President, Joint Center",LeaderFit,leaderfit.org,"Nonprofit Organization Management","$75,000 - $85,000 a year",,,Washington,DC,""
2022-03-30,"Executive Administrative Assistant","Credence Management Solutions, LLC",,,,,,Washington,DC,""
2022-03-30,"Program Analyst","Oasis Systems LLC",oasissystems.com,"Information Technology & Services",,,,Washington,DC,""
2022-03-31,"Director, Data Analytics",AARP,aarp.org,"Nonprofit Organization Management",,,"Penn Quarter area",Washington,DC,"20049"
2022-03-31,"Federal Business Development Manager - Environmental Service...","Burns & McDonnell",burnsmcd.com,Construction,,,,Washington,DC,""
2022-03-30,"Executive Director, Information Security Operations","US Deputy Assistant Secretary for Information and...",,,"$135,468 - $203,700 a year",Remote,,"Temporarily Remote in Washington",DC,"20420"
2022-03-29,Director,"Casey Family Programs",casey.org,"Nonprofit Organization Management",,,,Washington,DC,""
2022-03-30,"Financial Analyst","Serco North America",icims.com,Automotive,,,"Logan Circle area",Washington,DC,"20005"
2022-03-30,"Managing Consultant-ES&I Public Sector",Guidehouse,guidehouse.com,"Management Consulting",,Remote,,"Remote in Washington",DC,"20006"
2022-03-29,"Commercial Climate Risk Lead (Remote USA)",ICF,icf.com,"Management Consulting",,Remote,,"Remote in Washington",DC,"20006"
2022-03-30,"Director, Economic Statecraft Initiative, GeoEconomics Cente...","Atlantic Council",atlanticcouncil.org,"International Affairs",,,"Logan Circle area",Washington,DC,"20005"
2022-03-30,"Insider Threat Auditor","Base-2 Solutions",,,,,,Washington,DC,""
2022-03-31,"Principal Transmission Development & Strategy - Exelon","Exelon Corporation",exelon.com,,,,"Foggy Bottom area",Washington,DC,"20068"
2022-03-30,"Program Manager","RTL Networks",rtl-networks.com,"Information Technology & Services",,,"Downtown area",Washington,DC,"20500"
