DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-09-27,"Project Manager","Argo Construction Corp",,,"from $99,363 a year",,,Miami,FL,"33170"
2022-09-27,"CRIME SCENE INVESTIGATOR I","City of Miami, FL",miamigov.com,"Government Administration","$48,315 a year",,"Downtown area)",Miami,FL,"33130"
2022-09-27,Server,"Fogo de Chao",fogodechao.com,"Food & Beverages",,,,Miami,FL,""
2022-09-27,"POLICE OFFICER - PROBATIONARY","City of Miami, FL",miamigov.com,"Government Administration","$54,762 a year",,"Downtown area)",Miami,FL,"33130"
2022-09-26,"Call Center Representative",Progressive,progressivepartnership.co.uk,"Market Research","$21 an hour",Remote,,"Remote in Miami",FL,""
2022-09-27,"Kronos Consultant","Tek Ninjas",,,"estimated $91.3k - $116k a year",Remote,,"Remote in Miami",FL,"33101"
2022-09-28,"Front Desk Agent","Marriott Vacations Worldwide",marriottvacationsworldwide.com,Hospitality,,,,Miami,FL,"33139"
2022-09-26,"House Cleaning Technician, House Cleaner, Housekeeping Job.","Wiz Cleaners",wizclean.com,Accounting,"up to $850 a week",,,Miami,FL,""
2022-09-27,"Clinic Assistant","University of Miami",miami.edu,"Higher Education",,,"Allapattah area)",Miami,FL,"33136"
2022-09-28,"Administrative Assistant","University of Miami",miami.edu,"Higher Education",,,,Miami,FL,""
2022-09-28,"HelpDesk Support Agent (Hybrid/Remote Work Options Available...","Care Resource Community Health Center",careresource.org,"Hospital & Health Care","estimated $37.3k - $47.3k a year",Remote,,"Remote in Miami",FL,"33137"
2022-09-27,"Materials Management Clerk (U)","University of Miami",miami.edu,"Higher Education",,,,Miami,FL,""
2022-09-27,"Managing Partner",Carrabba's,,,,,,Miami,FL,"33172"
2022-09-27,"Front Desk - Overnight","Marriott International, Inc",,,,,"Flagami area)",Miami,FL,""
2022-09-27,"Community Relations Coord","Keiser University",keiseruniversity.edu,"Higher Education",,,,Miami,FL,"33172"
2022-09-28,"Front Desk Host","Hyatt Centric Brickell",,,"$16 an hour",,"Brickell area)",Miami,FL,"33131"
2022-09-28,"Alto Personal Driver in Miami - Full Time",Alto,alto.co,"Computer Software","$12 - $24 an hour",,"Miami International Airport area)",Miami,FL,"33142"
2022-09-27,"Traffic Monitoring Operator I",AECOM,aecom.com,"Civil Engineering","$18 an hour",,,"Hybrid remote in Miami",FL,"33126"
2022-09-27,"Materials Management Clerk","University of Miami",miami.edu,"Higher Education",,,,Miami,FL,""
2022-09-27,"Country Commercial Category Assistant",Dufry,,,"estimated $31.2k - $39.6k a year",,,Miami,FL,""
2022-09-27,"EHS Specialist , WHS","Amazon.com Services LLC",amazon.com,Internet,,,,Miami,FL,""
2022-09-25,"MOTOR VEHICLE OPERATOR","United States Postal Service",usps.com,"Government Administration","$26.14 an hour",,,Miami,FL,"33152"
2022-09-27,"Control Room Operator","Atlantic Sapphire",atlanticsapphire.com,"Food & Beverages","estimated $43.9k - $55.7k a year",,,Miami,FL,"33131"
2022-09-28,"Host or Hostess","Marriott International, Inc",,,,,,Miami,FL,"33149"
2022-09-27,"Youth Caseworker","International Rescue Committee",rescue.org,"Nonprofit Organization Management",,,,"Hybrid remote in Miami",FL,""
2022-09-28,Barback,"Mandarin Oriental Hotel Group",mandarinoriental.com,Hospitality,"estimated $28.4k - $36k a year",,"Brickell area)",Miami,FL,"33131"
2022-09-28,"Water Attendant","Mandarin Oriental Hotel Group",mandarinoriental.com,Hospitality,"estimated $43.6k - $55.2k a year",,"Brickell area)",Miami,FL,"33131"
2022-09-28,"Front Desk Host","Hyatt Centric Brickell Miami",,,,,"Brickell area)",Miami,FL,"33131"
2022-09-28,"Unit Secretary - Specialty, UHT, Full Time","University of Miami",miami.edu,"Higher Education",,,,Miami,FL,""
2022-09-28,"House Cleaner",MaidPro,maidpro.com,"Consumer Services","$15 an hour",,"Coral Way area)",Miami,FL,"33129"
2022-09-28,"Explosive Detection Canine Handler","MSA Security",msasecurity.net,"Security & Investigations",,,,Miami,FL,""
2022-09-28,"Banquets Conferences Concierge","Marriott International, Inc",,,,,,Miami,FL,"33149"
2022-09-28,"Research Associate 1 (Psychology)","University of Miami",miami.edu,"Higher Education",,,,Miami,FL,""
2022-09-25,"Leasing Professional - Intown","Greystar Real Estate Partners LLC",greystar.com,"Real Estate",,,,Miami,FL,""
2022-09-28,"Hospitality Coordinator","Epiq Systems, Inc.",epiqglobal.com,"Legal Services",,,,Miami,FL,""
2022-09-27,"Business Intelligence Analyst",Santander,santandergcb.co.uk,,,,"Brickell area)",Miami,FL,"33131"
2022-09-28,"Front Desk Host","Concord Hospitality",concordhotels.com,Hospitality,"estimated $26.3k - $33.3k a year",,,Miami,FL,""
2022-09-26,"Team Member/Juicer South Beach","Joe & The Juice",joejuice.com,"Food & Beverages","$13.50 - $18.50 an hour",,,Miami,FL,"33139"
2022-09-28,"Operational Administrative Assistant","Lewis Tree Service, Inc.",lewistree.com,Utilities,,,,Miami,FL,""
2022-09-28,Host/Hostess,"Marriott International, Inc",,,,,,Miami,FL,"33149"
2022-09-27,"VIDEO RETRIEVAL SPECIALIST","City of Miami, FL",miamigov.com,"Government Administration","$48,315 a year",,"Downtown area)",Miami,FL,"33130"
2022-09-28,"General Office Worker","Sciolex Corporation",sciolex.com,"Defense & Space","estimated $26.6k - $33.6k a year",,,Miami,FL,"33186"
2022-09-27,"Microsoft Specialist","Best Buy",bestbuy.com,Retail,,,,Miami,FL,""
2022-09-25,"BDC, Internet Sales Consultant","Bomnin Chevrolet",,,,,,Miami,FL,"33143"
2022-09-26,"Junior Special Events Manager","Florida International University",fiu.edu,"Higher Education","$38,000 - $41,000 a year",,,Miami,FL,""
2022-09-28,"Territory Account Representative",OneBlood,oneblood.org,"Hospital & Health Care","estimated $41.7k - $52.9k a year",,,Miami,FL,"33186"
2022-09-27,"Loss Prevention Officer","Marriott International, Inc",,,,,,Miami,FL,"33149"
2022-09-28,"Beauty Specialist - Christian Dior","Saks Fifth Avenue",,,"estimated $32.4k - $41k a year",,,Miami,FL,""
2022-09-28,"Restaurant Team Member",Chipotle,,,"$250 a year.",,,Miami,FL,"33182"
2022-09-28,"Restaurant Team Member",Chipotle,,,"$250 a year.",,,Miami,FL,"33165"
2022-09-28,"Records Auditor","AAR Corp.",aarcorp.com,Airlines/Aviation,"estimated $33.4k - $42.4k a year",,,Miami,FL,""
2022-09-28,"Patient Access Representative, UHT, Full Time","University of Miami",miami.edu,"Higher Education",,,,Miami,FL,""
2022-09-27,"Loss Prevention Officer","Marriott International, Inc",,,,,"Brickell area)",Miami,FL,"33131"
2022-09-28,"Saks Fifth Avenue - Dadeland","Saks Fifth Avenue",,,"estimated $29.7k - $37.5k a year",,,Miami,FL,"33156"
2022-09-26,"Team Member/Juicer North Miami","Joe & The Juice",joejuice.com,"Food & Beverages","$13.50 - $18.50 an hour",,,Miami,FL,"33180"
2022-09-28,"Microsoft Specialist","Best Buy",bestbuy.com,Retail,,,,Miami,FL,"33172"
2022-09-27,"Trial Attorney (Appellate)","United States Trustee Program (USTP)",,,"$126,233 - $176,300 a year",,,"Hybrid remote in Miami",FL,"33130"
2022-09-28,"Web Content Editor","Miami HEAT",heat.com,Sports,"estimated $44.3k - $56.1k a year",,"Downtown area)",Miami,FL,"33132"
2022-09-27,"Planner, Production","AAR Corp.",aarcorp.com,Airlines/Aviation,"estimated $56k - $71k a year",,,Miami,FL,""
2022-09-26,"Saks Fifth Avenue - Brickell","Saks Fifth Avenue",,,"estimated $29.7k - $37.5k a year",,"Brickell area)",Miami,FL,"33130"
2022-09-28,"North Miami #20 Bartender","Miami, FL 33181",,,,,,,,""
2022-09-25,"CaseAim Transporter","Childrens Home Society of Florida",chsfl.org,"Nonprofit Organization Management",,,,Miami,FL,"33177"
2022-09-27,"Housekeeping Supervisor","Marriott International, Inc",,,,,"Flagami area)",Miami,FL,""
2022-09-28,"Restaurant Team Member",Chipotle,,,,,,Miami,FL,"33180"
2022-09-26,"Team Member/Juicer Downtown Miami","Joe & The Juice",joejuice.com,"Food & Beverages","$13.50 - $18.50 an hour",,"Brickell area)",Miami,FL,"33131"
2022-09-27,"Magnolia Home Theater Specialist","Best Buy",bestbuy.com,Retail,,,,Miami,FL,""
2022-09-28,"NAC Flight Training Administrator","Northern Air Cargo LLC",,,,,"Flagami area)",Miami,FL,"33126"
2022-09-27,"HR Manager","The Elser Hotel & Residences",,,"estimated $41.1k - $52.1k a year",,"Downtown area)",Miami,FL,"33132"
2022-09-25,"Loss Prevention Officer","Marriott International, Inc",,,,,"Downtown area)",Miami,FL,"33132"
2022-09-25,"General Laborer/Helper","Waste Connections",wasteconnections.com,"Environmental Services",,,,Miami,FL,""
2022-09-28,"Restaurant Team Member",Chipotle,,,,,,Miami,FL,"33186"
2022-09-28,"Head of Schools - Miami","KIPP Miami",,,"estimated $84.6k - $107k a year",,,Miami,FL,""
2022-09-27,"Operations Center Controller","Brightline Trains",,,"estimated $33.5k - $42.5k a year",,"Overtown area)",Miami,FL,"33136"
2022-09-28,"LG Home Theater Specialist","Best Buy",bestbuy.com,Retail,,,,Miami,FL,"33172"
