DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
3/1/2022,"Registered Nurse (RN)","Holy Cross Health",holycrosshealth.org,"Hospital & Health Care","$20 - $57 an hour",,"Coral Ridge Country Club area","Fort Lauderdale",FL,"33308"
########,"Saute Chef","California Pizza Kitchen",cpk.com,Restaurants,,,"Poinsettia Heights area","Fort Lauderdale",FL,"33305"
3/2/2022,"Brand Representative - Sales Associate","Altar'd State",altardstate.com,Retail,"$15 an hour",,"Sunrise Intracoastal area","Fort Lauderdale",FL,"33304"
3/2/2022,"Runner Part-Time","Marriott International, Inc",,,,,"Central Beach Alliance area","Fort Lauderdale",FL,"33304"
3/1/2022,"Research Coordinator","Nova Southeastern University",nova.edu,"Higher Education",,,,"Fort Lauderdale",FL,"33314"
3/2/2022,"FINANCIAL ANALYST I","Broward Health Medical Center",,,,,,"Fort Lauderdale",FL,""
3/2/2022,"Overnight Runner Part Time","Marriott International, Inc",,,,,"Central Beach Alliance area","Fort Lauderdale",FL,"33304"
########,"Customer Service Representative - Rental Car Return","Avis Budget Group",avisbudgetgroup.com,"Leisure, Travel & Tourism",,,"Fort Lauderdale-Hollywood International Airport area","Fort Lauderdale",FL,"33315"
########,"barista - Store# 16973, 4854 N. FEDERAL HIGH",Starbucks,starbucks.com,Retail,,,"Coral Ridge Country Club area","Fort Lauderdale",FL,"33308"
3/2/2022,"Bellman Part Time","Marriott International, Inc",,,,,"Central Beach Alliance area","Fort Lauderdale",FL,"33304"
3/2/2022,"Boathouse Runner/Busser","Riverside Hotel",riversideboise.com,Hospitality,"$19.5K ? $24.7K a year",,,"Fort Lauderdale",FL,""
3/1/2022,"Overnight Grocery Team Member (Stocker, Inventory, Receiving...","Whole Foods Market",wholefoodsmarket.com,Supermarkets,,,"Harbordale area","Fort Lauderdale",FL,"33316"
3/2/2022,"Cashier-Part Time","The Salvation Army",salvationarmyfortwalton.org,Retail,,,,"Fort Lauderdale",FL,"33312"
########,"PT In-Room Dining Server - Conrad Fort Lauderdale Beach",Hilton,hiltonmyersadv.com,"Advertising & Marketing, Business Services, Human Resources & Staffing, Â ... Lodging & Resorts, Hos",,,"Lake Ridge area","Fort Lauderdale",FL,"33304"
3/1/2022,"Grocery Associate","Winn-Dixie Retail Stores",winndixie.com,Supermarkets,,,"River Oaks area","Fort Lauderdale",FL,"33315"
########,"Delivery Driver","Carrabba's Italian Grill",carrabbas.com,"Food & Beverages",,,"Harbordale area","Fort Lauderdale",FL,"33316"
3/1/2022,"Team Member","Blaze Pizza - Fort Lauderdale",,,"$19.6K ? $24.8K a year",,,"Fort Lauderdale",FL,"33309"
3/2/2022,"Sales Associate Part-Time","DTLR | DTLR, Inc",,,,,"Lake Ridge area","Fort Lauderdale",FL,"33304"
3/1/2022,"Registered Behavior Technician (RBT)","Positive Behavior Supports Corporation (PBS)",teampbs.com,"Mental Health Care","$18 - $22 an hour",,,"Fort Lauderdale",FL,""
########,"Retail Associate - Inter-Miami CF","Fanatics Inc.",fanaticsinc.com,Internet,,,,"Fort Lauderdale",FL,"33309"
########,"Produce Team Member (Clerk, Floor Service) - Part Time","Whole Foods Market",wholefoodsmarket.com,Supermarkets,,,"Harbordale area","Fort Lauderdale",FL,"33316"
3/2/2022,"Sales Associate Part-Time","DTLR | DTLR, Inc",,,,,"Riverland area","Fort Lauderdale",FL,"33312"
########,"Bartender PT- Bahia Mar Fort Lauderdale Beach a DoubleTree b...",Hilton,hiltonmyersadv.com,"Advertising & Marketing, Business Services, Human Resources & Staffing, Â ... Lodging & Resorts, Hos",,,,"Fort Lauderdale",FL,"33317"
3/2/2022,"Team Member","Burger King",bk.com,Restaurants,"$8.25 - $8.50 an hour",,,"Fort Lauderdale",FL,"33309"
3/2/2022,"Laboratory Assistant","Integrated Regional Laboratories",irlfl.com,"Hospital & Health Care",,,,"Fort Lauderdale",FL,"33309"
3/2/2022,"Laboratory Assistant","Integrated Regional Laboratories",irlfl.com,"Hospital & Health Care",,,,"Fort Lauderdale",FL,"33309"
3/2/2022,"Laboratory Assistant","Integrated Regional Laboratories",irlfl.com,"Hospital & Health Care",,,,"Fort Lauderdale",FL,"33309"
3/2/2022,"Laboratory Assistant","Integrated Regional Laboratories",irlfl.com,"Hospital & Health Care",,,,"Fort Lauderdale",FL,"33309"
3/2/2022,"Car Detailer","Avis Budget Group",avisbudgetgroup.com,"Leisure, Travel & Tourism",,,"Fort Lauderdale-Hollywood International Airport area","Fort Lauderdale",FL,"33315"
3/1/2022,"Teacher Aide","Nova Southeastern University",nova.edu,"Higher Education","$10 an hour",,,"Fort Lauderdale",FL,"33314"
3/2/2022,"Team Member","Burger King",bk.com,Restaurants,"$8.25 - $8.50 an hour",,"Lauderdale Manors area","Fort Lauderdale",FL,"33311"
3/2/2022,"Delivery Driver / Merchandiser","Total Wine & More",totalwine.com,Retail,,,,"Fort Lauderdale",FL,"33336"
3/2/2022,"Team Member","Burger King",bk.com,Restaurants,"$8.25 - $8.50 an hour",,"Poinciana Park area","Fort Lauderdale",FL,"33316"
3/2/2022,"Team Member","Burger King",bk.com,Restaurants,"$8.25 - $8.50 an hour",,,"Fort Lauderdale",FL,"33314"
########,"Part Time Event Specialist","Advantage Solutions",advantageservicesolutions.com,,,,,"Fort Lauderdale",FL,"33313"
3/1/2022,"Bakery Production Team Member (Food Preparation) - Part Time","Whole Foods Market",wholefoodsmarket.com,Supermarkets,,,"Harbordale area","Fort Lauderdale",FL,"33316"
3/1/2022,"Meat Associate","Winn-Dixie Retail Stores",winndixie.com,Supermarkets,,,"River Oaks area","Fort Lauderdale",FL,"33315"
3/2/2022,"Team Member (Age 17 & Under)","Burger King",bk.com,Restaurants,"$8.25 - $8.50 an hour",,"Imperial Point area","Fort Lauderdale",FL,"33308"
3/2/2022,"Team Member (Age 17 & Under)","Burger King",bk.com,Restaurants,"$8.25 - $8.50 an hour",,"Lake Ridge area","Fort Lauderdale",FL,"33304"
3/2/2022,Custodian,"Polaris Pharmacy Services",polarisrx.com,Pharmaceuticals,"$22.2K ? $28K a year",,,"Fort Lauderdale",FL,"33309"
3/1/2022,"Seafood Team Member (Service Counter) - Part Time","Whole Foods Market",wholefoodsmarket.com,Supermarkets,,,"Harbordale area","Fort Lauderdale",FL,"33316"
3/1/2022,"Teacher Aide - Preschool (PK1-PK3)","Nova Southeastern University",nova.edu,"Higher Education","$10 an hour",,,"Fort Lauderdale",FL,"33314"
3/1/2022,"Teacher Aide","Nova Southeastern University",nova.edu,"Higher Education","$10 an hour",,,"Fort Lauderdale",FL,"33314"
3/2/2022,"Part Time Sleep Expert","Mattress Firm",mattressfirmnewmexico.com,Retail,,,,"Fort Lauderdale",FL,""
3/2/2022,"Team Member","Burger King",bk.com,Restaurants,"$8.25 - $8.50 an hour",,"Imperial Point area","Fort Lauderdale",FL,"33308"
3/2/2022,"Team Member (Age 17 & Under)","Burger King",bk.com,Restaurants,"$8.25 - $8.50 an hour",,,"Fort Lauderdale",FL,"33309"
3/2/2022,"Team Member","Burger King",bk.com,Restaurants,"$8.25 - $8.50 an hour",,"Lake Ridge area","Fort Lauderdale",FL,"33304"
3/1/2022,"Teacher Aide - (PK 1-3)","Nova Southeastern University",nova.edu,"Higher Education","$10 an hour",,,"Fort Lauderdale",FL,"33314"
3/2/2022,"Team Member (Age 17 & Under)","Burger King",bk.com,Restaurants,"$8.25 - $8.50 an hour",,"Lauderdale Manors area","Fort Lauderdale",FL,"33311"
3/2/2022,"Team Member (Age 17 & Under)","Burger King",bk.com,Restaurants,"$8.25 - $8.50 an hour",,"Poinciana Park area","Fort Lauderdale",FL,"33316"
3/2/2022,"Team Member (Age 17 & Under)","Burger King",bk.com,Restaurants,"$8.25 - $8.50 an hour",,,"Fort Lauderdale",FL,"33314"
3/1/2022,"Marketing and Communications Assistant","Be Squared, LLC",,,"From $20 an hour",Remote,,"Hybrid remote in Fort Lauderdale",FL,""
########,"Representante de Customer Service","RA COMPANY",ramed.com,"Medical Devices","$800 - $1,300 a week",,,"Fort Lauderdale",FL,""
########,Server,"Marina84 Sports Bar & Grill",marina84.com,Restaurants,"$100 - $250 a day",,,"Fort Lauderdale",FL,"33312"
3/1/2022,"Hostess/Cashier/Food Runner","sushi maki",sushimaki.com,Restaurants,"Up to $18 an hour",,"Downtown area","Fort Lauderdale",FL,"33301"
########,"Front Desk","TLC Dental-Ft Lauderdale LLC",,,"$34K ? $43K a year",,"Coral Ridge Country Club area","Fort Lauderdale",FL,"33308"
########,"Restaurant Host/Hostess","California Pizza Kitchen",cpk.com,Restaurants,,,"Poinsettia Heights area","Fort Lauderdale",FL,"33305"
