DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-03-09,"Medical Records Technician (Coder-Outpatient and Inpatient)","US Veterans Health Administration",va.gov,"Government Administration","$52,790 - $68,622 a year",,,Miami,FL,""
2022-03-08,"Records Assistant","University of Miami",miami.edu,"Higher Education",,,,Miami,FL,""
2022-03-09,"Program Support Assistant, ZS-0303-4 (DE/CR)","US National Oceanic and Atmospheric Administration",noaa.gov,"Government Administration","$44,740 - $68,622 a year",Remote,,"Temporarily Remote in Miami",FL,""
2022-03-08,"Administrative Assistant","University of Miami",miami.edu,"Higher Education",,,,Miami,FL,""
2022-03-09,"Medical Records Technician (Clinical Documentation Improveme...","US Veterans Health Administration",va.gov,"Government Administration","$58,306 - $75,799 a year",,,Miami,FL,""
2022-03-08,"Administrative Assistant","KW Property Management, LLC",kwpmc.com,"Management Consulting","$20 an hour",,"North Coconut Grove area",Miami,FL,"33133"
2022-03-09,"Administrative Officer 2","Miami-Dade County",miamidade.gov,"Government Administration","$46,759 a year",,"Allapattah area",Miami,FL,"33136"
2022-03-08,"Operations Agent","Southwest Airlines",southwest.com,Airlines/Aviation,"$17.41 an hour",,,Miami,FL,"33166"
2022-03-06,"Physical Security Specialist","US Internal Revenue Service",irs.gov,"Government Administration","$70,545 - $91,704 a year",Remote,,"Hybrid remote in Miami",FL,""
2022-03-09,"Public Affairs Specialist","US Executive Office for U.S. Attorneys and the...",,,"$84,554 - $109,924 a year",,,Miami,FL,""
2022-03-08,"UX Researcher",Codelitt,,,,Remote,,"Remote in Miami",FL,""
2022-03-09,"GUCCI Lead Team Coordinator - Miami Design District",Gucci,gucci.it,,"$36.8K – $46.6K a year",,,Miami,FL,""
2022-03-09,"Client Services Assistant - Health","McDermott Will & Emery LLP",,,,,"Downtown area",Miami,FL,"33131"
2022-03-08,"Research Associate 1","University of Miami",miami.edu,"Higher Education",,,,Miami,FL,""
