DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-03-13,"Customer Service Supervisor 2","Miami-Dade County",miamidade.gov,"Government Administration","$56,580 a year",,"Allapattah area",Miami,FL,"33136"
2022-03-16,"Head of Customer Service","Survitec Group Limited",,,"$55.5K – $70.3K a year",,,Miami,FL,""
2022-03-15,"Talent Acquisition Partner (Technology)","Millennium Management LLC",mlp.com,"Investment Management","$71.4K – $90.4K a year",,,Miami,FL,""
2022-03-16,"Guest Experience Manager (Full Time)","Phillip and Patricia Frost Museum of Science",frostscience.org,"Museums & Institutions","$36.7K – $46.5K a year",,"Downtown area",Miami,FL,"33132"
2022-03-16,"Administrative Secretary","Miami-Dade County",miamidade.gov,"Government Administration","$34,113 a year",,"Allapattah area",Miami,FL,"33136"
2022-03-16,"Business Process Manager Customer Service","Survitec Group Limited",,,"Up to $90,000 a year",Remote,,"Remote in Miami",FL,""
2022-03-14,"Operations Manager 1",Siemens,siemens.com,"Industrial Automation",,Remote,,"Remote in Miami",FL,"33166"
2022-03-16,"Group Sales Manager","Loews Hotels & Co.",loewshotels.com,Hospitality,"$62.1K – $78.7K a year",,,Miami,FL,""
2022-03-13,"Director of Operations","Marriott International, Inc",,,,,"Downtown area",Miami,FL,"33132"
2022-03-16,"Manager, Public Health","Carnival Corporation",carnivalcorp.com,"Leisure, Travel & Tourism","$80.2K – $102K a year",,,Miami,FL,""
2022-03-15,"Supervisor, Airport Customer Service (Miami)",JSX,jsx.com,Airlines/Aviation,"$50,000 a year",,,Miami,FL,""
2022-03-16,"Construction Manager 1","Miami-Dade County",miamidade.gov,"Government Administration","$62,083 a year",,"Allapattah area",Miami,FL,"33136"
2022-03-16,"Office Manager, JMG Galiano, Coral Gables, Full Time, Days (...","JACKSON HEALTH SYSTEM",jacksonhealth.org,"Hospital & Health Care",,,,Miami,FL,""
2022-03-16,"Front Office Manager","Hilton Cabana Miami Beach",hiltonmiamibeach.com,Hospitality,"$38.7K – $49.1K a year",,,Miami,FL,"33140"
2022-03-16,"Environmental Worker, FT, Days","JACKSON HEALTH SYSTEM",jacksonhealth.org,"Hospital & Health Care",,,,Miami,FL,""
2022-03-15,"Associate Producer-Temp","Univision communications inc",univision.com,"Broadcast Media","$33.4K – $42.2K a year",,,Miami,FL,""
2022-03-16,"IT Help Desk",Ardurra,ardurra.com,"Civil Engineering","$38.6K – $48.8K a year",,,Miami,FL,""
2022-03-14,"PROGRAM MANAGER II","GEO Care",,,"$72,000 - $74,000 a year",,,Miami,FL,""
2022-03-16,"Agency Partner Transformation Lead",Google,google.com,Internet,,,"Allapattah area",Miami,FL,""
2022-03-15,"Conversion Copywriter",Humanstate,humanstate.com,"Information Technology & Services","$50,000 - $60,000 a year",Remote,,"Remote in Miami",FL,""
2022-03-15,"District Service Manager, Southeast","Lucid Motors",lucidmotors.com,Automotive,"$68.1K – $86.3K a year",,"Brickell area",Miami,FL,"33131"
2022-03-16,"Supervisor, Inflight Base (MIA)","Spirit Airlines",spirit.com,Airlines/Aviation,"$41.7K – $52.7K a year",,"Miami International Airport area",Miami,FL,"33142"
2022-03-16,"Event Coordinator","Smart City Networks",,,"$42.2K – $53.4K a year",,,Miami,FL,"33139"
2022-03-14,"Medical Staff Services Manager","HCA Florida Mercy Hospital",,,,,,Miami,FL,"33133"
2022-03-15,"Head of Engagement Marketing, Prime Video LATAM","Amazon Dev Center U.S., Inc.",,,,,,Miami,FL,""
2022-03-16,"Retail Operations Manager","Ulta Beauty",ulta.com,Retail,"$38.3K – $48.5K a year",,,Miami,FL,"33174"
2022-03-16,"Enterprise Implementations Manager",Paradox,paradox.ai,"Computer Software","$70.4K – $89.2K a year",Remote,,"Remote in Miami",FL,"33101"
2022-03-16,"Retail Sales Manager","Ulta Beauty",ulta.com,Retail,"$38.2K – $48.4K a year",,"Flagami area",Miami,FL,"33125"
2022-03-16,"Corporate Paralegal","Greenspoon Marder LLP",gmlaw.com,"Law Practice","$71.7K – $90.9K a year",,"Brickell area",Miami,FL,"33131"
2022-03-16,"Director, Cloud Computing Center","Miami Dade College",mdc.edu,"Higher Education","$85,989 - $107,486 a year",,"Downtown area",Miami,FL,"33132"
2022-03-14,"AMOS Business Consultant","Lufthansa Systems Americas, Inc.",,,"$45K – $57K a year",,,Miami,FL,"33131"
2022-03-16,"Webservice /API Tester- 4214591",Accenture,cazoodle.com,"Computer Software","$30 - $50 an hour",,"Flagami area",Miami,FL,"33126"
2022-03-15,"ATR Americas - Repairs Administrator (F/M)",Airbus,,,"$44.7K – $56.5K a year",,,Miami,FL,"33166"
2022-03-16,"Associate Director, Quality Assurance","National University",nu.edu,"Higher Education","$50.2K – $63.6K a year",,,Miami,FL,"33175"
2022-03-15,Reporter,"Univision communications inc",univision.com,"Broadcast Media","$50.1K – $63.5K a year",,,Miami,FL,""
2022-03-13,"DIRECTOR OF BANQUETS","The Confidante",,,"$50.3K – $63.7K a year",,,Miami,FL,""
2022-03-16,"Sales Manager","SW corp",swcorp.com,Wholesale,"$65.5K – $82.9K a year",,,Miami,FL,"33142"
2022-03-15,"PHARMACY TECH 2",Humana,humana.com,"Health, Wellness & Fitness",,,,Miami,FL,"33183"
2022-03-15,"Line Producer - Temp","Univision communications inc",univision.com,"Broadcast Media","$46.4K – $58.8K a year",,,Miami,FL,""
2022-03-13,"Defined Benefit Plan Consultant - Remote",Ascensus,ascensus.com,"Financial Services","$70.2K – $89K a year",Remote,,"Remote in Miami",FL,"33102"
2022-03-16,"Business & Pers Bkg Support Assistant","City National Bank of Florida",citynationalcm.com,Banking,"$24.5K – $31.1K a year",,,Miami,FL,"33134"
2022-03-15,"Secretary II, Technology Support","Miami Dade College",mdc.edu,"Higher Education","$15.09 - $18.85 an hour",,,Miami,FL,"33167"
2022-03-15,"Channel Account Manager","Check Point Software Technologies Ltd.",checkpoint.com,"Computer & Network Security","$50.9K – $64.5K a year",,,Miami,FL,""
2022-03-15,"Administrative Assistant III, District Academic Affairs","Miami Dade College",mdc.edu,"Higher Education","$57,168 - $71,460 a year",,"Downtown area",Miami,FL,"33132"
2022-03-15,"Key Account Manager (Lowe's)","Costa Farms, LLC (CBC)",,,"$46.8K – $59.2K a year",,,Miami,FL,"33170"
2022-03-16,"Pro Sales Representative",Masco,masco.com,"Building Materials",,,,Miami,FL,""
2022-03-16,"Workforce Services Manager, MDC Works","Miami Dade College",mdc.edu,"Higher Education","$57,168 - $71,460 a year",,"Downtown area",Miami,FL,"33132"
2022-03-15,"Registered Nurse - Psychiatric","IHSC Medical Staffing",,,"$68.2K – $86.4K a year",,,Miami,FL,""
2022-03-15,"Director, New Student Center","Miami Dade College",mdc.edu,"Higher Education","$85,989 - $107,486 a year",,"Downtown area",Miami,FL,"33132"
2022-03-14,"Sales Account Executive LATAM","Ping Identity",pingidentity.com,"Computer Software","$70.1K – $88.7K a year",,,Miami,FL,"33131"
2022-03-16,"Music Programmer (Latin), Tidal",TIDAL,tidal.com,Music,"$59.9K – $75.9K a year",,,Miami,FL,""
2022-03-16,"Hard Camera Operator-Temp","Univision communications inc",univision.com,"Broadcast Media","$43.2K – $54.6K a year",,,Miami,FL,""
2022-03-15,"Salesforce Application Developer- 4220314",Accenture,cazoodle.com,"Computer Software","$50 - $70 an hour",Remote,,"Remote in Miami",FL,"33126"
2022-03-13,"Lead BISO Analyst",Deloitte,deloitte.com,"Management Consulting",,,"Downtown area",Miami,FL,"33131"
2022-03-16,"Behavioral Health Technician","IHSC Medical Staffing",,,"$37.1K – $46.9K a year",,,Miami,FL,""
2022-03-13,"Professional Services Regional Practice Architect, Security",Splunk,splunk.com,"Computer Software","$115K – $145K a year",,"Overtown area",Miami,FL,"33101"
2022-03-16,"Functional /Selenium Automation Lead- 4214599",Accenture,cazoodle.com,"Computer Software","$30 - $50 an hour",,"Flagami area",Miami,FL,"33126"
2022-03-16,"Pro Sales Representative",Behr,behr.com,"Consumer Goods",,,,Miami,FL,""
2022-03-16,"Metaverse Strategy Consultant - Responsible Innovation",Accenture,cazoodle.com,"Computer Software",,,"Flagami area",Miami,FL,"33126"
2022-03-16,"Enterprise Rsk Management Analyst","City National Bank of Florida",citynationalcm.com,Banking,"$51.4K – $65K a year",,"Downtown area",Miami,FL,"33131"
2022-03-16,"Survey Party Chief - Miami",Ardurra,ardurra.com,"Civil Engineering","$43.3K – $54.9K a year",,,Miami,FL,""
2022-03-13,"Supervisor – Finance Automation (BlackLine)","RSM US LLP",rsmus.com,Accounting,"$90.1K – $114K a year",,,Miami,FL,"33131"
2022-03-15,"Route Supervisor","Brink's Incorporated",brinks.com,"Logistics & Supply Chain",,,,Miami,FL,"33178"
2022-03-13,"Applications Analyst","Leon Health",leonmedicalcenters.com,"Hospital & Health Care","$58.4K – $74K a year",,,Miami,FL,"33166"
2022-03-16,"Behavioral Health Case Manager I, II, III, Lead (Job Family)",Anthem,anthem.com,Insurance,"$58,320 - $76,545 a year",,,Miami,FL,"33134"
2022-03-16,"Marketing Communications Project Coordinator","Miami Dade College",mdc.edu,"Higher Education","$50,669 - $63,335 a year",,"Downtown area",Miami,FL,"33132"
2022-03-16,"Manufacturing Manager PMA","Aersale Inc",aersale.com,Airlines/Aviation,"$62.8K – $79.6K a year",,,Miami,FL,"33166"
2022-03-14,"Manager, People Analytics & Reporting - Talent Assessment",Deloitte,deloitte.com,"Management Consulting",,,"Downtown area",Miami,FL,"33131"
2022-03-15,Maintenance,"KW Property Management, LLC",kwpmc.com,"Management Consulting","$19.75 an hour",,,Miami,FL,"33122"
2022-03-16,"Spvr, Operations",Covanta,covanta.com,"Renewables & Environment",,,"Downtown area",Miami,FL,"33132"
2022-03-13,"Associate Nurse Manager, Medical Intensive Care Unit, FT, Ni...","JACKSON HEALTH SYSTEM",jacksonhealth.org,"Hospital & Health Care",,,,Miami,FL,""
2022-03-13,"State Income and Franchise Tax Consultant II - Multistate",Deloitte,deloitte.com,"Management Consulting",,,"Downtown area",Miami,FL,"33131"
2022-03-16,"Wealth Management - Latin America Private Bank - Central and...","JPMorgan Chase Bank, N.A.",chase.com,"Financial Services",,,,Miami,FL,""
2022-03-13,"Cloud Support Analyst",Aptum,,,"$51.5K – $65.1K a year",,,Miami,FL,"33172"
