DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2/16/2022,"Manager, Culture and Diversity, Equity & Inclusion (Remote)","Carnival Cruise Line",carnival.com,"Leisure, Travel & Tourism",,Remote,,"Remote in Miami",FL,""
2/17/2022,"Director of People Operations","PeopleOps Jobs",selectsoftwarereviews.com,Internet,"$70,173 - $210,827 a year",,,Miami,FL,""
2/17/2022,"Executive Assistant","Carnival Corporation",carnivalcorp.com,"Leisure, Travel & Tourism","$46K ? $58.2K a year",,,Miami,FL,""
2/17/2022,"Professional Services Recruiter - Contractor - Opportunity f...",VMware,thebrunswicknews.com,Newspapers,,Remote,,"Remote in Miami",FL,""
2/17/2022,"Government Health and Human Services Manager",Deloitte,deloitte.com,"Management Consulting",,,"Downtown area",Miami,FL,"33131"
2/18/2022,"Salesforce Technical Lead",Deloitte,deloitte.com,"Management Consulting",,,"Downtown area",Miami,FL,"33131"
2/17/2022,"HRST Digital Enablement Manager",Deloitte,deloitte.com,"Management Consulting",,,"Downtown area",Miami,FL,"33131"
2/18/2022,"Public Relations Vice President (Fintech/Commerce + Healthca...","Highwire Public Relations",highwirepr.com,"Public Relations & Communications","$68.3K ? $86.5K a year",Remote,,"Remote in Miami",FL,""
2/16/2022,"Creative Director, Brand & Originals","ViacomCBS Networks International",viacbs.com,"Broadcast Media",,,"Overtown area",Miami,FL,"33136"
2/18/2022,"Manager, Engineering - Anaplan (Sales Planning) - Opportunit...",VMware,thebrunswicknews.com,Newspapers,,Remote,,"Remote in Miami",FL,""
2/18/2022,"Account Executive, Electrical Services ~ Miami",Siemens,siemens.com,"Industrial Automation",,,,Miami,FL,""
2/18/2022,"Project Director","Lemartec Corporation",lemartec.com,Construction,"$34.1K ? $43.1K a year",,,Miami,FL,""
2/18/2022,"ConvergeCONSUMER - Data Science Lead",Deloitte,deloitte.com,"Management Consulting",,,"Downtown area",Miami,FL,"33131"
2/18/2022,"Clinical Services Program Manager (Field Southeast) Critical...","Edwards Lifesciences",edwards.com,"Medical Devices",,,,Miami,FL,""
2/18/2022,"Associate Medical Director, Gastroenterologist (GI), Jackson...","JACKSON HEALTH SYSTEM",jacksonhealth.org,"Hospital & Health Care",,,,Miami,FL,""
2/17/2022,"Oracle Cloud SCM Solution Architect","Peloton Group",pelotongroup.com,"Marketing & Advertising","$117K ? $148K a year",,,Miami,FL,"33166"
2/16/2022,"Project Manager - Architecture","Cube 3 LLC",cube3.com,"Architecture & Planning",,,"Little Havana area",Miami,FL,"33130"
2/16/2022,"Industry X Solution Architect",Accenture,cazoodle.com,"Computer Software",,,"Flagami area",Miami,FL,"33126"
2/17/2022,"Portfolio Manager",Deloitte,deloitte.com,"Management Consulting",,,"Downtown area",Miami,FL,"33131"
2/17/2022,"TTS LATAM FI Client Executive Head- Director",Citi,citigroup.com,"Financial Services",,,,Miami,FL,""
2/16/2022,"Project Architect - Healthcare","HKS, Inc.",hksinc.com,"Architecture & Planning",,,,Miami,FL,""
2/16/2022,"Director, Patient Care Services Level 1, SNF - Perdue Medica...","JACKSON HEALTH SYSTEM",jacksonhealth.org,"Hospital & Health Care",,,,Miami,FL,""
2/17/2022,"Nurse Manager, Telemetry Unit, FT, Days","JACKSON HEALTH SYSTEM",jacksonhealth.org,"Hospital & Health Care",,,,Miami,FL,""
2/16/2022,"Director, Communications and Design","Unlimited Marketing",,,"$82,913 - $140,844 a year",,,Miami,FL,"33181"
2/16/2022,"Experienced Rota Nanny","19 London",,,"$120,000 - $180,000 a year",,,Miami,FL,""
2/18/2022,"Director of Finance","Sheraton Miami Airport Hotel",,,,,,Miami,FL,"33142"
2/18/2022,"Manufacturing Director","Neocis, Inc.",neocis.com,"Medical Devices","$83.9K ? $106K a year",,"Upper Eastside area",Miami,FL,"33137"
2/16/2022,"Director of Human Resources","Jewish Community Services of South Florida",jcsfl.org,"Individual & Family Services","$85.5K ? $108K a year",,,Miami,FL,"33181"
2/17/2022,"Director of Revenue Cycle Management","Jackson Health System",jacksonhealth.org,"Hospital & Health Care","$39,646 - $125,956 a year",,"Allapattah area",Miami,FL,"33136"
2/16/2022,"Project Manager (Roadways - Infrastructure Project)","Louis Berger Services",louisberger.com,"Civil Engineering","$100,000 - $140,000 a year",,,Miami,FL,""
2/15/2022,"IT Director",YoungArts,youngarts.org,"Nonprofit Organization Management",,,"Upper Eastside area",Miami,FL,"33137"
2/16/2022,"Associate Creative Director - Copy",Clutch,clutch.ca,Automotive,,,,Miami,FL,""
2/16/2022,"Experienced Rota Nanny","19 London",,,"$120,000 - $180,000 a year",,,Miami,FL,""
2/17/2022,"Vice President, Entertainment & Programming","Dr. Phillips Center for the Performing Arts",drphillipscenter.org,"Performing Arts","$76.1K ? $96.3K a year",,"Central Business District area",Orlando,FL,"32801"
2/16/2022,Headmaster,"Chesterton Academy of Orlando",,,,,,Orlando,FL,""
2/18/2022,"Salesforce Technical Lead",Deloitte,deloitte.com,"Management Consulting",,,"Central Business District area",Orlando,FL,"32801"
2/18/2022,"Corporate Director, Strategic Sourcing - Orlando Health Corp...","Orlando Health",orlandohealth.com,"Hospital & Health Care",,,"South Orange area",Orlando,FL,"32806"
2/17/2022,"VP of Marketing",NEOGOV,neogov.com,"Computer Software","$108K ? $136K a year",Remote,,"Remote in Orlando",FL,""
2/17/2022,"Government Health and Human Services Manager",Deloitte,deloitte.com,"Management Consulting",,,"Central Business District area",Orlando,FL,"32801"
2/18/2022,"Director, Asset Strategy","Orlando Health",orlandohealth.com,"Hospital & Health Care",,,"South Orange area",Orlando,FL,"32806"
2/18/2022,"VP, Marketing & Commercial Strategy","Central Fare",,,"$51.5K ? $65.3K a year",,,Orlando,FL,"32827"
2/17/2022,"HRST Digital Enablement Manager",Deloitte,deloitte.com,"Management Consulting",,,"Central Business District area",Orlando,FL,"32801"
2/17/2022,"AVP M&S Instructional Design","Marriott Vacations Worldwide",marriottvacationsworldwide.com,Hospitality,,,,Orlando,FL,"32821"
2/16/2022,"Director of Business Development","Cubic Corporation",cubic.com,"Information Technology & Services",,,,Orlando,FL,""
2/17/2022,"Director of Field Service Operations","Siemens Gamesa Renewable Energy",siemensgamesa.com,"Renewables & Environment",,Remote,,"Remote in Orlando",FL,""
2/17/2022,"Manager- Watercraft/Vehicle Maintenance/Fleet Management","Disney Parks, Experiences and Products",disney.com,Entertainment,,,,Orlando,FL,""
2/16/2022,"Vice President, Applications Delivery and Services","Travel + Leisure Co.",travelandleisureco.com,Hospitality,,,,Orlando,FL,"32821"
2/18/2022,"ConvergeCONSUMER - Data Science Lead",Deloitte,deloitte.com,"Management Consulting",,,"Central Business District area",Orlando,FL,"32801"
2/17/2022,"Lead Technical IoT Developer","US AMR-Jones Lang LaSalle Americas, Inc.",,,"$103K ? $130K a year",,,Orlando,FL,""
2/18/2022,"Director, Global UXUI Experience Design","Universal Orlando",,,,,,Orlando,FL,""
2/17/2022,"Portfolio Manager",Deloitte,deloitte.com,"Management Consulting",,,"Central Business District area",Orlando,FL,"32801"
2/16/2022,"Technical System Operations Manager","Holiday Inn Club Vacations",holidayinnclub.com,Hospitality,,,"Florida Center area",Orlando,FL,"32819"
2/16/2022,"Project Architect","HKS, Inc.",hksinc.com,"Architecture & Planning",,,"Lake Eola Heights area",Orlando,FL,"32801"
2/16/2022,"Area Vice President, Strategic Sales",Splunk,splunk.com,"Computer Software",,,,Orlando,FL,"32808"
2/17/2022,"Manager, IT - Directory Services","Universal Orlando",,,,,,Orlando,FL,""
2/16/2022,"Data Center Capacity Planning Lead - Remote",iboss,iboss.com,"Computer & Network Security","$91.8K ? $116K a year",Remote,,"Remote in Orlando",FL,""
2/16/2022,"Lead Construction Project Administrator","CDM Smith",cdmsmith.com,"Civil Engineering","$54.3K ? $68.7K a year",,,Orlando,FL,""
2/18/2022,"VP, Marketing & Commercial Strategy","Florida East Coast Industries",feci.com,,"$51.5K ? $65.3K a year",,,Orlando,FL,"32827"
2/17/2022,"Vice President, Entertainment and Programming","Dr. Phillips Center for the Performing Arts",drphillipscenter.org,"Performing Arts","$81.6K ? $103K a year",,"Central Business District area",Orlando,FL,"32801"
2/17/2022,"Vice President of Information Technology","Miller's Ale House",millersalehouse.com,Restaurants,,,"Florida Center area",Orlando,FL,"32819"
2/15/2022,"Associate Director, Data & Media","321 the Agency",321theagency.com,"Marketing & Advertising","$67.8K ? $85.8K a year",Remote,,"Remote in Orlando",FL,""
2/17/2022,"Director of Tourist Mobility",Safemark,safemark.com,Hospitality,"$101K ? $127K a year",,,Orlando,FL,""
2/16/2022,"Director of Tourist Mobility","Safemark, Inc.",,,"$99.1K ? $125K a year",,,Orlando,FL,"32809"
2/17/2022,"Attorney-Labor and Employment Partner","Goldberg Segalla LLP",goldbergsegalla.com,"Law Practice",,,,Orlando,FL,""
2/18/2022,"VP, Marketing & Commercial Strategy","Brightline Management LLC",brightlinepropertymanagement.com,"Real Estate","$86.7K ? $110K a year",,,Orlando,FL,"32827"
2/17/2022,"Maintenance Specialist","Teco Energy",tecoenergy.com,Utilities,"$82,400 a year",,,Tampa,FL,"33619"
2/16/2022,"Multicultural Creative Director - Copywriter",22squared,22squared.com,,,,"Downtown area",Tampa,FL,"33602"
2/16/2022,"Creative Director - Copywriter",22squared,22squared.com,,,,"Downtown area",Tampa,FL,"33602"
2/18/2022,"Salesforce Technical Lead",Deloitte,deloitte.com,"Management Consulting",,,"Downtown area",Tampa,FL,"33602"
2/16/2022,"Director of Engineering","MAD MOBILE, INC.",madmobile.com,"Computer Software",,,,Tampa,FL,""
2/17/2022,"Government Health and Human Services Manager",Deloitte,deloitte.com,"Management Consulting",,,"Downtown area",Tampa,FL,"33602"
2/16/2022,"CLINICAL SYSTEMS ANALYST LEAD","H. Lee Moffitt Cancer Center",moffitt.org,"Hospital & Health Care",,,,Tampa,FL,"33612"
2/18/2022,"Finance Client Partner",Pfizer,pfizer.ch,,,,,Tampa,FL,""
2/17/2022,"Global Mobility Director - Americas",AECOM,aecom.com,"Civil Engineering","$169,921 a year",Remote,,"Hybrid remote in Tampa",FL,""
2/16/2022,"Federal Ventures Business Development Leader",AECOM,aecom.com,"Civil Engineering","$147,758 a year",Remote,,"Remote in Tampa",FL,""
2/17/2022,"Design Principal",HDR,hdrinc.com,Design,"$94.9K ? $120K a year",,,Tampa,FL,""
2/17/2022,"Associate General Counsel",Citi,citigroup.com,"Financial Services",,,,Tampa,FL,""
2/18/2022,"ConvergeCONSUMER - Data Science Lead",Deloitte,deloitte.com,"Management Consulting",,,"Downtown area",Tampa,FL,"33602"
2/18/2022,"ITS Project Manager","HNTB Corporation",hntb.com,"Civil Engineering","$84.7K ? $107K a year",,"South Seminol Heights area",Tampa,FL,"33603"
2/16/2022,"Area Vice President, Strategic Sales",Splunk,splunk.com,"Computer Software",,,,Tampa,FL,"33601"
2/18/2022,"SOCOM Business Development Director",SAIC,spacedev.com,"Defense & Space","$195,001 - $205,000 a year",,,Tampa,FL,""
2/18/2022,"Proposal Manager - Remote Opportunity","J.S. Held",jsheld.com,"Management Consulting","$76.8K ? $97.2K a year",Remote,,"Remote in Tampa",FL,""
2/17/2022,"DIRECTOR - SLOT OPERATIONS","Seminole Gaming",theseminolecasinos.com,"Gambling & Casinos",,,,Tampa,FL,"33610"
2/18/2022,"Big Data Architect","splash llc",,,"$114K ? $145K a year",,,Tampa,FL,""
2/16/2022,"Director Organizational Development Advising Team","Moffitt Cancer Center",,,"$106,392 - $132,995 a year",Remote,,"Hybrid remote in Tampa",FL,""
2/18/2022,"401k Specialist in Human Resources","Rangam Consultants Inc.",rangam.com,"Staffing & Recruiting","$90,000 a year",,,Tampa,FL,"33613"
2/18/2022,"Real Estate Development Director","MCSI INC",,,"$75,000 - $121,997 a year",,"Tampa Heights area",Tampa,FL,"33603"
2/18/2022,"Account Director","The 21st Agency",,,"$69,791 - $183,936 a year",,"Harbour Island area",Tampa,FL,"33602"
2/18/2022,"Compliance Specialist","CAE Inc.",cae.com,"Aviation & Aerospace","$59.4K ? $75.2K a year",,,Tampa,FL,""
2/17/2022,"Director of Quality Control","Beneficial Blends",beneficialblends.com,"Food & Beverages","$47.3K ? $59.9K a year",,,Tampa,FL,"33634"
2/17/2022,"Director of Finance","Tampa Bay United",,,"$70,000 - $115,000 a year",,,Tampa,FL,"33634"
2/18/2022,"401k Specialist Human Resources - Representative- Full time...",MTSS,,,,,,Tampa,FL,""
2/18/2022,"Liability Manager",AssuranceAmerica,assuranceamerica.com,Insurance,"$76.4K ? $96.8K a year",,,Tampa,FL,"33610"
2/18/2022,"Director of Landscape Architecture","Heidt Design",heidtdesign.com,"Civil Engineering",,,,Tampa,FL,"33610"
2/18/2022,"Project Superintendent I - Commercial - Tampa, FL",Wharton-Smith,whartonsmith.com,Construction,"$65.2K ? $82.6K a year",,,Tampa,FL,""
2/17/2022,"Mechanical Project Manager","B & I Contractors, Inc",bandiflorida.com,"Mechanical Or Industrial Engineering","$76.4K ? $96.8K a year",,,Tampa,FL,"33619"
2/16/2022,"CAD Designer","Jones Edmunds & Associates",,,"$43.1K ? $54.5K a year",,"North Hyde Park area",Tampa,FL,"33606"
2/18/2022,"Data Scientist","Occam Solutions",occamsolutions.com,"Information Technology & Services",,,"MacDill AFB area",Tampa,FL,"33621"
2/16/2022,"CAD Designer","Jones Edmunds & Associates",,,"$43.1K ? $54.5K a year",,"North Hyde Park area",Tampa,FL,"33606"
2/18/2022,"Employee Relations Manager (Manager 1 - Labor/Employee Relat...",JnJ,jnj.com,"Hospital & Health Care","$75K ? $95K a year",,,Tampa,FL,""
2/16/2022,"Director - Corporate Development","Mayo Clinic",mayoclinic.org,"Hospital & Health Care",,,"Beach Haven area",Jacksonville,FL,"32224"
2/17/2022,"Talent Acquisition Leader",Suddath,suddath.com,Transportation/Trucking/Railroad,"$66.4K ? $84K a year",,,Jacksonville,FL,""
2/17/2022,"Government Health and Human Services Manager",Deloitte,deloitte.com,"Management Consulting",,,"Downtown Jacksonville area",Jacksonville,FL,"32202"
2/16/2022,"Head of Strategy NAM - Mobility",Siemens,siemens.com,"Industrial Automation",,,,Jacksonville,FL,""
2/17/2022,"Professional Services Recruiter - Contractor - Opportunity f...",VMware,thebrunswicknews.com,Newspapers,,Remote,,"Remote in Jacksonville",FL,""
2/18/2022,"Salesforce Technical Lead",Deloitte,deloitte.com,"Management Consulting",,,"Downtown Jacksonville area",Jacksonville,FL,"32202"
2/18/2022,"Manager, Engineering - Anaplan (Sales Planning) - Opportunit...",VMware,thebrunswicknews.com,Newspapers,,Remote,,"Remote in Jacksonville",FL,""
2/17/2022,"HRST Digital Enablement Manager",Deloitte,deloitte.com,"Management Consulting",,,"Downtown Jacksonville area",Jacksonville,FL,"32202"
2/18/2022,"Director of Risk","Ally Financial",ally.com,"Financial Services",,,,Jacksonville,FL,""
2/17/2022,"Portfolio Manager",Deloitte,deloitte.com,"Management Consulting",,,"Downtown Jacksonville area",Jacksonville,FL,"32202"
2/16/2022,"Program Manager",Astadia,astadia.com,"Information Technology & Services",,,"Del Rio area",Jacksonville,FL,"32258"
2/16/2022,"Director of Solar - Utility EPC Construction","Sentry Electrical Group, Inc.",sentryelec.com,Construction,"$85.8K ? $109K a year",Remote,,"Remote in Jacksonville",FL,""
2/17/2022,"MESG2/MSRON Table of Allowance (TOA) Inventory Manager/RCRP...","Prevailance, Inc.",,,"$46.9K ? $59.3K a year",,"Jacksonville Naval Air Station area",Jacksonville,FL,"32212"
2/16/2022,"Director of Reinsurance","Olympus Insurance Company",,,"$50.5K ? $63.9K a year",Remote,,"Remote in Jacksonville",FL,""
2/16/2022,"CAD Designer","Jones Edmunds & Associates",,,"$43.1K ? $54.5K a year",,"Arlington area",Jacksonville,FL,"32211"
2/16/2022,"Demand Planner","Baker Distributing Company",bakerdist.com,Wholesale,"$55,000 - $65,000 a year",,"Del Rio area",Jacksonville,FL,"32258"
2/17/2022,"Manager, Data Analytics - Remote Available","Healogics, Inc",healogics.com,"Hospital & Health Care",,Remote,,"Remote in Jacksonville",FL,""
2/16/2022,"Cyber Security Architect (Onsite)",Technospar,telstarsurf.nl,Retail,"$60 - $75 an hour",,,Jacksonville,FL,""
2/15/2022,"National Business Director","Amplity Health",amplity.com,Pharmaceuticals,,,,Jacksonville,FL,""
