DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-03-08,"Emergency Management Specialist (Preparedness)","US Federal Emergency Management Agency",,,"$69,878 - $90,837 a year",,,Atlanta,GA,""
2022-03-08,Attorney-Adviser,"US Environmental Protection Agency",epa.gov,"Government Administration","$83,755 - $152,998 a year",,,Atlanta,GA,""
2022-03-08,"Patient Greeter","Piedmont Healthcare",piedmont.org,"Hospital & Health Care",,,,Atlanta,GA,""
2022-03-08,"Team Member - Full Time","Whole Foods Market",wholefoodsmarket.com,Supermarkets,,,"Randall Mill area",Atlanta,GA,"30327"
2022-03-08,"Public Safety Communication Officer II","Georgia Tech",,,"$34.2K – $43.4K a year",,"Georgia Tech area",Atlanta,GA,"30332"
2022-03-08,"Billing Representative - Work from Home","UnitedHealth Group",unitedhealthgroup.com,"Hospital & Health Care",,Remote,,"Remote in Atlanta",GA,"30319"
2022-03-08,"Administrative Assistant","US Ecology, Inc.",,,,,,Atlanta,GA,""
2022-03-08,"Student Accounts Rep I","University Systems of Georgia",usg.edu,"Higher Education","$33.3K – $42.1K a year",,,Atlanta,GA,""
2022-03-08,"Leasing Consultant","BH Management Services, LLC",bhmanagement.com,"Real Estate","$27.7K – $35.1K a year",,,Atlanta,GA,"30344"
2022-03-08,"Customer Service Rep-Self Storage Mgr","Public Storage",publicstorage.com,"Real Estate","$13 an hour",,,Atlanta,GA,"30319"
2022-03-08,"Call center representative","Company Grow LLC",grow.com,"Information Technology & Services","$17 - $22 an hour",,,Atlanta,GA,"30318"
2022-03-08,"Admission Coordinator","Oglethorpe University",,,"$33.1K – $41.9K a year",,,Atlanta,GA,"30319"
2022-03-08,"Student Accounts Rep I","Atlanta Metropolitan College",atlm.edu,,"$33.3K – $42.1K a year",,"Sylvan Hills area",Atlanta,GA,"30310"
2022-03-08,"ADMINISTRATIVE, BOOKKEEPER - HOURLY (FULL-TIME)","Bon Appetit",bonappetit.com,Publishing,,,,Atlanta,GA,"30322"
2022-03-06,"Administrative Support Assistant (Entry Level Law Firm)","Nelson Mullins Riley & Scarborough, LLP",nelsonmullins.com,"Law Practice","$29K – $36.8K a year",,"Buckhead area",Atlanta,GA,"30363"
