DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2/17/2022,"Director of People Operations","PeopleOps Jobs",selectsoftwarereviews.com,Internet,"$70,173 - $210,827 a year",,,Atlanta,GA,""
2/18/2022,"Customer Care Manager",Uniphore,,,,,,Atlanta,GA,""
2/17/2022,"Sales Excellence Manager",Microsoft,microsoft.com,"Computer Software",,,,Atlanta,GA,""
2/17/2022,"Commercial Support Manager",Synovus,synovus.com,"Financial Services",,,,Atlanta,GA,"30339"
2/18/2022,"R&D Technical Leader - Partnership Products",Kimberly-Clark,kimberlyclark.com,,,,,Atlanta,GA,""
2/18/2022,"Director of Communications","Colonial Pipeline Company",colpipe.com,"Oil & Energy","$101K ? $128K a year",,,Atlanta,GA,""
2/17/2022,"Public Cloud Ecosystem Build Sales Specialist",IBM,bionovo.com.cn,"Computer Software",,,"Buckhead area",Atlanta,GA,"30301"
2/17/2022,"Director of Loss Prevention",RaceTrac,racetrac.com,Retail,"$49.8K ? $63K a year",,,Atlanta,GA,"30339"
2/16/2022,"Director, Design Services Operations","Floor & Decor",flooranddecor.com,Retail,,,,Atlanta,GA,"30339"
2/16/2022,"Director of Professional Services",Aderant,aderant.com,"Computer Software","$78.6K ? $99.6K a year",,,Atlanta,GA,"30350"
2/17/2022,"Government Health and Human Services Manager",Deloitte,deloitte.com,"Management Consulting",,,"Downtown area",Atlanta,GA,"30303"
2/16/2022,"Director, Design Services Experience","Floor & Decor",flooranddecor.com,Retail,"$63.5K ? $80.3K a year",,,Atlanta,GA,"30339"
2/16/2022,"Partner, Environmental M&A Due Diligence (Partner Level)","ERM Group",erm.com,"Environmental Services","$76.8K ? $97.2K a year",,,Atlanta,GA,""
2/17/2022,"Lead Solutions Architect",AT&T,att.com,Telecommunications,,,,Atlanta,GA,""
2/16/2022,"Regional Practice Leader - Life Sciences","HKS, Inc.",hksinc.com,"Architecture & Planning","$81.9K ? $104K a year",,"Downtown area",Atlanta,GA,"30303"
2/17/2022,"Professional Services Recruiter - Contractor - Opportunity f...",VMware,thebrunswicknews.com,Newspapers,,Remote,,"Remote in Atlanta",GA,""
2/17/2022,"Utility Coordination Manager","SAM, LLC",sam.biz,"Civil Engineering",,Remote,,"Hybrid remote in Atlanta",GA,""
2/16/2022,"Director, Brand Marketing","Newell Brands",newellbrands.com,"Consumer Electronics",,,,Atlanta,GA,""
2/16/2022,"Clinical Specialist - TMTT","Edwards Lifesciences",edwards.com,"Medical Devices",,,,Atlanta,GA,""
2/18/2022,"Pricing Director, Digital Media Solutions","Harland Clarke",harlandclarke.com,"Financial Services","$113K ? $144K a year",,"Downtown area",Atlanta,GA,"30303"
2/17/2022,"Facility Maintenance Operations Manager - Atlanta, GA",Jacobs,jacobs.com,"Civil Engineering",,,,Atlanta,GA,"30319"
2/18/2022,"Partner Sales - Retail & Consumer Goods",Salesforce,covidi.com,"Computer Software","$173,500 a year",,"Lenox area",Atlanta,GA,"30326"
2/18/2022,"OEM Account Director","Cox Automotive",coxautomotive.biz,Automotive,,,,Atlanta,GA,"30319"
2/17/2022,"Enterprise Leadership Development Manager","Cox Enterprises",,,,,,Atlanta,GA,"30328"
2/17/2022,"Front End Lead M3252",Nisum,nisum.com,"Information Technology & Services","$111K ? $140K a year",,,Atlanta,GA,"30346"
2/18/2022,"Water Utility Development Director","City of Atlanta, GA",atlantaga.gov,"Government Administration","$86K ? $109K a year",,,Atlanta,GA,""
2/18/2022,"Fraud Check Payment Risk Strategist","Truist Financial",truist.com,"Financial Services",,,"Five Points area",Atlanta,GA,"30303"
2/16/2022,"Business Development Manager- Parcel","Vanderlande Industries",vanderlande.com,"Industrial Automation",,,,Atlanta,GA,""
2/16/2022,"Product Manager Wireless (SIM/eSIM/BYOD)","Cox Communications Inc",coxenterprises.com,Telecommunications,"$107K ? $136K a year",,,Atlanta,GA,"30328"
2/18/2022,"Director, Executive Compensation",NielsenIQ,,,"$84.5K ? $107K a year",Remote,,"Remote in Atlanta",GA,""
2/16/2022,"Capital Markets Business Systems Analyst (Foreign Exchange)",Regions,regions.com,Banking,,,"Midtown area",Atlanta,GA,"30309"
2/17/2022,"Neuroscience Sales Specialist ? MS ? Atlanta ? Remote",Novartis,,,,Remote,,"Remote in Atlanta",GA,""
2/17/2022,"Prin. Prod. Mgr. Tech - Apps, Sierra","Amazon Web Services, Inc.",,,,,,Atlanta,GA,""
2/17/2022,"Client Executive - Opportunity for Working Remotely Atlanta,...",VMware,thebrunswicknews.com,Newspapers,,Remote,,"Remote in Atlanta",GA,""
2/17/2022,"Business Development Client Partner- Gas & Electric Utilitie...","Publicis Sapient",publicissapient.com,"Information Technology & Services",,,,Atlanta,GA,""
2/18/2022,"Investment Management & Real Estate Oracle ERP Cloud - Manag...",Deloitte,deloitte.com,"Management Consulting",,,"Downtown area",Atlanta,GA,"30303"
2/18/2022,"SAP - Global Solution Manager, Consumer Products",SAP,sap.com,"Information Technology & Services",,,"Buckhead area",Atlanta,GA,"30326"
2/17/2022,"HRST Digital Enablement Manager",Deloitte,deloitte.com,"Management Consulting",,,"Downtown area",Atlanta,GA,"30303"
2/18/2022,"ConvergeCONSUMER - Data Science Lead",Deloitte,deloitte.com,"Management Consulting",,,"Downtown area",Atlanta,GA,"30303"
2/18/2022,"Vice President, Programmatic",Zenith,,,"$120K ? $152K a year",,"Downtown area",Atlanta,GA,"30313"
2/17/2022,"Director, GTM Global Cloud Contracting",Splunk,splunk.com,"Computer Software","$135,000 a year",,"Buckhead area",Atlanta,GA,"30301"
2/17/2022,"Director, GTM Global Business Contracts and Proposals",Splunk,splunk.com,"Computer Software","$135,000 a year",,"Buckhead area",Atlanta,GA,"30301"
2/18/2022,"Vice President, Programmatic","Zenith Media",zenith-media.com,,"$120K ? $152K a year",,"Downtown area",Atlanta,GA,"30313"
2/18/2022,"Engineering Manager, GCP Cloud Security",Square,squareup.com,Internet,"$93.6K ? $119K a year",,,Atlanta,GA,""
2/16/2022,"Director Custom Development and Solutions","ABM Industries",marriott.com,"Computer Software",,,,Atlanta,GA,"30319"
2/18/2022,"Corporate Credit Risk Consumer Limits Manager","Truist Financial",truist.com,"Financial Services",,,,Atlanta,GA,"30319"
2/18/2022,"Lead UX Researcher","Genuine Parts Company",genuineparts.com,"Consumer Goods",,,,Atlanta,GA,"30339"
2/16/2022,"Project Manager - Commercial/Mixed Use","HKS, Inc.",hksinc.com,"Architecture & Planning","$66.8K ? $84.6K a year",,"Downtown area",Atlanta,GA,"30303"
2/16/2022,"Director, Design Research, Visa Business Solutions",Visa,visa.com,"Information Technology & Services",,,,Atlanta,GA,""
2/18/2022,"Director of Communications, Apartments,com","CoStar Group",costargroup.com,"Information Technology & Services","$84.8K ? $107K a year",,"North Buckhead area",Atlanta,GA,"30326"
2/16/2022,"F&A Transformation Leader","Engle Martin & Associates",englemartin.com,Insurance,"$86.8K ? $110K a year",,"Buckhead area",Atlanta,GA,"30342"
2/18/2022,"Manager, Engineering - Anaplan (Sales Planning) - Opportunit...",VMware,thebrunswicknews.com,Newspapers,,Remote,,"Remote in Atlanta",GA,""
2/17/2022,"Vice President, Projects","US AMR-Jones Lang LaSalle Americas, Inc.",,,,,,Atlanta,GA,""
2/17/2022,"VP/Director, Corporate Advisory","BMO Harris Bank",bmoharris.com,Banking,,,"North Buckhead area",Atlanta,GA,""
2/16/2022,"Industry X Solution Architect",Accenture,cazoodle.com,"Computer Software",,,,Atlanta,GA,""
2/17/2022,"Network Architect","Truist Financial",truist.com,"Financial Services",,,"Midtown area",Atlanta,GA,"30309"
2/17/2022,"Portfolio Manager",Deloitte,deloitte.com,"Management Consulting",,,"Downtown area",Atlanta,GA,"30303"
2/18/2022,"Manager, Digital Solutions Consultant (Remote)",Epsilon,epsilonline.com,"Information Technology & Services","$87.5K ? $111K a year",Remote,,"Remote in Atlanta",GA,""
2/18/2022,"Director, Product Development and Engineering","DELUXE CORPORATION",deluxe.com,"Information Technology & Services",,,,Atlanta,GA,""
2/16/2022,"Salesforce Consultant","Acoustic, L.P.",acoustic.com,Internet,"$99.5K ? $126K a year",,,Atlanta,GA,"30346"
2/16/2022,"Pre-sales and Solutioning Architect - SIAM/ServiceNow COE",Capgemini,capgeminisogeti.dk,,,,,Atlanta,GA,"30328"
2/16/2022,"SUPERVISOR, IT SERVICE DESK","Compass Corporate",compass-canada.com,"Food & Beverages",,,"Buckhead area",Atlanta,GA,"30305"
2/16/2022,"AVP, Integrated Marketing Strategy",AT&T,att.com,Telecommunications,,,,Atlanta,GA,""
2/17/2022,"UI Developer M3253",Nisum,nisum.com,"Information Technology & Services",,,,Atlanta,GA,"30346"
2/16/2022,"Area Vice President, Strategic Sales",Splunk,splunk.com,"Computer Software",,,"Buckhead area",Atlanta,GA,"30301"
2/16/2022,"Metro Atlanta Client Development Leader - Water/Wastewater",HDR,hdrinc.com,Design,"$89.8K ? $114K a year",,,Atlanta,GA,""
2/16/2022,"Renewals Sales Representative Atlanta, GA",VMware,thebrunswicknews.com,Newspapers,,Remote,,"Temporarily Remote in Atlanta",GA,""
2/16/2022,"Data Center Capacity Planning Lead - Remote",iboss,iboss.com,"Computer & Network Security","$99.7K ? $126K a year",Remote,,"Remote in Atlanta",GA,""
2/17/2022,"UX Designer III","Cox Enterprises",,,,,,Atlanta,GA,"30328"
2/18/2022,"Solution Architect ? MDM/MDG",Intuitive,intuitive.com,"Medical Devices","$109K ? $139K a year",,,Atlanta,GA,"30349"
2/18/2022,"Lead UX Interaction Designer","Cox Automotive",coxautomotive.biz,Automotive,,,,Atlanta,GA,"30319"
2/16/2022,"Director, Finance EPMO","Inspire Brands",,,,,,Atlanta,GA,"30328"
2/18/2022,"Insurance Oracle ERP Cloud - Manager",Deloitte,deloitte.com,"Management Consulting",,,"Downtown area",Atlanta,GA,"30303"
2/18/2022,"Banking & Capital Markets Oracle ERP Cloud - Manager",Deloitte,deloitte.com,"Management Consulting",,,"Downtown area",Atlanta,GA,"30303"
2/16/2022,"Director, GTM Technical Cloud Contracting",Splunk,splunk.com,"Computer Software","$135,000 a year",,"Buckhead area",Atlanta,GA,"30301"
2/16/2022,"Hi-Tech Sector-Martech Manager",Deloitte,deloitte.com,"Management Consulting",,,"Downtown area",Atlanta,GA,"30303"
2/16/2022,"Community Engagement Manager","Georgia Public Broadcasting",,,,,"Home Park area",Atlanta,GA,"30318"
2/16/2022,"HR Business Partner Manager",Lever,lever.co,"Computer Software","$79.9K ? $101K a year",,,Atlanta,GA,""
2/18/2022,"VP, Americas NFA/CFTC ex-trading, Cash Solicitation and Cust...",CEDENT,cedentinc.com,"Information Technology & Services","$73.6K ? $93.2K a year",,,Atlanta,GA,""
2/16/2022,"Director of Product",CodeMettle,,,,,,Atlanta,GA,"30328"
2/16/2022,"Accounts Payables Manager","TK Elevator Corporation",thyssenkruppelevator.com,"Primary/Secondary Education","$50.8K ? $64.4K a year",,,Atlanta,GA,""
2/16/2022,"Vice President of Construction - Multifamily","Cent Sel",,,"$180,000 - $200,000 a year",,"Garden Hills area",Atlanta,GA,"30305"
2/17/2022,"Director of Revenue Management- Task Force","Davidson Hospitality Group",davidsonhospitality.com,Hospitality,,,,Atlanta,GA,"30346"
2/18/2022,Architect,"Tout Consulting",,,"$55 - $65 an hour",,,Atlanta,GA,""
2/17/2022,"Program Manager (Remote for now) (Contract to Hire)",Aptivacorp,,,"$60 - $65 an hour",Remote,,"Remote in Atlanta",GA,""
2/17/2022,"Associate Director, Data & Media","321 the Agency",321theagency.com,"Marketing & Advertising","$77.8K ? $98.4K a year",Remote,,"Remote in Atlanta",GA,""
2/16/2022,"Account Manager, Enterprise Solutions",Cvent,cvent.com,"Computer Software",,,"Buckhead area",Atlanta,GA,"30326"
2/18/2022,"Construction Portfolio Manager","JES Holdings",jesholdings.com,"Real Estate",,,,Atlanta,GA,"30327"
2/17/2022,"Large Enterprise Account Executive, East (Remote)","SmartRecruiters Inc",jmtpartners.com,"Staffing & Recruiting",,Remote,,"Remote in Atlanta",GA,""
2/16/2022,"Director of Solar - Utility EPC Construction","Sentry Electrical Group, Inc.",sentryelec.com,Construction,"$87.4K ? $111K a year",Remote,,"Remote in Atlanta",GA,""
2/18/2022,"Director of Software Engineering",FLEETCOR,trisul-sa.com.br,Construction,,Remote,,"Remote in Atlanta",GA,""
2/18/2022,"Practice Lead - AWS Infrastructure Architect",Intuitive,intuitive.com,"Medical Devices","$150,000 - $300,000 a year",Remote,,"Remote in Atlanta",GA,""
2/18/2022,"Enterprise Architect","Random Bit",randombitcorp.com,"Information Technology & Services","$133K ? $169K a year",,,Atlanta,GA,""
2/15/2022,"Account Executive - Manufacturing","Wipro Limited",momed.com,,,,,Atlanta,GA,""
2/16/2022,"Technical Product Manager",Wiverse,wiverse.com,Telecommunications,"$65.50 an hour",,,Atlanta,GA,""
2/15/2022,"Vice President Account Group Supervisor- Remote EST/CT Zone","Amplity Health",amplity.com,Pharmaceuticals,"$72K ? $91.2K a year",Remote,,"Remote in Atlanta",GA,""
2/17/2022,"lead Tableau Developer","Digital Dhara LLC",,,"From $70 an hour",,,Atlanta,GA,""
2/17/2022,"Corporate Director of Hotel Accounting","Hotel Equities",hotelequities.com,Hospitality,"$118K ? $149K a year",,"Buckhead area",Atlanta,GA,"30326"
2/15/2022,"Portoflio Program Manager","The Intersect Group",theintersectgroup.com,"Human Resources & Staffing, Business Services","From $140,000 a year",,,Atlanta,GA,"30328"
2/17/2022,Controller,"Teton Ridge",,,"$135,000 - $160,000 a year",,,Atlanta,GA,""
2/16/2022,"Director, Learning & Team Member Activation","Buffalo Wild Wings",buffalowildwings.com,Restaurants,,,,Atlanta,GA,"30328"
2/17/2022,"Logistics Systems Manager (WMS) - Finished Goods","Cornerstone Building Brands",cornerstonebuildingbrands.com,"Building Materials","$110,000 a year",Remote,,"Remote in Atlanta",GA,""
2/16/2022,"Associate Dean for Research, Emory at Grady - Emory School o...","Emory University",,,,,,Atlanta,GA,"30322"
2/17/2022,"Front End Lead M3252",Nisum,nisum.com,"Information Technology & Services","$111K ? $140K a year",,,Atlanta,GA,"30346"
2/16/2022,"Program Manager","CGI Group, Inc.",cgi.com,"Information Technology & Services",,,,Atlanta,GA,""
2/17/2022,"Program Manager (Remote for now) (Contract to Hire)",Aptivacorp,,,"$60 - $65 an hour",Remote,,"Remote in Atlanta",GA,""
2/18/2022,Architect,"Tout Consulting",,,"$55 - $65 an hour",,,Atlanta,GA,""
2/16/2022,"Technical Product Manager",Wiverse,wiverse.com,Telecommunications,"$65.50 an hour",,,Atlanta,GA,""
2/17/2022,"lead Tableau Developer","Digital Dhara LLC",,,"From $70 an hour",,,Atlanta,GA,""
2/18/2022,"GM Digital Transformation",Yamaha,yamaha.com.au,,"$103K ? $130K a year",,,Marietta,GA,"30066"
2/17/2022,"Registered GA Land Surveyor","Engineering Design Technologies, Inc",edtinc.net,Construction,"$90,000 - $140,000 a year",,,Marietta,GA,"30067"
2/16/2022,"Head of Strategy NAM - Mobility",Siemens,siemens.com,"Industrial Automation",,,,Alpharetta,GA,""
2/15/2022,"AVP, Digital Servicing Product Owner",Synchrony,synchrony.com,"Financial Services","$75,000 - $150,000 a year",,,Alpharetta,GA,"30005"
2/15/2022,"Project Manager","Change Healthcare",changehealthcare.com,"Information Technology & Services",,,,Alpharetta,GA,"30005"
