DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-12-23,Houseperson,"Marriott Vacations Worldwide",marriottvacationsworldwide.com,Hospitality,,,"Diamond Head-Kapahulu area)",Honolulu,HI,"96815"
2022-12-23,"Warehouse Worker - Full Time - Night Shift",McKesson,mckesson.com,"Hospital & Health Care","up to $18.59 an hour",,,Honolulu,HI,"96814"
2022-12-24,"Call Center Agent","Polynesian Adventure Activities",polyad.com,Hospitality,"$28.6k - $36.2k a year indeed est.",,,Honolulu,HI,"96819"
2022-12-23,"Environmental Services Technician II (Variable shifts: 7:00am-3:30pm and 3:00pm-11:30pm and Variable","REHAB Hospital of the Pacific",,,"$31.3k - $39.6k a year indeed est.",,"Liliha-Kapalama area)",Honolulu,HI,"96817"
2022-12-23,"Cash Management Services Teller","Loomis Armored US, LLC",loomis.com,Transportation/Trucking/Railroad,"$15.60 an hour",,"Kalihi-Palama area)",Honolulu,HI,"96817"
2022-12-23,Housekeeper,"The Arcadia Family of Companies",arcadia.org,"Hospital & Health Care",,,"Manoa area)",Honolulu,HI,"96822"
2022-12-24,"Night Warehouse Worker","The Odom Corporation",odomcorp.com,Wholesale,"$35.3k - $44.7k a year indeed est.",,,Honolulu,HI,"96819"
2022-12-23,Clerk,"Servco Pacific Inc.",servco.com,"Consumer Goods","$28.1k - $35.6k a year indeed est.",,"Kalihi-Palama area)",Honolulu,HI,"96819"
2022-12-23,"FT-Head Cashier-Flexible",Lowe's,lowes.com,Retail,,,"Kalihi-Palama area)",Honolulu,HI,"96817"
2022-12-23,"Guest Services Agent","Marriott Vacations Worldwide",marriottvacationsworldwide.com,Hospitality,,,"Diamond Head-Kapahulu area)",Honolulu,HI,"96815"
2022-12-23,"Human Resources Generalist","Marriott International, Inc",,,,,"Waikiki area)",Honolulu,HI,"96815"
2022-12-23,"Reception Agent Full-Time","Hilton Grand Vacations",hiltongrandvacations.com,Hospitality,"$28.6k - $36.2k a year indeed est.",,,Honolulu,HI,""
2022-12-25,"Oahu: Residential Protection Specialist","Securitas Inc.",,,"$15 - $20 an hour",,,Honolulu,HI,"96814"
2022-12-25,"Security Guard","Allied Universal®",,,"$16.28 an hour",,"Downtown area)",Honolulu,HI,"96802"
2022-12-23,"Application Developer","Hawaii Medical Service Association",hmsa.com,Insurance,"$57.5k - $72.8k a year indeed est.",,,"Hybrid remote in Honolulu",HI,"96814"
2022-12-24,"Security Officer","Allied Universal®",,,"$17 an hour",,,Honolulu,HI,"96813"
2022-12-23,"Driver - Housekeeper","The Arcadia Family of Companies",arcadia.org,"Hospital & Health Care",,,"Manoa area)",Honolulu,HI,"96822"
2022-12-24,"Retail Sales Associate, Ala Moana - Full Time",Macy’s,,,"$15 - $18 an hour",,"Ala Moana-Kakaako area)",Honolulu,HI,"96814"
2022-12-23,"FT-Loader/Cart Associate-Day",Lowe's,lowes.com,Retail,,,"Kalihi-Palama area)",Honolulu,HI,"96817"
2022-12-24,"Patient Service Rep - Pearlridge, Administration","Hawaii Pacific Health",hawaiipacifichealth.org,"Hospital & Health Care","$29.4k - $37.3k a year indeed est.",,,Honolulu,HI,""
2022-12-23,"Warehouse Inbound receiver",Sysco,sysco.com,"Food & Beverages",,,,Honolulu,HI,"96814"
2022-12-24,"Credit Union Examiner","National Credit Union Administration",,,"$66,364 - $137,692 a year",,,Honolulu,HI,""
2022-12-23,"Customer Service Representative - USBL - US",Sysco,sysco.com,"Food & Beverages",,,,Honolulu,HI,"96814"
2022-12-25,"Retail Fragrances Sales Associate - Chanel Fragrances, Ala Moana - Full Time",Macy’s,,,"$15 - $18 an hour",,"Ala Moana-Kakaako area)",Honolulu,HI,"96814"
2022-12-25,"Oahu: Aloha Safety Ambassador","Securitas Inc.",,,"$15 - $20 an hour",,,Honolulu,HI,"96814"
2022-12-23,"FT-Sales Associate - Electrical And Lighting-Day",Lowe's,lowes.com,Retail,,,"Kalihi-Palama area)",Honolulu,HI,"96817"
2022-12-24,"Patient Service Rep - Neurology","Hawaii Pacific Health",hawaiipacifichealth.org,"Hospital & Health Care","$31.1k - $39.3k a year indeed est.",,,Honolulu,HI,""
2022-12-23,"Sales and Service Leader",Sephora,sephora.ch,,"$37.5k - $47.5k a year indeed est.",,"Waikiki area)",Honolulu,HI,"96815"
2022-12-23,"Life Sales Agent","AAA Hawaii",,,"from $100,000 a year",,"Kalihi-Palama area)",Honolulu,HI,"96817"
2022-12-23,"Patient Registrar - Maternal Fetal Med Perinat FDC","Hawaii Pacific Health",hawaiipacifichealth.org,"Hospital & Health Care","$30.4k - $38.5k a year indeed est.",,"Manoa area)",Honolulu,HI,"96826"
2022-12-23,"Generalist-Human Resources","Marriott International, Inc",,,,,"Waikiki area)",Honolulu,HI,"96815"
2022-12-25,"Driver, Special Delivery - USBL - US",Sysco,sysco.com,"Food & Beverages",,,,Honolulu,HI,"96814"
2022-12-24,"CONSTRUCTION UTILITY ASSISTANT","Hawaiian Electric Company",heco.com,"Electricity, Oil & Gas, Energy, Utilities & Waste Treatment","$37.85 - $38.71 an hour",,"Kuliouou-Kalani Iki area)",Honolulu,HI,"96824"
2022-12-26,"Transportation Supervisor",Sysco,sysco.com,"Food & Beverages",,,,Honolulu,HI,"96814"
2022-12-24,"Warehouseperson (Union - HI)",Airgas,amlogic.com,"Consumer Electronics","$33.7k - $42.7k a year indeed est.",,"Kalihi-Palama area)",Honolulu,HI,"96819"
2022-12-23,"ID Card Specialist (Personnel Assistant II), NAVY ICA","Magellan Health",magellanhealth.com,"Hospital & Health Care","$34.4k - $43.6k a year indeed est.",,"Airport area)",Honolulu,HI,"96818"
2022-12-23,"Housekeeper - Home","The Arcadia Family of Companies",arcadia.org,"Hospital & Health Care",,,"Manoa area)",Honolulu,HI,"96822"
2022-12-23,"Retail Sales Associate, Full Time","Old Navy",gap.com,Retail,,,"Ala Moana-Kakaako area)",Honolulu,HI,"96814"
2022-12-23,"Cash Management Services Teller","Loomis Armored US, LLC",loomis.com,Transportation/Trucking/Railroad,"$15.60 an hour",,"Kalihi-Palama area)",Honolulu,HI,"96817"
2022-12-23,"Security Guard Full Time Driving","Allied Universal®",,,"$15.30 an hour",,,Honolulu,HI,"96813"
2022-12-24,"Delivery Driver",Graybar,graybar.com,Wholesale,"$32.4k - $41k a year indeed est.",,,Honolulu,HI,"96814"
2022-12-23,"Medical Assistant - Kapolei, Pediatrics","Hawaii Pacific Health",hawaiipacifichealth.org,"Hospital & Health Care","$33.7k - $42.7k a year indeed est.",,,Honolulu,HI,""
2022-12-23,"Clinical Assistant - Neuro Progressive Care Unit","Hawaii Pacific Health",hawaiipacifichealth.org,"Hospital & Health Care","$31.1k - $39.4k a year indeed est.",,,Honolulu,HI,""
2022-12-24,"Supervisory Physician (Admin)","Defense Health Agency Civilian Corps, Falls...",,,,,,Honolulu,HI,""
2022-12-25,"FieldService Technician 1","Burroughs, Inc.",burroughs.com,"Information Technology & Services","$39.2k - $49.6k a year indeed est.",,"Liliha-Kapalama area)",Honolulu,HI,"96817"
2022-12-24,"Clinical Medical Assistant","The Arcadia Family of Companies",arcadia.org,"Hospital & Health Care","$32.7k - $41.4k a year indeed est.",,"Manoa area)",Honolulu,HI,"96822"
2022-12-23,"Staff Nurse - Main OR","Kaiser Permanente",socialsourcingnetwork.com,,"$122k - $154k a year indeed est.",,,Honolulu,HI,""
2022-12-23,"Team Member - Royal Hawaiian Shop. Ctr.",Sbarro,,,"$24.5k - $31k a year indeed est.",,"Waikiki area)",Honolulu,HI,"96815"
2022-12-23,"Medical Assistant - Clinic Resource Team","Hawaii Pacific Health",hawaiipacifichealth.org,"Hospital & Health Care","$34.6k - $43.8k a year indeed est.",,,Honolulu,HI,""
2022-12-23,"Physician - Pediatric Genetics","Hawaii Pacific Health",hawaiipacifichealth.org,"Hospital & Health Care",,,,Honolulu,HI,""
2022-12-23,"Registered Nurse - Pediatrics, Wilcox","Hawaii Pacific Health",hawaiipacifichealth.org,"Hospital & Health Care","$64.8k - $82k a year indeed est.",,"Manoa area)",Honolulu,HI,"96826"
2022-12-23,"Staff Nurse-Labor & Delivery- 7pm","Kaiser Permanente",socialsourcingnetwork.com,,"$97.4k - $123k a year indeed est.",,,Honolulu,HI,"96819"
2022-12-26,"Physician Practice Assistant","The Queen's Medical Center",queens.org,"Hospital & Health Care",,,,Honolulu,HI,""
2022-12-26,"Physician Practice Assistant - QUMG (Full Time, 40, Day)","The Queen's Medical Center",queens.org,"Hospital & Health Care",,,,Honolulu,HI,""
2022-12-23,"Staff Nurse-Mother Baby - 7pm","Kaiser Permanente",socialsourcingnetwork.com,,"$86.6k - $110k a year indeed est.",,,Honolulu,HI,"96819"
2022-12-26,"Physician Practice Assistant- ADMN Ambulatory Admn (Full Time, 40, Day)","The Queen's Medical Center",queens.org,"Hospital & Health Care",,,,Honolulu,HI,""
2022-12-26,"Physician Practice Assistant- MED Wound QET Gd Flr (Full Time, 40, Day)","The Queen's Medical Center",queens.org,"Hospital & Health Care",,,,Honolulu,HI,""
2022-12-24,"Remote wellness",TWP,,,"$30,000 - $70,000 a year",Remote,,"Remote in Honolulu",HI,""
2022-12-23,Cleaner,"Clean Hale Hawaii",cleanhalehawaii.com,,"$18 - $20 an hour",,"Waikiki area)",Honolulu,HI,"96815"
2022-12-24,"Host / Hostess","Outrigger Canoe Club",outriggercanoeclub.com,,"from $17 an hour",,"Diamond Head-Kapahulu-St. Louis area)",Honolulu,HI,"96815"
2022-12-24,Dishwasher,"Island Vintage Coffee",islandvintagecoffee.com,"Food & Beverages","up to $18 an hour",,"Waikiki area)",Honolulu,HI,"96815"
2022-12-25,"Aircraft Cleaner- HNL",Swissport,swissport.com,Airlines/Aviation,"$27.6k - $34.9k a year indeed est.",,"Daniel K. Inouye International Airport area)",Honolulu,HI,"96819"
2022-12-23,"Airline Lounge Cleaner / Janitor (FT)",Sodexo,sodexo.com,"Facilities Services","$14 - $16 an hour",,"Manoa area)",Honolulu,HI,"96822"
2022-12-24,"Merchandiser / Stock Clerk (Honolulu - Oahu)","Hawaii Foodservice Alliance",hfahawaii.com,"Food & Beverages","$32.4k - $41k a year indeed est.",,,Honolulu,HI,""
2022-12-24,"Telephone Operator","Ala Moana Hotel by Mantra",alamoanahotelhonolulu.com,Restaurants,"$22.78 - $28.47 an hour",,"Ala Moana-Kakaako area)",Honolulu,HI,"96814"
