DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-03-10,"Legal/Administrative Assistant","Porter McGuire Kiakona",,,"$39.6K – $50.2K a year",,"Downtown area",Honolulu,HI,"96813"
2022-03-09,"College Counseling Assistant","Iolani School",iolani.org,"Primary/Secondary Education","$27.8K – $35.2K a year",,"McCully-Moiliili area",Honolulu,HI,"96826"
2022-03-10,"Audiology Assistant - Audiology Services","Hawaii Pacific Health",hawaiipacifichealth.org,"Hospital & Health Care",,,"Manoa area",Honolulu,HI,"96826"
2022-03-10,"Administrative and Fiscal Support Specialist","University of Hawaii",hawaii.edu,"Higher Education","$21 - $23 an hour",,,Honolulu,HI,""
2022-03-09,"AUTOMOTIVE ADMIN II","UNITED PARCEL SERVICE",ups.com,"Logistics & Supply Chain",,,,Honolulu,HI,"96819"
2022-03-09,"Escrow Assistant","First American",firstgroup.co,,,,"Ala Moana-Kakaako area",Honolulu,HI,"96814"
2022-03-09,"Supervisory Transportation Security Specialist","TSA (Transportation Security Administration)",tsa.gov,"Government Administration","$87,586 - $135,832 a year",,,Honolulu,HI,""
2022-03-09,"Mortgage Loan Closer Associate","Hawaii State Federal Credit Union",hawaiistatefcu.com,"Financial Services",,,"Downtown area",Honolulu,HI,"96813"
2022-03-10,"Automotive DMV Clerk","Lithia Motors, Inc.",,,,,"Liliha-Kapalama area",Honolulu,HI,"96817"
2022-03-09,"Consultant, Strategic Services",Deloitte,deloitte.com,"Management Consulting",,,"Downtown area",Honolulu,HI,"96813"
2022-03-09,"Security Manager","Pagoda Hotel",,,"$44.7K – $56.7K a year",,"Ala Moana-Kakaako area",Honolulu,HI,"96814"
2022-03-10,"Overnight Bakery Production Team Member (Prep) - Full Time","Whole Foods Market",wholefoodsmarket.com,Supermarkets,,,"Waialae-Kahala area",Honolulu,HI,"96816"
2022-03-08,"HCQ Project Coordinator","Agilon Health",agilonhealth.com,"Hospital & Health Care","$42.7K – $54.1K a year",,"Downtown area",Honolulu,HI,"96813"
2022-03-08,"Restaurant Server","OLS Hotels & Resorts",springboardhospitality.com,Hospitality,,,"Diamond Head-Kapahulu area",Honolulu,HI,"96815"
2022-03-10,"Installer Trainee",Spectrum,spectrumvic.org.au,"Nonprofit Organization Management",,,,Honolulu,HI,""
2022-03-09,"Timeshare Escrow Assistant","First American",firstgroup.co,,,,"Ala Moana-Kakaako area",Honolulu,HI,"96814"
2022-03-10,"Project Manager","Kanu Hawaii",kanuhawaii.org,"Nonprofit Organization Management","$65.3K – $82.7K a year",,"Ala Moana-Kakaako area",Honolulu,HI,"96814"
2022-03-10,"Unit Clerk - Emergency Services","Kuakini Medical Center",kuakini.org,"Medical Practice","$28.2K – $35.8K a year",,,Honolulu,HI,""
2022-03-08,"Supervisory Program Specialist","TSA (Transportation Security Administration)",tsa.gov,"Government Administration","$87,586 - $135,832 a year",,,Honolulu,HI,""
2022-03-10,"(81967) Educational Specialist","University of Hawaii",hawaii.edu,"Higher Education","$30.9K – $39.1K a year",,,Honolulu,HI,""
2022-03-09,"E-Bike Supervisor (Full-Time + Benefits)","Wheels Labs, Inc.",,,"$25.2K – $31.8K a year",,,Honolulu,HI,""
2022-03-09,"Registered Client Service Associate *","Morgan Stanley",morganstanleybranch.com,"Financial Services",,,,Honolulu,HI,""
2022-03-09,"Clinical Support Staff","The Salvation Army Western USA",salvationarmyusa.org,"Nonprofit Organization Management",,,"Liliha-Kapalama area",Honolulu,HI,"96817"
2022-03-08,"Laboratory Assistant - Oahu Patient Service Center Town/Wind...","Clinical Laboratories of Hawaii, LLP",clinicallabs.com,"Hospital & Health Care",,,,Honolulu,HI,""
2022-03-08,"Clinical Assistant - Pediatrics, Wilcox","Hawaii Pacific Health",hawaiipacifichealth.org,"Hospital & Health Care","$29.5K – $37.3K a year",,"Manoa area",Honolulu,HI,"96826"
2022-03-08,Clerk,"Servco Pacific Inc.",servco.com,"Consumer Goods","$25.5K – $32.3K a year",,"Kalihi-Palama area",Honolulu,HI,"96819"
2022-03-09,"Aircraft Fueler","Signature Flight Support",signatureflight.com,Airlines/Aviation,,,"Daniel K. Inouye International Airport area",Honolulu,HI,"96819"
2022-03-09,"Sales Agent, Discovery","Wyndham Destinations",wyndhamdestinations.com,Hospitality,,,"Waikiki area",Honolulu,HI,"96815"
2022-03-09,"Delivery Driver - Full-Time","NAPA Auto Parts",douglasnapa.com,,,,"Liliha-Kapalama area",Honolulu,HI,"96817"
2022-03-09,"Family Service Counselor","SCI Shared Resources, LLC",sci-corp.com,"Individual & Family Services",,,"Makiki area",Honolulu,HI,"96823"
2022-03-08,"SUPERVISORY SALES ASSOCIATE - ( RFT/ Halsey Mini Mart)","Navy Exchange Service Command",nexweb.org,,"$15 an hour",,,Honolulu,HI,""
2022-03-10,"Patient Service Rep - Docs on Call, Sheraton","Hawaii Pacific Health",hawaiipacifichealth.org,"Hospital & Health Care","$28.8K – $36.4K a year",,,Honolulu,HI,""
2022-03-08,"Delivery Driver II",Sherwin-Williams,myhealthcentre.ca,"Hospital & Health Care",,,"Kalihi-Palama area",Honolulu,HI,"96817"
2022-03-08,"Perioperative Technician Aide - Perioperative Services","Hawaii Pacific Health",hawaiipacifichealth.org,"Hospital & Health Care","$33K – $41.8K a year",,,Honolulu,HI,""
2022-03-08,"ATS/SCADA Technical Administrator","Hitachi Rail Honolulu JV",,,"$45.5K – $57.7K a year",,,Honolulu,HI,""
2022-03-09,"Timeshare Title Examiner","First American",firstgroup.co,,,,"Ala Moana-Kakaako area",Honolulu,HI,"96814"
2022-03-08,"Front Desk Agent. Shell Vacations Club Waikiki Marina Resort","Wyndham Destinations",wyndhamdestinations.com,Hospitality,,,"Waikiki area",Honolulu,HI,"96815"
2022-03-09,"E-Bike Delivery Driver (Full-Time + Benefits)","Wheels Labs, Inc.",,,"$31.3K – $39.7K a year",,,Honolulu,HI,""
2022-03-08,Housekeeper,"Marriott Vacations Worldwide",marriottvacationsworldwide.com,Hospitality,,,"Waikiki area",Honolulu,HI,"96815"
2022-03-08,"Strategic Partnerships Manager, Hyperscaler - Opportunity fo...",VMware,thebrunswicknews.com,Newspapers,,Remote,,"Remote in Honolulu",HI,""
2022-03-10,"Catering Manager 2",Sodexo,sodexo.com,"Facilities Services",,,"Diamond Head-Kapahulu-St. Louis area",Honolulu,HI,"96822"
2022-03-08,"Lead Steward Utility / Dishwasher","Marriott International, Inc",,,,,"Waikiki area",Honolulu,HI,"96815"
2022-03-10,Houseperson,"Marriott Vacations Worldwide",marriottvacationsworldwide.com,Hospitality,,,"Waikiki area",Honolulu,HI,"96815"
2022-03-08,"Prepared Foods Team Member (Deli Service Counter & Culinary...","Whole Foods Market",wholefoodsmarket.com,Supermarkets,,,"Waikiki area",Honolulu,HI,"96814"
2022-03-10,"Patient Service Rep - Pediatric Pulmonology","Hawaii Pacific Health",hawaiipacifichealth.org,"Hospital & Health Care","$28.9K – $36.7K a year",,,Honolulu,HI,""
2022-03-09,"Store Stock Associate","NAPA Auto Parts",douglasnapa.com,,,,"Liliha-Kapalama area",Honolulu,HI,"96817"
2022-03-09,"Retail Counter Sales","O'Reilly Auto Parts",oreillyauto.com,Retail,,,"Airport area",Honolulu,HI,"96818"
2022-03-10,"Pharmacy Technician - Pharmacy","Hawaii Pacific Health",hawaiipacifichealth.org,"Hospital & Health Care","$29.1K – $36.9K a year",,"Manoa area",Honolulu,HI,"96826"
2022-03-09,"Federal - Data Scientist (Honolulu, HI)",Accenture,cazoodle.com,"Computer Software",,,,Honolulu,HI,""
2022-03-08,"Track Repairman","Hitachi Rail Honolulu JV",,,"$36.2K – $45.8K a year",,,Honolulu,HI,""
2022-03-08,"Prepared Foods Production Team Member (Deli / Culinary Prep)...","Whole Foods Market",wholefoodsmarket.com,Supermarkets,,,"Waikiki area",Honolulu,HI,"96814"
2022-03-10,"Retail Cosmetics Stock Associate, Waikiki - Full Time",Macy’s,,,,,"Waikiki area",Honolulu,HI,"96815"
2022-03-08,"Utility Person","Servco Pacific Inc.",servco.com,"Consumer Goods","$25.6K – $32.4K a year",,,Honolulu,HI,"96819"
2022-03-08,Laborer,"Pacific Shipyards International, LLC",pacificshipyards.com,Shipbuilding,"$26.7K – $33.9K a year",,,Honolulu,HI,""
2022-03-08,"Sales Associate - Handbags, Full Time: Ala Moana",Bloomingdale’s,,,,,"Ala Moana-Kakaako area",Honolulu,HI,"96814"
2022-03-09,"E-Bike Technician (Full-Time + Benefits)","Wheels Labs, Inc.",,,"$34.5K – $43.7K a year",,,Honolulu,HI,""
2022-03-09,"Warehouse Material Handler",Graybar,graybar.com,Wholesale,"$16.50 an hour",,,Honolulu,HI,"96814"
2022-03-09,"Registered Client Service Associate *","Morgan Stanley",morganstanleybranch.com,"Financial Services",,,,Honolulu,HI,""
