DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2/16/2022,"Assistant Store Manager","Extra Space Storage",extraspace.com,"Real Estate",,,"Makiki-Lower Punchbowl-Tantalus area",Honolulu,HI,"96826"
2/15/2022,"Customer Zone Technician II","HAWAIIAN TELCOM",hawaiiantel.com,Telecommunications,,,,Honolulu,HI,"96821"
2/17/2022,"Manager, Talent Business Advisor",Deloitte,deloitte.com,"Management Consulting",,,"Downtown area",Honolulu,HI,"96813"
2/17/2022,"Administrative Officer","University of Hawaii",hawaii.edu,"Higher Education",,,,Honolulu,HI,""
2/17/2022,"Charter Account Specialist","Polynesian Adventure Activities",polyad.com,Hospitality,,,,Honolulu,HI,"96819"
2/16/2022,"Associate Director of Residential Life","Iolani School",iolani.org,"Primary/Secondary Education",,,"McCully-Moiliili area",Honolulu,HI,"96826"
2/17/2022,"Human Resource Generalist","Alohilani Resort Waikiki Beach",alohilaniresort.com,Hospitality,,,"Waikiki area",Honolulu,HI,"96815"
2/17/2022,"High School MPX Humanities Teacher","Mid-Pacific Institute",midpac.edu,"Primary/Secondary Education",,,"Manoa area",Honolulu,HI,"96822"
2/17/2022,"OPERATIONS MANAGER - HOUSEKEEPING","Hyatt Regency Waikiki Beach Resort and Spa",nahoolaspawaikiki.com,Hospitality,,,"Waikiki area",Honolulu,HI,"96815"
2/17/2022,"Upper School English Teacher","Iolani School",iolani.org,"Primary/Secondary Education",,,"McCully-Moiliili area",Honolulu,HI,"96826"
2/16/2022,"Accountant I/II","HawaiiUSA Federal Credit Union",hawaiiusafcu.com,"Financial Services",,,"Kalihi-Palama area",Honolulu,HI,"96817"
2/17/2022,"Upper School History Teacher","Iolani School",iolani.org,"Primary/Secondary Education",,,"McCully-Moiliili area",Honolulu,HI,"96826"
2/17/2022,"Property Management Accountant","Alexander & Baldwin",alexanderbaldwin.com,"Real Estate",,,"Downtown area",Honolulu,HI,"96813"
2/17/2022,"High School Social Studies Teacher","Mid-Pacific Institute",midpac.edu,"Primary/Secondary Education",,,"Manoa area",Honolulu,HI,"96822"
2/15/2022,"Project Manager, Medicare Stars","Hawaii Medical Service Association",hmsa.com,Insurance,,,"Ala Moana-Kakaako area",Honolulu,HI,"96814"
2/15/2022,"Assistant Store Manager",IT'SUGAR,itsugar.com,Retail,,,,Honolulu,HI,"96814"
2/17/2022,"Consumer Sales Manager","HAWAIIAN TELCOM",hawaiiantel.com,Telecommunications,,,,Honolulu,HI,"96821"
2/16/2022,"Supervisor Accounting II","Bank of Hawaii",boh.com,Banking,,,,Honolulu,HI,""
2/15/2022,"Project Manager","Chenega Corporation",chenega.com,"Information Technology & Services",,,"Downtown area",Honolulu,HI,"96813"
2/15/2022,Supervisor,IT'SUGAR,itsugar.com,Retail,,,,Honolulu,HI,"96814"
2/16/2022,"Assistant Store Manager","Tommy Bahama",tommybahama.com,"Apparel & Fashion",,,"Waikiki area",Honolulu,HI,"96815"
2/15/2022,"Trust Operations Specialist II","Bank of Hawaii",boh.com,Banking,,,,Honolulu,HI,""
2/16/2022,"Insurance Specialist I",NAVIENT,navient.com,"Financial Services",,,"Liliha-Kapalama area",Honolulu,HI,"96817"
2/16/2022,"eNOC Specialist","HAWAIIAN TELCOM",hawaiiantel.com,Telecommunications,,,,Honolulu,HI,"96821"
2/15/2022,"Chef de Partie","Marriott Vacations Worldwide",marriottvacationsworldwide.com,Hospitality,,,"Waikiki area",Honolulu,HI,"96815"
2/15/2022,"Infrastructure Analyst","Hawaii Medical Service Association",hmsa.com,Insurance,,,"Ala Moana-Kakaako area",Honolulu,HI,"96814"
2/15/2022,"General Maintenance Worker","Chenega Corporation",chenega.com,"Information Technology & Services",,,"Downtown area",Honolulu,HI,"96813"
2/17/2022,"AAC - Facilities Maintenance Technician","Aloha Air Cargo",alohaaircargo.com,"Package/Freight Delivery",,,"Daniel K. Inouye International Airport area",Honolulu,HI,"96819"
2/17/2022,"Case Manager, RN - Case Management","Hawaii Pacific Health",hawaiipacifichealth.org,"Hospital & Health Care",,,,Honolulu,HI,""
2/17/2022,"Biomedical Equipment Technician 2",Sodexo,sodexo.com,"Facilities Services",,,"Manoa area",Honolulu,HI,"96822"
2/16/2022,"assistant store manager/Oahu",Starbucks,starbucks.com,Retail,,,,Honolulu,HI,""
2/15/2022,"Assistant EHS Manager","Pacific Shipyards International, LLC",pacificshipyards.com,Shipbuilding,,,,Honolulu,HI,""
2/15/2022,"REGIONAL MARKETING MANAGER **HAWAII**","OLS Hotels & Resorts",springboardhospitality.com,Hospitality,,,"Mccully-Moiliili area",Honolulu,HI,"96826"
2/16/2022,"Engagement Manager - DAS Risk & Brand Protection / Office of...",Deloitte,deloitte.com,"Management Consulting",,,"Downtown area",Honolulu,HI,"96813"
2/16/2022,"Contracts and Grants Specialist","University of Hawaii",hawaii.edu,"Higher Education",,,,Honolulu,HI,""
2/16/2022,"Lead Business Systems Analyst - DAS HXM",Deloitte,deloitte.com,"Management Consulting",,,"Downtown area",Honolulu,HI,"96813"
2/16/2022,"Lead Risk & Compliance Analyst",Deloitte,deloitte.com,"Management Consulting",,,"Downtown area",Honolulu,HI,"96813"
2/15/2022,"Internal Audit & Risk Management Manager","Servco Pacific Inc.",servco.com,"Consumer Goods",,,,Honolulu,HI,"96819"
2/16/2022,"Lecturer, CC","University of Hawaii",hawaii.edu,"Higher Education",,,,Honolulu,HI,""
2/16/2022,"Contracts and Grants Specialist (Pos#0096656T)","University of Hawaii",hawaii.edu,"Higher Education",,,"Makiki area",Honolulu,HI,"96822"
2/17/2022,"Thrift Shop Manager","The Episcopal Church of The Holy Nativity",,,"From $20 an hour",,"Kuliouou-Kalani Iki area",Honolulu,HI,"96821"
2/15/2022,"Benefits Coordinator","Hawaii Family Dental Centers",hawaiifamilydental.com,"Hospital & Health Care","$17 - $20 an hour",,"Downtown area",Honolulu,HI,"96813"
2/16/2022,"Business Systems Support Specialist","Pacific Guardian Life",pacificguardian.com,Insurance,,,"Ala Moana-Kakaako area",Honolulu,HI,"96814"
2/16/2022,"Logistics Coordinator","Royal Hawaiian Movers",,,"$18 an hour",,,Honolulu,HI,"96819"
2/17/2022,"Program Coordinator","Aloha Hospitality Professionals",alohahospitalityprofessionals.com,"Staffing & Recruiting","$20 - $24 an hour",,,Honolulu,HI,""
2/16/2022,"Administrative Assistant",Oceanit,oceanit.com,Research,,,,Honolulu,HI,"96813"
2/17/2022,"Caregiver Coordinator (FT)","Hawaii Senior Care",hawaiiseniorcare.com,"Hospital & Health Care","$40,000 - $45,000 a year",,"Downtown area",Honolulu,HI,"96813"
2/17/2022,"Client Relations Manager","Latitude Wealth Management",,,"From $42,000 a year",,"Downtown area",Honolulu,HI,"96813"
2/17/2022,"New Accounts Representative","Royal Business Bank",royalbusinessbankusa.com,Banking,"$20 - $25 an hour",,"Downtown area",Honolulu,HI,"96813"
2/15/2022,"Administrative Services Supervisor - The Villas","Ohana Pacific Management Company",ohanapacific.com,"Hospital & Health Care",,,"Liliha-Kapalama area",Honolulu,HI,"96817"
2/15/2022,"Manager, Workforce Development","Healthcare Association of Hawaii",hah.org,,,,,Honolulu,HI,"96813"
2/17/2022,"General Manager (Waikiki High-Rise Condo)","400+ condo unit",,,"From $100,000 a year",,"Waikiki area",Honolulu,HI,"96815"
2/16/2022,"Marketing Coordinator","Aloha United Way",auw.org,"Nonprofit Organization Management","From $40,000 a year",,,Honolulu,HI,""
2/15/2022,"Customer Service Support Specialist - Plumbing Service Depar...","Alaka`i Mechanical Corporation",,,,,,Honolulu,HI,"96819"
2/17/2022,"Event Production Manager","Aloha Hospitality Professionals",alohahospitalityprofessionals.com,"Staffing & Recruiting",,,,Honolulu,HI,"96819"
2/15/2022,"Membership Coordinator","Hawai?i Public Radio",,,,,"Ala Moana-Kakaako area",Honolulu,HI,"96814"
2/15/2022,"Operations Manager (SP)",AOAO,aoao.org,"Medical Practice",,,"Downtown area",Honolulu,HI,"96817"
2/16/2022,"Vice President of Community Impact","Aloha United Way",auw.org,"Nonprofit Organization Management","From $90,000 a year",,,Honolulu,HI,""
2/16/2022,"Residential Mortgage Loan Officer - *remote role","Home Funding Corporation",hf-corp.com,Banking,"$80,000 - $300,000 a year",Remote,,"Remote in Honolulu",HI,""
2/16/2022,"Grounds Superintendent","Oahu Country Club",oahucountryclub.com,"Recreational Facilities & Services",,,"Liliha-Kapalama area",Honolulu,HI,"96817"
2/16/2022,"Leasing Administrator (Temporary)","Liliuokalani Trust",,,,,,Honolulu,HI,"96813"
2/16/2022,"Contract Support Construction Manager",Dawson,dawsoncareers.com,"Staffing & Recruiting",,,,Honolulu,HI,"96813"
2/15/2022,"Site Building Manager","Condo Building in Makiki",,,"$4,000 - $4,800 a month",,"Nuuanu-Punchbowl area",Honolulu,HI,"96813"
2/16/2022,"Facilitator, Talent & Organizational Development","Hawaii Employers Council",hecouncil.org,"Membership Organizations",,,,Honolulu,HI,""
2/15/2022,"Experienced Distiller","Aloha Hospitality Professionals",alohahospitalityprofessionals.com,"Staffing & Recruiting","$40,000 - $55,000 a year",,,Honolulu,HI,""
2/15/2022,"Receptionist - The Villas","Ohana Pacific Management Company",ohanapacific.com,"Hospital & Health Care",,,"Liliha-Kapalama area",Honolulu,HI,"96817"
2/15/2022,"Fleet Supervisor",PepsiCo,pepsico.com,"Food & Beverages","$55,400 - $80,200 a year",,,Honolulu,HI,""
2/15/2022,"Enterprise Risk Officer","First Hawaiian Bank",fhwn.com,,,,"Downtown area",Honolulu,HI,"96813"
2/17/2022,"Project Manager Construction & Maintenance","Par Pacific",parpacific.com,"Oil & Energy",,,,Honolulu,HI,""
2/15/2022,"Youth Development Director I -Middle School (Spalding Clubho...","Boys & Girls Club of Hawaii",bgch.com,"Program Development","$16 an hour",,"Mccully-Moiliili area",Honolulu,HI,"96826"
2/15/2022,"Director of Programs","HUGS (Help, Understanding & Group Support)",,,"$66,000 - $70,000 a year",,"Kaimuki area",Honolulu,HI,"96816"
2/16/2022,"Financial Services Professional (management fast track- MBA...","New York Life",experiencehfs.com,,,,"Downtown area",Honolulu,HI,"96813"
2/17/2022,"Event Planner Specialist","Aloha Hospitality Professionals",alohahospitalityprofessionals.com,"Staffing & Recruiting","From $55,000 a year",Remote,,"Hybrid remote in Honolulu",HI,""
2/17/2022,"Annual Giving Manager","Make-A-Wish Foundation of Hawaii",,,"From $55,000 a year",,"Downtown area",Honolulu,HI,"96813"
2/16/2022,"Premium Auditor","Pacific Guardian Life",pacificguardian.com,Insurance,,,"Ala Moana-Kakaako area",Honolulu,HI,"96814"
2/16/2022,"Commercial Mortgage Loan Underwriting Associate","Finance Factors, Ltd.",,,"From $50,129 a year",,"Downtown area",Honolulu,HI,"96813"
2/17/2022,"Airport Maintenance Repair Technician II - HNL International...","JBT Airport Services",,,,,"Diamond Head-Kapahulu-St. Louis area",Honolulu,HI,"96816"
2/17/2022,"MANAGER - CAFE SALES & MARKETI","Hard Rock Cafe International (USA), Inc.",,,,,"Diamond Head-Kapahulu area",Honolulu,HI,"96815"
2/15/2022,"Service Manager","California Pizza Kitchen",cpk.com,Restaurants,,,"Waikiki area",Honolulu,HI,"96815"
2/16/2022,"Project Environmental Planner","Stratford Solutions Inc.",stratfordsolutionsinc.com,"Staffing & Recruiting","$90,000 - $120,000 a year",,,Honolulu,HI,""
2/16/2022,"Loan Operations Manager","Central Pacific Bank",cpb.bank,Banking,"$80,000 - $105,000 a year",,"Downtown area",Honolulu,HI,"96813"
2/15/2022,"Service Manager","California Pizza Kitchen",cpk.com,Restaurants,,,"Waialae-Kahala area",Honolulu,HI,"96816"
2/16/2022,"MDS/Resident Assessment Director","Hale Nani Rehabilitation & Nursing Center",,,,,"Makiki-Lower Punchbowl-Tantalus area",Honolulu,HI,"96822"
2/16/2022,Accountant,"Array Corporation",,,"$25 an hour",,,Honolulu,HI,""
2/16/2022,"Airport Baggage Handling System Manager HNL International Ai...","JBT Airport Services",,,"$75,000 - $95,000 a year",,"Diamond Head-Kapahulu-St. Louis area",Honolulu,HI,"96816"
2/15/2022,"Social Worker - Prime Care Services","Ohana Pacific Management Company",ohanapacific.com,"Hospital & Health Care",,,,Honolulu,HI,"96819"
2/17/2022,"Branch Manager","Royal Business Bank",royalbusinessbankusa.com,Banking,"$65,000 - $80,000 a year",,"Downtown area",Honolulu,HI,"96813"
2/17/2022,"Website Manager","American Savings Bank",asbfinancialcorp.com,,,,"Kalihi-Palama area",Honolulu,HI,"96817"
2/15/2022,"Applied Physicist",Oceanit,oceanit.com,Research,,,,Honolulu,HI,"96813"
2/15/2022,"ACCOUNT MANAGER - BROADLINE (OAHU)","Y. Hata & Co., Limited",yhata.com,"Food & Beverages",,,,Honolulu,HI,"96819"
2/16/2022,"Construction Manager","Bratslavsky Consulting Engineers, Inc.",bce-ak.com,"Civil Engineering","$40 - $50 an hour",,"Liliha-Kapalama area",Honolulu,HI,"96817"
2/15/2022,"Telecommunications Cable Technician","Progressive Communications LLC",progressive-hi.com,,"$24 - $32 an hour",,,Honolulu,HI,""
2/16/2022,"Front Of House Manager","Restaurant 604",restaurant604.com,,,,"Airport area",Honolulu,HI,"96818"
2/16/2022,"Applied Physicist",Oceanit,oceanit.com,Research,,,,Honolulu,HI,"96813"
2/15/2022,"Resident Care / Nurse Manager - The Villas","Ohana Pacific Management Company",ohanapacific.com,"Hospital & Health Care",,,"Liliha-Kapalama area",Honolulu,HI,"96817"
2/16/2022,"Director of Nursing (RN)","Oahu Care Facility",oahucarefacility.com,"Hospital & Health Care","From $95,000 a year",,"McCully-Moiliili area",Honolulu,HI,"96826"
2/15/2022,"Maintenance Technician (SP)",AOAO,aoao.org,"Medical Practice",,,"Downtown area",Honolulu,HI,"96817"
2/16/2022,"Cybersecurity Manager",RevaComm,revacomm.com,"Computer Software",,Remote,,"Remote in Honolulu",HI,""
2/15/2022,"Tire and Lube Technician","Burts Union Service Inc.",,,"From $15 an hour",,"Liliha-Kapalama area",Honolulu,HI,"96817"
2/15/2022,"Knowledge Manager","INNOVATIVE MANAGEMENT CONCEPTS",imcva.com,"Information Technology & Services",,,"Hawaii Kai area",Honolulu,HI,"96825"
2/16/2022,"Cybersecurity Manager",RevaComm,revacomm.com,"Computer Software",,Remote,,"Remote in Honolulu",HI,""
