DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-04-11,"Registered Nurse Infection Preventionist (IP) and Infection...","US Veterans Health Administration",va.gov,"Government Administration","$78,443 - $134,175 a year",,,Honolulu,HI,""
2022-04-10,"(Casual Hire) Program Assistant","University of Hawaii",hawaii.edu,"Higher Education","$26 - $31 an hour",,,Honolulu,HI,""
2022-04-10,"Travel Coordinator II","Hawaii Medical Service Association",hmsa.com,Insurance,"$31.7K – $40.1K a year",,"Ala Moana-Kakaako area",Honolulu,HI,"96814"
2022-04-11,"Secretary II","Hawaii State Judiciary",state.hi.us,Judiciary,"$3,425 a month",,"Downtown area",Honolulu,HI,"96813"
2022-04-09,"Client Advisor, Full-Time - Gump Waikiki","Louis Vuitton",louisvuitton.com,"Luxury Goods & Jewelry",,,,Honolulu,HI,""
2022-04-09,"Operations Analyst","Matson Terminals, Inc.",,,"$48.4K – $61.2K a year",,,Honolulu,HI,"96819"
2022-04-09,"Social Worker/Care Coordinator (ESH)","Easterseals NorCal, Easterseals Hawaii, The BHPN,...",,,"$33 an hour",,,Honolulu,HI,"96821"
2022-04-09,"Visitor Reception Screener (D/E)","The Queen's Medical Center",queens.org,"Hospital & Health Care","$27.5K – $34.9K a year",,,Honolulu,HI,""
2022-04-09,"Outbound Coordinator","The Dewitt Companies",dewittmove.com,Transportation/Trucking/Railroad,"$29K – $36.8K a year",,,Honolulu,HI,"96819"
2022-04-09,"Special Educator (ESH)","Easterseals NorCal, Easterseals Hawaii, The BHPN,...",,,"$33 an hour",,,Honolulu,HI,"96821"
2022-04-09,"Nursing Assistant - Med/Surg (D/N 40)","The Queen's Medical Center",queens.org,"Hospital & Health Care","$71.7K – $90.7K a year",,,Honolulu,HI,""
2022-04-09,"Sales Coordinator","Marriott International, Inc",,,,,"Waikiki area",Honolulu,HI,"96815"
2022-04-09,"Transportation Operations Manager of Household Goods","Royal Hawaiian Movers",,,"$65.3K – $82.7K a year",,,Honolulu,HI,"96819"
2022-04-09,"Aircraft Fueler","Signature Flight Support",signatureflight.com,Airlines/Aviation,,,"Daniel K. Inouye International Airport area",Honolulu,HI,"96819"
2022-04-09,"Consumer Loan Sales Specialist","OneMain Financial",onemainfinancial.com,"Financial Services",,,"McCully-Moiliili area",Honolulu,HI,"96826"
2022-04-09,"Guest Service Agent","Marriott Vacations Worldwide",marriottvacationsworldwide.com,Hospitality,,,"Waikiki area",Honolulu,HI,"96815"
2022-04-10,"Greeter Honolulu Airport Alamo","Enterprise Holdings",enterpriseholdings.com,"Leisure, Travel & Tourism","$16.42 an hour",,,Honolulu,HI,""
2022-04-10,"Urgent Hiring! Plant Worker","Purestar Group",purestar.com,Hospitality,"$30.3K – $38.3K a year",,,Honolulu,HI,"96819"
2022-04-11,"Sales and Operations Coordinator I","Herc Rentals",hercrentals.com,Construction,,,,Honolulu,HI,""
2022-04-09,"Transporter (Rotator)","The Queen's Medical Center",queens.org,"Hospital & Health Care","$33.1K – $41.9K a year",,,Honolulu,HI,""
2022-04-10,"Urgent Hiring! Industrial Engineering!","Purestar Group",purestar.com,Hospitality,"$64.6K – $81.8K a year",,,Honolulu,HI,"96819"
2022-04-09,"RN - Labor & Delivery (N 36)","The Queen's Medical Center",queens.org,"Hospital & Health Care","$98.3K – $124K a year",,,Honolulu,HI,""
2022-04-09,"Customer Experience Representative - Call Center - OAHU","AAA Hawaii",,,"From $15 an hour",,"Kalihi-Palama area",Honolulu,HI,"96817"
2022-04-09,"Shipping/Receiving Clerk","Lithia Motors, Inc.",,,,,"Liliha-Kapalama area",Honolulu,HI,"96817"
2022-04-09,"Client Advisor, Full-time - Hilton Hawaiian Village","Louis Vuitton",louisvuitton.com,"Luxury Goods & Jewelry",,,,Honolulu,HI,""
2022-04-09,"Customer Service Associate",WALGREENS,walgreens.com,Retail,,,"Liliha-Kapalama area",Honolulu,HI,"96817"
2022-04-09,"Terminal Operations Superintendent","Matson Terminals, Inc.",,,"$47.2K – $59.8K a year",,,Honolulu,HI,"96819"
2022-04-09,"Jr. Parts Analyst","Servco Pacific Inc.",servco.com,"Consumer Goods","$33.8K – $42.8K a year",,"Kalihi-Palama area",Honolulu,HI,"96819"
2022-04-09,"Inside Sales Representative","Hawaiian Host Honolulu, Inc.",,,"$32.1K – $40.7K a year",,,Honolulu,HI,""
