DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
3/2/2022,"Inside Crew Member - Part Time","Jet's Pizza | Jets Pizza",,,,,"Rogers Park area",Chicago,IL,"60626"
3/3/2022,"ENDO, RN","Sinai Chicago",sinaichicago.org,"Hospital & Health Care",,,"Chicago Lawn area",Chicago,IL,"60629"
3/3/2022,"Door to Door Lead generation for roofing. Direct deposits ni...","Hire A Canvasser, LLC",,,,,,Chicago,IL,""
3/1/2022,"Hairstylists needed for Men?s Salon in Lakeview!","Mr. Men?s Salon",,,"$55 - $80 an hour",,"North Center area",Chicago,IL,"60613"
3/2/2022,Hairstylist/Cosmetologist,"Thairapy Plus Salon & Spa",,,"$15 - $35 an hour",,"North Center area",Chicago,IL,"60618"
3/1/2022,"Front End Lead Supervisor","Mariano's West Loop",,,"$15.60 - $16.35 an hour",,"Greektown area",Chicago,IL,"60607"
3/3/2022,"Residential Services Assistant (part time 12:00a - 8:00a and...","Bobby E. Wright Comprehensive Behavioral Health",bewcbhc.org,"Hospital & Health Care","$15 an hour",,"Fifth City area",Chicago,IL,"60624"
########,"RN/LPN NEW GRADS WELCOME","Alden Estates of Northmoor",aldenestatesofnorthmoor.com,"Medical Devices","$28 - $38 an hour",,"Norwood Park East area",Chicago,IL,"60631"
3/2/2022,"Team Member","Burger King | Tri City Foods",3cityfoods.com,,,,"West Rogers Park area",Chicago,IL,"60659"
3/2/2022,"Team Member","Burger King | Tri City Foods",3cityfoods.com,,,,"West Rogers Park area",Chicago,IL,"60659"
########,"Registered Nurse (RN)","Elevate Care Chicago North",elevatecare.com,"Hospital & Health Care",,,"West Rogers Park area",Chicago,IL,"60645"
3/1/2022,"Facility Shift Registered Nurse","BrightStar Care of North Suburban Chicago",,,"$36 - $40 an hour",,"Uptown area",Chicago,IL,"60613"
3/1/2022,"Clinical Psychologist","Malachite Institute for Behavioral Health, LLC",,,,Remote,,"Temporarily Remote in Chicago",IL,""
3/1/2022,"DSP (Direct Support Professional)","Active Visions, inc",,,"From $16 an hour",,"Jefferson Park area",Chicago,IL,"60646"
3/2/2022,"Team Lead/Key Holder","Jeni's Ice Cream",,,"From $16 an hour",,,Chicago,IL,""
3/2/2022,"Team Member","Burger King | Tri City Foods",3cityfoods.com,,,,"West Rogers Park area",Chicago,IL,"60659"
3/2/2022,"Team Member","Burger King | Tri City Foods",3cityfoods.com,,,,"West Rogers Park area",Chicago,IL,"60659"
3/2/2022,"Team Member","Burger King | Tri City Foods",3cityfoods.com,,,,"West Rogers Park area",Chicago,IL,"60659"
3/2/2022,"Team Member","Burger King | Tri City Foods",3cityfoods.com,,,,"West Rogers Park area",Chicago,IL,"60659"
########,"Busser - AM Shift (Part-time)","Nico Osteria (Thompson Chicago Hotel)",,,"From $11 an hour",,"Gold Coast area",Chicago,IL,"60611"
3/3/2022,"Fleet Owner","Prolific Logistics Fleet",prolificlogisticsfleet.com,,"$5,000 - $7,000 a week",,,Chicago,IL,""
3/2/2022,"Team Member","Burger King | Tri City Foods",3cityfoods.com,,,,"East Garfield Park area",Chicago,IL,"60651"
3/2/2022,"Team Member","Burger King | Tri City Foods",3cityfoods.com,,,,"East Garfield Park area",Chicago,IL,"60651"
3/2/2022,"Team Member","Burger King | Tri City Foods",3cityfoods.com,,,,"East Garfield Park area",Chicago,IL,"60651"
3/2/2022,"Host Seasonal",Mattel,mattel.com,"Consumer Goods",,,"Streeterville area",Chicago,IL,"60611"
3/2/2022,"Team Member","Burger King | Tri City Foods",3cityfoods.com,,,,"Logan Square area",Chicago,IL,"60647"
3/2/2022,"Team Member","Burger King | Tri City Foods",3cityfoods.com,,,,"Lake View area",Chicago,IL,"60613"
3/3/2022,"Speech Language Pathologist - CFs Welcome Early Intervention...","Therapy Care, Ltd",therapycare.com,"Hospital & Health Care",,,"Near North Side area",Chicago,IL,"60610"
########,"Shift Leader","Dunkin | BF GROUP USA",,,,,"Ravenswood area",Chicago,IL,"60640"
3/2/2022,"Team Member","Burger King | Tri City Foods",3cityfoods.com,,,,"Little Village area",Chicago,IL,"60623"
3/1/2022,Host/Hostess,"Gyu-Kaku Japanese BBQ",gyu-kaku.com,Restaurants,,,"Streeterville area",Chicago,IL,"60611"
3/2/2022,"Team Member","Burger King | Tri City Foods",3cityfoods.com,,,,"Archer Heights area",Chicago,IL,"60632"
3/2/2022,"Team Member","Burger King | Tri City Foods",3cityfoods.com,,,,"West Elsdon area",Chicago,IL,"60632"
########,"Pediatric Telemedicine Preceptor","MMD Health",mmdmedical.com,"Medical Devices","Up to $6,000 a month",,,Chicago,IL,""
########,"Shift Leader","Dunkin' | M&M Purohit",,,,,"Union Ridge area",Chicago,IL,"60656"
3/1/2022,"LPN Agency SNF/LTC !FLEXIBLE SCHEDULE! *IL, and IN*","Staff?d LTC",,,,,,Chicago,IL,""
3/2/2022,"Team Member","Burger King | Tri City Foods",3cityfoods.com,,,,"Chatham area",Chicago,IL,"60619"
3/2/2022,"Team Member","Burger King | Tri City Foods",3cityfoods.com,,,,"Clearing area",Chicago,IL,"60638"
3/2/2022,"Team Member","Burger King | Tri City Foods",3cityfoods.com,,,,"Clearing area",Chicago,IL,"60638"
3/2/2022,"Team Member","Burger King | Tri City Foods",3cityfoods.com,,,,"Archer Heights area",Chicago,IL,"60632"
3/2/2022,"Team Member","Burger King | Tri City Foods",3cityfoods.com,,,,"Archer Heights area",Chicago,IL,"60632"
########,"Shift Leader","Dunkin' | DeJuras Management Group",,,"$16 - $20 an hour",,"South Austin area",Chicago,IL,"60644"
########,"RN/LPN NIGHT SHIFT","Alden Estates of Northmoor",aldenestatesofnorthmoor.com,"Medical Devices","$28 - $38 an hour",,"Norwood Park East area",Chicago,IL,"60631"
3/1/2022,"Direct Support Professional (DSP) BENEFITS","Ohana Community Services, LLC",,,"From $15.50 an hour",,"Austin area",Chicago,IL,"60651"
3/2/2022,"Nurse Weekend Warrior (RN)","BRIA of Forest Edge",,,"$33.75 - $36.25 an hour",,"Beverly View area",Chicago,IL,"60620"
3/3/2022,"Speech Language Pathologist - Teletherapy","Therapy Care, Ltd",therapycare.com,"Hospital & Health Care",,,"Near North Side area",Chicago,IL,"60611"
3/1/2022,"Nurse Weekend Warrior (LPN)","BRIA of Forest Edge",,,"$28.75 - $31.75 an hour",,"Beverly View area",Chicago,IL,"60620"
3/3/2022,"Pre-Planning Advisor trainee","SCI Shared Resources, LLC",sci-corp.com,"Individual & Family Services",,,"Near West Side area",Chicago,IL,"60684"
3/1/2022,"Tennis Instructor - McFetridge Sports Center","ASM Global",asmglobal.com,Entertainment,,,"South Loop area",Chicago,IL,"60605"
3/2/2022,"Part-Time Seasonal","Chicago Public Schools",cps.edu,"Education Management",,,"Lake View area",Chicago,IL,"60613"
3/2/2022,"Server - PT","The Admiral At the Lake",kendal.org,"Hospital & Health Care","$15 an hour",,"Margate Park area",Chicago,IL,"60640"
3/2/2022,"Temp Project Coordinator","RSM US LLP",rsmus.com,Accounting,,,"The Loop area",Chicago,IL,"60606"
3/2/2022,"Chicago HOPES for Kids- Program Coordinator",AmeriCorps,americorps.gov,"Government Administration",,,"River West area",Chicago,IL,"60642"
3/2/2022,"ACTIVITIES INSTRUCTOR- M (BID)","Chicago Park District",chicagoparkdistrict.com,"Government Administration","$58,355 a year",,"Calumet Heights area",Chicago,IL,"60617"
3/1/2022,Server,"The Cheesecake Factory",thecheesecakefactory.com,Restaurants,,,"Streeterville area",Chicago,IL,"60611"
