DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-09-18,"Customer Assistance Representative","American Airlines",aa.com,Airlines/Aviation,,,"O'Hare International Airport area)",Chicago,IL,"60666"
2022-09-18,"Customer Service Agent","American Airlines",aa.com,Airlines/Aviation,,,"O'Hare International Airport area)",Chicago,IL,"60666"
2022-09-17,"SOCIAL SERVICES CAREER TRAINEE","State of Illinois",illinois.gov,"Government Administration","$3,856 - $5,404 a month",,"Near West Side area)",Chicago,IL,"60661"
2022-09-17,"Bus Servicer","Chicago Transit Authority",transitchicago.com,Transportation/Trucking/Railroad,"$20.94 - $32.22 an hour",,,Chicago,IL,""
2022-09-18,"Call Center Representatives",Ascensus,ascensus.com,"Financial Services","estimated $29k - $36.8k a year",Remote,,"Remote in Chicago",IL,"60601"
2022-09-17,"HUMAN SERVICES CASEWORKER (UPWARD MOBILITY)","State of Illinois",illinois.gov,"Government Administration","$4,525 - $6,622 a month",,"Near West Side area)",Chicago,IL,"60661"
2022-09-17,"Laborer (Building)","Chicago Transit Authority",transitchicago.com,Transportation/Trucking/Railroad,"$22.17 - $34.11 an hour",,,Chicago,IL,""
2022-09-17,"Application Support Analyst","Northwestern Medicine",nm.org,"Hospital & Health Care","$23.06 an hour",,"Near North Side area)",Chicago,IL,"60611"
2022-09-17,"Warehouse Package Handler","FedEx Ground PH US",,,"up to $17.75 an hour",,"McKinley Park area)",Chicago,IL,"60608"
2022-09-17,"Full-Time Store Associate",ALDI,aldi.pl,Retail,"$17.50 an hour",,,Chicago,IL,""
2022-09-18,"Emergency Dept Assist","Northwestern Medicine",nm.org,"Hospital & Health Care","$18.46 an hour",,"Near North Side area)",Chicago,IL,"60611"
2022-09-16,"Investigative Auditor","KENTECH CONSULTING INC",ekentech.com,"Security & Investigations","estimated $59.6k - $75.4k a year",Remote,,"Remote in Chicago",IL,"60654"
2022-09-18,"Sterile Processing Tech II","Northwestern Medicine",nm.org,"Hospital & Health Care","$19.60 an hour",,"Near North Side area)",Chicago,IL,"60611"
2022-09-18,"Business Development Representative - Chicago Summer 2023",Oracle,oracle.com,"Information Technology & Services","estimated $45.1k - $57.1k a year",,,Chicago,IL,""
2022-09-17,"Data Scientist II, Aftermarket Analytics",Caterpillar,cat-truckengines.com,,,,,"Hybrid remote in Chicago",IL,"60622"
2022-09-17,"CLERK V - MAIN EMERGENCY ROOM","Cook County Health & Hospitals System",cookcountyhealth.org,"Hospital & Health Care","$19.86 an hour",,,Chicago,IL,""
2022-09-18,"2023 CoOp PepsiCo Supply Chain",PepsiCo,pepsico.com,"Food & Beverages",,,,Chicago,IL,""
2022-09-17,"Supply Network Specialist: Graduating December 2021 - Decemb...",Caterpillar,cat-truckengines.com,,,,"West Town area)",Chicago,IL,"60622"
2022-09-17,"Full-Time Store Associate",ALDI,aldi.pl,Retail,"$16.50 an hour",,,Chicago,IL,""
2022-09-16,"Application Support Analyst, Full Time, Days","Northwestern Memorial Healthcare",,,"estimated $58.3k - $73.9k a year",,"Streeterville area)",Chicago,IL,"60611"
2022-09-17,Copywriter,Arc,e-arc.ae,"Information Technology & Services","estimated $54.5k - $68.9k a year",,,Chicago,IL,""
2022-09-17,"Restaurant Team Member",Chipotle,,,,,"Hyde Park area)",Chicago,IL,"60615"
2022-09-17,"Subpoena Law Clerk","Hennessy & Roach, P.C.",,,"estimated $36.6k - $46.4k a year",,"The Loop area)",Chicago,IL,"60603"
2022-09-18,"2023 Full Time: Global Sustainability Associate Manager",PepsiCo,pepsico.com,"Food & Beverages",,,,Chicago,IL,""
2022-09-17,"Patient Service Rep - Full-Time / Chicago - 98th & Western","Advocate Aurora Health",advocateaurorahealth.org,"Hospital & Health Care",,,"Morgan Park area)",Chicago,IL,"60643"
2022-09-18,"2023 Co-Op: Human Resources CoOp - Undergrad",PepsiCo,pepsico.com,"Food & Beverages",,,,Chicago,IL,""
2022-09-18,"2023 Full Time: Digital Transformation Associate Analyst - M...",PepsiCo,pepsico.com,"Food & Beverages",,,,Chicago,IL,""
2022-09-17,"Technician - Quality Control Full Time Nights","PepsiCo Beverages North America",,,"$23.75 an hour",,"New City area)",Chicago,IL,"60609"
2022-09-18,"Consultant - Environment, Social, and Governance (ESG)",Deloitte,deloitte.com,"Management Consulting","estimated $75.5k - $95.7k a year",,"The Loop area)",Chicago,IL,"60606"
2022-09-17,"Digital Project Mgr",Caterpillar,cat-truckengines.com,,,,"West Town area)",Chicago,IL,"60622"
2022-09-16,"ENT Practice Manager - Full-Time, Days","Northwestern Memorial Healthcare",,,"estimated $58.6k - $74.2k a year",,"Streeterville area)",Chicago,IL,"60611"
2022-09-18,"Patient Care Tech","Northwestern Medicine",nm.org,"Hospital & Health Care","$18.46 an hour",,"Near North Side area)",Chicago,IL,"60611"
2022-09-17,"Patient Service Rep - Full-Time / Days - Trinity Hospital","Advocate Aurora Health",advocateaurorahealth.org,"Hospital & Health Care",,,"Calumet Heights area)",Chicago,IL,"60617"
2022-09-18,"Commercial Bank Risk-Reputational Risk Associate/Analyst","JPMorgan Chase Bank, N.A.",chase.com,"Financial Services",,,,Chicago,IL,""
2022-09-18,"2023 Full Time: Marketing Associate Analyst - Undergrad",PepsiCo,pepsico.com,"Food & Beverages",,,,Chicago,IL,""
2022-09-18,"2023 Full Time: Information Technology Associate Analyst - M...",PepsiCo,pepsico.com,"Food & Beverages",,,,Chicago,IL,""
2022-09-18,"Nurse Clinician","Northwestern Medicine",nm.org,"Hospital & Health Care","$34 an hour",,"Near North Side area)",Chicago,IL,"60611"
2022-09-17,MERCHANDISING,"Home Depot",,,,,,Chicago,IL,"60290"
2022-09-17,MERCHANDISING,"Home Depot",,,,,,Chicago,IL,"60290"
2022-09-17,MERCHANDISING,"Home Depot",,,,,,Chicago,IL,"60290"
2022-09-17,MERCHANDISING,"Home Depot",,,,,,Chicago,IL,"60290"
2022-09-17,MERCHANDISING,"Home Depot",,,,,,Chicago,IL,"60290"
2022-09-17,MERCHANDISING,"Home Depot",,,,,,Chicago,IL,"60290"
2022-09-17,MERCHANDISING,"Home Depot",,,,,,Chicago,IL,"60290"
2022-09-18,Perfusionist,"Northwestern Medicine",nm.org,"Hospital & Health Care","$56.66 a day",,"Near North Side area)",Chicago,IL,"60611"
2022-09-17,"Pharmaceutical Sales Representative - Dermatology Specialty","Eli Lilly",lilly.com,Pharmaceuticals,,,"Archer Heights area)",Chicago,IL,"60623"
2022-09-17,"Fintech Policy Advisor - PUBLIC SERVICE ADMINISTRATOR, OPT 3","State of Illinois",illinois.gov,"Government Administration","$6,956 - $10,607 a month",,"West Loop Gate area)",Chicago,IL,"60661"
2022-09-17,"Law Clerk - OCR (IL)","Chickasaw Nation Industries",chickasaw.com,"Government Relations",,,,Chicago,IL,""
2022-09-17,"Dental Office Assistant","Aspen Dental",aspendent.com,"Health, Wellness & Fitness","$16 - $18 an hour",,"Roscoe Village area)",Chicago,IL,"60618"
2022-09-17,"Facilities Analyst","Huron Consulting Group Inc.",huronconsultinggroup.com,"Management Consulting","estimated $58.2k - $73.8k a year",,"West Loop Gate area)",Chicago,IL,"60607"
2022-09-17,"Research Analyst, Distributed Storage","Wood Mackenzie",woodmac.com,"Oil & Energy",,,"West Loop Gate area)",Chicago,IL,"60661"
2022-09-18,"CIB-Transaction Specialist II- 2nd Shift","JPMorgan Chase Bank, N.A.",chase.com,"Financial Services",,,,Chicago,IL,""
2022-09-18,"Restaurant Team Member","Shake Shack",shakeshack.com,Hospitality,"$15.40 an hour",,"West Town area)",Chicago,IL,"60607"
2022-09-17,"Patient Services Representative","The University of Chicago Medicine",uchicagomedicine.org,"Hospital & Health Care","estimated $31k - $39.2k a year",,"Hyde Park area)",Chicago,IL,"60637"
2022-09-17,"Plasma Center Assistant Manager - Chicago","Biolife Plasma Services",biolifeplasma.com,Pharmaceuticals,,,,Chicago,IL,""
2022-09-16,"Lab Technician - Central Specimen Receiving, Full-time, Days","Northwestern Memorial Healthcare",,,"estimated $28.5k - $36.1k a year",,"Streeterville area)",Chicago,IL,"60611"
2022-09-18,"Associate Account Manager-Remote-Chicago","Republic Services",republicservices.com,"Environmental Services",,Remote,,"Remote in Chicago",IL,"60608"
2022-09-17,"Medical Office Assistant - Department of Medicine, South Loo...","University of Illinois",illinois.edu,"Professional Training & Coaching",,,"Bronzeville area)",Chicago,IL,"60616"
2022-09-17,"? House Cleaner/Housekeeper (Full time)","HELPING HANDS CLEANING SERVICE",,,"up to $1,200 a week",,,Chicago,IL,""
2022-09-18,"2023 Co-Op: Frito-Lay Data Science, Advanced Analytics - Mas...",PepsiCo,pepsico.com,"Food & Beverages",,,,Chicago,IL,""
2022-09-19,"Nurse Clinician","Northwestern Medicine",nm.org,"Hospital & Health Care","$30.50 an hour",,"Near North Side area)",Chicago,IL,"60611"
